matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdRight,attOpenplay,attPenGoal,attPostHigh,attSetpiece,attemptsConcededIbox,attemptsConcededObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,redCard,rightsidePass,savedIbox,savedObox,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
360478,1,2011-08-13 15:00:00,45,Norwich,Away,128.0,24.0,1.0,6.0,5.0,5.0,,169.0,6.0,1.0,3.0,8.0,10.0,36.0,291.0,,,21.0,13.0,12.0,8.0,2.0,1.0,,1.0,,1.0,,,,9.0,,,1.0,14.0,6.0,51.0,50.0,1.0,1.0,1.0,4.0,2.0,15.0,1.0,3.0,12.0,6.0,,15.0,4.0,52.0,49.0,4.0,8.0,3.0,,,95.0,8.0,11.0,,,2.0,1.0,1.0,168.0,,,,,,,8.0,1.0,3.0,,5.0,,11.0,9.0,,3.0,81.0,87.0,62.0,7.0,1.0,8.0,2.0,2.0,6.0,,,42.0,52.0,26.0,1.0,1.0,1.0,,,156.0,145.0,2.0,15.0,20.0,50.5,,,0.0,78.0,5.0,1.0,,,1.0,9.0,,3.0,85.0,10.0,142.0,47.0,19.0,3.0,3.0,22.0,19.0,1.0,144.0,11.0,258.0,3.0,2.0,23.0,11.0,64.0,5.0,378.0,,0.0,13.0,24.0,1.0,26.0,2.0,578.0,14.0,2.0,3.0,19.0,0.0
360485,2,2011-08-21 13:30:00,45,Norwich,Home,121.0,17.0,1.0,4.0,3.0,4.0,1.0,126.0,7.0,,4.0,10.0,12.0,38.0,243.0,,2.0,12.0,14.0,13.0,4.0,1.0,,,,,1.0,,,,7.0,,,2.0,10.0,8.0,47.0,42.0,,,,3.0,5.0,6.0,,3.0,7.0,13.0,1.0,5.0,2.0,41.0,44.0,3.0,17.0,10.0,,,80.0,13.0,12.0,,,2.0,2.0,1.0,144.0,1.0,1.0,1.0,,1.0,,15.0,,1.0,,16.0,,4.0,2.0,1.0,4.0,73.0,83.0,42.0,6.0,,1.0,5.0,3.0,4.0,,,34.0,45.0,29.0,,1.0,1.0,1.0,,166.0,151.0,2.0,18.0,9.0,46.9,,,0.0,62.0,3.0,1.0,,1.0,,2.0,,3.0,64.0,6.0,143.0,33.0,32.0,5.0,3.0,25.0,22.0,,110.0,14.0,208.0,1.0,,27.0,12.0,64.0,3.0,326.0,,1.0,10.0,17.0,3.0,23.0,0.0,509.0,17.0,2.0,3.0,14.0,0.0
360491,3,2011-08-27 15:00:00,45,Norwich,Away,60.0,11.0,,2.0,2.0,1.0,1.0,89.0,5.0,,4.0,12.0,3.0,27.0,147.0,,1.0,11.0,13.0,7.0,7.0,1.0,1.0,,,1.0,1.0,,,,9.0,,,1.0,9.0,9.0,37.0,39.0,2.0,2.0,,5.0,1.0,7.0,,6.0,9.0,2.0,,6.0,3.0,45.0,47.0,5.0,15.0,5.0,1.0,,83.0,15.0,17.0,1.0,,3.0,1.0,1.0,103.0,,,,,,,14.0,1.0,1.0,,14.0,1.0,19.0,16.0,1.0,5.0,40.0,82.0,37.0,8.0,,3.0,5.0,6.0,3.0,,,33.0,31.0,17.0,1.0,1.0,1.0,,,140.0,125.0,1.0,16.0,10.0,30.4,,1.0,0.0,36.0,2.0,2.0,,,1.0,4.0,,3.0,47.0,8.0,66.0,30.0,30.0,5.0,5.0,17.0,12.0,1.0,98.0,5.0,167.0,1.0,,24.0,4.0,60.0,6.0,216.0,,1.0,11.0,22.0,2.0,18.0,2.0,407.0,8.0,1.0,6.0,15.0,0.0
360504,4,2011-09-11 13:30:00,45,Norwich,Home,105.0,12.0,,11.0,11.0,7.0,,191.0,3.0,3.0,9.0,13.0,19.0,25.0,285.0,,,28.0,12.0,10.0,14.0,,,,1.0,,2.0,,,,15.0,,,,5.0,10.0,46.0,67.0,1.0,2.0,,1.0,3.0,9.0,,1.0,18.0,14.0,,9.0,4.0,43.0,54.0,1.0,13.0,9.0,1.0,,79.0,13.0,10.0,,,3.0,1.0,2.0,188.0,,,,,,,8.0,,1.0,2.0,17.0,,23.0,16.0,2.0,9.0,77.0,106.0,44.0,3.0,,10.0,4.0,3.0,2.0,,,60.0,60.0,36.0,,1.0,1.0,1.0,,200.0,188.0,4.0,24.0,20.0,51.8,,,0.0,93.0,2.0,3.0,,,,12.0,,3.0,102.0,14.0,118.0,31.0,25.0,10.0,1.0,34.0,33.0,,173.0,12.0,320.0,1.0,3.0,45.0,19.0,66.0,,404.0,,0.0,18.0,26.0,2.0,35.0,1.0,647.0,23.0,8.0,1.0,21.0,0.0
360511,5,2011-09-17 15:00:00,45,Norwich,Away,87.0,15.0,4.0,8.0,4.0,1.0,,142.0,3.0,,4.0,9.0,4.0,37.0,221.0,,,15.0,21.0,15.0,5.0,3.0,,,1.0,,1.0,,,,,,,2.0,5.0,4.0,42.0,48.0,,1.0,1.0,,2.0,9.0,,9.0,12.0,3.0,,10.0,2.0,53.0,45.0,,27.0,18.0,,,89.0,9.0,9.0,,,,,1.0,130.0,2.0,1.0,1.0,,2.0,,5.0,,,,30.0,,15.0,14.0,1.0,4.0,69.0,80.0,39.0,6.0,2.0,4.0,6.0,6.0,4.0,2.0,,41.0,58.0,18.0,1.0,1.0,1.0,,,157.0,134.0,1.0,20.0,15.0,40.7,,,0.0,55.0,1.0,2.0,,,,6.0,1.0,3.0,68.0,10.0,100.0,32.0,50.0,7.0,9.0,26.0,17.0,,115.0,6.0,222.0,,,28.0,4.0,64.0,7.0,296.0,,0.0,14.0,18.0,,28.0,1.0,514.0,3.0,3.0,9.0,8.0,0.0
360524,6,2011-09-26 20:00:00,45,Norwich,Home,100.0,14.0,1.0,3.0,2.0,3.0,,187.0,3.0,,1.0,10.0,11.0,27.0,284.0,,,21.0,14.0,19.0,5.0,1.0,1.0,,,,,,,,9.0,,,,5.0,9.0,63.0,62.0,,,,3.0,5.0,3.0,,7.0,12.0,3.0,1.0,10.0,2.0,34.0,48.0,3.0,27.0,16.0,,1.0,96.0,4.0,7.0,1.0,,1.0,1.0,,175.0,2.0,,2.0,2.0,,,11.0,2.0,,1.0,33.0,,16.0,11.0,1.0,2.0,100.0,101.0,41.0,4.0,,2.0,6.0,4.0,2.0,,,81.0,65.0,19.0,,,,,,207.0,181.0,2.0,17.0,32.0,42.7,,,0.0,75.0,3.0,1.0,,,1.0,3.0,,3.0,81.0,8.0,122.0,28.0,53.0,7.0,5.0,21.0,16.0,1.0,153.0,17.0,312.0,,,48.0,14.0,68.0,,413.0,,0.0,12.0,19.0,1.0,26.0,2.0,622.0,6.0,3.0,7.0,12.0,0.0
360534,7,2011-10-01 15:00:00,45,Norwich,Away,125.0,11.0,2.0,4.0,2.0,1.0,,105.0,3.0,,4.0,8.0,5.0,22.0,226.0,,1.0,12.0,5.0,7.0,12.0,2.0,1.0,,,,,,,,13.0,,,,10.0,10.0,46.0,46.0,,1.0,,6.0,5.0,7.0,,3.0,6.0,3.0,,3.0,,23.0,36.0,6.0,15.0,5.0,,,81.0,6.0,9.0,,,1.0,1.0,,143.0,,,,,,,12.0,,1.0,,14.0,1.0,22.0,20.0,2.0,4.0,56.0,85.0,37.0,10.0,,7.0,7.0,3.0,8.0,1.0,,22.0,34.0,20.0,,,,,,145.0,124.0,1.0,27.0,10.0,32.5,,,0.0,66.0,,2.0,,,1.0,9.0,1.0,3.0,50.0,14.0,144.0,29.0,36.0,5.0,2.0,12.0,10.0,1.0,103.0,9.0,179.0,1.0,,35.0,6.0,59.0,1.0,311.0,1.0,0.0,17.0,17.0,1.0,16.0,0.0,494.0,11.0,3.0,3.0,8.0,0.0
360544,8,2011-10-15 15:00:00,45,Norwich,Home,104.0,17.0,3.0,8.0,5.0,5.0,1.0,211.0,6.0,1.0,5.0,10.0,6.0,30.0,307.0,,,14.0,1.0,10.0,12.0,2.0,1.0,,,,,,,,14.0,,,1.0,4.0,8.0,76.0,36.0,3.0,,3.0,4.0,2.0,12.0,,4.0,14.0,3.0,1.0,7.0,,29.0,46.0,4.0,12.0,9.0,,,100.0,5.0,5.0,,,3.0,1.0,,142.0,3.0,1.0,3.0,1.0,2.0,,10.0,1.0,,,18.0,1.0,12.0,12.0,,5.0,69.0,80.0,49.0,4.0,2.0,10.0,7.0,6.0,2.0,1.0,,68.0,64.0,15.0,,,,,,142.0,124.0,3.0,10.0,17.0,39.8,,,0.0,94.0,1.0,1.0,,,1.0,10.0,,2.0,97.0,17.0,113.0,36.0,30.0,10.0,4.0,22.0,18.0,1.0,155.0,13.0,290.0,,1.0,27.0,8.0,55.0,1.0,381.0,,0.0,18.0,25.0,1.0,17.0,0.0,573.0,16.0,6.0,4.0,20.0,0.0
360554,9,2011-10-22 17:30:00,45,Norwich,Away,126.0,13.0,1.0,5.0,4.0,3.0,,180.0,8.0,,5.0,11.0,12.0,24.0,301.0,,,23.0,10.0,8.0,8.0,1.0,2.0,,,,,,,,11.0,,,,21.0,8.0,55.0,60.0,2.0,1.0,1.0,4.0,4.0,15.0,,3.0,7.0,7.0,,14.0,3.0,52.0,41.0,4.0,23.0,10.0,,,92.0,8.0,6.0,1.0,,1.0,,,159.0,1.0,,1.0,1.0,,,16.0,1.0,2.0,,20.0,,12.0,10.0,2.0,5.0,99.0,106.0,56.0,10.0,,1.0,9.0,7.0,8.0,2.0,,69.0,75.0,23.0,,,,,,180.0,164.0,1.0,28.0,17.0,44.6,,,0.0,93.0,7.0,1.0,,,2.0,1.0,,2.0,81.0,10.0,144.0,25.0,39.0,7.0,3.0,17.0,14.0,2.0,143.0,14.0,279.0,3.0,,38.0,13.0,57.0,,406.0,,0.0,12.0,25.0,1.0,28.0,1.0,633.0,13.0,2.0,3.0,17.0,0.0
360562,10,2011-10-29 15:00:00,45,Norwich,Home,140.0,12.0,1.0,10.0,9.0,3.0,1.0,198.0,1.0,,3.0,6.0,9.0,32.0,328.0,,,16.0,15.0,11.0,10.0,1.0,,,,,,,,,11.0,1.0,,,5.0,6.0,64.0,60.0,3.0,3.0,,3.0,1.0,12.0,1.0,6.0,18.0,12.0,,11.0,,53.0,50.0,3.0,19.0,9.0,1.0,,63.0,9.0,10.0,2.0,,3.0,2.0,,152.0,1.0,,,1.0,,,5.0,2.0,2.0,,20.0,,4.0,3.0,,3.0,98.0,79.0,37.0,2.0,1.0,7.0,5.0,6.0,4.0,3.0,,81.0,55.0,27.0,,,,,1.0,166.0,148.0,2.0,22.0,29.0,49.0,,,0.0,101.0,1.0,,,,,7.0,,3.0,98.0,12.0,155.0,20.0,37.0,13.0,5.0,37.0,32.0,,141.0,6.0,297.0,4.0,,25.0,10.0,53.0,1.0,415.0,,0.0,14.0,22.0,,19.0,2.0,617.0,6.0,7.0,6.0,16.0,0.0
