matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attLgCentre,attObxdLeft,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
987592,1.0,2018-08-11 15:00:00,97,Cardiff,Away,72.0,12.0,2.0,4.0,2.0,1.0,,107.0,5.0,,,7.0,6.0,23.0,175.0,,,12.0,32.0,31.0,8.0,,,1.0,,,1.0,,,,7.0,,,,,,,7.0,10.0,2.0,8.0,2.0,,37.0,64.0,1.0,1.0,,1.0,25.0,4.0,11.0,,,4.0,9.0,5.0,,3.0,1.0,62.0,73.0,1.0,30.0,11.0,,,70.0,9.0,11.0,,,1.0,,1.0,130.0,,,,,,10.0,,,,,,,,1.0,11.0,,15.0,15.0,1.0,,65.0,79.0,29.0,7.0,,4.0,4.0,1.0,262.0,,,2.0,2.0,52.0,50.0,25.0,,1.0,1.0,1.0,,158.0,158.0,3.0,29.0,29.0,37.1,,,,,25.0,0.0,,,,55.0,2.0,,2.0,,,5.0,,3.0,62.0,163.0,14.0,8.0,94.0,25.0,30.0,17.0,4.0,18.0,14.0,,122.0,11.0,211.0,,,42.0,7.0,77.0,2.0,287.0,1.0,0.0,10.0,22.0,,20.0,1.0,483.0,23.0,9.0,9.0,4.0,12.0,0.0
987604,2.0,2018-08-18 12:30:00,97,Cardiff,Home,62.0,13.0,2.0,7.0,5.0,2.0,,147.0,,2.0,3.0,11.0,5.0,29.0,202.0,,1.0,13.0,33.0,34.0,7.0,2.0,,1.0,,,1.0,,,,8.0,,,,,,,6.0,10.0,2.0,7.0,5.0,,38.0,62.0,2.0,2.0,,1.0,17.0,5.0,3.0,,1.0,5.0,8.0,6.0,,11.0,1.0,61.0,80.0,1.0,41.0,24.0,,,75.0,14.0,16.0,,,5.0,4.0,1.0,154.0,,,,,,3.0,,,,,,,,1.0,24.0,,12.0,12.0,,3.0,70.0,78.0,25.0,5.0,,5.0,4.0,1.0,295.0,,,5.0,1.0,77.0,53.0,31.0,,1.0,1.0,1.0,,165.0,165.0,6.0,21.0,25.0,51.3,,,,,17.0,0.0,,,,52.0,5.0,1.0,6.0,1.0,,6.0,1.0,3.0,81.0,196.0,5.0,9.0,82.0,30.0,41.0,9.0,5.0,23.0,18.0,,138.0,8.0,255.0,,2.0,34.0,6.0,71.0,2.0,314.0,,0.0,12.0,22.0,1.0,27.0,2.0,533.0,13.0,8.0,8.0,5.0,12.0,0.0
987615,3.0,2018-08-25 15:00:00,97,Cardiff,Away,63.0,6.0,1.0,2.0,1.0,6.0,,133.0,2.0,,4.0,10.0,3.0,23.0,194.0,,,22.0,27.0,35.0,10.0,2.0,,,,,,,,,12.0,,,,,,,3.0,3.0,2.0,8.0,6.0,,32.0,50.0,1.0,1.0,,3.0,11.0,4.0,3.0,,,7.0,4.0,3.0,,9.0,1.0,53.0,65.0,3.0,30.0,14.0,,1.0,67.0,10.0,8.0,,1.0,1.0,1.0,,147.0,,,,,,4.0,,,,,,,,1.0,14.0,,11.0,11.0,,5.0,58.0,75.0,34.0,7.0,,5.0,7.0,4.0,275.0,,,2.0,5.0,36.0,61.0,31.0,,,,,,157.0,157.0,5.0,16.0,21.0,42.0,,,,1.0,11.0,0.0,,,,52.0,1.0,,1.0,3.0,,6.0,,3.0,77.0,186.0,3.0,12.0,85.0,18.0,30.0,8.0,7.0,15.0,8.0,,119.0,18.0,219.0,,,37.0,4.0,61.0,1.0,289.0,,0.0,14.0,19.0,,34.0,1.0,487.0,16.0,15.0,3.0,7.0,13.0,0.0
987624,4.0,2018-09-02 13:30:00,97,Cardiff,Home,52.0,9.0,1.0,4.0,3.0,3.0,,107.0,3.0,,,4.0,4.0,19.0,155.0,,,3.0,22.0,24.0,5.0,1.0,,,,,,,,,7.0,,,,,,5.0,9.0,11.0,6.0,10.0,4.0,,30.0,57.0,,,,2.0,18.0,1.0,6.0,,,3.0,7.0,7.0,,9.0,8.0,51.0,50.0,2.0,32.0,13.0,,1.0,48.0,12.0,12.0,1.0,,5.0,2.0,,124.0,2.0,,2.0,1.0,1.0,5.0,,,1.0,,,,,,13.0,,15.0,15.0,4.0,,42.0,50.0,22.0,9.0,1.0,5.0,3.0,3.0,209.0,,,2.0,1.0,37.0,44.0,30.0,,,,,,126.0,126.0,7.0,23.0,23.0,27.7,,,,,18.0,0.0,,,,38.0,6.0,2.0,8.0,,,10.0,,2.0,62.0,140.0,11.0,8.0,74.0,27.0,32.0,4.0,3.0,19.0,16.0,,99.0,7.0,179.0,,,14.0,5.0,48.0,3.0,234.0,,0.0,14.0,12.0,,7.0,3.0,415.0,22.0,13.0,2.0,3.0,8.0,0.0
987633,5.0,2018-09-15 15:00:00,97,Cardiff,Away,58.0,13.0,2.0,3.0,1.0,3.0,,78.0,7.0,,,12.0,2.0,28.0,133.0,,,8.0,18.0,23.0,2.0,2.0,,,,,,,,,2.0,,,,,,1.0,8.0,15.0,3.0,5.0,1.0,,44.0,57.0,1.0,,1.0,1.0,21.0,,10.0,,,4.0,4.0,1.0,1.0,7.0,2.0,48.0,50.0,1.0,17.0,5.0,,,59.0,10.0,8.0,,,1.0,1.0,,114.0,1.0,,1.0,,1.0,14.0,,,,,,,,,5.0,,24.0,24.0,1.0,,35.0,78.0,33.0,5.0,,3.0,2.0,2.0,198.0,,,3.0,2.0,47.0,36.0,23.0,1.0,1.0,1.0,,,132.0,132.0,3.0,27.0,21.0,23.2,,3.0,,,21.0,0.0,,,,34.0,3.0,,3.0,,,4.0,,3.0,45.0,116.0,12.0,5.0,76.0,28.0,17.0,9.0,4.0,10.0,6.0,,93.0,7.0,161.0,,,29.0,3.0,68.0,,227.0,,0.0,6.0,13.0,,17.0,0.0,381.0,12.0,10.0,6.0,4.0,8.0,0.0
987645,6.0,2018-09-22 15:00:00,97,Cardiff,Home,86.0,10.0,,1.0,1.0,5.0,,61.0,2.0,,1.0,8.0,2.0,18.0,146.0,,,11.0,9.0,10.0,2.0,,,,,,,,,,1.0,,,,,,1.0,5.0,18.0,3.0,1.0,1.0,,39.0,49.0,,,,2.0,7.0,,6.0,,,1.0,5.0,1.0,,9.0,2.0,32.0,32.0,2.0,24.0,14.0,1.0,,42.0,6.0,4.0,,,,,,107.0,,,,,,5.0,,,,,,,,1.0,14.0,,14.0,14.0,2.0,1.0,41.0,58.0,21.0,10.0,,,2.0,2.0,200.0,,,7.0,,28.0,34.0,13.0,,,,,,108.0,108.0,,29.0,12.0,21.4,,,,,7.0,0.0,,,,31.0,4.0,1.0,5.0,,,,,3.0,36.0,133.0,4.0,2.0,100.0,21.0,24.0,5.0,1.0,7.0,6.0,,68.0,10.0,125.0,,,30.0,2.0,53.0,2.0,218.0,,0.0,2.0,16.0,,15.0,1.0,360.0,5.0,12.0,2.0,1.0,6.0,0.0
987654,7.0,2018-09-30 16:00:00,97,Cardiff,Home,40.0,13.0,3.0,8.0,5.0,11.0,2.0,165.0,,,1.0,17.0,2.0,32.0,197.0,,,20.0,39.0,67.0,12.0,1.0,1.0,1.0,,,1.0,,,,11.0,,,,1.0,,1.0,3.0,2.0,1.0,13.0,7.0,,36.0,48.0,,1.0,,2.0,17.0,6.0,3.0,,,10.0,11.0,8.0,,12.0,,64.0,94.0,2.0,24.0,16.0,,,78.0,11.0,15.0,,,4.0,4.0,1.0,163.0,1.0,,1.0,1.0,,4.0,,,1.0,1.0,,,,,16.0,1.0,8.0,8.0,,2.0,78.0,91.0,39.0,2.0,1.0,5.0,9.0,5.0,296.0,,,,,44.0,72.0,60.0,,,,,,185.0,185.0,5.0,12.0,25.0,54.3,1.0,,,,17.0,0.0,,,,41.0,,,,,1.0,9.0,1.0,2.0,102.0,187.0,8.0,14.0,59.0,30.0,24.0,5.0,8.0,31.0,23.0,1.0,168.0,23.0,290.0,1.0,,41.0,2.0,73.0,2.0,318.0,,0.0,20.0,9.0,1.0,33.0,1.0,524.0,49.0,13.0,5.0,10.0,8.0,0.0
987670,8.0,2018-10-06 15:00:00,97,Cardiff,Away,53.0,11.0,1.0,1.0,,3.0,,86.0,4.0,,,8.0,3.0,28.0,138.0,,,16.0,9.0,16.0,3.0,2.0,,,,,,1.0,,,6.0,,,,,,1.0,5.0,13.0,6.0,5.0,3.0,,37.0,56.0,3.0,3.0,,1.0,17.0,,12.0,1.0,,2.0,4.0,,,9.0,2.0,50.0,43.0,1.0,37.0,11.0,,1.0,55.0,11.0,6.0,,,2.0,2.0,,114.0,,,,,,6.0,,,,,,,,,11.0,1.0,16.0,16.0,3.0,,35.0,59.0,25.0,6.0,,1.0,4.0,6.0,207.0,,,7.0,1.0,44.0,44.0,22.0,,,,,,131.0,131.0,5.0,28.0,17.0,24.5,,,,1.0,17.0,0.0,,,,36.0,5.0,1.0,5.0,,,2.0,,3.0,59.0,130.0,11.0,5.0,70.0,21.0,37.0,14.0,2.0,8.0,6.0,,105.0,10.0,160.0,,,35.0,4.0,66.0,3.0,222.0,,1.0,8.0,16.0,1.0,20.0,1.0,415.0,12.0,14.0,5.0,2.0,8.0,0.0
987674,9.0,2018-10-20 15:00:00,97,Cardiff,Home,54.0,14.0,1.0,12.0,11.0,2.0,1.0,158.0,2.0,1.0,,12.0,8.0,26.0,200.0,,,12.0,24.0,26.0,12.0,3.0,1.0,,,,,,,,18.0,,,,,,3.0,4.0,3.0,6.0,13.0,9.0,,51.0,68.0,1.0,,2.0,,16.0,7.0,4.0,,,4.0,10.0,6.0,,9.0,2.0,57.0,61.0,,21.0,8.0,,,69.0,15.0,15.0,2.0,,4.0,2.0,,148.0,3.0,,1.0,3.0,,4.0,,,4.0,,,,,1.0,8.0,,14.0,14.0,1.0,,62.0,75.0,27.0,4.0,1.0,8.0,10.0,5.0,285.0,,,2.0,1.0,56.0,62.0,37.0,,,,,,165.0,165.0,3.0,25.0,34.0,40.5,,,3.0,,16.0,0.0,,,,52.0,1.0,1.0,2.0,1.0,1.0,10.0,1.0,3.0,99.0,185.0,8.0,18.0,70.0,25.0,21.0,16.0,4.0,22.0,18.0,1.0,159.0,10.0,265.0,,1.0,51.0,9.0,78.0,,313.0,,0.0,22.0,12.0,2.0,21.0,3.0,515.0,32.0,16.0,9.0,4.0,9.0,0.0
987687,10.0,2018-10-27 15:00:00,97,Cardiff,Away,54.0,6.0,,,,6.0,,68.0,4.0,1.0,3.0,4.0,2.0,14.0,122.0,,,11.0,18.0,14.0,1.0,,,,,,,,,,2.0,,,,,,,2.0,9.0,10.0,1.0,1.0,,28.0,52.0,,,1.0,4.0,18.0,,9.0,1.0,,,4.0,2.0,,6.0,1.0,42.0,42.0,4.0,41.0,12.0,1.0,,43.0,4.0,6.0,1.0,,2.0,1.0,,112.0,,,,,,8.0,,,1.0,,,,,,12.0,,20.0,20.0,4.0,4.0,29.0,60.0,18.0,8.0,,1.0,,1.0,183.0,,,6.0,1.0,52.0,19.0,21.0,,,,,,132.0,132.0,3.0,25.0,13.0,20.4,,,,,18.0,0.0,,,,38.0,1.0,2.0,2.0,,,1.0,,3.0,36.0,111.0,8.0,1.0,73.0,14.0,41.0,14.0,,7.0,7.0,,74.0,9.0,141.0,,1.0,21.0,2.0,52.0,4.0,207.0,,0.0,2.0,14.0,,21.0,0.0,390.0,2.0,12.0,8.0,,8.0,0.0
