season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltySave,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2017-18,7437076,1,90,Burnley,Away,20752,40616,Stephen Ward,stephen-ward,D,False,,,4.0,19.0,13.0,32.0,,,3.0,,,,,,,,2.0,4.0,,,1.0,,1.0,,,,,,90.0,1.0,2.0,,,,,12.0,,7.5,,,,,3.0,2.0,2.0,,8.0,,26.0,14.0,38.0,1,1.0,59.0,1.0,2.0,1.0,
2017-18,7437076,1,90,Burnley,Away,67507,68983,Matthew Lowton,matthew-lowton,D,False,1.0,,4.0,13.0,16.0,28.0,2.0,1.0,6.0,,,,,,,1.0,3.0,3.0,,,,1.0,,,,,1.0,,90.0,,,,,,,7.0,,6.9,,,,,5.0,,2.0,,6.0,,16.0,17.0,31.0,0,1.0,46.0,1.0,1.0,,1.0
2017-18,7437076,1,90,Burnley,Away,96116,41674,Kevin Long,kevin-long,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437076,1,90,Burnley,Away,137774,51927,Ben Mee,ben-mee,D,False,,,1.0,10.0,15.0,25.0,,2.0,2.0,,,,1.0,,,,2.0,3.0,,,1.0,,,,,2.0,,,90.0,2.0,2.0,,,,,5.0,,7.0,,,,,6.0,,,,3.0,,14.0,16.0,30.0,2,,47.0,,1.0,,
2017-18,7437076,1,90,Burnley,Away,145188,17761,James Tarkowski,james-tarkovsky,D,False,,,3.0,4.0,19.0,23.0,4.0,9.0,2.0,,,,,,,,4.0,10.0,,,1.0,,,,,2.0,,,90.0,,1.0,,,,,8.0,,7.1,,,,,16.0,,,,8.0,,11.0,20.0,31.0,0,1.0,54.0,,1.0,,1.0
2017-18,7437076,1,90,Burnley,Away,166381,103914,Charlie Taylor,charlie-taylor,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437726,2,90,Burnley,Home,20752,40616,Stephen Ward,stephen-ward,D,False,,,2.0,14.0,15.0,29.0,1.0,5.0,1.0,,,,1.0,,,,4.0,9.0,,,2.0,,,,,,1.0,,90.0,,,,,,,18.0,,7.0,,,1.0,,6.0,,3.0,,8.0,,26.0,16.0,39.0,1,4.0,72.0,3.0,1.0,,4.0
2017-18,7437726,2,90,Burnley,Home,67507,68983,Matthew Lowton,matthew-lowton,D,False,1.0,,2.0,19.0,17.0,35.0,,1.0,3.0,,,,1.0,,,,2.0,6.0,,1.0,1.0,,,,,,,,90.0,,,,,,,16.0,,7.0,,,1.0,,3.0,1.0,7.0,,4.0,,29.0,20.0,42.0,1,1.0,67.0,,3.0,1.0,1.0
2017-18,7437726,2,90,Burnley,Home,96116,41674,Kevin Long,kevin-long,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437726,2,90,Burnley,Home,137774,51927,Ben Mee,ben-mee,D,False,,,8.0,15.0,27.0,42.0,6.0,7.0,4.0,,1.0,,,,,,6.0,7.0,,,,,,,,1.0,1.0,,90.0,,1.0,,,,,6.0,,7.3,,,1.0,,14.0,,,,10.0,,18.0,30.0,48.0,1,,67.0,,,,
2017-18,7437726,2,90,Burnley,Home,145188,17761,James Tarkowski,james-tarkovsky,D,False,1.0,,5.0,12.0,31.0,42.0,2.0,3.0,6.0,,,,2.0,,,1.0,7.0,6.0,,,3.0,,,,,3.0,,,90.0,,1.0,,,,,12.0,,6.7,,,,,5.0,,1.0,,13.0,,19.0,35.0,53.0,0,1.0,67.0,,2.0,,1.0
2017-18,7437726,2,90,Burnley,Home,166381,103914,Charlie Taylor,charlie-taylor,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437780,3,90,Burnley,Away,768,17997,Phil Bardsley,phil-bardsley,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437780,3,90,Burnley,Away,20752,40616,Stephen Ward,stephen-ward,D,False,1.0,,3.0,10.0,8.0,17.0,1.0,,5.0,,,,2.0,,,,4.0,4.0,,,1.0,,,,,,1.0,,90.0,,,,,,,11.0,,6.9,,,1.0,,4.0,1.0,4.0,,9.0,,17.0,11.0,24.0,1,2.0,46.0,,1.0,1.0,
2017-18,7437780,3,90,Burnley,Away,67507,68983,Matthew Lowton,matthew-lowton,D,False,,,2.0,12.0,8.0,20.0,,2.0,4.0,,,,,,,,1.0,6.0,,1.0,1.0,,,,,1.0,,,90.0,,1.0,,,,,11.0,,7.2,,,,,6.0,,,,8.0,,17.0,12.0,29.0,0,3.0,51.0,,1.0,,
2017-18,7437780,3,90,Burnley,Away,96116,41674,Kevin Long,kevin-long,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437780,3,90,Burnley,Away,137774,51927,Ben Mee,ben-mee,D,False,,,2.0,3.0,17.0,20.0,3.0,6.0,3.0,,,,,,,,3.0,10.0,,,,,,,,3.0,1.0,,90.0,,8.0,,,,,3.0,,8.2,,,1.0,,8.0,,,,3.0,,5.0,17.0,22.0,1,2.0,47.0,1.0,2.0,,
2017-18,7437780,3,90,Burnley,Away,145188,17761,James Tarkowski,james-tarkovsky,D,False,,,1.0,3.0,12.0,15.0,,9.0,1.0,,,,2.0,,,,3.0,13.0,,,1.0,,,,,,,,90.0,,2.0,,,,,7.0,,7.8,,,3.0,,10.0,,,,5.0,,8.0,12.0,20.0,3,4.0,43.0,,,,
2017-18,7437780,3,90,Burnley,Away,166381,103914,Charlie Taylor,charlie-taylor,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437735,4,90,Burnley,Home,768,17997,Phil Bardsley,phil-bardsley,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437735,4,90,Burnley,Home,20752,40616,Stephen Ward,stephen-ward,D,False,1.0,,1.0,10.0,5.0,14.0,,,4.0,,,,4.0,,,,5.0,4.0,,,1.0,,,,,1.0,2.0,,90.0,,1.0,,,,,16.0,,7.0,,,,,6.0,1.0,4.0,,4.0,,19.0,8.0,23.0,0,3.0,51.0,,,1.0,
