season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2022-23,10385566,31,7,Aston_Villa,Home,250223,122806,John McGinn,john-mcginn,M,False,1.0,,,12.0,7.0,18.0,1.0,1.0,8.0,,,,1.0,,,1.0,7.0,10.0,,,0.194736,0.0958,0.0,1.0,,,,,,,1.0,90.0,,,,,,,,,15.0,,7.1,,,2.0,,,5.0,4.0,,1.0,,22.0,7.0,25.0,2,3.0,48.0,1.0,4.0,2.0,2.0
2022-23,10385566,31,7,Aston_Villa,Home,294593,106468,Álex Moreno,alex-moreno,D,False,,,,8.0,19.0,27.0,1.0,,5.0,,,,,,,,2.0,3.0,,,0.70811,0.0,0.0,,1.0,,,,,,3.0,90.0,,,,,,,,,24.0,,7.3,,,,,1.0,3.0,5.0,,4.0,,20.0,26.0,41.0,0,,72.0,1.0,1.0,2.0,
2022-23,10385566,31,7,Aston_Villa,Home,303638,149484,Tyrone Mings,tyrone-mings,D,False,,,4.0,6.0,22.0,28.0,,1.0,4.0,,,,,,,1.0,1.0,3.0,,,0.00764775,0.0,0.0,,,,,,,,,90.0,,3.0,,,,,,,11.0,,7.5,,,,,6.0,,,,11.0,,13.0,25.0,38.0,0,2.0,56.0,,,,2.0
2022-23,10385566,31,7,Aston_Villa,Home,555386,178301,Ollie Watkins,ollie-watkins,F,False,1.0,,1.0,9.0,3.0,11.0,4.0,1.0,,1.0,1.0,1.0,,,,2.0,7.0,3.0,,,0.226376,0.9523,1.1351,1.0,1.0,2.0,,,1.0,,2.0,89.0,4.0,,,,,,,,6.0,,9.0,,,1.0,,1.0,,1.0,,1.0,1.0,11.0,3.0,13.0,6,,28.0,2.0,2.0,,
2022-23,10385566,31,7,Aston_Villa,Home,604232,165659,Diego Carlos,diego-carlos,D,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385566,31,7,Aston_Villa,Home,783126,195546,Emiliano Buendía,emiliano-buendia,M,False,,,,21.0,13.0,34.0,,,10.0,,1.0,,3.0,,,,7.0,5.0,,,0.19135,0.2808,0.0,4.0,,,,,,,3.0,90.0,,,,,,,,,9.0,,6.7,,,1.0,,,,,,,,27.0,14.0,41.0,1,2.0,53.0,2.0,3.0,,1.0
2022-23,10385566,31,7,Aston_Villa,Home,827679,199798,Ezri Konsa,ezri-konsa,D,False,,,1.0,6.0,27.0,33.0,2.0,1.0,6.0,,,,,,,,2.0,3.0,,,0.0159385,0.0,0.0,,,,,,,,,90.0,,,,,,,,,7.0,,6.9,,,,,3.0,,,,3.0,,9.0,31.0,40.0,0,,46.0,,2.0,,
2022-23,10385566,31,7,Aston_Villa,Home,867887,230046,Douglas Luiz,douglas-luiz,M,False,,,3.0,19.0,23.0,42.0,1.0,1.0,4.0,,,,3.0,,,3.0,8.0,6.0,,,0.0493434,0.0,0.0,,,,,,,3.0,2.0,90.0,,,,,,,,,17.0,,6.7,,,,,,2.0,2.0,,3.0,,24.0,28.0,50.0,0,2.0,70.0,3.0,2.0,1.0,1.0
2022-23,10385566,31,7,Aston_Villa,Home,974577,476344,Jhon Durán,jhon-duran,F,True,,,,,,,,,1.0,,,,,,,,2.0,,,,0.0,0.0,0.0,1.0,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,0,,2.0,,,,
2022-23,10385566,31,7,Aston_Villa,Home,975937,232653,Jacob Ramsey,jacob-ramsey,M,False,,,2.0,12.0,13.0,25.0,2.0,1.0,4.0,2.0,,2.0,2.0,,,2.0,11.0,6.0,,,0.184986,0.5263,0.3189,4.0,1.0,1.0,,,1.0,1.0,4.0,85.0,1.0,,,,,,,,7.0,,8.6,,,1.0,,,4.0,,,2.0,,13.0,13.0,26.0,4,2.0,47.0,2.0,,3.0,
2022-23,10385566,31,7,Aston_Villa,Home,995654,248164,Viljami Sinisalo,viljami-sinisalo,G,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385566,31,7,Aston_Villa,Home,1014459,479641,Sebastian Revan,revan-sebastian,M,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
