season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2019-20,8243393,1,7,Aston_Villa,Away,18122,21205,Tom Heaton,tom-heaton,G,False,,1.0,9.0,9.0,6.0,15.0,,,10.0,,,,,,,,,,,,,,1.0,,,,,90.0,,,,,,,,,16.0,,6.1,2.0,3.0,,1.0,,,1.0,25.0,,25.0,6.0,31.0,0,,40.0,,,,
2019-20,8243393,1,7,Aston_Villa,Away,30243,47390,Neil Taylor,neil-taylor,M,False,,,,10.0,15.0,25.0,,,6.0,,,,,,,,4.0,,,,,,,,1.0,,,90.0,,1.0,,,,,,,5.0,,6.6,,,,1.0,,,,1.0,,11.0,19.0,30.0,0,4.0,47.0,,,,2.0
2019-20,8243393,1,7,Aston_Villa,Away,32787,,Ahmed Elmohamady,ahmed-elmohamady,D,False,,,4.0,13.0,13.0,26.0,,1.0,3.0,,,,,,,,4.0,,1.0,,,,,,1.0,,,90.0,,,,,,,,,7.0,,6.3,,,,5.0,,,,9.0,,16.0,16.0,32.0,0,3.0,48.0,,,,1.0
2019-20,8243393,1,7,Aston_Villa,Away,44326,40564,Henri Lansbury,henri-lansbury,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243393,1,7,Aston_Villa,Away,100574,85242,Conor Hourihane,conor-hourihane,M,False,,,,10.0,12.0,22.0,,,7.0,,,,,,1.0,1.0,5.0,,,,,,,,2.0,1.0,,82.0,,,,,,,,,5.0,,7.3,,,,4.0,1.0,1.0,,1.0,,13.0,13.0,25.0,0,3.0,42.0,,1.0,1.0,1.0
2019-20,8243393,1,7,Aston_Villa,Away,101999,79852,Jed Steer,jed-steer,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243393,1,7,Aston_Villa,Away,123399,,Jonathan Kodjia,jonathan-kodjia,F,True,,,,,3.0,3.0,1.0,,1.0,,,,1.0,,,2.0,,,,,,,,,,,,16.0,,,,,,,,,1.0,,6.4,,,,,,,,,,,4.0,4.0,0,,6.0,,,,
2019-20,8243393,1,7,Aston_Villa,Away,146518,89274,Jota Peleteiro,jota-peleteiro,M,True,,,,4.0,1.0,5.0,,1.0,2.0,,,,,,1.0,2.0,2.0,,,1.0,,,,,,,,31.0,,,,,,,,,2.0,,6.2,,,,1.0,,,,,,4.0,2.0,6.0,0,1.0,9.0,,,,
2019-20,8243393,1,7,Aston_Villa,Away,189061,114283,Jack Grealish,jack-grealish,M,False,,,2.0,11.0,19.0,30.0,,,7.0,,,,2.0,,1.0,4.0,10.0,,,1.0,,,,,,2.0,,90.0,,2.0,,,,,,,5.0,,7.3,,,,,1.0,,,2.0,,12.0,20.0,32.0,0,4.0,52.0,2.0,5.0,1.0,4.0
2019-20,8243393,1,7,Aston_Villa,Away,192266,108156,Björn Engels,bjorn-engels,D,False,,,1.0,3.0,12.0,15.0,2.0,3.0,3.0,,,,,,,2.0,6.0,,,,,,,,1.0,,,90.0,,2.0,,,,,,,2.0,,6.8,,,,6.0,1.0,,,3.0,,5.0,12.0,17.0,0,2.0,31.0,,,1.0,
2019-20,8243393,1,7,Aston_Villa,Away,250223,122806,John McGinn,john-mcginn,M,False,,,1.0,4.0,2.0,6.0,,1.0,2.0,,,,2.0,,4.0,8.0,11.0,,,2.0,,1.0,,,1.0,1.0,,90.0,1.0,,,,,,,,13.0,,7.5,,,1.0,,,,,1.0,,7.0,3.0,10.0,2,8.0,34.0,4.0,2.0,,4.0
2019-20,8243393,1,7,Aston_Villa,Away,295361,148508,Mahmoud Trézéguet,mahmoud-trezeguet,M,False,1.0,,,6.0,3.0,8.0,1.0,2.0,1.0,,,1.0,2.0,,,6.0,8.0,,,1.0,,,,,,1.0,,59.0,1.0,,,,,,,,7.0,,6.9,,,,2.0,3.0,4.0,,,,10.0,3.0,9.0,2,3.0,30.0,1.0,2.0,1.0,1.0
2019-20,8243393,1,7,Aston_Villa,Away,303638,149484,Tyrone Mings,tyrone-mings,D,False,,,3.0,2.0,19.0,21.0,1.0,1.0,2.0,1.0,,,,1.0,,1.0,1.0,,,,1.0,,,,2.0,1.0,,90.0,,5.0,,,,,,,5.0,,8.2,,,,17.0,,,,6.0,,6.0,20.0,26.0,0,,53.0,,,,
2019-20,8243393,1,7,Aston_Villa,Away,362470,193488,Anwar El Ghazi,anwar-el-ghazi,F,False,1.0,,,8.0,4.0,11.0,2.0,2.0,3.0,,,,3.0,,3.0,12.0,3.0,,,3.0,,,,,1.0,,,90.0,1.0,,,,,,,,18.0,,5.6,,,1.0,,1.0,3.0,,,,15.0,7.0,19.0,2,,38.0,3.0,1.0,,
2019-20,8243393,1,7,Aston_Villa,Away,368134,169359,Matt Targett,matt-targett,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243393,1,7,Aston_Villa,Away,798314,213345,Wesley Moraes,wesley-moraes,F,False,,,1.0,5.0,3.0,8.0,3.0,1.0,1.0,,,,,,3.0,7.0,3.0,,,1.0,,,,,,,,74.0,1.0,,,,,,,,8.0,,6.6,,,,1.0,,,,1.0,,7.0,3.0,10.0,1,1.0,21.0,3.0,1.0,,
2019-20,8243393,1,7,Aston_Villa,Away,827679,199798,Ezri Konsa,ezri-konsa,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243393,1,7,Aston_Villa,Away,867887,230046,Douglas Luiz,douglas-luiz,M,True,,,,,5.0,5.0,,,1.0,,,,1.0,,,2.0,1.0,,,,,,,,,1.0,,8.0,,1.0,,,,,,,1.0,,6.2,,,,1.0,1.0,,,,,,5.0,5.0,0,,10.0,,1.0,,
2019-20,8243412,2,7,Aston_Villa,Home,18122,21205,Tom Heaton,tom-heaton,G,False,,,4.0,2.0,10.0,12.0,,1.0,3.0,,,,,,,1.0,1.0,,,1.0,,,,,,,,90.0,,,,1.0,1.0,,,,8.0,,5.6,2.0,2.0,,,,,,10.0,,7.0,12.0,19.0,0,,25.0,,,,
2019-20,8243412,2,7,Aston_Villa,Home,30243,47390,Neil Taylor,neil-taylor,M,False,1.0,,1.0,23.0,22.0,44.0,2.0,,8.0,,,1.0,,,1.0,4.0,1.0,,,1.0,,,,,,1.0,,90.0,,,,,,,,,10.0,,6.6,,,1.0,3.0,,1.0,,4.0,,29.0,25.0,53.0,2,1.0,75.0,,,,1.0
2019-20,8243412,2,7,Aston_Villa,Home,32787,,Ahmed Elmohamady,ahmed-elmohamady,D,False,4.0,,3.0,40.0,30.0,66.0,1.0,2.0,16.0,1.0,,,,,,2.0,5.0,,,1.0,,,,,3.0,5.0,,90.0,,1.0,,,,,,,15.0,,7.9,,,,1.0,1.0,11.0,,5.0,,51.0,32.0,72.0,0,1.0,106.0,1.0,1.0,1.0,1.0
2019-20,8243412,2,7,Aston_Villa,Home,44326,40564,Henri Lansbury,henri-lansbury,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243412,2,7,Aston_Villa,Home,100574,85242,Conor Hourihane,conor-hourihane,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243412,2,7,Aston_Villa,Home,101999,79852,Jed Steer,jed-steer,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243412,2,7,Aston_Villa,Home,146518,89274,Jota Peleteiro,jota-peleteiro,M,True,,,,8.0,,8.0,,,,,,,,,,,,,,,,,,,,1.0,,15.0,1.0,,,,,,,,4.0,,6.8,,,,,,,,1.0,,11.0,,11.0,1,,13.0,1.0,,,
