season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2020-21,9258869,1,7,Aston_Villa,Away,18122,21205.0,Tom Heaton,tom-heaton,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,9258869,1,7,Aston_Villa,Away,30243,47390.0,Neil Taylor,neil-taylor,M,True,,,,5.0,4.0,9.0,,,2.0,,,,,,,,1.0,1.0,,,1.0,,,,,,,,15.0,,,,,,,,,1.0,,6.2,,,,,,,,,,5.0,4.0,9.0,0,1.0,13.0,,,,1.0
2020-21,9258869,1,7,Aston_Villa,Away,32787,,Ahmed Elmohamady,ahmed-elmohamady,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,9258869,1,7,Aston_Villa,Away,98435,88894.0,Ross Barkley,ross-barkley,M,False,,,1.0,9.0,1.0,10.0,,2.0,3.0,,,2.0,,,,2.0,5.0,2.0,,,,,,,,,,,68.0,1.0,,,,,,,,11.0,,6.2,,,,,3.0,,,1.0,,12.0,3.0,15.0,3,,24.0,,,,
2020-21,9258869,1,7,Aston_Villa,Away,158263,98980.0,Emiliano Martínez,emiliano-martinez,G,False,,,9.0,5.0,13.0,18.0,,,13.0,,,,,,,,,1.0,,,,,,2.0,,,1.0,,90.0,,,,,1.0,,,,25.0,,7.6,5.0,7.0,,,,,,33.0,,21.0,21.0,42.0,0,,56.0,,1.0,,
2020-21,9258869,1,7,Aston_Villa,Away,189061,114283.0,Jack Grealish,jack-grealish,M,False,,,1.0,23.0,9.0,32.0,2.0,,6.0,,,,,,,,5.0,8.0,,,3.0,,,,,2.0,3.0,,90.0,,,,,,,,,10.0,,7.4,,,,,4.0,2.0,,3.0,1.0,29.0,11.0,38.0,0,1.0,55.0,2.0,3.0,4.0,
2020-21,9258869,1,7,Aston_Villa,Away,192266,108156.0,Björn Engels,bjorn-engels,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,9258869,1,7,Aston_Villa,Away,218160,110504.0,Bertrand Traoré,bertrand-traore,F,False,,,,1.0,3.0,4.0,4.0,1.0,4.0,,,,1.0,,,3.0,8.0,4.0,,,,,,,,2.0,,,68.0,1.0,,,,,,,,10.0,,6.8,,,2.0,1.0,2.0,3.0,,,,5.0,5.0,7.0,3,1.0,23.0,1.0,,2.0,
2020-21,9258869,1,7,Aston_Villa,Away,250223,122806.0,John McGinn,john-mcginn,M,False,,,2.0,7.0,11.0,18.0,2.0,,3.0,,,,2.0,,,1.0,5.0,3.0,,,,,,,,1.0,,,90.0,,,,,,,,,8.0,,6.3,,,1.0,,,,,4.0,,12.0,11.0,23.0,1,1.0,33.0,2.0,2.0,,1.0
2020-21,9258869,1,7,Aston_Villa,Away,303638,149484.0,Tyrone Mings,tyrone-mings,D,False,,,5.0,5.0,15.0,20.0,2.0,1.0,3.0,,,,,,,1.0,3.0,1.0,,,,,,,,2.0,,,90.0,,5.0,,,,,,,6.0,,7.2,,,,7.0,,,,9.0,,7.0,18.0,25.0,0,,42.0,,,,
2020-21,9258869,1,7,Aston_Villa,Away,362470,193488.0,Anwar El Ghazi,anwar-el-ghazi,F,True,,,,6.0,,6.0,2.0,2.0,,,,,,,,,2.0,2.0,,,,,,,,1.0,,,22.0,,,,,,,,,1.0,,6.4,,,,2.0,,,,,,7.0,,7.0,0,,10.0,,,,
2020-21,9258869,1,7,Aston_Villa,Away,368134,169359.0,Matt Targett,matt-targett,D,False,,,1.0,6.0,14.0,20.0,3.0,,4.0,,,,1.0,,,,5.0,5.0,,,1.0,,,,,4.0,,,75.0,,,,,,,,,10.0,,7.3,,,,4.0,,,,4.0,,13.0,16.0,29.0,0,5.0,49.0,,,,3.0
2020-21,9258869,1,7,Aston_Villa,Away,372430,203368.0,Frédéric Guilbert,frederic-guilbert,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,9258869,1,7,Aston_Villa,Away,555386,178301.0,Ollie Watkins,ollie-watkins,F,False,,,,7.0,3.0,10.0,3.0,5.0,1.0,,,,1.0,,,3.0,7.0,9.0,,,,,,,,,1.0,,90.0,,,,,,,,,12.0,,6.9,,,1.0,2.0,2.0,,,,,15.0,3.0,18.0,1,1.0,31.0,1.0,1.0,2.0,
2020-21,9258869,1,7,Aston_Villa,Away,556904,184704.0,Marvelous Nakamba,marvelous-nakamba,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,9258869,1,7,Aston_Villa,Away,827679,199798.0,Ezri Konsa,ezri-konsa,D,False,,,2.0,4.0,22.0,26.0,1.0,,3.0,,,,1.0,,,,3.0,,,,1.0,,,,,,,,90.0,,2.0,,,,,,,1.0,,6.6,,,,6.0,,,,2.0,,4.0,22.0,26.0,0,,36.0,1.0,,,
2020-21,9258869,1,7,Aston_Villa,Away,830858,221239.0,Keinan Davis,keinan-davis,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,9258869,1,7,Aston_Villa,Away,833956,199796.0,Matty Cash,matty-cash,D,False,1.0,,2.0,4.0,6.0,9.0,1.0,,2.0,,,,5.0,,,,7.0,2.0,,,2.0,,,,,2.0,1.0,,90.0,,2.0,,1.0,,,,,9.0,,6.0,,,,5.0,,1.0,,6.0,,11.0,8.0,18.0,0,2.0,40.0,,,,
2020-21,9258869,1,7,Aston_Villa,Away,867887,230046.0,Douglas Luiz,douglas-luiz,M,False,,,1.0,6.0,14.0,20.0,1.0,,4.0,,,1.0,1.0,,,1.0,4.0,7.0,,,1.0,,,,,1.0,,,90.0,2.0,1.0,,,,,,,3.0,,7.1,,,,1.0,2.0,1.0,,2.0,,8.0,14.0,21.0,3,2.0,38.0,,3.0,2.0,1.0
2020-21,9258869,1,7,Aston_Villa,Away,975937,232653.0,Jacob Ramsey,jacob-ramsey,M,True,,,,3.0,2.0,5.0,,,2.0,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,2.0,,6.3,,,,1.0,,,,,,5.0,2.0,7.0,0,,8.0,,,,
2020-21,8896950,2,7,Aston_Villa,Home,30243,47390.0,Neil Taylor,neil-taylor,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8896950,2,7,Aston_Villa,Home,32787,,Ahmed Elmohamady,ahmed-elmohamady,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8896950,2,7,Aston_Villa,Home,100574,85242.0,Conor Hourihane,conor-hourihane,M,False,2.0,,2.0,43.0,8.0,49.0,,1.0,1.0,,,,1.0,,,,2.0,1.0,,,1.0,,,,,,2.0,,62.0,,,,,,,,,14.0,,7.1,,,1.0,1.0,,12.0,,3.0,,57.0,8.0,53.0,1,,69.0,,,,
2020-21,8896950,2,7,Aston_Villa,Home,101999,79852.0,Jed Steer,jed-steer,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8896950,2,7,Aston_Villa,Home,158263,98980.0,Emiliano Martínez,emiliano-martinez,G,False,,,1.0,1.0,23.0,24.0,,1.0,10.0,,,,,,,,,1.0,,,,,,1.0,,,,,90.0,,,,,1.0,,1.0,,4.0,,7.8,1.0,1.0,,,,,,5.0,,3.0,25.0,28.0,0,,38.0,,,,
2020-21,8896950,2,7,Aston_Villa,Home,189061,114283.0,Jack Grealish,jack-grealish,M,False,,,3.0,50.0,3.0,53.0,,1.0,3.0,,,1.0,,,,3.0,6.0,6.0,,,2.0,,,,,,3.0,,90.0,,,,,,,,,14.0,,7.3,,,2.0,,3.0,4.0,,5.0,,58.0,4.0,58.0,3,,79.0,1.0,3.0,2.0,
2020-21,8896950,2,7,Aston_Villa,Home,250223,122806.0,John McGinn,john-mcginn,M,False,,,3.0,26.0,9.0,35.0,4.0,,6.0,,,,2.0,,,,8.0,2.0,,,1.0,,,,,1.0,3.0,,90.0,,,,,,,,,13.0,,6.8,,,2.0,,1.0,1.0,,5.0,,36.0,9.0,44.0,2,,56.0,2.0,2.0,,
2020-21,8896950,2,7,Aston_Villa,Home,255189,123354.0,Kortney Hause,kortney-hause,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
