season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballCarriesCount,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,metersCoveredHighSpeedRunningKm,metersCoveredJoggingKm,metersCoveredRunningKm,metersCoveredSprintingKm,metersCoveredWalkingKm,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltySave,possessionLostCtrl,progressiveBallCarriesCount,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalBallCarriesDistance,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalProgression,totalProgressiveBallCarriesDistance,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2025-26,14025016,1,7,Aston_Villa,Home,96538,101188.0,Lucas Digne,lucas-digne,D,False,1.0,,1.0,10.0,8.0,18.0,3.0,1.0,,3.0,,,,1.0,,,,6.0,3.0,,,0.0102898,,,2.0,0.0,,,,,2.0,,,0.68,4.52,1.58,0.22,3.59,90.0,,,,,,,17.0,,,6.7,,,,,3.0,,2.0,,6.0,,14.0,13.0,27.0,,,0,2.0,49.0,1.0,,,1.0
2025-26,14025016,1,7,Aston_Villa,Home,100390,72147.0,Marco Bizot,marco-bizot,G,False,,3.0,5.0,4.0,16.0,20.0,,,,12.0,,,,,,,,,,,,0.00046773,,,,0.0,,0.6442,3.0,,,,,0.0,1.29,0.08,0.0,4.07,90.0,,,,,,,21.0,,1.0,6.9,1.0,3.0,,,1.0,,,3.0,26.0,,21.0,20.0,41.0,,,0,,52.0,,,,
2025-26,14025016,1,7,Aston_Villa,Home,250223,122806.0,John McGinn,john-mcginn,M,False,2.0,,,7.0,6.0,13.0,1.0,,,7.0,1.0,,,,,,1.0,6.0,1.0,,,0.0912292,,,2.0,0.0,,,,,,1.0,,0.46,3.95,1.32,0.15,2.65,84.0,,,,,,,13.0,,,6.5,,,,,,3.0,3.0,,,,9.0,10.0,19.0,,,0,,34.0,3.0,,1.0,
2025-26,14025016,1,7,Aston_Villa,Home,303638,149484.0,Tyrone Mings,tyrone-mings,D,False,,,2.0,10.0,25.0,35.0,1.0,1.0,,2.0,,,,,,,,1.0,1.0,,,0.00357327,,,,0.0,,,,,1.0,,,0.44,4.43,1.55,0.17,3.13,90.0,,1.0,,,,,7.0,,,7.0,,,,,3.0,,,,5.0,,13.0,28.0,41.0,,,0,,49.0,,1.0,,
2025-26,14025016,1,7,Aston_Villa,Home,331737,166989.0,Youri Tielemans,youri-tielemans,M,False,,,,9.0,5.0,14.0,2.0,1.0,,2.0,,,,,,,,5.0,3.0,,,0.00629877,,,4.0,0.0,,,,,1.0,,,0.77,5.39,1.84,0.21,2.79,90.0,,,,,,,9.0,,,6.6,,,,,2.0,,1.0,,1.0,,12.0,7.0,19.0,,,0,2.0,31.0,2.0,,,1.0
2025-26,14025016,1,7,Aston_Villa,Home,555386,178301.0,Ollie Watkins,ollie-watkins,F,False,,,1.0,6.0,3.0,9.0,6.0,1.0,,3.0,,,,,,,1.0,7.0,6.0,,,0.013313,0.1207,0.0973,1.0,0.0,,,,,1.0,1.0,,0.54,4.92,1.49,0.29,3.17,90.0,1.0,,,,,,10.0,,,6.7,,,,,1.0,3.0,1.0,,1.0,2.0,11.0,4.0,15.0,,,1,,30.0,2.0,2.0,3.0,
2025-26,14025016,1,7,Aston_Villa,Home,783126,195546.0,Emiliano Buendía,emiliano-buendia,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025016,1,7,Aston_Villa,Home,803039,204646.0,Donyell Malen,donyell-malen,F,True,,,,,,,,,,,,,,,,,,1.0,,,,,0.0302,0.0762,,0.0,,,,,,,,0.12,0.73,0.35,0.05,0.39,13.0,1.0,,,,,,1.0,,,6.6,,,,,,1.0,,,,,,,,,,1,,2.0,,,,
2025-26,14025016,1,7,Aston_Villa,Home,826204,226944.0,Boubacar Kamara,boubacar-kamara,M,False,,,2.0,21.0,11.0,32.0,1.0,4.0,,6.0,,1.0,,,,,,3.0,10.0,,,0.0319904,0.0528,0.0306,1.0,0.0,,,,,1.0,,,0.65,4.72,1.87,0.13,2.84,90.0,1.0,,,,,,10.0,,,7.7,,,,,2.0,2.0,,,3.0,,26.0,13.0,39.0,,,1,2.0,53.0,2.0,3.0,1.0,1.0
2025-26,14025016,1,7,Aston_Villa,Home,827679,199798.0,Ezri Konsa,ezri-konsa,D,False,,,1.0,14.0,16.0,30.0,,1.0,,1.0,,,,,,,,2.0,2.0,,,0.0081678,,,1.0,0.0,,,,,,,,0.25,3.37,0.95,0.11,2.09,66.0,,,,,,,4.0,,,6.5,,,,,3.0,1.0,,,2.0,,16.0,17.0,33.0,,,0,,39.0,,1.0,,
