season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltySave,penaltyWon,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest
2015-16,6767928,1,7,Aston_Villa,Away,764,15073,Kieran Richardson,kieran-richardson,M,True,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,6.5,,,,,,,,,,,2.0,2.0,4.0,0,,5.0,,,
2015-16,6767928,1,7,Aston_Villa,Away,1208,2060,Joe Cole,joe-cole,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2015-16,6767928,1,7,Aston_Villa,Away,9329,15405,Alan Hutton,alan-hutton,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2015-16,6767928,1,7,Aston_Villa,Away,9680,20492,Micah Richards,micah-richards,D,False,,,,5.0,16.0,21.0,1.0,2.0,5.0,,,,,,,,2.0,8.0,,1.0,,,,,,7.0,1.0,,90.0,,1.0,,,,,,7.7,,,,,9.0,2.0,,,2.0,,8.0,17.0,25.0,0,3.0,50.0,,2.0,1.0
2015-16,6767928,1,7,Aston_Villa,Away,13167,27450,Gabriel Agbonlahor,gabriel-agbonlahor,F,False,,,1.0,8.0,4.0,12.0,5.0,2.0,4.0,,,1.0,,,,,7.0,4.0,,,,,,,,1.0,1.0,,90.0,1.0,,,,,,,6.8,,,,,,3.0,2.0,,1.0,,12.0,4.0,14.0,2,,25.0,1.0,1.0,1.0
2015-16,6767928,1,7,Aston_Villa,Away,14889,41705,Brad Guzan,brad-guzan,G,False,,,9.0,7.0,7.0,14.0,,,8.0,,,,,,,,,,,,,,,4.0,,,,,90.0,,,,,,,1.0,7.3,2.0,2.0,,,1.0,,,,21.0,,16.0,12.0,28.0,0,,42.0,,,
2015-16,6767928,1,7,Aston_Villa,Away,20296,10954,Mark Bunn,mark-bunn,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2015-16,6767928,1,7,Aston_Villa,Away,24055,19688,Scott Sinclair,scott-sinclair,M,False,,,,15.0,6.0,21.0,1.0,,5.0,,,,,,,2.0,5.0,5.0,,,,,,,,,,,78.0,,,,,,,,6.6,,,,,,3.0,3.0,,,,21.0,8.0,26.0,0,2.0,42.0,1.0,2.0,1.0
2015-16,6767928,1,7,Aston_Villa,Away,26995,42824,Carlos Sánchez,carlos-sanchez,D,True,,,1.0,3.0,4.0,7.0,1.0,1.0,3.0,,,,,,,,2.0,1.0,,,1.0,,,,,,,,19.0,,,,,,,,6.5,,,,,2.0,,,,2.0,,4.0,5.0,9.0,0,,11.0,,,
2015-16,6767928,1,7,Aston_Villa,Away,31812,49207,Rudy Gestede,rudy-gestede,F,True,,,1.0,5.0,3.0,8.0,2.0,6.0,2.0,,,,,,,,2.0,7.0,,,1.0,,1.0,,,,,,31.0,1.0,,,,,,,7.4,,,1.0,,1.0,,,,1.0,,12.0,4.0,16.0,2,,21.0,1.0,1.0,
