playerId,playerName,position,team_name,team_id,nationality,season,straightRedCards,totalRedCards,yellowCards,duelsLost,successfulCrossesOpenPlay,expectedAssists,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,offsides,goalKicks,oboxBlocked,substituteOn,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,oboxTarget,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,gkSuccessfulDistribution,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,goals,awayGoals,successfulCornersIntoBox,rightFootGoals,leftFootGoals,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,secondGoalAssists,expectedGoalsFreekick,overruns,successfulLayoffs,foulWonPenalty,cornersTakenInclShortCorners,unsuccessfulLayoffs,homeGoals,penaltiesTaken,headedGoals,successfulDribbles,penaltyGoals,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,penaltiesConceded,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,redCards2ndYellow,lastPlayerTackle,hitWoodwork,otherGoals,clearancesOffTheLine,setPiecesGoals,ownGoalScored,penaltiesSaved,savesFromPenalty
553747,Alexei Rojas,Goalkeeper,Arsenal,3,Colombia,2024-25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154561,David Raya,Goalkeeper,Arsenal,3,Spain,2024-25,0.0,0.0,3.0,3.0,,0.0747,,,,,,,14.0,38.0,,38.0,362.0,,1232.0,,147.0,,,14.0,13.0,,,,3420.0,,,24.0,4.0,,10.0,699.0,,,3.0,36.0631,1.0,68.0,29.0,34.0,,3.0,286.0,10.0,0.0,27.0,,735.0,321.0,38.0,,,,153.0,30.0,,,,13.0,14.0,251.0,937.0,,,374.0,,,211.0,1.0,2.0,171.0,,1599.0,,,,198.0,717.0,1.0,,,348.0,47.0,,,,,,,,,,,,,,,,,,,1.0,,51.0,20.0,8.0,3.0,1.0,8.0,86.0,2.0,2.0,1.0,74.0,25.0,66.0,,,,,,,,,
616059,Jack Porter,Goalkeeper,Arsenal,3,England,2024-25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69752,Neto,Goalkeeper,Arsenal,3,Brazil,2024-25,0.0,0.0,0.0,,,0.0032,,,,,,,,2.0,,2.0,21.0,,54.0,,15.0,,,,,,,,180.0,,,2.0,,,2.0,22.0,,,,4.4993,,4.0,3.0,2.0,,,9.0,2.0,0.0,2.0,,34.0,15.0,2.0,,,,9.0,2.0,,,,2.0,,19.0,34.0,,,22.0,,,11.0,,,11.0,,80.0,,,,11.0,24.0,,,,21.0,7.0,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,,2.0,11.0,,1.0,,3.0,4.0,8.0,,,,,,,,,
551221,Tommy Setford,Goalkeeper,Arsenal,3,England,2024-25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
568791,Callan McKenna,Goalkeeper,Bournemouth,91,Scotland,2024-25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109745,Kepa Arrizabalaga,Goalkeeper,Bournemouth,91,Spain,2024-25,0.0,0.0,3.0,5.0,,0.0463,,,,1.0,1.0,,6.0,31.0,,31.0,267.0,,901.0,,192.0,,,9.0,8.0,,,,2790.0,,1.0,15.0,2.0,4.0,7.0,459.0,1.0,,4.0,41.1435,1.0,79.0,36.0,39.0,,4.0,157.0,6.0,0.0,20.0,2.0,481.0,250.0,31.0,,1.0,,106.0,37.0,,,,11.0,8.0,253.0,584.0,1.0,1.0,275.0,,,263.0,2.0,,175.0,,1197.0,,,,158.0,528.0,2.0,,0.061,261.0,51.0,,,,,,,,,,,,,,,,,,,1.0,,18.0,33.0,7.0,4.0,2.0,21.0,97.0,2.0,4.0,,61.0,22.0,62.0,,1.0,,,,,,,
444172,Will Dennis,Goalkeeper,Bournemouth,91,England,2024-25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507433,Hákon Valdimarsson,Goalkeeper,Brentford,94,Iceland,2024-25,0.0,0.0,0.0,,,0.0045,,,,,,,,2.0,,1.0,24.0,,63.0,,16.0,,1.0,1.0,,,,,144.0,,,1.0,,,,21.0,,,,0.5762,,9.0,3.0,2.0,,,9.0,,0.0,1.0,,41.0,14.0,2.0,,,,12.0,2.0,,,,,1.0,13.0,41.0,,,24.0,,,13.0,,,18.0,,78.0,,,,12.0,27.0,,,,24.0,1.0,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,1.0,3.0,,,1.0,10.0,,,,,,,,,,,
535017,Julian Eyestone,Goalkeeper,Brentford,94,United States,2024-25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
