playerId,playerName,position,team_name,team_id,nationality,season,straightRedCards,totalRedCards,yellowCards,duelsLost,penaltiesSaved,catches,totalTackles,savesMadeFromOutsideBox,throughBalls,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,duelsWon,goalsConcededOutsideBox,penaltiesConceded,groundDuelsWon,successfulShortPasses,savesFromPenalty,punches,penaltyGoalsConceded,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,lastPlayerTackle,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,tacklesWon,successfulDribbles,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,totalFoulsConceded,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,totalShots,goalAssists,successfulLayoffs,unsuccessfulCrossesOpenPlay,goals,awayGoals,substituteOn,cornersTakenInclShortCorners,successfulCrossesAndCorners,aerialDuelsLost,totalTouchesInOppositionBox,throwInsToOppositionPlayer,keyPassesAttemptAssists,homeGoals,tacklesLost,unsuccessfulDribbles,headedGoals,unsuccessfulCrossesAndCorners,timesTackled,shotsOffTargetIncWoodwork,cornersWon,interceptions,backwardPasses,throwInsToOwnPlayer,substituteOff,secondGoalAssists,overruns,offsides,unsuccessfulLayoffs,leftFootGoals,blocks,clearancesOffTheLine,ownGoalScored,rightFootGoals,attemptsFromSetPieces,hitWoodwork,handballsConceded,successfulCornersIntoBox,redCards2ndYellow,unsuccessfulCornersIntoBox,setPiecesGoals,penaltiesTaken,penaltyGoals,foulWonPenalty,otherGoals,putthroughBlockedDistribution
14422,Manuel Almunia,Goalkeeper,Arsenal,3,Spain,2011-12,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59936,Wojciech Szczesny,Goalkeeper,Barcelona,178,Poland,2011-12,0.0,0.0,2.0,4.0,1.0,50.0,1.0,32.0,1.0,16.0,38.0,38.0,387.0,1021.0,289.0,25.0,4.0,13.0,4.0,3420.0,12.0,9.0,2.0,8.0,415.0,1.0,27.0,3.0,82.0,49.0,49.0,4.0,132.0,84.0,3.0,0.0,16.0,1.0,752.0,378.0,38.0,2.0,4.0,1.0,129.0,40.0,12.0,4.0,428.0,647.0,393.0,1.0,3.0,145.0,28.0,137.0,3.0,219.0,1505.0,208.0,505.0,52.0,371.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37096,Lukasz Fabianski,Goalkeeper,West Ham United U21,12944,Poland,2011-12,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41705,Brad Guzan,Goalkeeper,Middlesbrough,25,United States,2011-12,0.0,0.0,0.0,,,5.0,,8.0,,2.0,7.0,6.0,107.0,171.0,59.0,4.0,,1.0,2.0,592.0,,,,,22.0,,4.0,2.0,14.0,5.0,8.0,,4.0,20.0,,0.0,,,157.0,47.0,7.0,,1.0,,36.0,8.0,,,46.0,85.0,110.0,,,33.0,3.0,10.0,,42.0,225.0,61.0,28.0,12.0,105.0,10.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1822,Shay Given,Goalkeeper,Stoke City,110,Ireland,2011-12,0.0,0.0,1.0,2.0,,32.0,,35.0,,7.0,32.0,32.0,442.0,864.0,323.0,22.0,4.0,8.0,5.0,2828.0,6.0,3.0,,3.0,103.0,,11.0,4.0,125.0,16.0,45.0,1.0,37.0,98.0,3.0,0.0,8.0,,785.0,269.0,32.0,4.0,1.0,,270.0,42.0,4.0,3.0,231.0,341.0,448.0,,,164.0,25.0,42.0,,319.0,1100.0,193.0,152.0,62.0,435.0,28.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
1218,Andy Marshall,Goalkeeper,Aston Villa,7,England,2011-12,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116221,Sebastian Usai,Goalkeeper,Southport,297,Australia,2011-12,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1801,Paul Robinson,Goalkeeper,Burnley,90,England,2011-12,0.0,0.0,0.0,1.0,1.0,38.0,,44.0,,14.0,34.0,34.0,846.0,1163.0,374.0,19.0,1.0,3.0,3.0,3060.0,6.0,16.0,,5.0,43.0,1.0,8.0,2.0,132.0,17.0,71.0,1.0,14.0,96.0,5.0,0.0,7.0,,1128.0,285.0,34.0,4.0,2.0,,262.0,55.0,6.0,1.0,164.0,418.0,859.0,,,268.0,40.0,21.0,,274.0,1387.0,436.0,55.0,51.0,832.0,37.0,,,,,,,1.0,,,,,,,1.0,,4.0,,,,,1.0,,,7.0,,,,,,,,6.0,,,,,,,,,,,,,,,1.0,,
10954,Mark Bunn,Goalkeeper,Aston Villa,7,England,2011-12,0.0,0.0,0.0,,,8.0,,2.0,,3.0,3.0,3.0,85.0,121.0,52.0,2.0,,,,270.0,1.0,,,1.0,2.0,,2.0,,11.0,7.0,5.0,,1.0,9.0,1.0,0.0,1.0,,120.0,27.0,3.0,2.0,,,32.0,5.0,1.0,,20.0,36.0,85.0,,,32.0,7.0,,,34.0,149.0,33.0,4.0,7.0,82.0,7.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
88658,Jake Kean,Goalkeeper,Burton Albion,587,England,2011-12,0.0,0.0,0.0,,,1.0,,2.0,,1.0,1.0,1.0,15.0,32.0,19.0,1.0,,,,90.0,1.0,1.0,,1.0,9.0,,,,1.0,2.0,2.0,,4.0,3.0,,0.0,1.0,1.0,25.0,3.0,1.0,,,,5.0,1.0,1.0,,10.0,9.0,15.0,,,10.0,1.0,3.0,,8.0,40.0,5.0,12.0,,14.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
