playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,oboxBlocked,substituteOn,cornersTakenInclShortCorners,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,successfulCornersIntoBox,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,oboxTarget,rightFootGoals,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,clearancesOffTheLine,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,hitWoodwork,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,expectedGoalsFreekick,setPiecesGoals,foulWonPenalty,leftFootGoals,headedGoals,freekickTotal,attemptsFromSetPieces,ownGoalScored,penaltiesConceded,throwInsToOppositionPlayer,gkSuccessfulDistribution,punches,catches,savesMade,goalkeeperSmother,savesMadeFromOutsideBox,crossesNotClaimed,savesMadeCaught,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,redCards2ndYellow,penaltiesTaken,penaltyGoals,penaltiesFaced,drops,penaltiesSaved,savesFromPenalty,overruns,awayGoals,totalTouchesInOppositionBox,penaltyGoalsConceded,winningGoal,homeGoals,timesTackled,secondGoalAssists,otherGoals,lastPlayerTackle,goalKicks
198508,Josh Vickers,Goalkeeper,Swansea,80,England,2015-16,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61760,Kristoffer Nordfeldt,Goalkeeper,Swansea,80,Sweden,2015-16,,,0.0004,0.0,,,,,,,,1.0,,,1.0,7.0,,25.0,,,,,,,,,,,90.0,,,,,,,,6.0,,2.379,,3.0,1.0,1.0,,,5.0,,,,15.0,4.0,1.0,,,,,6.0,1.0,,,,,0.0,11.0,,,7.0,,,,5.0,,,,,12.0,,34.0,,,,,3.0,12.0,,,,0.0,7.0,2.0,,,,,,,,,,,12.0,,,4.0,,,,,4.0,,4.0,,,,,,,,,,,,,,,,,,
37096,Lukasz Fabianski,Goalkeeper,Swansea,80,Poland,2015-16,2.0,,0.0637,0.0,,,,,1.0,,2.0,37.0,1.0,,37.0,420.0,,1000.0,,,,,,16.0,9.0,,,,3330.0,,,,21.0,4.0,1.0,5.0,309.0,,48.3149,1.0,112.0,40.0,51.0,,2.0,137.0,9.0,23.0,1.0,729.0,377.0,37.0,,,,,161.0,47.0,,,7.0,16.0,0.0,507.0,1.0,1.0,438.0,,,,134.0,1.0,1.0,,,271.0,,1475.0,,,,,208.0,419.0,1.0,,0.0469,1.0,418.0,89.0,,,,,,,,,,,352.0,34.0,81.0,115.0,8.0,54.0,2.0,15.0,152.0,23.0,61.0,,,,2.0,4.0,,,,,,,,,,,,,
41705,Brad Guzan,Goalkeeper,A Villa,7,United States,2015-16,,,0.07,0.0,,,,3.0,,,6.0,28.0,,,28.0,346.0,,721.0,,,,,,4.0,2.0,,,,2431.0,,,,8.0,5.0,,4.0,111.0,,43.2122,1.0,137.0,26.0,58.0,,,52.0,1.0,8.0,,617.0,259.0,28.0,,,2.0,,210.0,53.0,,,4.0,4.0,0.0,345.0,,,351.0,1.0,,,52.0,,4.0,,,264.0,,1031.0,,,,,195.0,165.0,,,,2.0,340.0,50.0,,,,,,,,,,,231.0,19.0,54.0,89.0,7.0,35.0,4.0,12.0,111.0,27.0,54.0,,,,3.0,2.0,,,,,,2.0,0.0,,,,,1.0,225.0
10954,Mark Bunn,Goalkeeper,A Villa,7,England,2015-16,2.0,,0.025,0.0,,,,,,,1.0,10.0,,,10.0,141.0,,241.0,,,,,,3.0,4.0,,,,900.0,,,,3.0,4.0,,,14.0,,14.4331,,39.0,9.0,18.0,,2.0,9.0,,5.0,,227.0,78.0,10.0,,,,,67.0,14.0,,,2.0,3.0,0.0,62.0,,,144.0,,,,5.0,1.0,,,,86.0,,319.0,,,,,54.0,33.0,1.0,,,2.0,140.0,23.0,,,,,,,,1.0,,,66.0,9.0,9.0,27.0,4.0,12.0,2.0,7.0,57.0,5.0,13.0,,,,2.0,1.0,1.0,1.0,,,,1.0,0.0,,,,,,98.0
56827,Costel Pantilimon,Goalkeeper,Watford,57,Romania,2015-16,3.0,,0.0335,0.0,,,,,,,2.0,17.0,,,17.0,272.0,,497.0,,,,,,4.0,3.0,,,,1530.0,,,,6.0,1.0,,2.0,77.0,,36.5277,1.0,64.0,11.0,33.0,,3.0,18.0,2.0,9.0,,443.0,161.0,17.0,,,,,118.0,32.0,,,5.0,4.0,0.0,222.0,,,278.0,,,,36.0,2.0,,,,148.0,,676.0,,,,,152.0,107.0,1.0,1.0,,3.0,270.0,41.0,,,,,,,,,1.0,,138.0,6.0,23.0,71.0,4.0,39.0,1.0,7.0,74.0,21.0,32.0,,,,,1.0,,,,,,,,,,,,,
57187,Giedrius Arlauskis,Goalkeeper,Watford,57,Lithuania,2015-16,,,0.0011,0.0,,,,,,,,1.0,,,,3.0,,5.0,,,,1.0,,,,,,,23.0,,,,,1.0,,,,,0.3885,,2.0,1.0,1.0,,,,,,,5.0,5.0,1.0,,,,,2.0,,,,,,0.0,4.0,,,4.0,,,,,,,,,2.0,,9.0,,,,,2.0,,,,,0.0,3.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
18656,Heurelho Gomes,Goalkeeper,Watford,57,Brazil,2015-16,3.0,,0.1233,0.0,,,,2.0,,,2.0,38.0,,,38.0,513.0,,957.0,,,,,,17.0,11.0,,,,3397.0,,1.0,,24.0,6.0,3.0,7.0,99.0,,50.3229,,140.0,76.0,49.0,,3.0,37.0,6.0,27.0,1.0,872.0,359.0,38.0,,,1.0,,291.0,43.0,,,10.0,17.0,0.0,296.0,,2.0,545.0,1.0,,,48.0,2.0,2.0,,,345.0,,1436.0,,1.0,,,234.0,153.0,2.0,,,4.0,511.0,54.0,,,,,,,,,2.0,,322.0,66.0,62.0,121.0,17.0,52.0,3.0,18.0,234.0,40.0,67.0,,,,8.0,3.0,3.0,3.0,,,,4.0,,,,,,,
26719,Rene Gilmartin,Goalkeeper,Watford,57,Ireland,2015-16,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112520,Alex Palmer,Goalkeeper,West Brom,35,England,2015-16,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39725,Anders Lindegaard,Goalkeeper,West Brom,35,Denmark,2015-16,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9089,Ben Foster,Goalkeeper,West Brom,35,England,2015-16,1.0,,0.0289,0.0,,,,,,,,15.0,,,15.0,214.0,,369.0,,,,,,2.0,4.0,,,,1350.0,,,,3.0,3.0,1.0,1.0,24.0,,15.0459,,61.0,6.0,17.0,,1.0,4.0,,4.0,1.0,354.0,131.0,15.0,,,,,120.0,14.0,,,2.0,2.0,0.0,140.0,,,218.0,,,,11.0,,2.0,,,131.0,,490.0,,,,,113.0,35.0,,,,1.0,214.0,15.0,,,,,,,,,,,100.0,2.0,21.0,44.0,1.0,18.0,1.0,12.0,81.0,11.0,25.0,,,,1.0,2.0,,,,,,1.0,,,,,,,
12086,Boaz Myhill,Goalkeeper,West Brom,35,Wales,2015-16,1.0,,0.0757,0.0,,,,,,,,23.0,,,23.0,350.0,,604.0,,,,,,5.0,7.0,,,,2070.0,,,,7.0,6.0,,2.0,49.0,,28.1006,,118.0,19.0,31.0,,1.0,12.0,4.0,8.0,,578.0,210.0,23.0,,,,,186.0,25.0,,,3.0,5.0,0.0,236.0,,,352.0,,,,14.0,,,,,205.0,,791.0,,,,,174.0,68.0,,,,2.0,350.0,32.0,,,,,,,,,,,132.0,12.0,30.0,65.0,2.0,36.0,2.0,11.0,131.0,16.0,29.0,,,,5.0,1.0,,,,,,4.0,,,,,,,
60706,Adrián,Goalkeeper,West Ham,21,Spain,2015-16,3.0,,0.0803,1.0,,,,,,,,32.0,,,32.0,422.0,,853.0,,,,,,6.0,9.0,,,,2879.0,,,,7.0,7.0,3.0,1.0,156.0,,41.7765,,116.0,34.0,39.0,,3.0,62.0,2.0,10.0,,738.0,286.0,32.0,,,,,211.0,32.0,,,4.0,6.0,1.0,369.0,,1.0,437.0,,,,53.0,1.0,1.0,,,275.0,,1209.0,,,,,244.0,220.0,1.0,,,1.0,422.0,58.0,,,,,,,,,,,313.0,19.0,40.0,99.0,8.0,35.0,2.0,11.0,130.0,24.0,63.0,,,,7.0,3.0,2.0,2.0,,,,,,,,,,,
32259,Darren Randolph,Goalkeeper,West Ham,21,Ireland,2015-16,,,0.0363,0.0,,,,,1.0,,1.0,6.0,,,6.0,88.0,,164.0,,,,,,1.0,2.0,,,,540.0,,,,2.0,1.0,1.0,1.0,21.0,,9.9753,,36.0,2.0,12.0,,,7.0,,2.0,,148.0,53.0,6.0,,,,,50.0,11.0,,,1.0,1.0,0.0,73.0,1.0,,90.0,,1.0,,9.0,,,,,55.0,,222.0,,,,,45.0,26.0,,,0.1031,0.0,87.0,8.0,,,,,,,,,,,41.0,,7.0,12.0,6.0,5.0,,1.0,30.0,3.0,7.0,,,,1.0,,,,,,,,,,,,,,
82257,Raphael Spiegel,Goalkeeper,West Ham,21,Switzerland,2015-16,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
