playerId,playerName,position,team_name,team_id,nationality,season,expectedGoalsOnTargetConceded,successfulLaunches,expectedAssists,totalClearances,goalsConceded,totalRedCards,catches,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,forwardPasses,recoveries,appearances,drops,savesMadeFromOutsideBox,gamesPlayed,successfulPassesOppositionHalf,starts,goalsConcededInsideBox,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,groundDuels,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,gkUnsuccessfulDistribution,cleanSheets,leftsidePasses,successfulLongPasses,timePlayed,touches,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,unsuccessfulLaunches,successfulPassesOwnHalf,successfulShortPasses,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,duelsLost,penaltiesSaved,totalTackles,unsuccessfulShortPasses,savesMadeCaught,aerialDuels,penaltiesFaced,aerialDuelsLost,savesFromPenalty,punches,penaltyGoalsConceded,goalkeeperSmother,crossesNotClaimed,aerialDuelsWon,tacklesWon,savesMadeParried,successfulCrossesOpenPlay,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalShots,successfulLayoffs,unsuccessfulCrossesOpenPlay,substituteOn,cornersTakenInclShortCorners,shotsOnTargetOutsideBox,successfulCrossesAndCorners,totalTouchesInOppositionBox,throwInsToOppositionPlayer,keyPassesAttemptAssists,groundDuelsLost,putthroughBlockedDistributionWon,oboxTarget,tacklesLost,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,shotsOffTargetIncWoodwork,cornersWon,successfulDribbles,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,backwardPasses,throwInsToOwnPlayer,substituteOff,foulAttemptedTackle,expectedGoals,blockedShots,throughBalls,goalAssists,goals,awayGoals,oboxBlocked,iboxTarget,shotsOnTargetInBox,penaltiesConceded,shotsBlockedInBox,homeGoals,lastPlayerTackle,headedGoals,iboxBlocked,blocks,shotsBlockedOutsideBox,handballsConceded,overruns,offsides,rightFootGoals,leftFootGoals,ownGoalScored,clearancesOffTheLine,unsuccessfulLayoffs,secondGoalAssists,redCards2ndYellow,successfulCornersIntoBox,freekickTotal,attemptsFromSetPieces,expectedGoalsFreekick,foulWonPenalty,penaltiesTaken,penaltyGoals,hitWoodwork,setPiecesGoals,otherGoals
225321,Aaron Ramsdale,Goalkeeper,Newcastle United,4,England,2023-24,4.3292,8.0,0.0115,3.0,5.0,0.0,7.0,44.0,9.0,1.0,0.0,1.0,95.0,53.0,6.0,1.0,3.0,6.0,21.0,6.0,4.0,55.0,158.0,19.0,1.0,0.0,42.0,117.0,58.0,7.0,2.0,19.0,23.0,540.0,210.0,1.0,1.0,2.0,1.0,30.0,82.0,80.0,6.0,0.0,55.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154561,David Raya,Goalkeeper,Arsenal,3,Spain,2023-24,20.7262,59.0,0.0742,13.0,24.0,0.0,35.0,161.0,46.0,4.0,0.0,12.0,544.0,271.0,32.0,5.0,20.0,32.0,114.0,32.0,21.0,265.0,906.0,96.0,6.0,0.0,218.0,708.0,269.0,37.0,16.0,201.0,143.0,2880.0,1176.0,11.0,3.0,2.0,6.0,148.0,527.0,498.0,26.0,2.0,260.0,49.0,1.0,1.0,1.0,5.0,4.0,6.0,3.0,1.0,1.0,5.0,2.0,1.0,1.0,5.0,1.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463748,Karl Hein,Goalkeeper,Arsenal,3,Estonia,2023-24,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462492,Joe Gauci,Goalkeeper,Aston Villa,7,Australia,2023-24,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98980,Emiliano Martínez,Goalkeeper,Aston Villa,7,Argentina,2023-24,51.526,36.0,0.0433,16.0,48.0,0.0,42.0,334.0,95.0,7.0,0.0,14.0,502.0,317.0,34.0,3.0,27.0,34.0,101.0,34.0,44.0,237.0,1272.0,159.0,9.0,0.0,275.0,952.0,247.0,41.0,8.0,436.0,163.0,3015.0,1612.0,13.0,4.0,1.0,8.0,97.0,934.0,872.0,68.0,4.0,228.0,55.0,1.0,,,9.0,3.0,5.0,1.0,,,4.0,1.0,5.0,,5.0,,24.0,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,
111782,Robin Olsen,Goalkeeper,Aston Villa,7,Sweden,2023-24,11.3998,3.0,0.0035,2.0,13.0,0.0,5.0,59.0,21.0,2.0,0.0,4.0,67.0,38.0,5.0,1.0,4.0,5.0,7.0,4.0,8.0,38.0,184.0,27.0,1.0,0.0,39.0,143.0,38.0,7.0,,58.0,20.0,405.0,235.0,4.0,5.0,,1.0,20.0,139.0,126.0,17.0,0.0,36.0,10.0,,1.0,,2.0,3.0,3.0,1.0,,1.0,1.0,,1.0,,3.0,,6.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462381,Filip Marschall,Goalkeeper,Aston Villa,7,England,2023-24,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516159,Oliwier Zych,Goalkeeper,Aston Villa,7,Poland,2023-24,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
564505,Sam Proctor,Goalkeeper,Aston Villa U21,15986,England,2023-24,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646754,Lander Emery,Goalkeeper,Aston Villa U21,15986,Spain,2023-24,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
