playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,oboxBlocked,substituteOn,cornersTakenInclShortCorners,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,oboxTarget,rightFootGoals,tacklesLost,leftFootGoals,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,throwInsToOppositionPlayer,lastPlayerTackle,redCards2ndYellow,clearancesOffTheLine,successfulLaunches,secondGoalAssists,setPiecesGoals,freekickTotal,attemptsFromSetPieces,hitWoodwork,expectedGoalsFreekick,foulWonPenalty,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,successfulCornersIntoBox,unsuccessfulCornersIntoBox,penaltiesConceded,headedGoals,ownGoalScored,otherGoals,penaltiesTaken,penaltyGoals,penaltiesSaved,savesFromPenalty
80201,Bernd Leno,Goalkeeper,Arsenal,3,Germany,2018-19,5.0,,0.019,0.0,,,,,,,,4.0,32.0,,,31.0,284.0,,922.0,,,,,1.0,,8.0,6.0,,,,2835.0,,,1.0,13.0,1.0,2.0,6.0,481.0,,7.0,45.3521,,32.0,42.0,,4.0,188.0,5.0,0.0,18.0,,,538.0,298.0,32.0,,,,,,75.0,41.0,,1.0,,10.0,7.0,0.0,558.0,,1.0,289.0,,,,196.0,,4.0,157.0,,1276.0,,,,146.0,563.0,,,,0.0,280.0,57.0,,,,,37.0,,,,,,,,9.0,37.0,227.0,6.0,7.0,16.0,105.0,8.0,1.0,6.0,325.0,83.0,31.0,67.0,,,,,,,,,,
98980,Emiliano Martínez,Goalkeeper,Arsenal,3,Argentina,2018-19,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11334,Petr Cech,Goalkeeper,Arsenal,3,Czech Republic,2018-19,1.0,,0.0034,0.0,,,,,1.0,,,5.0,7.0,,,7.0,71.0,,224.0,,,,,,,3.0,1.0,,,,585.0,,,1.0,4.0,2.0,,2.0,115.0,,,9.4904,,7.0,9.0,,,54.0,2.0,0.0,5.0,,,126.0,63.0,7.0,,,,,,23.0,7.0,,,,2.0,2.0,0.0,140.0,,,72.0,1.0,,,44.0,,,38.0,,315.0,,1.0,,26.0,130.0,,,,0.0,66.0,21.0,,,,,7.0,,,,,,,,6.0,12.0,53.0,2.0,,2.0,28.0,1.0,,,77.0,22.0,13.0,16.0,,,,,,,,,,
18726,Artur Boruc,Goalkeeper,Bournemouth,91,Poland,2018-19,2.0,,0.0131,0.0,,,,,1.0,,,1.0,12.0,,,12.0,123.0,,286.0,,,0.0,,,,2.0,4.0,,,,1080.0,,,,3.0,3.0,,1.0,94.0,,3.0,16.2511,,5.0,18.0,,2.0,31.0,,0.0,5.0,,0.0,211.0,96.0,12.0,,,1.0,,,45.0,15.0,,,,3.0,2.0,0.0,118.0,,,125.0,,,,44.0,,,69.0,,408.0,,,,66.0,118.0,,,,2.0,122.0,24.0,,,,,25.0,,,,,,,,3.0,15.0,,2.0,3.0,4.0,41.0,5.0,1.0,2.0,128.0,46.0,11.0,23.0,,,,,,,,,,
40349,Asmir Begovic,Goalkeeper,Bournemouth,91,Bosnia & Herzegovina,2018-19,4.0,,0.0209,0.0,,,,,,,,2.0,24.0,,,24.0,208.0,,530.0,,,0.0,,,,13.0,5.0,,,,2160.0,,,1.0,14.0,3.0,1.0,2.0,185.0,,2.0,35.2596,,19.0,47.0,,3.0,66.0,3.0,0.0,18.0,1.0,0.0,379.0,190.0,24.0,,,,,,96.0,44.0,,,,5.0,12.0,0.0,240.0,,,211.0,,,,85.0,,1.0,137.0,,773.0,,,,105.0,226.0,,,,0.0,206.0,35.0,,,,,61.0,,,,,,,,20.0,23.0,,5.0,2.0,4.0,60.0,,5.0,5.0,241.0,79.0,18.0,36.0,,,,,,,,,,
229600,Mark Travers,Goalkeeper,Bournemouth,91,Ireland,2018-19,,,0.0004,0.0,,,,,,,,,2.0,,,2.0,15.0,,43.0,,,0.0,,,,,1.0,,,,180.0,,,,,,1.0,,21.0,,,4.7462,,2.0,5.0,,,10.0,,0.0,,,0.0,26.0,16.0,2.0,,,,,,4.0,5.0,,,,,,0.0,24.0,,,15.0,,,,7.0,,,7.0,,67.0,,,,6.0,24.0,,,,0.0,15.0,8.0,,,,,3.0,,,,,,,,,3.0,,,,,9.0,,,,23.0,4.0,4.0,6.0,,,,,,,,,,
50093,David Button,Goalkeeper,Brighton,36,England,2018-19,,,0.0043,0.0,,,,,,,,,4.0,,,4.0,62.0,,99.0,,,,,,,1.0,1.0,,,,360.0,,,,1.0,,,,10.0,,2.0,4.7741,,4.0,5.0,,,7.0,,,1.0,,,90.0,33.0,4.0,,,,,,22.0,5.0,,,,,1.0,0.0,37.0,,,62.0,,,,2.0,,,27.0,,129.0,,,,27.0,15.0,,,,0.0,62.0,4.0,,,,,11.0,,,,,,,,2.0,6.0,,1.0,2.0,2.0,14.0,,1.0,,21.0,22.0,1.0,7.0,,,,,,,,,,
49262,Jason Steele,Goalkeeper,Brighton,36,England,2018-19,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131897,Mathew Ryan,Goalkeeper,Brighton,36,Australia,2018-19,3.0,,0.0673,0.0,,,,,1.0,,,4.0,34.0,,,34.0,462.0,,926.0,,,,,,,10.0,6.0,,,,3060.0,,,1.0,12.0,10.0,1.0,3.0,133.0,,8.0,52.3125,,20.0,55.0,,2.0,61.0,3.0,,15.0,,,803.0,280.0,34.0,,,1.0,,,255.0,45.0,,,,5.0,9.0,0.0,402.0,,,468.0,,,,62.0,1.0,,331.0,,1175.0,,,,197.0,209.0,1.0,,,2.0,458.0,88.0,,,,,126.0,,,,,,,,15.0,41.0,,4.0,8.0,7.0,97.0,,2.0,1.0,247.0,177.0,35.0,56.0,,,1.0,,,,,,,
15749,Joe Hart,Goalkeeper,Burnley,90,England,2018-19,1.0,,0.1705,0.0,,,,,,,,,19.0,,,19.0,311.0,,565.0,,,,,,,4.0,4.0,,,,1710.0,,,,4.0,11.0,,,49.0,,1.0,36.3248,1.0,16.0,41.0,,1.0,11.0,,0.0,5.0,,,526.0,152.0,19.0,,,,,,188.0,30.0,,,,1.0,4.0,0.0,231.0,,,321.0,,,,28.0,,,205.0,,726.0,,,,179.0,66.0,,,,0.0,311.0,25.0,,,,,91.0,,,,,,,,3.0,25.0,181.0,6.0,2.0,5.0,77.0,1.0,3.0,1.0,135.0,96.0,27.0,51.0,,,,,,,,,1.0,1.0
