playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,totalRedCards,blockedShots,shotsOnTargetIncGoals,overruns,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,awayGoals,substituteOn,cornersTakenInclShortCorners,aerialDuels,cleanSheets,successfulCrossesAndCorners,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,successfulCornersIntoBox,totalTouchesInOppositionBox,keyPassesAttemptAssists,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,homeGoals,forwardPasses,recoveries,appearances,rightFootGoals,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,successfulPassesOwnHalf,handballsConceded,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,goalAssists,offsides,penaltyGoalsConceded,tacklesLost,aerialDuelsWon,unsuccessfulLayoffs,successfulLaunches,leftFootGoals,redCards2ndYellow,headedGoals,attemptsFromSetPieces,unsuccessfulLaunches,throwInsToOppositionPlayer,penaltiesTaken,penaltyGoals,hitWoodwork,foulWonPenalty,clearancesOffTheLine,penaltiesConceded,catches,goalKicks,gkSuccessfulDistribution,savesMadeCaught,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,lastPlayerTackle,savesMadeFromOutsideBox,penaltiesFaced,punches,drops,crossesNotClaimed,penaltiesSaved,savesFromPenalty,setPiecesGoals,ownGoalScored,goalkeeperSmother,otherGoals
77818,James Shea,Goalkeeper,Arsenal,3,England,2010-11,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4105,Jens Lehmann,Goalkeeper,Arsenal,3,Germany,2010-11,,,0.0,,,,,,,1.0,1.0,,1.0,13.0,,24.0,,,,,,,,90.0,,,,,5.0,,,,,1.0,,1.0,2.0,,0.0,,,20.0,18.0,1.0,,,5.0,1.0,,,,0.0,11.0,,,13.0,,,,3.0,,,,6.0,,38.0,,,6.0,,0.0,12.0,2.0,,,,,,,1.0,,,,,3.0,,,,,,,,1.0,10.0,12.0,1.0,8.0,1.0,2.0,,,,,,,,,,,,
37096,Lukasz Fabianski,Goalkeeper,Arsenal,3,Poland,2010-11,2.0,,0.0,,,,,,,6.0,14.0,,14.0,174.0,,316.0,,,,,4.0,5.0,,1260.0,2.0,3.0,2.0,1.0,71.0,,,,20.0,14.0,,22.0,36.0,1.0,0.0,5.0,,279.0,180.0,14.0,,,56.0,12.0,,,1.0,0.0,166.0,,,174.0,,,,15.0,,,,71.0,,508.0,,,86.0,,0.0,168.0,18.0,1.0,,2.0,,2.0,,30.0,,,,,97.0,,,,,,,,16.0,94.0,157.0,8.0,54.0,14.0,16.0,,18.0,2.0,12.0,2.0,4.0,,,,,,
14422,Manuel Almunia,Goalkeeper,Arsenal,3,Spain,2010-11,3.0,,0.0,,,,,,,3.0,8.0,,8.0,56.0,,162.0,,,,,4.0,2.0,,720.0,1.0,4.0,1.0,1.0,80.0,,,1.0,8.0,9.0,2.0,23.0,14.0,1.0,0.0,7.0,,127.0,84.0,8.0,,,20.0,8.0,,,3.0,0.0,94.0,,,57.0,,,,12.0,1.0,,,26.0,,264.0,,,86.0,,1.0,53.0,6.0,,,,,3.0,,8.0,,,,,29.0,,,,,,,1.0,21.0,50.0,85.0,7.0,22.0,2.0,9.0,,5.0,1.0,4.0,1.0,2.0,1.0,1.0,,,,
59936,Wojciech Szczesny,Goalkeeper,Arsenal,3,Poland,2010-11,1.0,,0.0,,,,,,,15.0,15.0,,15.0,167.0,,322.0,,,,,2.0,6.0,,1350.0,,4.0,3.0,2.0,97.0,,,,19.0,19.0,1.0,26.0,43.0,1.0,0.0,5.0,,269.0,169.0,15.0,,,42.0,16.0,,,3.0,0.0,156.0,,,169.0,,1.0,,27.0,1.0,,,58.0,,507.0,,,113.0,,1.0,152.0,25.0,,,4.0,,2.0,,24.0,,,,,73.0,,,,,,,1.0,13.0,112.0,153.0,13.0,65.0,12.0,25.0,,18.0,6.0,9.0,2.0,,1.0,1.0,,,,
9089,Ben Foster,Goalkeeper,Birmingham,41,England,2010-11,7.0,,0.0,,,,2.0,,,14.0,38.0,,38.0,906.0,,1445.0,,,,,7.0,9.0,,3371.0,1.0,20.0,11.0,14.0,101.0,,,2.0,35.0,55.0,6.0,38.0,170.0,5.0,0.0,27.0,,1371.0,524.0,38.0,,,405.0,44.0,,1.0,20.0,0.0,589.0,,7.0,925.0,1.0,4.0,,36.0,3.0,,,438.0,,1897.0,,1.0,134.0,,3.0,892.0,40.0,,,5.0,1.0,6.0,2.0,215.0,,,,,458.0,,,,,,,1.0,61.0,409.0,280.0,43.0,270.0,49.0,90.0,,79.0,6.0,21.0,7.0,3.0,1.0,1.0,,,3.0,
18004,Colin Doyle,Goalkeeper,Birmingham,41,Ireland,2010-11,,,0.0,,,,,,,,1.0,,,11.0,,16.0,,,1.0,,,,,49.0,,1.0,,1.0,,,,,,3.0,,,3.0,,0.0,1.0,,16.0,9.0,1.0,,,5.0,3.0,,,1.0,0.0,6.0,,,11.0,,,,,,,,5.0,,28.0,,,,,0.0,11.0,1.0,,,,,,,1.0,,,,,6.0,,,,,,,,3.0,5.0,9.0,1.0,1.0,,2.0,,1.0,,,,,,,,,1.0,
1550,Maik Taylor,Goalkeeper,Birmingham,41,Northern Ireland,2010-11,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42887,Frank Fielding,Goalkeeper,Blackburn,5,England,2010-11,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10954,Mark Bunn,Goalkeeper,Blackburn,5,England,2010-11,,,0.0,,,,,,,1.0,3.0,,2.0,73.0,,93.0,,,1.0,,,,,225.0,,,,,2.0,,,,4.0,4.0,,1.0,8.0,,0.0,,,90.0,35.0,3.0,,,18.0,4.0,,,,0.0,23.0,,,73.0,,,,2.0,,,,18.0,,119.0,,,2.0,,1.0,72.0,6.0,,,,,,,4.0,,,,,30.0,,,,,,,,7.0,32.0,16.0,3.0,23.0,3.0,5.0,,3.0,1.0,3.0,,,,,,,,
