playerId,playerName,position,team_name,team_id,nationality,season,straightRedCards,totalRedCards,yellowCards,duelsLost,successfulCrossesOpenPlay,expectedAssists,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,oboxBlocked,substituteOn,cornersTakenInclShortCorners,aerialDuels,shotsOnTargetOutsideBox,successfulCrossesAndCorners,timePlayed,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,successfulCornersIntoBox,totalTouchesInOppositionBox,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,oboxTarget,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,openPlayPasses,shotsOffTargetIncWoodwork,totalLossesOfPossession,tacklesWon,successfulDribbles,leftsidePasses,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,hitWoodwork,shotsBlockedOutsideBox,successfulPassesOwnHalf,handballsConceded,expectedGoals,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,iboxTarget,shotsOnTargetInBox,unsuccessfulLaunches,punches,successfulLaunches,totalClearances,catches,savesMade,savesMadeFromOutsideBox,crossesNotClaimed,goalKicks,gkSuccessfulDistribution,savesMadeCaught,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,goalsConcededOutsideBox,penaltiesConceded,throwInsToOppositionPlayer,aerialDuelsWon,cornersWon,blocks,foulAttemptedTackle,expectedGoalsFreekick,goalAssists,goals,offsides,awayGoals,cleanSheets,penaltyGoalsConceded,homeGoals,rightFootGoals,leftFootGoals,freekickTotal,attemptsFromSetPieces,redCards2ndYellow,clearancesOffTheLine,secondGoalAssists,foulWonPenalty,penaltiesTaken,headedGoals,penaltyGoals,lastPlayerTackle,ownGoalScored,setPiecesGoals,penaltiesSaved,penaltiesFaced,savesFromPenalty,goalkeeperSmother,drops
20488,Armand Traore,Defender,QPR,52,Senegal,2014-15,0.0,0.0,2.0,58.0,3.0,0.1831,2.0,2.0,3.0,0.3697,23.0,5.0,,52.0,16.0,2.0,7.0,71.0,22.0,284.0,2.0,9.0,,46.0,,3.0,780.0,,14.0,66.0,11.0,34.0,202.0,,10.0,16.1292,6.0,19.0,,44.0,110.0,5.0,0.0,124.0,6.0,111.0,64.0,16.0,,5.0,9.0,110.0,17.0,22.0,21.0,,78.0,283.0,3.0,142.0,18.0,6.0,12.0,11.0,27.0,,11.0,51.0,559.0,40.0,2.0,,2.0,106.0,,0.4113,19.0,29.0,2.0,2.0,15.0,,3.0,68.0,,,,,,,,,,,2.0,1.0,8.0,32.0,3.0,4.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1216,Clint Hill,Defender,QPR,52,England,2014-15,0.0,0.0,4.0,54.0,8.0,0.6296,2.0,2.0,2.0,0.3086,27.0,5.0,,75.0,19.0,2.0,15.0,147.0,17.0,418.0,,4.0,,64.0,,8.0,1407.0,,19.0,79.0,21.0,34.0,226.0,,15.0,31.745,14.0,31.0,2.0,35.0,105.0,7.0,0.0,133.0,11.0,249.0,36.0,19.0,,7.0,,159.0,25.0,17.0,4.0,2.0,69.0,404.0,3.0,211.0,20.0,2.0,21.0,22.0,25.0,,45.0,43.0,772.0,67.0,4.0,,,120.0,1.0,0.3865,72.0,26.0,1.0,1.0,42.0,,20.0,111.0,,,,,,,,,,,6.0,,36.0,45.0,2.0,9.0,9.0,,,1.0,,1.0,2.0,1.0,0.0,,,,,,1.0,,,,1.0,,1.0,,,,,,,
176424,Cole Kpekawa,Defender,QPR,52,England,2014-15,0.0,0.0,0.0,,,0.0001,,,,,,,,1.0,1.0,,,2.0,,3.0,,1.0,,,,,5.0,,,,1.0,,1.0,,,0.885,,1.0,,,1.0,,0.0,,,1.0,,1.0,,,,,1.0,,,,,3.0,,3.0,,,1.0,,1.0,,,,8.0,1.0,,,,1.0,,,1.0,1.0,,,1.0,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176420,Darnell Furlong,Defender,QPR,52,England,2014-15,0.0,0.0,1.0,14.0,1.0,0.0325,,1.0,,0.3301,3.0,1.0,,17.0,3.0,,3.0,24.0,5.0,75.0,,,,10.0,,1.0,225.0,,5.0,14.0,3.0,9.0,45.0,,1.0,8.0915,,7.0,,9.0,2.0,4.0,0.0,28.0,,42.0,8.0,3.0,,,,28.0,7.0,5.0,1.0,,18.0,75.0,,50.0,3.0,3.0,19.0,3.0,8.0,,6.0,12.0,157.0,23.0,1.0,,,24.0,,0.0304,7.0,3.0,1.0,1.0,6.0,,3.0,9.0,,,,,,,,,,,,,16.0,5.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
48852,Mauricio Isla,Defender,QPR,52,Chile,2014-15,0.0,0.0,4.0,116.0,18.0,2.3971,3.0,3.0,1.0,0.2734,81.0,4.0,1.0,170.0,26.0,4.0,24.0,220.0,48.0,876.0,1.0,2.0,4.0,73.0,1.0,21.0,2131.0,2.0,40.0,152.0,49.0,119.0,605.0,1.0,30.0,40.3492,28.0,43.0,2.0,76.0,40.0,22.0,0.0,268.0,16.0,373.0,140.0,26.0,1.0,19.0,14.0,371.0,36.0,51.0,32.0,2.0,195.0,856.0,1.0,377.0,62.0,16.0,349.0,16.0,57.0,3.0,51.0,114.0,1574.0,213.0,4.0,,1.0,306.0,,0.3562,50.0,67.0,2.0,2.0,27.0,,11.0,80.0,,,,,,,,,,,7.0,,55.0,33.0,10.0,5.0,9.0,,2.0,,2.0,,4.0,1.0,,,,,,,,,,,,,1.0,,,,,,,
19053,Nedum Onuoha,Defender,QPR,52,England,2014-15,0.0,1.0,2.0,80.0,2.0,0.5323,4.0,1.0,1.0,,55.0,5.0,,107.0,23.0,,22.0,187.0,10.0,661.0,2.0,1.0,,75.0,,2.0,1927.0,,31.0,129.0,28.0,85.0,419.0,,7.0,35.9418,8.0,40.0,2.0,49.0,76.0,17.0,0.0,209.0,13.0,345.0,109.0,23.0,,11.0,9.0,216.0,33.0,10.0,15.0,2.0,134.0,647.0,4.0,278.0,44.0,15.0,158.0,23.0,39.0,,55.0,82.0,1180.0,102.0,2.0,,2.0,260.0,,0.9931,80.0,51.0,1.0,1.0,44.0,,20.0,143.0,,,,,,,,,,,7.0,1.0,50.0,44.0,6.0,10.0,8.0,,,,2.0,,1.0,,,,,,,1.0,,,,,,,,2.0,,,,,,
1764,Richard Dunne,Defender,QPR,52,Ireland,2014-15,0.0,0.0,7.0,64.0,1.0,0.1152,1.0,4.0,1.0,1.0064,62.0,7.0,,61.0,23.0,,22.0,198.0,2.0,551.0,,1.0,,88.0,,1.0,1872.0,,26.0,134.0,19.0,72.0,291.0,,13.0,36.7453,3.0,39.0,1.0,38.0,69.0,8.0,0.0,198.0,12.0,326.0,85.0,23.0,,14.0,1.0,116.0,33.0,2.0,6.0,1.0,110.0,515.0,3.0,223.0,48.0,4.0,108.0,25.0,44.0,,62.0,48.0,972.0,9.0,4.0,1.0,,238.0,2.0,0.7785,137.0,51.0,4.0,4.0,95.0,,20.0,202.0,,,,,,,,,,,6.0,,3.0,62.0,2.0,28.0,14.0,,,,,,4.0,2.0,,,,,,,2.0,,,,,,2.0,1.0,,,,,,
2034,Rio Ferdinand,Defender,QPR,52,England,2014-15,0.0,0.0,2.0,22.0,,0.0506,,,,,24.0,,,22.0,11.0,,11.0,62.0,1.0,372.0,,,,35.0,,,990.0,,16.0,46.0,6.0,27.0,259.0,,1.0,20.0984,,21.0,,6.0,93.0,4.0,0.0,68.0,3.0,173.0,57.0,11.0,,4.0,,91.0,19.0,1.0,2.0,,33.0,357.0,,67.0,20.0,,84.0,2.0,17.0,,51.0,22.0,523.0,1.0,,,,219.0,,,40.0,19.0,,,15.0,,7.0,82.0,,,,,,,,,,,2.0,,,19.0,,9.0,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
68815,Steven Caulker,Defender,QPR,52,Sierra Leone,2014-15,0.0,0.0,1.0,149.0,,1.0722,5.0,6.0,,0.3501,38.0,23.0,1.0,160.0,35.0,3.0,34.0,273.0,3.0,880.0,,1.0,,253.0,,,3015.0,,107.0,198.0,41.0,52.0,532.0,,54.0,61.3461,17.0,61.0,5.0,42.0,149.0,10.0,0.0,347.0,28.0,482.0,112.0,35.0,,8.0,1.0,247.0,53.0,3.0,8.0,5.0,94.0,852.0,17.0,306.0,30.0,8.0,181.0,15.0,69.0,,75.0,68.0,1525.0,7.0,2.0,,,360.0,,2.2884,113.0,67.0,5.0,5.0,66.0,,22.0,345.0,,,,,,,,,,,8.0,,5.0,146.0,4.0,36.0,6.0,,,1.0,,0.0,6.0,2.0,1.0,,,,,,1.0,,,,1.0,,1.0,1.0,,,,,,
77875,Yun Suk-Young,Defender,QPR,52,South Korea,2014-15,0.0,0.0,4.0,101.0,7.0,0.8157,1.0,1.0,2.0,0.1515,46.0,5.0,,87.0,23.0,2.0,19.0,167.0,32.0,581.0,,4.0,3.0,41.0,,8.0,1725.0,,26.0,100.0,30.0,85.0,356.0,1.0,11.0,37.3789,9.0,39.0,1.0,75.0,206.0,24.0,0.0,201.0,17.0,286.0,75.0,23.0,,9.0,17.0,253.0,33.0,33.0,33.0,1.0,160.0,559.0,4.0,301.0,37.0,16.0,20.0,15.0,41.0,,58.0,69.0,1158.0,141.0,5.0,,,169.0,1.0,0.467,80.0,43.0,1.0,1.0,54.0,,23.0,96.0,,,,,,,,,,,6.0,,39.0,15.0,4.0,8.0,5.0,,,,1.0,,3.0,2.0,,,,,,,,,,,,,1.0,,,,,,,
