season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest
2015-16,6767931,1,21,West_Ham_United,Away,1227,5306,Kevin Nolan,kevin-nolan,M,True,,,,,6.0,6.0,,,3.0,,,,,,,,,2.0,,,,,,,,,,,11.0,,,,,,,,,6.9,,,,,1.0,1.0,,,1.0,,1.0,6.0,7.0,0,1.0,10.0,,,1.0
2015-16,6767931,1,21,West_Ham_United,Away,9741,18073,Mark Noble,mark-noble,M,False,,,4.0,15.0,21.0,36.0,,,5.0,,,,3.0,,,1.0,5.0,9.0,,,1.0,,,,,1.0,,,90.0,,,,,,,,,6.8,,,,,1.0,2.0,,,5.0,,20.0,21.0,41.0,0,1.0,56.0,1.0,6.0,2.0
2015-16,6767931,1,21,West_Ham_United,Away,14216,37901,Dimitri Payet,dimitri-payet,M,False,1.0,,,16.0,18.0,33.0,1.0,1.0,7.0,1.0,,1.0,7.0,,,1.0,9.0,8.0,,,,1.0,,,,,2.0,,90.0,,,,,,,,,7.5,,,,,,4.0,4.0,,1.0,,25.0,20.0,41.0,1,2.0,57.0,2.0,1.0,4.0
2015-16,6767931,1,21,West_Ham_United,Away,20095,18818,Matt Jarvis,matt-jarvis,M,True,,,,1.0,4.0,5.0,,1.0,1.0,,,,,,,1.0,2.0,2.0,,,1.0,,,,,,,,27.0,,,,,,,,,6.5,,,,,,,,,,,2.0,4.0,6.0,0,1.0,8.0,,,
2015-16,6767931,1,21,West_Ham_United,Away,45944,55037,Cheikhou Kouyaté,cheikhou-kouyate,M,False,,,1.0,10.0,10.0,20.0,5.0,,6.0,,,,6.0,,,1.0,12.0,3.0,,,,,1.0,,,2.0,2.0,,90.0,1.0,1.0,,,,,,,7.0,,,,,,,,,3.0,1.0,16.0,14.0,30.0,1,3.0,42.0,1.0,,
2015-16,6767931,1,21,West_Ham_United,Away,190849,103527,Diego Poyet,diego-poyet,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2015-16,6767931,1,21,West_Ham_United,Away,220315,86934,Manuel Lanzini,manuel-lanzini,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2015-16,6767947,2,21,West_Ham_United,Home,1227,5306,Kevin Nolan,kevin-nolan,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2015-16,6767947,2,21,West_Ham_United,Home,9741,18073,Mark Noble,mark-noble,M,False,,,7.0,38.0,21.0,59.0,,,8.0,,,1.0,1.0,,,,3.0,6.0,,,1.0,,,,,1.0,1.0,,90.0,,,,,,,,,7.2,,,,,,2.0,1.0,,10.0,,44.0,24.0,67.0,1,1.0,81.0,,4.0,1.0
2015-16,6767947,2,21,West_Ham_United,Home,14216,37901,Dimitri Payet,dimitri-payet,M,False,,,6.0,30.0,7.0,37.0,1.0,,,,,2.0,,,,2.0,6.0,2.0,,,1.0,,1.0,,1.0,,3.0,,90.0,1.0,,,,,,,,7.5,,,,,,4.0,17.0,,9.0,,57.0,7.0,47.0,3,,76.0,1.0,,2.0
