season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2020-21,8896949,1,21,West_Ham_United,Home,9741,18073,Mark Noble,mark-noble,M,False,,,2.0,23.0,15.0,38.0,,,1.0,,,,,,1.0,3.0,1.0,,,2.0,,,,,,1.0,67.0,,,,,,,,,8.0,,6.6,,,,,,,1.0,,2.0,,30.0,15.0,44.0,0,1.0,47.0,,,,
2020-21,8896949,1,21,West_Ham_United,Home,41116,56377,Andriy Yarmolenko,andriy-yarmolenko,M,True,,,,10.0,4.0,14.0,,,1.0,,,1.0,,,1.0,2.0,1.0,,,1.0,,,,,,,23.0,1.0,,,,,,,,6.0,,6.7,,,1.0,,,,3.0,,,,15.0,4.0,16.0,3,1.0,26.0,,,,1.0
2020-21,8896949,1,21,West_Ham_United,Home,152276,101537,Felipe Anderson,felipe-anderson,M,True,,,,2.0,,2.0,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,3.0,,3.0,0,1.0,4.0,,,,1.0
2020-21,8896949,1,21,West_Ham_United,Home,220315,86934,Manuel Lanzini,manuel-lanzini,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8896949,1,21,West_Ham_United,Home,552884,178186,Jarrod Bowen,jarrod-bowen,M,False,,,,13.0,6.0,19.0,2.0,,3.0,,,,2.0,,2.0,6.0,3.0,,,,,,,,,,89.0,,,,,,,,,15.0,,6.2,,,1.0,,,1.0,5.0,,1.0,,21.0,9.0,25.0,1,1.0,41.0,1.0,1.0,1.0,
2020-21,8896949,1,21,West_Ham_United,Home,799041,215439,Tomáš Souček,tomas-soucek,M,False,,,1.0,14.0,12.0,26.0,3.0,3.0,7.0,,,2.0,1.0,,,7.0,7.0,,,3.0,,,,,,2.0,90.0,,,,,,,,,5.0,,7.0,,,1.0,,3.0,,,,1.0,,16.0,14.0,30.0,3,3.0,43.0,1.0,2.0,,
2020-21,8896949,1,21,West_Ham_United,Home,816763,217593,Pablo Fornals,pablo-fornals,M,False,,,,12.0,3.0,15.0,,,4.0,,,1.0,2.0,,,2.0,2.0,,,,,,,1.0,1.0,,67.0,,,,,,,,,4.0,,6.6,,,,,,1.0,1.0,,2.0,,13.0,6.0,18.0,1,1.0,27.0,,,1.0,
2020-21,8896949,1,21,West_Ham_United,Home,856714,204480,Declan Rice,declan-rice,M,False,,,3.0,35.0,22.0,57.0,2.0,,6.0,,,,2.0,,1.0,6.0,4.0,,,,,,,,1.0,1.0,90.0,,1.0,,,,,,,15.0,,6.7,,,,,1.0,3.0,2.0,,8.0,,43.0,26.0,67.0,0,2.0,82.0,1.0,,2.0,
2020-21,8896947,2,21,West_Ham_United,Away,41116,56377,Andriy Yarmolenko,andriy-yarmolenko,M,True,1.0,,1.0,4.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,2.0,,6.6,,,,,,,2.0,,1.0,,5.0,1.0,4.0,0,,7.0,1.0,,,
2020-21,8896947,2,21,West_Ham_United,Away,152276,101537,Felipe Anderson,felipe-anderson,M,True,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,2.0,,2.0,0,,3.0,,,,
2020-21,8896947,2,21,West_Ham_United,Away,220315,86934,Manuel Lanzini,manuel-lanzini,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8896947,2,21,West_Ham_United,Away,552884,178186,Jarrod Bowen,jarrod-bowen,M,False,1.0,,1.0,14.0,2.0,15.0,1.0,,5.0,,,3.0,1.0,,,4.0,2.0,,,1.0,,,,,2.0,,83.0,,,,,,,,,14.0,,6.6,,,1.0,,,1.0,6.0,,2.0,,21.0,5.0,20.0,4,2.0,39.0,3.0,,,1.0
2020-21,8896947,2,21,West_Ham_United,Away,799041,215439,Tomáš Souček,tomas-soucek,M,False,,,3.0,14.0,7.0,21.0,8.0,4.0,4.0,,,,,,,13.0,6.0,,,5.0,,,,,,1.0,90.0,,,,,,,,,12.0,,6.5,,,2.0,,1.0,,1.0,,4.0,,22.0,10.0,31.0,2,1.0,39.0,1.0,2.0,,1.0
2020-21,8896947,2,21,West_Ham_United,Away,816763,217593,Pablo Fornals,pablo-fornals,M,False,,,1.0,14.0,12.0,26.0,1.0,,1.0,,,,1.0,,,3.0,3.0,,,1.0,,,,,,1.0,88.0,,,,,,,,,9.0,,6.5,,,,,,1.0,1.0,,2.0,,19.0,14.0,32.0,0,,42.0,2.0,2.0,1.0,
2020-21,8896947,2,21,West_Ham_United,Away,856714,204480,Declan Rice,declan-rice,M,False,1.0,,3.0,24.0,21.0,44.0,1.0,3.0,2.0,,,1.0,3.0,,,5.0,6.0,,,1.0,,,,,3.0,2.0,90.0,,,,,,,,,2.0,,7.1,,,,,4.0,,1.0,,3.0,,24.0,22.0,45.0,1,2.0,62.0,1.0,1.0,,1.0
