season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballCarriesCount,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyWon,possessionLostCtrl,progressiveBallCarriesCount,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalBallCarriesDistance,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalProgression,totalProgressiveBallCarriesDistance,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2024-25,12436877,1,21,West_Ham_United,Home,161717,101178,James Ward-Prowse,james-ward-prowse,M,True,,,,7.0,4.0,11.0,,,,,,,,,,,,1.0,,,0.00141899,,,,0.0,,,,,,,,16.0,,,,,,,4.0,,,6.5,,,,,,,,3.0,,,,11.0,4.0,12.0,,,0,1.0,17.0,,,,
2024-25,12436877,1,21,West_Ham_United,Home,552884,178186,Jarrod Bowen,jarrod-bowen,M,False,1.0,,,10.0,,9.0,1.0,,,2.0,,,,1.0,,2.0,7.0,1.0,,,0.0715906,,,1.0,0.0,,,,,,1.0,,73.0,,,,,,,10.0,,,6.3,,,,,,1.0,2.0,4.0,,1.0,,15.0,,11.0,,,0,,26.0,1.0,1.0,,
2024-25,12436877,1,21,West_Ham_United,Home,609752,197024,Guido Rodríguez,guido-rodriguez,M,False,,,2.0,13.0,27.0,40.0,,,,3.0,,,,1.0,,,3.0,4.0,,,0.0320639,0.0207,,2.0,0.0,,,,,1.0,,,85.0,,,,,,,7.0,,,6.8,,,1.0,,,,,,,5.0,,17.0,29.0,46.0,,,1,3.0,56.0,1.0,1.0,,3.0
2024-25,12436877,1,21,West_Ham_United,Home,799041,215439,Tomáš Souček,tomas-soucek,M,False,,,,4.0,6.0,10.0,2.0,6.0,,1.0,,2.0,1.0,2.0,,1.0,5.0,9.0,,,0.117174,1.0994,,,0.0,,,,,1.0,2.0,,90.0,,,,,,1.0,7.0,,,7.1,,,4.0,,,1.0,,1.0,,,,9.0,7.0,15.0,,,5,2.0,28.0,,1.0,,1.0
2024-25,12436877,1,21,West_Ham_United,Home,839981,224024,Lucas Paquetá,lucas-paqueta,M,False,,,3.0,21.0,25.0,46.0,1.0,1.0,,1.0,,,,1.0,,5.0,10.0,1.0,,,0.0448657,0.7884,0.6324,3.0,0.0,1.0,,,,,1.0,,74.0,1.0,1.0,,,,,17.0,,,6.8,,,,,,1.0,,,,6.0,,31.0,26.0,57.0,,,1,,71.0,1.0,,,
2024-25,12436877,1,21,West_Ham_United,Home,845464,229384,Andy Irving,andy-irving,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436877,1,21,West_Ham_United,Home,905163,460842,Mohammed Kudus,mohammed-kudus,M,False,1.0,,2.0,12.0,12.0,23.0,,2.0,,2.0,1.0,,1.0,1.0,,5.0,10.0,11.0,,,0.473204,0.081,,2.0,0.0,,,,,,2.0,,90.0,,,,,,,22.0,,,7.0,,,1.0,,,,5.0,9.0,,2.0,1.0,24.0,12.0,27.0,,,2,1.0,59.0,3.0,5.0,3.0,1.0
2024-25,12436877,1,21,West_Ham_United,Home,917005,450070,Crysencio Summerville,crysencio-summerville,M,True,2.0,,,10.0,1.0,9.0,,,,3.0,1.0,,,,,2.0,3.0,1.0,,,0.174754,,,,0.0,,,,,,2.0,,17.0,,,,,,,4.0,,,6.9,,,,,,,1.0,2.0,,,,11.0,1.0,10.0,,,0,,17.0,,1.0,,
2024-25,12436892,2,21,West_Ham_United,Away,161717,101178,James Ward-Prowse,james-ward-prowse,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436892,2,21,West_Ham_United,Away,552884,178186,Jarrod Bowen,jarrod-bowen,M,False,3.0,,2.0,8.0,6.0,11.0,1.0,,,10.0,,,,,,5.0,11.0,3.0,,,0.25312,0.1025,0.5793,1.0,0.0,1.0,,,,,5.0,,90.0,1.0,,,,,,17.0,,,7.1,,,,,,1.0,5.0,6.0,,2.0,,15.0,6.0,15.0,,,1,1.0,39.0,,1.0,1.0,
2024-25,12436892,2,21,West_Ham_United,Away,609752,197024,Guido Rodríguez,guido-rodriguez,M,False,,,1.0,7.0,24.0,31.0,1.0,1.0,,6.0,,,1.0,1.0,,2.0,5.0,6.0,,,0.00423404,0.0235,,1.0,0.0,,,,,4.0,,,90.0,,,,,,,11.0,,,6.9,,,1.0,,,1.0,1.0,,,3.0,,11.0,29.0,40.0,,,2,2.0,57.0,,2.0,1.0,1.0
2024-25,12436892,2,21,West_Ham_United,Away,799041,215439,Tomáš Souček,tomas-soucek,M,False,,,,10.0,3.0,13.0,3.0,4.0,,3.0,,,2.0,,,1.0,9.0,7.0,,,0.0967331,0.1543,0.2798,5.0,0.0,1.0,,,,,1.0,,78.0,1.0,,,,,,10.0,,,7.5,,,,,,1.0,,1.0,,1.0,,16.0,5.0,20.0,,,3,3.0,33.0,1.0,,,3.0
2024-25,12436892,2,21,West_Ham_United,Away,839981,224024,Lucas Paquetá,lucas-paqueta,M,False,,,4.0,13.0,22.0,35.0,1.0,1.0,,10.0,,,,,,,1.0,8.0,,,0.0168231,0.1281,,,0.0,,,,,1.0,,,90.0,,,,,,,12.0,,,7.6,,,3.0,,,2.0,1.0,,,7.0,,21.0,25.0,46.0,,,3,5.0,62.0,1.0,1.0,1.0,3.0
2024-25,12436892,2,21,West_Ham_United,Away,847151,213999,Edson Álvarez,edson-alvarez,M,True,,,,2.0,4.0,6.0,,,,2.0,,,,,,,3.0,1.0,,,0.211991,0.009,,2.0,0.0,,,,,,,,12.0,,1.0,,,,,2.0,,,6.9,,,1.0,,,1.0,1.0,,,,,2.0,4.0,6.0,,,1,1.0,13.0,,,,1.0
2024-25,12436892,2,21,West_Ham_United,Away,905163,460842,Mohammed Kudus,mohammed-kudus,M,False,1.0,,1.0,8.0,6.0,13.0,1.0,,,5.0,,,1.0,1.0,,1.0,6.0,9.0,,,0.164737,0.0821,,2.0,0.0,,,,,,,,88.0,,,,,,,9.0,,,7.1,,,1.0,,,,8.0,3.0,,1.0,,10.0,6.0,13.0,,,2,2.0,36.0,2.0,1.0,6.0,1.0
2024-25,12436892,2,21,West_Ham_United,Away,917005,450070,Crysencio Summerville,crysencio-summerville,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436927,3,21,West_Ham_United,Home,552884,178186,Jarrod Bowen,jarrod-bowen,M,False,1.0,,1.0,6.0,6.0,11.0,,,,3.0,1.0,,1.0,4.0,,2.0,8.0,3.0,,,0.221438,0.0847,0.0145,,0.0,,,,,,2.0,,86.0,1.0,,,,,,15.0,,,6.8,,,,,,1.0,3.0,5.0,,1.0,,15.0,8.0,18.0,,,2,2.0,34.0,,,1.0,1.0
2024-25,12436927,3,21,West_Ham_United,Home,609752,197024,Guido Rodríguez,guido-rodriguez,M,False,,,,13.0,18.0,31.0,,1.0,,8.0,,,,,,,2.0,1.0,,,0.00478404,0.0121,,2.0,0.0,,,,,3.0,,,90.0,,1.0,,,,,6.0,,,6.9,,,1.0,,,2.0,,1.0,,1.0,,16.0,21.0,36.0,,,1,,48.0,,,,
2024-25,12436927,3,21,West_Ham_United,Home,799041,215439,Tomáš Souček,tomas-soucek,M,True,,,,2.0,4.0,6.0,,,,1.0,,,,,,,,,,,0.0780213,0.1347,,,0.0,,,,,,,,13.0,,,,,,,2.0,,,6.6,,,1.0,,,,,,,,,4.0,4.0,8.0,,,1,,9.0,,,,
2024-25,12436927,3,21,West_Ham_United,Home,839981,224024,Lucas Paquetá,lucas-paqueta,M,False,,,4.0,37.0,20.0,57.0,,2.0,,7.0,,,,1.0,,1.0,4.0,7.0,1.0,,0.0738048,,,2.0,0.0,,,,,1.0,,,90.0,,,,,,,14.0,,,6.5,,,,,,,2.0,,,5.0,,44.0,23.0,67.0,,,0,2.0,81.0,3.0,1.0,2.0,
2024-25,12436927,3,21,West_Ham_United,Home,845464,229384,Andy Irving,andy-irving,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436927,3,21,West_Ham_United,Home,847151,213999,Edson Álvarez,edson-alvarez,M,False,,,3.0,13.0,19.0,32.0,,1.0,,2.0,,,,1.0,,,2.0,2.0,,,0.0176834,,,1.0,0.0,,,,,,1.0,,77.0,,,,,,,3.0,,,6.7,,,,,,2.0,,,,3.0,,15.0,20.0,35.0,,,0,1.0,43.0,,,,
2024-25,12436927,3,21,West_Ham_United,Home,905163,460842,Mohammed Kudus,mohammed-kudus,M,False,1.0,,1.0,15.0,4.0,18.0,,,,3.0,,,1.0,,,3.0,5.0,4.0,,,0.0291495,0.1068,,,0.0,,,,1.0,,,,90.0,,1.0,,,,,12.0,,,6.6,,,2.0,,,,4.0,3.0,,3.0,,19.0,5.0,21.0,,,3,2.0,42.0,2.0,,2.0,1.0
2024-25,12436927,3,21,West_Ham_United,Home,917005,450070,Crysencio Summerville,crysencio-summerville,M,True,,,,1.0,,1.0,,,,,,,,,,,,,,,0.00146784,0.0615,0.1726,,0.0,,,,1.0,,,,10.0,1.0,,,,,,1.0,,,6.9,,,,,,,,,,,,2.0,,2.0,,,1,,4.0,,,,
2024-25,12436927,3,21,West_Ham_United,Home,1016893,577114,Luís Guilherme,luis-guilherme,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436941,4,21,West_Ham_United,Away,552884,178186,Jarrod Bowen,jarrod-bowen,M,False,,,,8.0,4.0,12.0,2.0,,,,,1.0,1.0,,,3.0,11.0,7.0,,,0.0855983,0.2756,0.3466,4.0,1.0,,,,,1.0,2.0,,90.0,1.0,1.0,,,,,10.0,,,7.1,,,,,,1.0,4.0,2.0,,,,10.0,5.0,13.0,,,2,3.0,38.0,2.0,2.0,2.0,2.0
2024-25,12436941,4,21,West_Ham_United,Away,609752,197024,Guido Rodríguez,guido-rodriguez,M,False,,,1.0,10.0,17.0,27.0,,,,4.0,,,,2.0,,1.0,4.0,4.0,,,0.00827566,,,1.0,0.0,,,,,,,,70.0,,,,,,,8.0,,,6.5,,,,,,,,1.0,,2.0,,15.0,19.0,33.0,,,0,3.0,44.0,,1.0,,
2024-25,12436941,4,21,West_Ham_United,Away,799041,215439,Tomáš Souček,tomas-soucek,M,False,,,,4.0,,4.0,4.0,1.0,,1.0,,,,,,,5.0,1.0,,,0.00189941,0.0682,,,0.0,,,,,,,,45.0,,1.0,,,,,5.0,,,6.6,,,2.0,,,1.0,1.0,,,1.0,,7.0,,7.0,,,2,,14.0,1.0,,,
2024-25,12436941,4,21,West_Ham_United,Away,832427,224860,Carlos Soler,carlos-soler,M,True,,,,1.0,4.0,5.0,1.0,,,2.0,,,,3.0,,2.0,8.0,1.0,,,0.00035229,,,2.0,0.0,,,,,1.0,,,20.0,,1.0,,,,,3.0,,,6.3,,,,,,1.0,,,,,,1.0,5.0,6.0,,,0,1.0,14.0,,,,1.0
2024-25,12436941,4,21,West_Ham_United,Away,839981,224024,Lucas Paquetá,lucas-paqueta,M,True,1.0,,3.0,8.0,11.0,18.0,2.0,1.0,,6.0,,,,1.0,,4.0,10.0,1.0,,,0.0735827,0.0186,,3.0,0.0,,,,,,1.0,,45.0,,,,,,,14.0,,,6.4,,,1.0,,,,,4.0,,4.0,,16.0,13.0,25.0,,,1,,36.0,,,,
2024-25,12436941,4,21,West_Ham_United,Away,845464,229384,Andy Irving,andy-irving,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436941,4,21,West_Ham_United,Away,847151,213999,Edson Álvarez,edson-alvarez,M,False,,,1.0,17.0,15.0,32.0,1.0,1.0,,5.0,,,,,,2.0,7.0,8.0,,,0.0102906,,,3.0,0.0,,,,,3.0,1.0,,82.0,,,,,,,10.0,,,6.9,,,,,,1.0,1.0,,,4.0,,20.0,19.0,39.0,,,0,5.0,60.0,,2.0,,3.0
2024-25,12436941,4,21,West_Ham_United,Away,905163,460842,Mohammed Kudus,mohammed-kudus,M,False,2.0,,2.0,15.0,7.0,20.0,3.0,,,5.0,1.0,,1.0,2.0,,4.0,12.0,9.0,,,0.0695579,0.0293,,2.0,0.0,,,,,1.0,2.0,,90.0,,,,,,,9.0,,,7.2,,,1.0,,,,6.0,3.0,,2.0,,17.0,7.0,21.0,,,2,1.0,45.0,2.0,3.0,5.0,1.0
2024-25,12436941,4,21,West_Ham_United,Away,917005,450070,Crysencio Summerville,crysencio-summerville,M,True,,,,3.0,3.0,6.0,1.0,,,3.0,,,,1.0,,2.0,5.0,2.0,,,0.00617408,,,,0.0,,,,,,,,45.0,,1.0,,,,,8.0,,,6.6,,,,,,1.0,1.0,,,,1.0,7.0,4.0,11.0,,,0,,21.0,,2.0,,
2024-25,12436980,5,21,West_Ham_United,Home,552884,178186,Jarrod Bowen,jarrod-bowen,M,False,2.0,,,14.0,4.0,16.0,2.0,1.0,,3.0,,,,,,1.0,3.0,6.0,,,0.106952,0.1199,0.1544,,0.0,,,,,1.0,1.0,,90.0,1.0,,,,,,9.0,,,7.5,,,1.0,,,,2.0,8.0,,,,21.0,4.0,17.0,,,2,1.0,36.0,1.0,2.0,2.0,1.0
2024-25,12436980,5,21,West_Ham_United,Home,609752,197024,Guido Rodríguez,guido-rodriguez,M,False,,,,14.0,7.0,21.0,,,,3.0,,,,,,1.0,1.0,2.0,,,0.00741412,,,,0.0,,,,,,,,38.0,,,,,,,5.0,,,6.4,,,,,,,,,,,,15.0,10.0,25.0,,,0,2.0,29.0,,,,
2024-25,12436980,5,21,West_Ham_United,Home,799041,215439,Tomáš Souček,tomas-soucek,M,True,,,3.0,18.0,17.0,35.0,,2.0,,,,,,,,,2.0,3.0,,,0.132241,0.0622,0.0471,2.0,0.0,,,,,2.0,1.0,1.0,52.0,1.0,,,,,,2.0,,,7.2,,,,,,2.0,,,,3.0,,19.0,18.0,37.0,,,1,1.0,46.0,,,,
2024-25,12436980,5,21,West_Ham_United,Home,832427,224860,Carlos Soler,carlos-soler,M,True,,,2.0,12.0,5.0,17.0,1.0,1.0,,3.0,,,1.0,1.0,,1.0,6.0,2.0,,,0.0106024,0.0926,0.0717,3.0,0.0,,,,,,,,36.0,1.0,,,,,,5.0,,,6.6,,,,,,,,1.0,,3.0,,16.0,5.0,20.0,,,2,,26.0,,2.0,,
2024-25,12436980,5,21,West_Ham_United,Home,839981,224024,Lucas Paquetá,lucas-paqueta,M,False,,,2.0,22.0,10.0,32.0,1.0,1.0,,5.0,,,2.0,,,1.0,5.0,3.0,,,0.0600899,0.0819,,1.0,0.0,,,,,,1.0,,72.0,,,,,,,20.0,,,6.5,,,,,,,3.0,4.0,,5.0,1.0,34.0,12.0,42.0,,,2,,59.0,2.0,1.0,1.0,
2024-25,12436980,5,21,West_Ham_United,Home,845464,229384,Andy Irving,andy-irving,M,True,,,1.0,15.0,6.0,21.0,,,,,,,,3.0,,,4.0,2.0,,,0.00493437,0.0358,0.0409,1.0,0.0,,,,,,,,18.0,1.0,,,,,,,,,6.8,,,,,,,,,,1.0,,15.0,6.0,21.0,,,1,2.0,25.0,,,,1.0
2024-25,12436980,5,21,West_Ham_United,Home,847151,213999,Edson Álvarez,edson-alvarez,M,False,,,1.0,22.0,20.0,42.0,,1.0,,1.0,,,,,,,2.0,2.0,,,0.0139385,0.0149,,2.0,0.0,,,,,,1.0,,54.0,,,,,,,4.0,,,6.4,,,1.0,,,,,,,2.0,,25.0,20.0,45.0,,,1,1.0,49.0,1.0,,,1.0
2024-25,12436980,5,21,West_Ham_United,Home,905163,460842,Mohammed Kudus,mohammed-kudus,M,False,,,1.0,15.0,2.0,17.0,3.0,,,1.0,,,1.0,1.0,,2.0,10.0,7.0,,,0.0121066,0.1889,0.306,1.0,0.0,,,,,,,,90.0,2.0,,,,,,14.0,,,7.0,,,,,,1.0,8.0,3.0,,3.0,1.0,22.0,2.0,21.0,,,3,,44.0,2.0,2.0,5.0,
2024-25,12436980,5,21,West_Ham_United,Home,917005,450070,Crysencio Summerville,crysencio-summerville,M,False,,,,8.0,5.0,13.0,,,,2.0,,,,,,,1.0,3.0,,,0.0143331,,,,0.0,,,,,,,,54.0,,,,,,,4.0,,,6.6,,,,,,,2.0,1.0,,,,10.0,5.0,14.0,,,0,1.0,22.0,,1.0,1.0,
2024-25,12436987,6,21,West_Ham_United,Away,552884,178186,Jarrod Bowen,jarrod-bowen,M,False,2.0,,,16.0,2.0,16.0,2.0,,,8.0,,,2.0,1.0,,4.0,9.0,5.0,,,0.250821,0.0835,,,0.0,,,,,,3.0,,89.0,,,,,,,21.0,,,6.7,,,1.0,,,3.0,6.0,5.0,,2.0,,28.0,2.0,25.0,,,3,1.0,56.0,3.0,,4.0,
2024-25,12436987,6,21,West_Ham_United,Away,609752,197024,Guido Rodríguez,guido-rodriguez,M,False,,,2.0,22.0,16.0,38.0,,3.0,,1.0,,,,1.0,,1.0,3.0,7.0,,,0.0221094,0.0099,,1.0,0.0,,,,,,1.0,,90.0,,,,,,,6.0,,,7.0,,,1.0,,,7.0,,,,5.0,,26.0,17.0,43.0,,,1,4.0,58.0,,,,1.0
2024-25,12436987,6,21,West_Ham_United,Away,799041,215439,Tomáš Souček,tomas-soucek,M,False,,,,13.0,9.0,22.0,4.0,4.0,,3.0,,,,,,1.0,5.0,7.0,,,0.0807044,0.2226,0.4752,1.0,0.0,1.0,,,,2.0,4.0,,90.0,1.0,,,,,,10.0,,,7.9,,,,,,5.0,,1.0,,3.0,,20.0,10.0,29.0,,,1,3.0,47.0,1.0,,,2.0
2024-25,12436987,6,21,West_Ham_United,Away,832427,224860,Carlos Soler,carlos-soler,M,True,,,3.0,6.0,8.0,14.0,,,,1.0,,,,,,,1.0,3.0,,,0.0350402,0.0627,0.7624,,0.0,,,,,,1.0,,45.0,1.0,,,,,,2.0,,,7.2,,,,,,1.0,2.0,,,3.0,,7.0,8.0,15.0,,,1,1.0,23.0,,1.0,1.0,1.0
2024-25,12436987,6,21,West_Ham_United,Away,839981,224024,Lucas Paquetá,lucas-paqueta,M,False,1.0,,3.0,26.0,8.0,33.0,,,,3.0,,,,,,4.0,5.0,2.0,,1.0,0.0652078,0.0274,,1.0,0.0,,,,,1.0,2.0,,76.0,,,,,,,16.0,,,6.6,,,1.0,,,2.0,1.0,3.0,,3.0,,35.0,9.0,41.0,,,1,1.0,60.0,2.0,,1.0,1.0
2024-25,12436987,6,21,West_Ham_United,Away,845464,229384,Andy Irving,andy-irving,M,True,,,,,1.0,1.0,1.0,,,,,,,,,,1.0,,,,1.47e-06,,,,0.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,0,,1.0,,,,
2024-25,12436987,6,21,West_Ham_United,Away,905163,460842,Mohammed Kudus,mohammed-kudus,M,False,,,1.0,12.0,3.0,15.0,,,,3.0,,,1.0,1.0,,4.0,6.0,1.0,,,0.0175364,0.1051,0.0456,,0.0,,,,,,,,45.0,1.0,,,,,,11.0,,,6.6,,,1.0,,,,2.0,,,1.0,1.0,16.0,3.0,19.0,,,3,,32.0,1.0,,1.0,
2024-25,12436987,6,21,West_Ham_United,Away,917005,450070,Crysencio Summerville,crysencio-summerville,M,True,,,,2.0,,2.0,1.0,,,,,,1.0,,,,1.0,1.0,,,0.00034334,0.0485,,1.0,0.0,,,,,,,,14.0,,,,,,,6.0,,,6.6,,,,,,,,,,,,5.0,1.0,6.0,,,1,1.0,14.0,2.0,,,
2024-25,12436987,6,21,West_Ham_United,Away,1016893,577114,Luís Guilherme,luis-guilherme,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12437024,7,21,West_Ham_United,Home,552884,178186,Jarrod Bowen,jarrod-bowen,M,False,1.0,,,17.0,7.0,23.0,1.0,,,6.0,2.0,1.0,2.0,1.0,,,5.0,,,,1.03627,0.2861,0.5957,2.0,1.0,1.0,,,,,5.0,,90.0,3.0,,,,,,7.0,,,8.7,,,,,,,1.0,4.0,,,,21.0,7.0,24.0,,,5,,37.0,2.0,,,
