playerId,playerName,position,team_name,team_id,nationality,season,straightRedCards,totalRedCards,yellowCards,duelsLost,successfulCrossesOpenPlay,expectedAssists,expectedGoalsFreekick,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,unsuccessfulShortPasses,gamesPlayed,setPiecesGoals,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,awayGoals,oboxBlocked,cornersTakenInclShortCorners,aerialDuels,cleanSheets,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,aerialDuelsLost,duelsWon,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,successfulCornersIntoBox,totalTouchesInOppositionBox,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,rightFootGoals,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,freekickTotal,groundDuels,aerialDuelsWon,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,attemptsFromSetPieces,leftsidePasses,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,goalAssists,offsides,substituteOn,substituteOff,hitWoodwork,handballsConceded,shotsOnTargetOutsideBox,unsuccessfulLayoffs,oboxTarget,shotsBlockedInBox,iboxBlocked,leftFootGoals,throwInsToOppositionPlayer,throwInsToOwnPlayer,overruns,lastPlayerTackle,punches,catches,savesMade,savesMadeFromOutsideBox,goalKicks,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox
97846,Alex Cairns,Goalkeeper,Leeds,2,England,2026-27,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592740,Alfie Cresswell,Midfielder,Leeds,2,England,2026-27,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466525,Anton Stach,Midfielder,Leeds,2,Germany,2026-27,0.0,0.0,0.0,17.0,1.0,0.1575,0.1481,2.0,2.0,0.4604,9.0,3.0,30.0,3.0,1.0,4.0,3.0,33.0,2.0,82.0,1.0,1.0,2.0,9.0,10.0,1.0,2.0,1.0,270.0,1.0,3.0,24.0,7.0,17.0,43.0,1.0,6.0,1.797,2.0,1.0,11.0,2.0,14.0,18.0,7.0,1.0,41.0,3.0,0.0,33.0,11.0,3.0,1.0,6.0,4.0,30.0,2.0,13.0,6.0,3.0,31.0,7.0,77.0,1.0,2.0,61.0,3.0,1.0,1.0,3.0,13.0,5.0,6.0,8.0,6.0,18.0,163.0,2.0,1.0,21.0,4.0,0.4908,3.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,
248056,Ao Tanaka,Midfielder,Leeds,2,Japan,2026-27,0.0,0.0,0.0,2.0,,0.0172,,,,,5.0,2.0,8.0,2.0,,2.0,1.0,9.0,,50.0,,,,,2.0,,,,118.0,,1.0,9.0,1.0,8.0,41.0,,3.0,0.6837,,,7.0,1.0,1.0,13.0,1.0,0.0,11.0,1.0,,13.0,6.0,2.0,,4.0,,14.0,1.0,,,,9.0,1.0,47.0,2.0,,10.0,1.0,2.0,1.0,,9.0,1.0,,,,15.0,74.0,,,27.0,,0.5287,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
427637,Brenden Aaronson,Midfielder,Leeds,2,United States,2026-27,0.0,0.0,0.0,18.0,,0.0121,,,1.0,0.025,2.0,1.0,7.0,3.0,,1.0,2.0,7.0,,24.0,,,,,9.0,,,,155.0,,6.0,12.0,4.0,9.0,17.0,,,1.6417,,,1.0,2.0,12.0,7.0,5.0,0.0,30.0,4.0,,7.0,7.0,3.0,,,3.0,9.0,2.0,,5.0,,21.0,3.0,23.0,,,17.0,2.0,2.0,,,5.0,,,,,5.0,55.0,,,8.0,,0.0117,,,,,1.0,2.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,
200617,Daniel James,Forward,Leeds,2,Wales,2026-27,0.0,0.0,0.0,3.0,,0.0063,,2.0,,,,2.0,1.0,1.0,,,,1.0,2.0,6.0,,,1.0,,1.0,,,,22.0,,1.0,1.0,1.0,1.0,4.0,,2.0,0.0905,,,,,2.0,1.0,,0.0,4.0,,,3.0,2.0,1.0,,,2.0,4.0,,2.0,2.0,,3.0,,6.0,2.0,2.0,5.0,,1.0,,,,,,,1.0,2.0,16.0,1.0,,1.0,,0.2367,,1.0,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,
177815,Dominic Calvert-Lewin,Forward,Leeds,2,England,2026-27,0.0,0.0,2.0,24.0,,0.0824,,2.0,3.0,1.2555,,4.0,19.0,3.0,,3.0,3.0,19.0,,40.0,1.0,0.0,1.0,,30.0,1.0,,2.0,253.0,2.0,14.0,19.0,2.0,3.0,21.0,,6.0,1.7335,1.0,,4.0,2.0,10.0,8.0,3.0,0.0,43.0,,1.0,19.0,5.0,3.0,,,1.0,17.0,2.0,,1.0,,13.0,16.0,40.0,1.0,1.0,28.0,,,,,6.0,7.0,,,,7.0,69.0,1.0,,4.0,1.0,1.6058,,2.0,,4.0,,1.0,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,
199598,Ethan Ampadu,Midfielder,Leeds,2,Wales,2026-27,0.0,0.0,0.0,16.0,1.0,0.1383,,,,,8.0,1.0,14.0,3.0,,2.0,3.0,25.0,1.0,115.0,,,,,9.0,1.0,1.0,,270.0,,7.0,13.0,5.0,11.0,85.0,,,1.797,3.0,,7.0,2.0,9.0,21.0,2.0,0.0,29.0,1.0,,46.0,9.0,3.0,,4.0,,47.0,2.0,1.0,,,20.0,2.0,109.0,1.0,1.0,41.0,4.0,1.0,3.0,,34.0,4.0,7.0,,5.0,14.0,174.0,,3.0,44.0,3.0,0.0141,11.0,6.0,,,,,,,,1.0,,,,,11.0,6.0,,,,,,,,,,,
243526,Gabriel Gudmundsson,Defender,Leeds,2,Sweden,2026-27,0.0,0.0,0.0,4.0,,0.0016,,,,,3.0,,6.0,1.0,,,1.0,10.0,2.0,26.0,,,,,2.0,,,,90.0,,,8.0,1.0,6.0,14.0,,1.0,0.6567,,1.0,2.0,1.0,4.0,7.0,2.0,0.0,12.0,1.0,,12.0,9.0,1.0,,2.0,2.0,5.0,1.0,2.0,3.0,,10.0,2.0,26.0,,1.0,22.0,1.0,1.0,,,,1.0,,,2.0,7.0,50.0,,2.0,11.0,,,4.0,2.0,,,,,,,,,,,,,6.0,1.0,1.0,,,,,,,,,,
153682,Harry Wilson,Forward,Leeds,2,Wales,2026-27,0.0,0.0,1.0,7.0,,0.066,,1.0,,,3.0,,3.0,3.0,,,1.0,4.0,2.0,35.0,,,1.0,4.0,1.0,,1.0,,128.0,,1.0,6.0,,6.0,26.0,1.0,5.0,0.4817,4.0,,,,6.0,4.0,1.0,0.0,13.0,,,10.0,4.0,3.0,,2.0,1.0,18.0,,6.0,2.0,,12.0,,32.0,,,14.0,1.0,2.0,,,14.0,3.0,2.0,3.0,5.0,7.0,58.0,1.0,1.0,14.0,1.0,0.0106,1.0,2.0,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
434752,Jaka Bijol,Defender,Leeds,2,Slovenia,2026-27,0.0,0.0,0.0,8.0,,0.0036,,2.0,,,3.0,,11.0,3.0,,,2.0,19.0,1.0,79.0,,,,,16.0,1.0,,,164.0,,8.0,12.0,1.0,4.0,55.0,,3.0,1.6417,,3.0,15.0,2.0,,18.0,1.0,0.0,20.0,1.0,,34.0,7.0,3.0,,1.0,,16.0,2.0,1.0,,,4.0,8.0,79.0,,1.0,20.0,2.0,,1.0,,20.0,1.0,3.0,,5.0,7.0,107.0,,2.0,44.0,,0.1059,8.0,6.0,,,1.0,1.0,,,,,,2.0,2.0,,,,,1.0,,,,,,,,,
220627,James Justin,Defender,Leeds,2,England,2026-27,0.0,0.0,0.0,13.0,,0.0206,,,2.0,0.4366,11.0,3.0,11.0,3.0,,2.0,3.0,18.0,5.0,63.0,,,,,13.0,1.0,,1.0,270.0,1.0,5.0,22.0,5.0,14.0,44.0,,4.0,1.797,1.0,1.0,13.0,2.0,8.0,13.0,3.0,0.0,35.0,2.0,,24.0,11.0,3.0,,4.0,,22.0,2.0,5.0,2.0,,22.0,8.0,61.0,1.0,2.0,39.0,7.0,1.0,2.0,,10.0,3.0,4.0,,1.0,16.0,136.0,,4.0,23.0,1.0,0.1693,7.0,7.0,,,,,,,1.0,,1.0,,,,8.0,7.0,,,,,,,,,,,
432720,James Trafford,Goalkeeper,Leeds,2,England,2026-27,0.0,0.0,0.0,1.0,,0.0063,,,,,,,1.0,3.0,,,3.0,45.0,,111.0,,,,,1.0,1.0,,,270.0,,1.0,,2.0,,41.0,,,1.797,,10.0,2.0,2.0,,19.0,,0.0,1.0,,,77.0,31.0,3.0,,,,20.0,2.0,,,,,,70.0,,,45.0,,,,,15.0,,,,25.0,,148.0,,28.0,46.0,,,44.0,5.0,,,,,,,,,,,,,,,,,2.0,5.0,11.0,1.0,22.0,27.0,13.0,3.0,9.0
226182,Jayden Bogle,Defender,Leeds,2,England,2026-27,0.0,0.0,1.0,10.0,,0.0305,,,1.0,0.9953,3.0,1.0,12.0,3.0,,1.0,3.0,20.0,3.0,62.0,1.0,1.0,,,6.0,1.0,,,219.0,,2.0,16.0,5.0,12.0,39.0,,3.0,1.1146,1.0,,6.0,1.0,8.0,3.0,6.0,0.0,26.0,2.0,0.0,25.0,8.0,3.0,1.0,1.0,2.0,18.0,1.0,3.0,3.0,,20.0,4.0,60.0,,2.0,37.0,2.0,3.0,1.0,,18.0,3.0,2.0,,3.0,16.0,112.0,,3.0,24.0,1.0,0.9023,8.0,4.0,,,,2.0,,,,1.0,,,,,2.0,2.0,,,,,,,,,,,
643970,Jayden Lienou,Defender,Leeds,2,Wales,2026-27,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587982,Jean-Mattéo Bahoya,Forward,Leeds,2,France,2026-27,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214225,Joe Rodon,Defender,Leeds,2,Wales,2026-27,0.0,0.0,0.0,5.0,1.0,0.0622,,1.0,,,1.0,,7.0,2.0,,,2.0,9.0,,34.0,,,,,4.0,1.0,1.0,,124.0,,,7.0,1.0,3.0,24.0,,2.0,0.4534,1.0,,8.0,,5.0,2.0,2.0,0.0,12.0,1.0,,13.0,2.0,2.0,,1.0,1.0,10.0,,,1.0,,8.0,4.0,33.0,,,14.0,1.0,,1.0,,12.0,3.0,1.0,,1.0,7.0,59.0,,1.0,16.0,3.0,0.0333,2.0,5.0,,,,1.0,,,,,,1.0,1.0,,4.0,2.0,,,,,,,,,,,
