playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,fiftyFifty,totalRedCards,expectedGoalsFreekick,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,successfulFiftyFifty,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,offsides,awayGoals,oboxBlocked,substituteOn,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,oboxTarget,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,freekickTotal,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,attemptsFromSetPieces,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,successfulCrossesAndCorners,throwInsToOppositionPlayer,foulWonPenalty,goals,rightFootGoals,headedGoals,hitWoodwork,handballsConceded,leftFootGoals,clearancesOffTheLine,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,successfulCornersIntoBox,unsuccessfulCornersIntoBox,cornersTakenInclShortCorners,ownGoalScored,secondGoalAssists,penaltiesConceded,setPiecesGoals,penaltiesTaken,penaltyGoals
477547,Leo Hjelde,Defender,Leeds,2,Norway,2021-22,3.0,0.0111,3.0,0.0,,,,,5.0,,,16.0,2.0,,,2.0,,25.0,3.0,80.0,,0.0,,2.0,5.0,,,,148.0,,,2.0,8.0,,2.0,5.0,52.0,1.0,,3.7131,1.0,1.0,7.0,5.0,,1.0,31.0,,0.0,11.0,,0.0,31.0,9.0,2.0,,1.0,,20.0,5.0,3.0,,,,6.0,3.0,0.0,80.0,,,33.0,4.0,,3.0,,8.0,1.0,4.0,3.0,10.0,132.0,24.0,,,6.0,35.0,1.0,,0.0,9.0,10.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450529,Lewis Bate,Midfielder,Leeds,2,England,2021-22,19.0,0.0074,5.0,0.0,,,,,1.0,1.0,,14.0,3.0,,1.0,1.0,1.0,16.0,,61.0,,0.0,,2.0,2.0,,,,147.0,,,2.0,3.0,1.0,4.0,3.0,42.0,,,1.4722,,,1.0,4.0,,17.0,9.0,1.0,0.0,22.0,1.0,0.0,20.0,8.0,3.0,,1.0,4.0,14.0,3.0,,6.0,,,20.0,,0.0,60.0,1.0,,31.0,,1.0,,,15.0,3.0,1.0,3.0,17.0,90.0,,2.0,,,31.0,3.0,0.0137,0.0,2.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55914,Liam Cooper,Defender,Leeds,2,Scotland,2021-22,75.0,0.1532,44.0,0.0,,1.0,1.0,0.1936,41.0,5.0,1.0,109.0,21.0,1.0,1.0,28.0,21.0,199.0,1.0,1175.0,2.0,0.0,,,126.0,5.0,,1.0,1815.0,1.0,,44.0,135.0,2.0,19.0,53.0,917.0,13.0,1.0,25.4517,3.0,15.0,72.0,26.0,1.0,31.0,415.0,9.0,0.0,210.0,11.0,0.0,443.0,118.0,21.0,,18.0,1.0,184.0,24.0,1.0,2.0,,1.0,84.0,82.0,0.0,1150.0,4.0,,213.0,23.0,3.0,18.0,,235.0,19.0,43.0,59.0,82.0,1430.0,5.0,1.0,,40.0,792.0,11.0,0.3697,5.0,90.0,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
464618,Liam McCarron,Midfielder,Leeds,2,Scotland,2021-22,,,1.0,0.0,,,,,,,,,1.0,,,,,,,2.0,,0.0,,1.0,,,,,9.0,,,,,,1.0,,2.0,,,0.4497,,,,1.0,,,1.0,,0.0,,1.0,0.0,,1.0,1.0,,,,,1.0,,,,,,,0.0,2.0,,,,,,,,,,,,1.0,3.0,,,,,2.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66588,Luke Ayling,Defender,Leeds,2,England,2021-22,142.0,0.9934,65.0,1.0,,3.0,4.0,0.7997,74.0,16.0,5.0,197.0,26.0,2.0,,35.0,26.0,320.0,27.0,1418.0,2.0,2.0,1.0,,85.0,2.0,,2.0,2275.0,2.0,,50.0,150.0,6.0,50.0,115.0,992.0,37.0,5.0,49.3515,10.0,7.0,50.0,66.0,2.0,92.0,145.0,19.0,1.0,292.0,21.0,0.0,667.0,187.0,26.0,,32.0,14.0,411.0,60.0,27.0,24.0,,2.0,207.0,35.0,1.0,1381.0,12.0,4.0,438.0,42.0,23.0,25.0,,478.0,22.0,28.0,106.0,128.0,1964.0,122.0,2.0,1.0,30.0,691.0,16.0,1.2452,4.0,123.0,116.0,4.0,4.0,12.0,,2.0,2.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,
72222,Mateusz Klich,Midfielder,Leeds,2,Poland,2021-22,131.0,2.0095,77.0,0.0,,15.0,18.0,2.3287,47.0,27.0,6.0,158.0,33.0,2.0,14.0,33.0,26.0,196.0,24.0,977.0,2.0,0.0,8.0,7.0,20.0,,10.0,7.0,2079.0,7.0,3.0,13.0,89.0,5.0,34.0,82.0,755.0,52.0,4.0,39.011,29.0,5.0,18.0,52.0,7.0,118.0,253.0,15.0,0.0,220.0,18.0,1.0,346.0,171.0,33.0,10.0,22.0,15.0,447.0,47.0,24.0,37.0,,7.0,200.0,7.0,0.0,947.0,9.0,11.0,304.0,25.0,20.0,4.0,,198.0,40.0,11.0,26.0,180.0,1318.0,13.0,19.0,8.0,11.0,340.0,27.0,2.8442,5.0,38.0,48.0,6.0,6.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,3.0,,,1.0,,,
469249,Nohan Kenneh,Midfielder,Leeds,2,Liberia,2021-22,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222694,Pascal Struijk,Defender,Leeds,2,Netherlands,2021-22,90.0,0.2096,68.0,1.0,,2.0,4.0,0.7742,61.0,9.0,1.0,113.0,29.0,,,29.0,22.0,186.0,,1254.0,1.0,0.0,1.0,7.0,79.0,,,3.0,2051.0,3.0,,39.0,111.0,3.0,24.0,71.0,1008.0,21.0,3.0,37.686,11.0,9.0,56.0,52.0,1.0,51.0,453.0,8.0,0.0,201.0,12.0,1.0,440.0,161.0,29.0,,22.0,1.0,279.0,49.0,,6.0,,1.0,122.0,40.0,1.0,1219.0,5.0,,213.0,39.0,2.0,23.0,,278.0,25.0,33.0,60.0,83.0,1565.0,21.0,2.0,1.0,39.0,789.0,19.0,1.4226,6.0,73.0,86.0,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
106617,Patrick Bamford,Forward,Leeds,2,England,2021-22,28.0,0.4425,16.0,0.0,,4.0,5.0,1.3794,1.0,16.0,1.0,18.0,9.0,2.0,,3.0,7.0,19.0,1.0,104.0,5.0,1.0,,2.0,19.0,,1.0,2.0,559.0,2.0,,14.0,15.0,,9.0,10.0,83.0,33.0,1.0,12.1611,3.0,,8.0,14.0,4.0,14.0,19.0,5.0,0.0,43.0,6.0,1.0,17.0,12.0,9.0,1.0,1.0,3.0,44.0,14.0,1.0,6.0,,4.0,24.0,5.0,0.0,86.0,11.0,2.0,45.0,,4.0,2.0,,28.0,5.0,2.0,2.0,40.0,189.0,1.0,3.0,,,43.0,2.0,2.9757,2.0,1.0,2.0,2.0,2.0,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
219961,Raphinha,Forward,Leeds,2,Brazil,2021-22,238.0,6.1945,87.0,0.0,0.4917,26.0,25.0,8.416,51.0,62.0,16.0,250.0,35.0,3.0,16.0,36.0,34.0,330.0,57.0,1074.0,14.0,5.0,18.0,1.0,54.0,4.0,9.0,5.0,2922.0,5.0,4.0,31.0,182.0,7.0,81.0,159.0,688.0,139.0,4.0,51.3215,62.0,1.0,25.0,68.0,8.0,207.0,79.0,47.0,2.0,420.0,43.0,6.0,341.0,166.0,35.0,9.0,22.0,84.0,511.0,61.0,129.0,119.0,10.0,8.0,366.0,23.0,0.0,1041.0,37.0,32.0,712.0,29.0,62.0,,10.0,467.0,40.0,29.0,56.0,187.0,1948.0,47.0,8.0,18.0,12.0,266.0,26.0,10.1273,7.0,80.0,58.0,13.0,33.0,16.0,1.0,11.0,,,7.0,1.0,11.0,,,,,,,,,,,,,,,16.0,52.0,76.0,,2.0,1.0,1.0,4.0,4.0
193645,Robin Koch,Defender,Leeds,2,Germany,2021-22,100.0,0.3152,46.0,0.0,,4.0,1.0,0.1063,21.0,9.0,,116.0,20.0,,1.0,17.0,17.0,158.0,4.0,698.0,,0.0,1.0,3.0,90.0,1.0,,1.0,1574.0,1.0,,45.0,81.0,4.0,26.0,36.0,508.0,18.0,,30.2925,5.0,1.0,43.0,40.0,3.0,55.0,167.0,10.0,0.0,181.0,16.0,0.0,263.0,104.0,20.0,,8.0,3.0,181.0,36.0,4.0,9.0,,3.0,91.0,45.0,0.0,689.0,8.0,1.0,188.0,13.0,5.0,10.0,,190.0,22.0,20.0,32.0,78.0,915.0,15.0,2.0,1.0,27.0,359.0,12.0,0.785,3.0,42.0,79.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
80954,Rodrigo,Forward,Leeds,2,Spain,2021-22,144.0,2.6559,74.0,0.0,,13.0,18.0,4.3567,20.0,34.0,9.0,190.0,31.0,1.0,36.0,37.0,27.0,213.0,15.0,872.0,4.0,3.0,7.0,4.0,65.0,3.0,5.0,7.0,2270.0,7.0,6.0,48.0,89.0,3.0,37.0,72.0,619.0,79.0,2.0,33.8391,37.0,2.0,26.0,37.0,6.0,96.0,172.0,30.0,1.0,233.0,12.0,3.0,215.0,103.0,31.0,5.0,11.0,20.0,395.0,34.0,17.0,47.0,,6.0,168.0,17.0,0.0,837.0,16.0,14.0,355.0,9.0,22.0,,,247.0,21.0,11.0,40.0,238.0,1246.0,11.0,11.0,7.0,5.0,276.0,16.0,4.2406,9.0,23.0,50.0,9.0,12.0,,,6.0,1.0,,2.0,,5.0,,,,,,,,,,,,,,,2.0,2.0,9.0,,1.0,,,1.0,1.0
248937,Sam Greenwood,Forward,Leeds,2,England,2021-22,16.0,0.0451,12.0,0.0,0.0652,2.0,,,8.0,2.0,1.0,12.0,7.0,2.0,2.0,6.0,1.0,19.0,3.0,73.0,2.0,0.0,1.0,6.0,5.0,,,,232.0,,1.0,3.0,14.0,1.0,5.0,12.0,53.0,6.0,,4.5499,2.0,,1.0,5.0,1.0,13.0,10.0,2.0,0.0,30.0,3.0,0.0,25.0,14.0,7.0,,3.0,3.0,24.0,4.0,6.0,3.0,1.0,1.0,25.0,2.0,0.0,72.0,2.0,1.0,30.0,5.0,2.0,,1.0,18.0,7.0,2.0,1.0,20.0,110.0,,1.0,1.0,3.0,30.0,5.0,0.2893,0.0,7.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,
87873,Stuart Dallas,Defender,Leeds,2,Northern Ireland,2021-22,154.0,2.5024,83.0,0.0,,12.0,9.0,1.0142,93.0,18.0,7.0,196.0,34.0,1.0,5.0,46.0,34.0,286.0,32.0,1352.0,2.0,0.0,8.0,,66.0,4.0,5.0,3.0,2922.0,3.0,,34.0,184.0,5.0,75.0,152.0,1010.0,29.0,5.0,52.8432,30.0,8.0,56.0,66.0,4.0,120.0,330.0,30.0,1.0,338.0,31.0,1.0,587.0,219.0,34.0,5.0,38.0,14.0,542.0,61.0,76.0,39.0,,4.0,272.0,32.0,0.0,1316.0,9.0,21.0,459.0,55.0,29.0,14.0,,223.0,33.0,57.0,56.0,212.0,2176.0,215.0,3.0,8.0,41.0,549.0,23.0,1.8886,5.0,90.0,92.0,7.0,25.0,9.0,,1.0,,,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,13.0,34.0,53.0,,,1.0,,,
473342,Stuart McKinstry,Midfielder,Leeds,2,Scotland,2021-22,,0.0001,,0.0,,,,,,,,1.0,1.0,,,,,1.0,,3.0,,0.0,,1.0,,,,,3.0,,,,,,,,2.0,,,,,,,,,,,,0.0,,,0.0,,1.0,1.0,,,,,,,,,,,,0.0,3.0,,,2.0,,,,,2.0,,,,1.0,5.0,,,,,2.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173821,Tyler Roberts,Forward,Leeds,2,Wales,2021-22,68.0,0.7475,28.0,0.0,,5.0,13.0,2.8471,16.0,25.0,1.0,63.0,23.0,1.0,6.0,14.0,7.0,73.0,12.0,280.0,3.0,0.0,4.0,16.0,32.0,,6.0,6.0,977.0,6.0,1.0,23.0,56.0,4.0,21.0,47.0,198.0,41.0,2.0,20.5076,14.0,,10.0,26.0,1.0,45.0,73.0,20.0,0.0,124.0,10.0,1.0,86.0,47.0,23.0,6.0,9.0,10.0,120.0,22.0,12.0,24.0,,1.0,92.0,9.0,0.0,269.0,12.0,9.0,138.0,7.0,12.0,1.0,,63.0,14.0,5.0,9.0,58.0,476.0,5.0,3.0,4.0,1.0,89.0,11.0,2.3664,5.0,10.0,16.0,2.0,2.0,,,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
