playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalTackles,totalShots,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,offsides,awayGoals,substituteOn,cornersTakenInclShortCorners,aerialDuels,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,leftsidePasses,totalFoulsConceded,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,substituteOff,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,yellowCards,unsuccessfulPassesOwnHalf,throughBalls,goals,oboxBlocked,cleanSheets,shotsOnTargetOutsideBox,goalsConcededOutsideBox,successfulCornersIntoBox,oboxTarget,rightFootGoals,leftFootGoals,headedGoals,blocks,interceptions,throwInsToOwnPlayer,hitWoodwork,shotsBlockedOutsideBox,unsuccessfulLaunches,handballsConceded,unsuccessfulLongPasses,successfulLaunches,secondGoalAssists,throwInsToOppositionPlayer,lastPlayerTackle,redCards2ndYellow,penaltiesConceded,clearancesOffTheLine,freekickTotal,attemptsFromSetPieces,expectedGoalsFreekick,foulWonPenalty,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,penaltiesTaken,penaltyGoals,ownGoalScored
155511,Adam Armstrong,Forward,Newcastle,4,England,2014-15,32.0,3.0,0.1045,0.0,1.0,2.0,3.0,0.278,6.0,6.0,14.0,11.0,1.0,3.0,1.0,14.0,4.0,51.0,1.0,0.0,10.0,1.0,15.0,3.0,2.0,202.0,2.0,1.0,13.0,11.0,2.0,9.0,36.0,15.0,1.0,6.9845,5.0,1.0,8.0,1.0,19.0,10.0,2.0,0.0,43.0,2.0,0.0,12.0,6.0,11.0,2.0,6.0,32.0,8.0,5.0,10.0,1.0,28.0,2.0,0.0,45.0,4.0,2.0,35.0,4.0,1.0,13.0,7.0,1.0,1.0,16.0,95.0,1.0,8.0,2.0,0.734,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168580,Ayoze Pérez,Forward,Newcastle,4,Spain,2014-15,290.0,6.0,2.2628,0.0,14.0,25.0,6.0,7.6653,38.0,47.0,106.0,36.0,,34.0,25.0,113.0,34.0,566.0,12.0,3.0,11.0,15.0,98.0,7.0,17.0,2369.0,17.0,11.0,74.0,161.0,60.0,137.0,446.0,155.0,3.0,43.5847,27.0,21.0,50.0,10.0,216.0,133.0,40.0,3.0,451.0,33.0,4.0,165.0,111.0,36.0,6.0,72.0,330.0,44.0,45.0,157.0,10.0,353.0,24.0,0.0,534.0,22.0,31.0,415.0,32.0,60.0,118.0,32.0,11.0,7.0,150.0,1191.0,11.0,130.0,21.0,5.0635,0.0,21.0,4.0,7.0,4.0,1.0,1.0,6.0,1.0,1.0,3.0,2.0,2.0,1.0,27.0,2.0,2.0,4.0,2.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28301,Cheick Tioté,Midfielder,Newcastle,4,Cote d’Ivoire,2014-15,80.0,1.0,0.4124,0.0,6.0,1.0,5.0,0.0629,34.0,4.0,86.0,11.0,2.0,10.0,10.0,126.0,1.0,688.0,,0.0,1.0,,50.0,1.0,,898.0,,,25.0,77.0,22.0,52.0,514.0,1.0,1.0,14.8096,6.0,18.0,19.0,,55.0,186.0,10.0,0.0,157.0,15.0,0.0,227.0,97.0,11.0,10.0,7.0,239.0,17.0,1.0,18.0,,107.0,25.0,0.0,663.0,3.0,2.0,157.0,24.0,8.0,186.0,24.0,,48.0,89.0,854.0,3.0,324.0,14.0,0.2295,5.0,24.0,2.0,,6.0,,1.0,2.0,,1.0,,,,3.0,23.0,1.0,,6.0,11.0,1.0,40.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
52940,Daryl Janmaat,Defender,Newcastle,4,Netherlands,2014-15,149.0,24.0,2.1709,1.0,11.0,6.0,6.0,1.023,103.0,24.0,216.0,37.0,6.0,3.0,37.0,361.0,93.0,1410.0,2.0,0.0,,,74.0,24.0,1.0,3254.0,1.0,,40.0,183.0,62.0,149.0,972.0,42.0,4.0,54.3901,25.0,96.0,60.0,7.0,109.0,62.0,20.0,0.0,332.0,26.0,1.0,657.0,179.0,37.0,26.0,30.0,528.0,52.0,93.0,51.0,7.0,258.0,34.0,0.0,1391.0,18.0,16.0,574.0,77.0,28.0,482.0,31.0,,77.0,209.0,2405.0,4.0,545.0,20.0,1.6327,6.0,71.0,2.0,1.0,4.0,8.0,4.0,8.0,,4.0,,1.0,,7.0,78.0,324.0,,4.0,83.0,2.0,145.0,19.0,,39.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
51621,Emmanuel Rivière,Forward,Newcastle,4,France,2014-15,168.0,2.0,0.8575,0.0,7.0,8.0,3.0,2.5877,9.0,25.0,82.0,23.0,1.0,55.0,15.0,83.0,11.0,378.0,2.0,1.0,8.0,,132.0,2.0,6.0,1213.0,6.0,13.0,100.0,63.0,13.0,31.0,294.0,78.0,3.0,23.0133,14.0,4.0,26.0,4.0,68.0,95.0,15.0,0.0,231.0,7.0,0.0,70.0,34.0,23.0,1.0,15.0,239.0,23.0,11.0,53.0,4.0,99.0,32.0,0.0,354.0,17.0,4.0,187.0,8.0,8.0,92.0,15.0,,1.0,121.0,583.0,12.0,58.0,5.0,3.5897,0.0,18.0,1.0,1.0,3.0,1.0,1.0,3.0,,1.0,1.0,,,,5.0,,,3.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
7933,Fabricio Coloccini,Defender,Newcastle,4,Argentina,2014-15,90.0,1.0,0.8418,1.0,4.0,2.0,,0.9129,62.0,5.0,83.0,32.0,,,32.0,158.0,3.0,1051.0,,1.0,,,107.0,1.0,1.0,2837.0,1.0,,50.0,130.0,33.0,73.0,809.0,18.0,4.0,51.005,2.0,169.0,55.0,2.0,40.0,336.0,8.0,0.0,220.0,25.0,0.0,412.0,163.0,32.0,13.0,2.0,231.0,49.0,3.0,10.0,2.0,113.0,57.0,1.0,1013.0,3.0,5.0,179.0,49.0,3.0,232.0,14.0,,84.0,71.0,1468.0,1.0,663.0,5.0,1.0442,3.0,44.0,2.0,1.0,2.0,6.0,,6.0,,,,,1.0,19.0,68.0,2.0,,2.0,38.0,1.0,75.0,7.0,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,
86527,Facundo Ferreyra,Forward,Newcastle,4,Argentina,2014-15,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155503,Freddie Woodman,Goalkeeper,Newcastle,4,England,2014-15,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38429,Gabriel Obertan,Midfielder,Newcastle,4,,2014-15,53.0,5.0,1.0457,0.0,2.0,2.0,1.0,0.4639,11.0,5.0,49.0,13.0,1.0,11.0,8.0,55.0,18.0,197.0,1.0,0.0,5.0,2.0,50.0,6.0,1.0,651.0,1.0,,26.0,59.0,11.0,35.0,140.0,26.0,,10.6779,13.0,3.0,10.0,1.0,27.0,23.0,13.0,1.0,112.0,3.0,1.0,69.0,44.0,13.0,5.0,8.0,114.0,8.0,18.0,18.0,1.0,62.0,24.0,0.0,195.0,3.0,5.0,112.0,6.0,13.0,61.0,3.0,,2.0,44.0,341.0,5.0,34.0,2.0,0.3787,0.0,8.0,,1.0,1.0,1.0,,2.0,1.0,,1.0,,,1.0,12.0,3.0,,1.0,4.0,,6.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
59304,Haris Vuckic,Forward,Newcastle,4,Slovenia,2014-15,,,0.0031,0.0,,,,,,,,1.0,,1.0,,,,7.0,,0.0,1.0,,1.0,,,8.0,,,,1.0,,,7.0,,,,,1.0,,,,1.0,,0.0,1.0,,0.0,2.0,1.0,1.0,,,3.0,,,,,,1.0,0.0,7.0,,,,,,2.0,,,,2.0,9.0,,4.0,,,0.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58771,Jack Colback,Midfielder,Newcastle,4,England,2014-15,171.0,4.0,2.1987,0.0,5.0,10.0,1.0,3.6091,101.0,22.0,144.0,35.0,6.0,25.0,35.0,180.0,18.0,1443.0,1.0,0.0,,52.0,49.0,23.0,3.0,3129.0,3.0,,31.0,186.0,55.0,168.0,1178.0,48.0,4.0,54.7851,38.0,42.0,61.0,3.0,140.0,416.0,56.0,1.0,357.0,38.0,4.0,457.0,189.0,35.0,25.0,14.0,744.0,54.0,74.0,48.0,3.0,308.0,18.0,0.0,1372.0,12.0,12.0,337.0,76.0,12.0,331.0,57.0,31.0,85.0,239.0,2044.0,1.0,542.0,27.0,3.1154,12.0,47.0,6.0,4.0,2.0,7.0,3.0,7.0,11.0,3.0,,4.0,,8.0,68.0,36.0,1.0,2.0,8.0,1.0,36.0,3.0,1.0,7.0,,,,,3.0,3.0,0.232,1.0,,,,,,,,,,,,,,,,,
106256,Jak Alnwick,Goalkeeper,Newcastle,4,England,2014-15,1.0,,0.005,0.0,,,,,,,,6.0,,,5.0,108.0,,169.0,,0.0,1.0,,2.0,,,495.0,,,,2.0,,,23.0,,1.0,10.0004,,12.0,14.0,,1.0,11.0,1.0,0.0,3.0,,0.0,151.0,54.0,6.0,,,33.0,14.0,,,,1.0,2.0,0.0,68.0,,,108.0,,,7.0,,,38.0,,228.0,,28.0,,,0.0,9.0,,,,,,,,,,,,,,,,,61.0,,108.0,20.0,,,,,,,,,,,11.0,4.0,55.0,5.0,1.0,10.0,10.0,3.0,1.0,3.0,40.0,34.0,1.0,6.0,,,
181397,Jamie Sterry,Defender,Newcastle,4,England,2014-15,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21060,Jonás Gutiérrez,Midfielder,Newcastle,4,Argentina,2014-15,47.0,1.0,0.4216,0.0,4.0,3.0,4.0,1.2803,35.0,6.0,46.0,10.0,1.0,,6.0,62.0,17.0,255.0,,0.0,4.0,1.0,13.0,1.0,1.0,634.0,1.0,,8.0,88.0,20.0,83.0,190.0,13.0,1.0,12.3343,4.0,13.0,13.0,,39.0,69.0,18.0,0.0,135.0,13.0,1.0,118.0,61.0,10.0,4.0,10.0,125.0,11.0,18.0,20.0,,122.0,5.0,0.0,255.0,3.0,3.0,120.0,31.0,30.0,34.0,9.0,1.0,3.0,34.0,493.0,,69.0,9.0,0.4101,4.0,6.0,1.0,1.0,4.0,1.0,1.0,2.0,,1.0,1.0,,,3.0,17.0,31.0,,4.0,5.0,,16.0,,,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
156257,Lubomír Satka,Defender,Newcastle,4,Slovakia,2014-15,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92170,Massadio Haïdara,Defender,Newcastle,4,Mali,2014-15,71.0,6.0,0.3112,0.0,2.0,1.0,2.0,0.0555,28.0,5.0,62.0,15.0,1.0,,12.0,100.0,31.0,459.0,1.0,0.0,3.0,1.0,41.0,6.0,,1099.0,,,23.0,86.0,25.0,68.0,348.0,4.0,1.0,18.919,7.0,47.0,19.0,,48.0,153.0,23.0,0.0,157.0,17.0,0.0,209.0,83.0,15.0,7.0,18.0,188.0,17.0,31.0,33.0,,116.0,18.0,0.0,448.0,4.0,10.0,202.0,21.0,17.0,35.0,12.0,,11.0,62.0,883.0,1.0,177.0,6.0,0.1246,0.0,32.0,1.0,,2.0,3.0,1.0,2.0,,1.0,,,,3.0,34.0,121.0,,2.0,20.0,,38.0,6.0,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,
98746,Mehdi Abeid,Midfielder,Newcastle,4,Algeria,2014-15,43.0,,0.1365,0.0,4.0,2.0,1.0,0.0812,22.0,8.0,33.0,13.0,,8.0,7.0,55.0,1.0,311.0,,0.0,6.0,5.0,21.0,3.0,1.0,662.0,1.0,,10.0,42.0,13.0,31.0,240.0,5.0,,9.5532,1.0,10.0,9.0,1.0,33.0,84.0,5.0,0.0,85.0,8.0,0.0,87.0,63.0,13.0,6.0,6.0,106.0,6.0,6.0,14.0,1.0,64.0,11.0,0.0,308.0,6.0,3.0,84.0,16.0,5.0,80.0,12.0,4.0,16.0,60.0,437.0,2.0,153.0,6.0,0.4765,0.0,21.0,2.0,,3.0,3.0,1.0,3.0,1.0,1.0,,,,1.0,22.0,,,3.0,11.0,,22.0,1.0,,,,,,,1.0,1.0,0.0674,,,,1.0,,,,,,,,1.0,,,,,,
