playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,goalsConceded,totalRedCards,groundDuelsLost,rightsidePasses,winningGoal,duels,forwardPasses,recoveries,appearances,throughBalls,gamesPlayed,successfulPassesOppositionHalf,goalsConcededInsideBox,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,timesTackled,groundDuels,straightRedCards,openPlayPasses,substituteOn,totalLossesOfPossession,successfulDribbles,leftsidePasses,totalFoulsConceded,successfulLongPasses,backwardPasses,timePlayed,touches,duelsWon,throwInsToOwnPlayer,groundDuelsWon,unsuccessfulLaunches,successfulPassesOwnHalf,successfulShortPasses,yellowCards,unsuccessfulLongPasses,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,totalTackles,totalShots,unsuccessfulShortPasses,goalAssists,successfulLayoffs,starts,unsuccessfulCrossesOpenPlay,cornersTakenInclShortCorners,aerialDuels,cleanSheets,successfulCrossesAndCorners,unsuccessfulLayoffs,aerialDuelsLost,goalsConcededOutsideBox,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,totalFoulsWon,tacklesLost,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,aerialDuelsWon,shotsOffTargetIncWoodwork,cornersWon,tacklesWon,blocks,interceptions,substituteOff,unsuccessfulPassesOwnHalf,goals,awayGoals,homeGoals,rightFootGoals,offsides,leftFootGoals,unsuccessfulCornersIntoBox,overruns,penaltiesConceded,clearancesOffTheLine,handballsConceded,setPiecesGoals,penaltiesTaken,headedGoals,attemptsFromSetPieces,penaltyGoals,hitWoodwork,lastPlayerTackle,secondGoalAssists,successfulCornersIntoBox,foulWonPenalty,redCards2ndYellow,gkUnsuccessfulDistribution,penaltiesSaved,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,savesFromPenalty,punches,savesMade,drops,crossesNotClaimed,gkSuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox
999,Alan Smith,Midfielder,Newcastle,4,England,2011-12,2.0,1.0,0.0,2.0,1.0,0.0,3.0,4.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,8.0,1.0,3.0,0.0,8.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,5.0,11.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28301,Cheick Tioté,Midfielder,Newcastle,4,Cote d’Ivoire,2011-12,202.0,24.0,0.0,169.0,395.0,0.0,348.0,417.0,211.0,24.0,6.0,24.0,521.0,18.0,235.0,1402.0,80.0,291.0,0.0,1377.0,,372.0,18.0,388.0,57.0,96.0,202.0,2051.0,1836.0,146.0,7.0,122.0,20.0,649.0,1071.0,11.0,41.0,3.0,10.0,7.0,67.0,19.0,194.0,1.0,37.0,24.0,19.0,2.0,57.0,8.0,3.0,1.0,33.0,6.0,3.0,2.0,2.0,12.0,6.0,33.0,37.0,22.0,11.0,19.0,24.0,12.0,6.0,45.0,9.0,60.0,7.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40387,Dan Gosling,Midfielder,Newcastle,4,England,2011-12,20.0,5.0,1.0,17.0,25.0,0.0,33.0,28.0,11.0,12.0,,12.0,38.0,5.0,17.0,97.0,9.0,29.0,1.0,97.0,11.0,36.0,1.0,23.0,5.0,6.0,21.0,233.0,147.0,13.0,,12.0,2.0,43.0,74.0,2.0,4.0,1.0,1.0,3.0,9.0,5.0,13.0,,5.0,1.0,1.0,,4.0,,1.0,2.0,3.0,,7.0,,,3.0,,8.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,8.0,2.0,2.0,,8.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37639,Danny Guthrie,Midfielder,Newcastle,4,England,2011-12,48.0,22.0,0.0,46.0,187.0,0.0,115.0,180.0,74.0,16.0,5.0,16.0,268.0,22.0,118.0,630.0,22.0,109.0,0.0,621.0,3.0,179.0,9.0,167.0,11.0,65.0,96.0,1130.0,820.0,67.0,1.0,63.0,11.0,250.0,447.0,3.0,32.0,6.0,4.0,4.0,40.0,8.0,86.0,,14.0,13.0,13.0,9.0,6.0,2.0,6.0,,2.0,,5.0,,5.0,17.0,2.0,4.0,14.0,15.0,7.0,21.0,4.0,4.0,3.0,25.0,2.0,25.0,6.0,21.0,1.0,1.0,0.0,,1.0,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40725,Danny Simpson,Defender,Newcastle,4,England,2011-12,97.0,46.0,0.0,69.0,65.0,0.0,212.0,504.0,116.0,35.0,2.0,35.0,397.0,42.0,252.0,1065.0,26.0,161.0,0.0,1055.0,,436.0,6.0,313.0,25.0,62.0,183.0,3120.0,1862.0,115.0,236.0,92.0,64.0,441.0,751.0,7.0,57.0,25.0,,1.0,68.0,3.0,195.0,,11.0,35.0,64.0,,51.0,13.0,25.0,,28.0,4.0,5.0,60.0,7.0,15.0,24.0,126.0,18.0,12.0,8.0,64.0,23.0,2.0,8.0,56.0,17.0,60.0,3.0,87.0,,,,,2.0,,,1.0,1.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
55604,Davide Santon,Defender,Newcastle,4,Italy,2011-12,59.0,32.0,0.0,46.0,246.0,0.0,145.0,272.0,113.0,24.0,3.0,24.0,263.0,27.0,109.0,685.0,22.0,118.0,0.0,682.0,5.0,190.0,12.0,52.0,10.0,28.0,115.0,1660.0,1096.0,86.0,132.0,72.0,14.0,316.0,548.0,1.0,21.0,3.0,3.0,1.0,39.0,1.0,88.0,1.0,2.0,19.0,20.0,,27.0,8.0,3.0,,13.0,5.0,8.0,22.0,3.0,10.0,8.0,42.0,21.0,9.0,7.0,20.0,14.0,,5.0,30.0,3.0,39.0,5.0,44.0,,,,,2.0,,,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
47412,Demba Ba,Forward,Newcastle,4,Senegal,2011-12,227.0,45.0,0.0,146.0,,,376.0,,70.0,34.0,13.0,34.0,368.0,39.0,200.0,771.0,,234.0,0.0,,2.0,,19.0,,27.0,18.0,,2729.0,1220.0,149.0,5.0,88.0,1.0,203.0,553.0,1.0,13.0,,28.0,45.0,14.0,81.0,187.0,2.0,91.0,32.0,10.0,1.0,142.0,5.0,,9.0,81.0,6.0,,1.0,,18.0,,19.0,55.0,4.0,22.0,10.0,61.0,36.0,21.0,10.0,7.0,18.0,11.0,31.0,16.0,,,10.0,27.0,2.0,,,1.0,,1.0,1.0,3.0,4.0,3.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,
7933,Fabricio Coloccini,Defender,Newcastle,4,Argentina,2011-12,105.0,43.0,0.0,66.0,343.0,0.0,237.0,512.0,178.0,35.0,5.0,35.0,287.0,37.0,194.0,1223.0,18.0,163.0,0.0,1201.0,,231.0,8.0,256.0,26.0,119.0,112.0,3043.0,1683.0,132.0,,97.0,57.0,744.0,910.0,2.0,66.0,2.0,1.0,4.0,68.0,15.0,128.0,,,35.0,5.0,,74.0,13.0,2.0,,39.0,6.0,23.0,,7.0,6.0,22.0,171.0,21.0,18.0,2.0,5.0,35.0,11.0,3.0,50.0,24.0,70.0,2.0,57.0,,,,,,,,1.0,,,,,,,,,1.0,4.0,,,,,,,,,,,,,,,,,,,
38429,Gabriel Obertan,Midfielder,Newcastle,4,,2011-12,95.0,25.0,0.0,74.0,84.0,0.0,159.0,150.0,84.0,23.0,2.0,23.0,316.0,23.0,136.0,551.0,57.0,127.0,0.0,549.0,5.0,272.0,20.0,188.0,7.0,13.0,129.0,1561.0,813.0,64.0,5.0,53.0,8.0,108.0,402.0,0.0,8.0,9.0,6.0,2.0,25.0,16.0,128.0,3.0,35.0,18.0,41.0,2.0,32.0,,9.0,5.0,21.0,2.0,52.0,,2.0,20.0,3.0,7.0,8.0,8.0,20.0,41.0,11.0,14.0,14.0,17.0,,16.0,12.0,29.0,1.0,1.0,0.0,1.0,2.0,,,6.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
59304,Haris Vuckic,Forward,Newcastle,4,Slovenia,2011-12,8.0,4.0,0.0,7.0,16.0,0.0,14.0,18.0,9.0,4.0,2.0,4.0,31.0,4.0,13.0,72.0,3.0,11.0,0.0,70.0,2.0,21.0,1.0,16.0,4.0,1.0,22.0,170.0,106.0,6.0,,4.0,,30.0,58.0,0.0,1.0,1.0,1.0,1.0,2.0,5.0,12.0,,6.0,2.0,1.0,3.0,3.0,,2.0,,1.0,,2.0,,,2.0,,2.0,1.0,2.0,1.0,3.0,2.0,4.0,1.0,,,6.0,2.0,2.0,,,,,,,2.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,
18753,Hatem Ben Arfa,Midfielder,Newcastle,4,France,2011-12,140.0,25.0,0.0,131.0,70.0,6.0,236.0,138.0,70.0,26.0,9.0,26.0,312.0,21.0,106.0,576.0,101.0,226.0,0.0,567.0,10.0,295.0,52.0,212.0,15.0,44.0,156.0,1556.0,960.0,96.0,17.0,95.0,1.0,168.0,426.0,2.0,9.0,6.0,9.0,11.0,22.0,25.0,97.0,5.0,37.0,16.0,25.0,21.0,10.0,2.0,10.0,2.0,9.0,4.0,55.0,,4.0,28.0,1.0,4.0,21.0,4.0,33.0,42.0,1.0,14.0,12.0,18.0,,9.0,11.0,26.0,5.0,4.0,1.0,,2.0,5.0,14.0,9.0,1.0,,1.0,,,,2.0,,1.0,,,2.0,1.0,,,,,,,,,,,,,,,,
18846,James Perch,Defender,Newcastle,4,England,2011-12,42.0,22.0,0.0,30.0,104.0,0.0,125.0,213.0,54.0,25.0,2.0,25.0,139.0,20.0,97.0,507.0,4.0,92.0,0.0,504.0,12.0,112.0,1.0,144.0,18.0,40.0,46.0,1328.0,759.0,83.0,17.0,62.0,19.0,271.0,370.0,3.0,18.0,,1.0,,50.0,1.0,79.0,,5.0,13.0,2.0,,33.0,5.0,,,12.0,2.0,3.0,7.0,,3.0,5.0,71.0,11.0,12.0,,2.0,21.0,1.0,1.0,38.0,14.0,42.0,3.0,40.0,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
77816,James Tavernier,Defender,Newcastle,4,England,2011-12,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21060,Jonás Gutiérrez,Midfielder,Newcastle,4,Argentina,2011-12,226.0,48.0,1.0,212.0,350.0,2.0,447.0,465.0,224.0,37.0,8.0,37.0,606.0,42.0,246.0,1219.0,146.0,421.0,0.0,1214.0,,542.0,39.0,164.0,33.0,31.0,240.0,3308.0,2015.0,221.0,47.0,209.0,24.0,384.0,942.0,4.0,29.0,17.0,17.0,9.0,85.0,24.0,217.0,3.0,38.0,37.0,82.0,,26.0,15.0,17.0,1.0,14.0,6.0,59.0,3.0,7.0,27.0,6.0,40.0,85.0,16.0,55.0,82.0,12.0,15.0,12.0,69.0,7.0,74.0,2.0,54.0,2.0,1.0,1.0,1.0,3.0,1.0,,18.0,,,2.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,
16005,Leon Best,Forward,Newcastle,4,Ireland,2011-12,102.0,13.0,0.0,54.0,,,201.0,,27.0,18.0,,18.0,174.0,12.0,80.0,309.0,,102.0,0.0,,2.0,,13.0,,21.0,7.0,,1165.0,467.0,99.0,1.0,48.0,,59.0,222.0,2.0,1.0,4.0,6.0,8.0,10.0,18.0,79.0,2.0,32.0,16.0,10.0,,99.0,,4.0,4.0,48.0,1.0,,,,18.0,,16.0,25.0,3.0,9.0,10.0,51.0,10.0,13.0,7.0,,1.0,14.0,4.0,4.0,,,3.0,24.0,1.0,,,,,3.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
11378,Mike Williamson,Defender,Newcastle,4,England,2011-12,82.0,29.0,0.0,38.0,116.0,0.0,176.0,331.0,52.0,22.0,1.0,22.0,134.0,24.0,172.0,720.0,11.0,83.0,0.0,717.0,1.0,190.0,,193.0,15.0,24.0,80.0,1895.0,1013.0,94.0,,45.0,48.0,416.0,524.0,4.0,44.0,2.0,1.0,1.0,32.0,5.0,128.0,1.0,4.0,21.0,1.0,,93.0,10.0,2.0,,44.0,5.0,33.0,1.0,3.0,5.0,16.0,152.0,13.0,9.0,3.0,1.0,49.0,4.0,5.0,23.0,13.0,32.0,,56.0,,,,,1.0,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
42758,Papiss Demba Cissé,Forward,Newcastle,4,Senegal,2011-12,86.0,18.0,0.0,60.0,94.0,10.0,138.0,76.0,28.0,14.0,2.0,14.0,163.0,14.0,106.0,349.0,44.0,92.0,0.0,349.0,1.0,201.0,5.0,52.0,13.0,6.0,127.0,1113.0,553.0,52.0,,32.0,2.0,83.0,237.0,1.0,5.0,3.0,4.0,21.0,13.0,35.0,101.0,1.0,48.0,13.0,11.0,,46.0,3.0,3.0,11.0,26.0,4.0,53.0,1.0,1.0,10.0,,8.0,14.0,4.0,9.0,11.0,20.0,14.0,6.0,9.0,,12.0,7.0,19.0,13.0,6.0,7.0,6.0,17.0,6.0,,1.0,,,,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,
4454,Peter Løvenkrands,Forward,Newcastle,4,Denmark,2011-12,10.0,2.0,0.0,8.0,14.0,0.0,18.0,12.0,9.0,9.0,1.0,9.0,29.0,2.0,18.0,64.0,2.0,14.0,0.0,64.0,7.0,27.0,2.0,17.0,4.0,1.0,21.0,204.0,89.0,8.0,,6.0,1.0,19.0,45.0,0.0,3.0,2.0,1.0,,3.0,1.0,15.0,1.0,7.0,2.0,3.0,,4.0,,2.0,2.0,2.0,,7.0,,,2.0,,3.0,1.0,,1.0,3.0,2.0,1.0,1.0,3.0,,1.0,2.0,5.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19838,Robert Elliot,Goalkeeper,Newcastle,4,Ireland,2011-12,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14775,Ryan Taylor,Defender,Newcastle,4,England,2011-12,82.0,26.0,0.0,73.0,250.0,4.0,155.0,469.0,132.0,31.0,3.0,31.0,434.0,24.0,224.0,987.0,25.0,136.0,0.0,903.0,8.0,418.0,3.0,131.0,28.0,75.0,137.0,2126.0,1629.0,73.0,139.0,63.0,47.0,366.0,688.0,5.0,80.0,23.0,18.0,5.0,41.0,22.0,144.0,3.0,15.0,23.0,48.0,43.0,19.0,6.0,37.0,1.0,9.0,2.0,11.0,54.0,5.0,40.0,19.0,75.0,19.0,10.0,5.0,86.0,10.0,17.0,17.0,31.0,11.0,43.0,6.0,52.0,2.0,1.0,1.0,2.0,,,24.0,2.0,1.0,1.0,4.0,1.0,,,21.0,,1.0,,,12.0,,,1.0,,,,,,,,,,,,,,
97612,Sammy Ameobi,Forward,Newcastle,4,England,2011-12,28.0,6.0,0.0,24.0,9.0,0.0,40.0,23.0,16.0,10.0,1.0,10.0,23.0,6.0,23.0,57.0,19.0,34.0,0.0,57.0,9.0,66.0,4.0,17.0,4.0,3.0,8.0,192.0,125.0,12.0,1.0,10.0,2.0,11.0,31.0,0.0,3.0,,1.0,2.0,5.0,5.0,20.0,,3.0,1.0,14.0,,6.0,,,1.0,4.0,,12.0,,2.0,,2.0,1.0,1.0,1.0,13.0,14.0,2.0,3.0,5.0,4.0,1.0,,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
