playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,expectedGoalsFreekick,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,oboxBlocked,substituteOn,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,ownGoalScored,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,oboxTarget,rightFootGoals,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,freekickTotal,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,attemptsFromSetPieces,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,substituteOff,hitWoodwork,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,secondGoalAssists,throwInsToOppositionPlayer,throwInsToOwnPlayer,cornersTakenInclShortCorners,successfulCornersIntoBox,leftFootGoals,unsuccessfulCornersIntoBox,penaltiesConceded,headedGoals,clearancesOffTheLine,redCards2ndYellow,penaltiesTaken,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,drops,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,foulWonPenalty,penaltiesSaved,savesFromPenalty,crossesNotClaimed
168580,Ayoze Pérez,Forward,Newcastle,4,Spain,2017-18,264.0,3.0,2.4873,0.0,0.051,10.0,23.0,7.1943,39.0,50.0,14.0,185.0,36.0,5.0,64.0,28.0,206.0,19.0,718.0,8.0,14.0,4.0,4.0,8.0,133.0,5.0,3.0,3.0,12.0,2494.0,12.0,8.0,89.0,167.0,2.0,70.0,123.0,500.0,124.0,1.0,30.9212,1.0,31.0,1.0,24.0,28.0,6.0,175.0,172.0,53.0,3.0,431.0,35.0,4.0,182.0,126.0,36.0,3.0,8.0,18.0,31.0,338.0,26.0,19.0,101.0,1.0,6.0,298.0,44.0,0.0,677.0,27.0,19.0,424.0,21.0,32.0,1.0,1.0,169.0,36.0,24.0,12.0,195.0,1275.0,13.0,1.0,4.0,6.0,177.0,21.0,2.0,6.2297,3.0,21.0,26.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
149736,Chancel Mbemba,Defender,Newcastle,4,DR Congo,2017-18,34.0,4.0,0.4648,0.0,,,,,16.0,,1.0,39.0,9.0,,1.0,7.0,60.0,3.0,213.0,,,0.0,,2.0,36.0,1.0,,4.0,,672.0,,,17.0,47.0,1.0,9.0,28.0,144.0,3.0,1.0,10.7046,,4.0,5.0,41.0,11.0,,17.0,46.0,4.0,0.0,81.0,4.0,0.0,107.0,34.0,9.0,,,4.0,3.0,72.0,10.0,3.0,6.0,,,45.0,19.0,0.0,212.0,,,83.0,12.0,8.0,3.0,,27.0,5.0,15.0,9.0,33.0,387.0,2.0,,,15.0,85.0,4.0,1.0,,0.0,21.0,23.0,,10.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,
104953,Christian Atsu,Midfielder,Newcastle,4,Ghana,2017-18,165.0,5.0,1.9629,0.0,,11.0,12.0,4.1624,17.0,24.0,1.0,92.0,28.0,2.0,21.0,19.0,102.0,49.0,448.0,2.0,6.0,1.0,4.0,9.0,81.0,3.0,4.0,6.0,6.0,1781.0,6.0,4.0,68.0,84.0,3.0,67.0,71.0,338.0,70.0,2.0,22.2017,,23.0,3.0,20.0,22.0,7.0,97.0,114.0,26.0,1.0,249.0,30.0,1.0,123.0,107.0,28.0,4.0,,1.0,37.0,235.0,19.0,51.0,75.0,,7.0,168.0,13.0,0.0,443.0,12.0,26.0,274.0,16.0,28.0,5.0,,95.0,10.0,13.0,8.0,116.0,846.0,7.0,,4.0,4.0,117.0,4.0,1.0,4.083,1.0,10.0,27.0,,,7.0,4.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
58845,Ciaran Clark,Defender,Newcastle,4,Ireland,2017-18,67.0,,0.4225,0.0,,2.0,3.0,0.9273,25.0,9.0,1.0,92.0,20.0,1.0,,19.0,198.0,2.0,699.0,2.0,,1.0,,1.0,78.0,4.0,,,1.0,1745.0,1.0,,37.0,80.0,4.0,13.0,39.0,440.0,24.0,3.0,30.3747,,3.0,27.0,140.0,30.0,2.0,30.0,189.0,13.0,0.0,147.0,5.0,1.0,348.0,95.0,20.0,,,8.0,1.0,135.0,26.0,2.0,3.0,,2.0,69.0,41.0,0.0,678.0,6.0,3.0,217.0,17.0,4.0,10.0,,109.0,17.0,17.0,61.0,53.0,974.0,,,,73.0,366.0,5.0,,1.7255,3.0,106.0,47.0,,,10.0,,,,,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,
151119,DeAndre Yedlin,Defender,Newcastle,4,United States,2017-18,145.0,19.0,1.4326,0.0,,3.0,,,57.0,3.0,2.0,165.0,34.0,2.0,3.0,31.0,250.0,54.0,1000.0,,9.0,0.0,2.0,3.0,97.0,7.0,,19.0,,2842.0,,,50.0,159.0,4.0,62.0,112.0,720.0,12.0,2.0,36.6069,1.0,17.0,11.0,93.0,37.0,1.0,95.0,42.0,26.0,0.0,304.0,30.0,0.0,419.0,156.0,34.0,,,24.0,17.0,415.0,33.0,54.0,35.0,,1.0,207.0,47.0,0.0,994.0,3.0,6.0,433.0,33.0,29.0,7.0,,345.0,32.0,44.0,30.0,194.0,1823.0,,,2.0,56.0,354.0,14.0,,0.1502,5.0,85.0,86.0,,59.0,263.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,
104547,Dwight Gayle,Forward,Newcastle,4,England,2017-18,166.0,1.0,1.1725,0.0,0.322,14.0,21.0,7.696,12.0,43.0,4.0,105.0,35.0,3.0,59.0,23.0,120.0,4.0,433.0,6.0,22.0,4.0,6.0,12.0,160.0,1.0,3.0,1.0,12.0,1961.0,12.0,10.0,93.0,116.0,2.0,18.0,49.0,309.0,92.0,3.0,34.2893,,18.0,,17.0,31.0,8.0,73.0,104.0,28.0,1.0,282.0,14.0,2.0,100.0,45.0,35.0,3.0,3.0,2.0,9.0,208.0,29.0,4.0,33.0,4.0,8.0,122.0,67.0,0.0,408.0,22.0,4.0,213.0,10.0,9.0,2.0,4.0,85.0,23.0,6.0,4.0,144.0,699.0,15.0,1.0,6.0,3.0,106.0,10.0,,8.9976,3.0,15.0,17.0,,,5.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,
77359,Florian Lejeune,Defender,Newcastle,4,France,2017-18,89.0,,1.2682,0.0,0.0929,4.0,3.0,0.269,34.0,9.0,2.0,108.0,24.0,2.0,,24.0,248.0,4.0,1071.0,,2.0,0.0,3.0,,134.0,5.0,1.0,,2.0,2104.0,2.0,,51.0,142.0,1.0,14.0,59.0,715.0,19.0,2.0,32.3006,,5.0,32.0,146.0,32.0,1.0,38.0,261.0,14.0,0.0,231.0,6.0,0.0,493.0,128.0,24.0,1.0,,14.0,1.0,278.0,31.0,4.0,5.0,2.0,1.0,97.0,83.0,0.0,1031.0,6.0,1.0,273.0,20.0,12.0,15.0,2.0,266.0,17.0,46.0,108.0,51.0,1415.0,1.0,,3.0,106.0,545.0,8.0,,0.6202,3.0,140.0,69.0,1.0,,3.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,
153127,Isaac Hayden,Midfielder,Newcastle,4,Jamaica,2017-18,123.0,5.0,1.2025,0.0,,1.0,9.0,1.8607,40.0,13.0,,109.0,26.0,,10.0,15.0,130.0,12.0,527.0,1.0,,1.0,1.0,11.0,96.0,1.0,4.0,5.0,4.0,1372.0,4.0,1.0,45.0,106.0,2.0,31.0,55.0,383.0,19.0,3.0,23.4572,,11.0,3.0,40.0,25.0,,78.0,135.0,12.0,0.0,229.0,15.0,0.0,182.0,69.0,26.0,4.0,1.0,17.0,7.0,193.0,23.0,12.0,30.0,,,133.0,51.0,0.0,515.0,4.0,6.0,186.0,23.0,6.0,6.0,,129.0,30.0,23.0,14.0,81.0,780.0,7.0,,1.0,12.0,209.0,23.0,3.0,0.9629,7.0,21.0,32.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
149828,Islam Slimani,Forward,Newcastle,4,Algeria,2017-18,50.0,,0.5374,0.0,,,4.0,,2.0,7.0,2.0,47.0,16.0,1.0,21.0,3.0,50.0,7.0,157.0,1.0,4.0,0.0,,13.0,40.0,1.0,,,,370.0,,3.0,27.0,25.0,,11.0,12.0,106.0,21.0,,0.1021,,5.0,,3.0,4.0,,23.0,48.0,4.0,0.0,75.0,2.0,1.0,27.0,13.0,16.0,,1.0,,4.0,67.0,4.0,7.0,16.0,,,35.0,13.0,0.0,156.0,3.0,4.0,94.0,2.0,6.0,,,47.0,3.0,1.0,1.0,35.0,232.0,2.0,,,,40.0,1.0,,,1.0,3.0,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
114243,Jacob Murphy,Midfielder,Newcastle,4,England,2017-18,103.0,6.0,0.9664,0.0,,7.0,7.0,2.1388,13.0,15.0,,79.0,25.0,1.0,9.0,13.0,97.0,30.0,281.0,1.0,,1.0,6.0,12.0,31.0,1.0,4.0,7.0,2.0,1145.0,2.0,1.0,24.0,63.0,1.0,37.0,56.0,177.0,31.0,2.0,24.7068,,9.0,2.0,9.0,25.0,1.0,79.0,63.0,9.0,0.0,166.0,16.0,0.0,98.0,82.0,25.0,4.0,1.0,3.0,24.0,136.0,24.0,33.0,53.0,,1.0,135.0,7.0,0.0,280.0,8.0,12.0,226.0,10.0,34.0,,,74.0,8.0,6.0,7.0,46.0,549.0,8.0,,6.0,6.0,55.0,6.0,2.0,1.8922,0.0,18.0,19.0,1.0,,3.0,4.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,
