season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2022-23,10385423,20,7,Aston_Villa,Home,556904,184704,Marvelous Nakamba,marvelous-nakamba,M,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385423,20,7,Aston_Villa,Home,783126,195546,Emiliano Buendía,emiliano-buendia,M,False,,,2.0,5.0,11.0,16.0,3.0,1.0,3.0,,,,1.0,,,3.0,8.0,7.0,,,0.00410329,0.3024,0.2549,1.0,,1.0,,,,1.0,,81.0,1.0,,,,,,,,9.0,,7.4,,,,,1.0,1.0,,,3.0,,8.0,13.0,21.0,1,2.0,38.0,1.0,3.0,1.0,2.0
2022-23,10385423,20,7,Aston_Villa,Home,808590,215711,Leon Bailey,leon-bailey,M,False,,,1.0,5.0,8.0,13.0,2.0,,5.0,,,1.0,,,,6.0,13.0,5.0,,,0.00360611,0.2456,0.6176,1.0,,1.0,,,,,,90.0,2.0,,,,,,,,16.0,,6.6,,,,,1.0,7.0,1.0,,2.0,1.0,9.0,9.0,17.0,3,2.0,44.0,1.0,,3.0,
2022-23,10385423,20,7,Aston_Villa,Home,826204,226944,Boubacar Kamara,boubacar-kamara,M,False,,,4.0,11.0,34.0,45.0,,2.0,6.0,,,,,,,,1.0,8.0,,,0.0243071,0.0,0.0,,1.0,,,,,,1.0,90.0,,2.0,,,,,,,12.0,,7.6,,,,,2.0,2.0,,,7.0,,19.0,37.0,56.0,0,3.0,69.0,,2.0,1.0,2.0
2022-23,10385423,20,7,Aston_Villa,Home,867887,230046,Douglas Luiz,douglas-luiz,M,False,,,2.0,17.0,18.0,35.0,1.0,3.0,7.0,1.0,,,1.0,,,1.0,8.0,10.0,,,0.217977,0.1399,0.0,4.0,,,,,,4.0,2.0,90.0,,1.0,,,,,,,17.0,,7.7,,,2.0,,2.0,2.0,1.0,,5.0,,26.0,23.0,48.0,2,5.0,73.0,1.0,1.0,1.0,2.0
2022-23,10385423,20,7,Aston_Villa,Home,975937,232653,Jacob Ramsey,jacob-ramsey,M,False,,,2.0,13.0,9.0,22.0,3.0,2.0,1.0,,,,,,,,4.0,6.0,,,0.0554727,0.0,0.0,1.0,,,,,,1.0,2.0,81.0,,,,,,,,,4.0,,7.1,,,,,3.0,,,,3.0,,14.0,12.0,26.0,0,1.0,35.0,,3.0,,1.0
2022-23,10385423,20,7,Aston_Villa,Home,1167065,537403,Kadan Young,kadan-young,M,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385449,21,7,Aston_Villa,Away,119159,84583,Philippe Coutinho,philippe-coutinho,M,True,,,,,1.0,1.0,,,1.0,,,,,,,,1.0,2.0,,,0.00018549,0.0,0.0,1.0,,,,,,,,21.0,,,,,,,,,11.0,,6.6,,,,,,,,,,,8.0,1.0,9.0,0,1.0,18.0,3.0,1.0,,1.0
2022-23,10385449,21,7,Aston_Villa,Away,190405,151589,Leander Dendoncker,leander-dendoncker,M,True,,,,2.0,1.0,3.0,,,1.0,,,,,,,,,,,,0.00166963,0.0,0.0,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,1.0,,,,,,3.0,1.0,4.0,0,,6.0,,,,
2022-23,10385449,21,7,Aston_Villa,Away,250133,122775,Morgan Sanson,morgan-sanson,M,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
