season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballCarriesCount,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,metersCoveredHighSpeedRunningKm,metersCoveredJoggingKm,metersCoveredRunningKm,metersCoveredSprintingKm,metersCoveredWalkingKm,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltySave,possessionLostCtrl,progressiveBallCarriesCount,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalBallCarriesDistance,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalProgression,totalProgressiveBallCarriesDistance,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2025-26,14025016,1,7,Aston_Villa,Home,250223,122806,John McGinn,john-mcginn,M,False,2.0,,,7.0,6.0,13.0,1.0,,,7.0,1.0,,,,,,1.0,6.0,1.0,,,0.0912292,,,2.0,0.0,,,,,,1.0,,0.46,3.95,1.32,0.15,2.65,84.0,,,,,,,13.0,,,6.5,,,,,,,3.0,3.0,,,,9.0,10.0,19.0,,,0,,34.0,3.0,,1.0,
2025-26,14025016,1,7,Aston_Villa,Home,331737,166989,Youri Tielemans,youri-tielemans,M,False,,,,9.0,5.0,14.0,2.0,1.0,,2.0,,,,,,,,5.0,3.0,,,0.00629877,,,4.0,0.0,,,,,1.0,,,0.77,5.39,1.84,0.21,2.79,90.0,,,,,,,9.0,,,6.6,,,,,,2.0,,1.0,,1.0,,12.0,7.0,19.0,,,0,2.0,31.0,2.0,,,1.0
2025-26,14025016,1,7,Aston_Villa,Home,783126,195546,Emiliano Buendía,emiliano-buendia,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025016,1,7,Aston_Villa,Home,826204,226944,Boubacar Kamara,boubacar-kamara,M,False,,,2.0,21.0,11.0,32.0,1.0,4.0,,6.0,,1.0,,,,,,3.0,10.0,,,0.0319904,0.0528,0.0306,1.0,0.0,,,,,1.0,,,0.65,4.72,1.87,0.13,2.84,90.0,1.0,,,,,,10.0,,,7.7,,,,,,2.0,2.0,,,3.0,,26.0,13.0,39.0,,,1,2.0,53.0,2.0,3.0,1.0,1.0
2025-26,14025016,1,7,Aston_Villa,Home,923973,449871,Amadou Onana,amadou-onana,M,False,,,2.0,18.0,18.0,36.0,,1.0,,7.0,,,,1.0,,,1.0,2.0,7.0,,,0.0130309,,,,0.0,,,,,2.0,,,0.63,5.03,1.87,0.17,2.79,90.0,,1.0,,,,,8.0,,,7.3,,,,,,2.0,2.0,,,5.0,,23.0,20.0,43.0,,,0,2.0,58.0,,2.0,2.0,1.0
2025-26,14025016,1,7,Aston_Villa,Home,948261,244850,Morgan Rogers,morgan-rogers,M,False,,,2.0,7.0,3.0,10.0,4.0,,,5.0,,,,,,,1.0,7.0,3.0,,,0.0513599,,,1.0,0.0,,,,,1.0,1.0,,0.6,5.57,1.72,0.16,2.91,90.0,,,,,,,19.0,,,6.6,,,,,,,3.0,,,7.0,,14.0,6.0,20.0,,,0,1.0,33.0,5.0,,2.0,
2025-26,14025016,1,7,Aston_Villa,Home,1089388,515597,Lamare Bogarde,lamare-bogarde,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025016,1,7,Aston_Villa,Home,1410178,559962,Jamaldeen Jimoh,jamaldeen-jimoh,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025068,2,7,Aston_Villa,Away,250223,122806,John McGinn,john-mcginn,M,False,2.0,,1.0,18.0,7.0,25.0,1.0,2.0,17.0,2.0,,,,,,,3.0,7.0,5.0,,,0.121663,0.0462,0.0954,1.0,0.0,,,,,1.0,2.0,,,,,,,74.0,1.0,1.0,,,,,16.0,3.0,,6.8,,,,,143.19105517277,,3.0,5.0,,1.0,,24.0,7.0,31.0,81.940588166858,46.271113994024,1,,51.0,2.0,2.0,1.0,
2025-26,14025068,2,7,Aston_Villa,Away,331737,166989,Youri Tielemans,youri-tielemans,M,False,,,6.0,56.0,22.0,78.0,1.0,1.0,31.0,2.0,,,1.0,1.0,,,2.0,5.0,4.0,,,0.289854,0.0395,,1.0,0.0,,,,,,3.0,,,,,,,90.0,,,,,,,22.0,5.0,,6.9,,,1.0,,325.89491149573,,1.0,5.0,,7.0,,69.0,23.0,92.0,173.60859120802,112.19727987185,2,1.0,107.0,1.0,1.0,1.0,1.0
