season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2023-24,11352255,1,7,Aston_Villa,Away,119159,84583,Philippe Coutinho,philippe-coutinho,M,True,,,,4.0,3.0,7.0,,,1.0,,,,,,,,1.0,,,0.00620805,0.0763,0.0,,,,,,,,,,10.0,,,,,,,,3.0,,6.7,,,1.0,,,1.0,,,,,6.0,3.0,9.0,1,,12.0,1.0,,1.0,
2023-24,11352255,1,7,Aston_Villa,Away,250223,122806,John McGinn,john-mcginn,M,False,1.0,,1.0,9.0,4.0,12.0,,,1.0,,,,1.0,,,3.0,1.0,,,0.0341243,0.0,0.0,1.0,,,,,,,1.0,,64.0,,,,,,,,8.0,,6.3,,,,,,1.0,3.0,,2.0,,14.0,4.0,15.0,0,,22.0,2.0,1.0,,
2023-24,11352255,1,7,Aston_Villa,Away,331737,166989,Youri Tielemans,youri-tielemans,M,True,,,2.0,13.0,7.0,20.0,,,1.0,,,,,,,1.0,,,,0.0901236,0.0,0.0,,,,,,,,1.0,,45.0,,,,,,,,4.0,,6.4,,,,,,1.0,,,2.0,,15.0,8.0,23.0,0,,25.0,,,,
2023-24,11352255,1,7,Aston_Villa,Away,808590,215711,Leon Bailey,leon-bailey,M,False,,,1.0,4.0,1.0,5.0,,1.0,2.0,,,,,,4.0,4.0,2.0,,,0.00543241,0.0,0.0,,,,,,,1.0,,,45.0,,,,,,,,16.0,,6.2,,,,,,,3.0,,2.0,,12.0,5.0,14.0,0,,27.0,,1.0,,
2023-24,11352255,1,7,Aston_Villa,Away,826204,226944,Boubacar Kamara,boubacar-kamara,M,False,,,,30.0,21.0,51.0,1.0,1.0,6.0,,,,1.0,,1.0,7.0,5.0,,,0.0230343,0.025,0.0,4.0,,,,,,1.0,1.0,,90.0,,,,,,,,13.0,,6.5,,,1.0,,1.0,2.0,,,2.0,,37.0,23.0,60.0,1,,73.0,2.0,2.0,2.0,
2023-24,11352255,1,7,Aston_Villa,Away,855817,243557,Moussa Diaby,moussa-diaby,M,False,,,1.0,15.0,6.0,21.0,2.0,,3.0,,1.0,,,,4.0,6.0,4.0,,,0.10903,0.2767,0.2935,,,1.0,,,,,2.0,,87.0,2.0,,,,,,,8.0,,7.1,,,1.0,,,2.0,,,1.0,,18.0,6.0,24.0,3,1.0,37.0,1.0,1.0,2.0,1.0
2023-24,11352255,1,7,Aston_Villa,Away,867887,230046,Douglas Luiz,douglas-luiz,M,False,,,5.0,31.0,38.0,69.0,1.0,,6.0,1.0,,2.0,2.0,,1.0,5.0,2.0,,,0.141596,0.1882,0.3477,1.0,,,,,,1.0,1.0,,90.0,1.0,,,,,,,11.0,,7.1,,,1.0,,,1.0,1.0,,7.0,,36.0,41.0,76.0,4,1.0,89.0,2.0,,1.0,
2023-24,11352255,1,7,Aston_Villa,Away,1014461,481624,Jaden Philogene-Bidace,jaden-philogene-bidace,M,True,,,,1.0,2.0,3.0,,,1.0,,,,,,,,,,,0.0003322,0.0,0.0,,,,,,,,,,10.0,,,,,,,,1.0,,6.4,,,,,,,,,,,2.0,2.0,4.0,0,,4.0,,,,
2023-24,11352255,1,7,Aston_Villa,Away,1162083,549068,Omari Kellyman,omari-kellyman,M,True,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2023-24,11352337,2,7,Aston_Villa,Home,119159,84583,Philippe Coutinho,philippe-coutinho,M,True,,,,7.0,6.0,13.0,,,,,,,1.0,,,2.0,4.0,,,0.00567184,0.0671,0.0243,,,,,,,,,,21.0,1.0,,,,,,,4.0,,6.9,,,1.0,,,4.0,,,,,8.0,7.0,15.0,2,,23.0,1.0,1.0,3.0,
