playerId,playerName,position,team,nationality,season,duelsLost,penaltiesSaved,expectedAssists,totalRedCards,catches,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,savesMadeFromOutsideBox,totalShots,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,iboxTarget,timePlayed,shotsOnTargetInBox,duelsWon,goalsConcededOutsideBox,penaltiesConceded,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,savesFromPenalty,totalTouchesInOppositionBox,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,duels,putthroughBlockedDistributionWon,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,cornersWon,totalLossesOfPossession,successfulDribbles,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,totalFoulsConceded,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,savesMadeFromInsideBox,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,blockedShots,goalAssists,unsuccessfulCrossesOpenPlay,oboxBlocked,substituteOn,successfulCrossesAndCorners,aerialDuelsLost,throwInsToOppositionPlayer,ownGoalScored,shotsBlockedInBox,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,iboxBlocked,shotsOffTargetIncWoodwork,tacklesWon,blocks,interceptions,backwardPasses,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,throughBalls,goals,rightFootGoals,headedGoals,clearancesOffTheLine,hitWoodwork,handballsConceded,offsides,redCards2ndYellow,expectedGoalsFreekick,successfulLayoffs,cornersTakenInclShortCorners,shotsOnTargetOutsideBox,successfulCornersIntoBox,oboxTarget,leftFootGoals,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,secondGoalAssists,foulWonPenalty,unsuccessfulLayoffs,penaltiesTaken,penaltyGoals
9089,Ben Foster,Goalkeeper,Wrexham,England,2019-20,4.0,1.0,0.1074,0.0,25.0,1.0,0.3351,1.0,36.0,1.0,3.0,38.0,38.0,648.0,1088.0,10.0,11.0,9.0,9.0,1.0,3420.0,1.0,17.0,7.0,2.0,1.0,6.0,117.0,1.0,1.0,13.0,8.0,65.2586,1.0,154.0,30.0,64.0,4.0,46.0,117.0,4.0,21.0,1.0,6.0,988.0,367.0,38.0,5.0,1.0,272.0,57.0,10.0,11.0,0.0,222.0,515.0,2.0,668.0,2.0,191.0,29.0,54.0,2.0,323.0,1421.0,348.0,168.0,2.0,81.0,0.1004,1.0,645.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18656,Heurelho Gomes,Goalkeeper,Watford,Brazil,2019-20,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52940,Daryl Janmaat,Defender,Watford,Netherlands,2019-20,17.0,,0.7973,0.0,,,,14.0,,2.0,41.0,8.0,7.0,63.0,267.0,,3.0,3.0,,,608.0,,22.0,,,13.0,20.0,196.0,,8.0,,,8.7569,5.0,1.0,19.0,5.0,16.0,10.0,,1.0,39.0,5.0,,100.0,38.0,8.0,,4.0,125.0,5.0,36.0,2.0,0.0,,266.0,2.0,102.0,5.0,,,100.0,5.0,8.0,439.0,10.0,86.0,3.0,,0.2891,1.0,22.0,12.0,7.0,2.0,1.0,17.0,1.0,1.0,7.0,1.0,8.0,1.0,1.0,2.0,17.0,1.0,2.0,10.0,2.0,7.0,57.0,46.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
60232,Craig Dawson,Defender,Wolverhampton Wanderers,England,2019-20,90.0,,0.4379,0.0,,7.0,1.4295,29.0,,18.0,104.0,29.0,26.0,211.0,937.0,,148.0,4.0,,5.0,2359.0,5.0,144.0,5.0,1.0,19.0,42.0,640.0,,49.0,,5.0,45.884,5.0,13.0,111.0,49.0,44.0,254.0,,12.0,234.0,9.0,,366.0,122.0,29.0,,11.0,233.0,44.0,86.0,102.0,0.0,,924.0,2.0,240.0,3.0,,,234.0,31.0,86.0,1277.0,39.0,494.0,11.0,,3.1621,6.0,107.0,64.0,1.0,8.0,,3.0,,3.0,1.0,46.0,2.0,,8.0,1.0,3.0,8.0,11.0,18.0,32.0,34.0,83.0,14.0,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
20145,Adrian Mariappa,Defender,Wealdstone,Jamaica,2019-20,73.0,,0.2091,1.0,,,,20.0,,2.0,81.0,20.0,15.0,124.0,462.0,,72.0,3.0,,,1510.0,,69.0,2.0,,22.0,28.0,313.0,,6.0,,5.0,37.6065,4.0,9.0,67.0,33.0,42.0,63.0,,7.0,142.0,15.0,,222.0,49.0,20.0,,6.0,163.0,31.0,70.0,41.0,0.0,,457.0,3.0,203.0,1.0,,,130.0,20.0,25.0,796.0,23.0,180.0,12.0,,0.2391,4.0,43.0,45.0,5.0,1.0,,17.0,,5.0,5.0,31.0,45.0,1.0,1.0,,17.0,1.0,2.0,14.0,7.0,11.0,47.0,83.0,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,
155651,Adam Masina,Defender,Udinese,Morocco,2019-20,101.0,,0.6612,0.0,,3.0,0.4033,38.0,,12.0,146.0,26.0,20.0,256.0,697.0,,100.0,4.0,,,1818.0,,125.0,4.0,1.0,39.0,58.0,395.0,,19.0,,4.0,30.7265,11.0,9.0,59.0,31.0,68.0,164.0,,12.0,226.0,14.0,,385.0,100.0,26.0,,16.0,243.0,27.0,126.0,67.0,0.0,,683.0,7.0,424.0,9.0,,,48.0,26.0,46.0,1236.0,53.0,212.0,13.0,,0.9541,3.0,110.0,82.0,13.0,3.0,,47.0,1.0,6.0,14.0,33.0,71.0,,2.0,7.0,55.0,2.0,9.0,22.0,12.0,28.0,100.0,119.0,4.0,1.0,1.0,1.0,,,2.0,,,2.0,,0.0549,2.0,8.0,2.0,1.0,2.0,1.0,1.0,1.0,6.0,1.0,,,,
41338,Craig Cathcart,Defender,Watford,Northern Ireland,2019-20,83.0,,0.1179,0.0,,1.0,0.0944,41.0,,1.0,96.0,29.0,28.0,178.0,914.0,,120.0,8.0,,1.0,2490.0,1.0,114.0,5.0,,7.0,47.0,671.0,,12.0,,5.0,40.7338,2.0,15.0,133.0,37.0,30.0,265.0,,2.0,197.0,3.0,,367.0,128.0,29.0,,15.0,197.0,32.0,77.0,67.0,0.0,,898.0,,196.0,4.0,,,193.0,13.0,65.0,1210.0,38.0,540.0,7.0,,0.1949,7.0,82.0,60.0,1.0,1.0,,,,1.0,1.0,53.0,,,1.0,3.0,,1.0,,26.0,16.0,25.0,89.0,4.0,2.0,,1.0,,,,1.0,,2.0,,,,,,,,,,,,,,,,,
54484,Kiko Femenía,Defender,Villarreal,Spain,2019-20,100.0,,1.7911,0.0,,1.0,0.0694,68.0,,4.0,145.0,28.0,26.0,204.0,953.0,,26.0,4.0,,,2241.0,,112.0,4.0,,39.0,99.0,712.0,,21.0,,7.0,44.7009,18.0,10.0,46.0,46.0,87.0,156.0,,12.0,212.0,14.0,,382.0,149.0,28.0,,30.0,411.0,42.0,186.0,13.0,0.0,,940.0,12.0,349.0,19.0,,,254.0,26.0,37.0,1574.0,34.0,358.0,16.0,,0.1303,5.0,59.0,59.0,19.0,1.0,,49.0,1.0,2.0,20.0,13.0,48.0,,,13.0,49.0,,3.0,38.0,2.0,36.0,161.0,219.0,6.0,1.0,,,,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,,,
40868,José Holebas,Defender,Olympiakos,Greece,2019-20,73.0,,0.9154,0.0,,3.0,0.2869,26.0,,5.0,79.0,14.0,11.0,110.0,413.0,,57.0,1.0,,2.0,1024.0,2.0,73.0,4.0,1.0,10.0,37.0,289.0,,6.0,,3.0,22.392,11.0,5.0,29.0,28.0,52.0,117.0,,6.0,146.0,7.0,,201.0,43.0,14.0,,11.0,189.0,24.0,89.0,36.0,0.0,,403.0,7.0,223.0,6.0,,,16.0,18.0,14.0,756.0,15.0,131.0,12.0,,0.3198,5.0,31.0,32.0,7.0,1.0,,19.0,1.0,3.0,17.0,21.0,35.0,,,9.0,54.0,,2.0,15.0,4.0,3.0,79.0,99.0,2.0,1.0,,,,,,,,,,0.0592,2.0,39.0,1.0,9.0,1.0,,1.0,1.0,28.0,,,,,
85624,Christian Kabasele,Defender,Watford,Belgium,2019-20,90.0,,0.1078,2.0,,1.0,0.113,37.0,,4.0,101.0,27.0,26.0,183.0,670.0,,111.0,6.0,,1.0,2252.0,1.0,121.0,3.0,,12.0,59.0,428.0,,19.0,,4.0,41.8063,4.0,13.0,124.0,34.0,41.0,118.0,,14.0,211.0,8.0,,307.0,96.0,27.0,,13.0,137.0,31.0,100.0,62.0,1.0,,661.0,,201.0,9.0,,,202.0,22.0,59.0,987.0,32.0,350.0,9.0,,0.9195,1.0,82.0,79.0,,5.0,2.0,,1.0,1.0,,49.0,,,4.0,1.0,,4.0,3.0,24.0,23.0,36.0,43.0,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,
