playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,oboxBlocked,substituteOn,cornersTakenInclShortCorners,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,expectedGoalsOnTargetConceded,ownGoalScored,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,oboxTarget,rightFootGoals,tacklesLost,leftFootGoals,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,headedGoals,unsuccessfulCrossesAndCorners,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCornersIntoBox,unsuccessfulCornersIntoBox,hitWoodwork,penaltiesSaved,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,penaltiesConceded,savesFromPenalty,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,secondGoalAssists,redCards2ndYellow,clearancesOffTheLine,expectedGoalsFreekick,freekickTotal,attemptsFromSetPieces,foulWonPenalty,penaltiesTaken,penaltyGoals
121599,Abdoulaye Doucouré,Midfielder,Watford,57,Mali,2018-19,174.0,2.0,2.6593,0.0,19.0,17.0,5.5404,71.0,33.0,5.0,273.0,35.0,6.0,18.0,34.0,323.0,9.0,1942.0,5.0,2.0,10.0,1.0,1.0,78.0,5.0,3.0,2.0,9.0,3062.0,9.0,2.0,37.0,156.0,5.0,63.0,115.0,1560.0,82.0,1.0,4.0,53.0597,1.0,32.0,1.0,54.0,56.0,9.0,137.0,561.0,13.0,330.0,23.0,547.0,257.0,35.0,3.0,2.0,33.0,1.0,23.0,869.0,51.0,2.0,9.0,9.0,252.0,41.0,0.0,1909.0,16.0,12.0,469.0,38.0,32.0,8.0,537.0,36.0,34.0,59.0,297.0,2436.0,1.0,1.0,10.0,16.0,752.0,18.0,2.0,6.8396,7.0,50.0,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194401,Adalberto Peñaranda,Forward,Watford,57,Venezuela,2018-19,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155651,Adam Masina,Defender,Watford,57,Morocco,2018-19,50.0,3.0,0.2691,0.0,2.0,,,30.0,1.0,,60.0,14.0,1.0,,11.0,84.0,12.0,436.0,,1.0,2.0,3.0,16.0,38.0,2.0,,5.0,,1004.0,,,15.0,69.0,2.0,30.0,46.0,326.0,5.0,22.0,1.0,20.6295,,2.0,11.0,36.0,20.0,,35.0,149.0,10.0,119.0,15.0,192.0,52.0,14.0,,,13.0,,4.0,176.0,18.0,,26.0,,81.0,23.0,0.0,424.0,1.0,2.0,152.0,17.0,7.0,4.0,19.0,17.0,17.0,26.0,76.0,731.0,75.0,2.0,2.0,14.0,181.0,7.0,,0.0738,5.0,24.0,32.0,2.0,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
20145,Adrian Mariappa,Defender,Watford,57,Jamaica,2018-19,97.0,1.0,0.4417,0.0,2.0,1.0,0.1963,35.0,5.0,,68.0,26.0,,,20.0,157.0,,882.0,,1.0,,6.0,,117.0,5.0,,1.0,1.0,1924.0,1.0,,58.0,99.0,2.0,13.0,40.0,669.0,12.0,2.0,3.0,28.8879,,5.0,17.0,119.0,31.0,2.0,39.0,193.0,4.0,196.0,8.0,376.0,77.0,26.0,,,13.0,,1.0,184.0,29.0,,,2.0,79.0,59.0,0.0,863.0,4.0,2.0,171.0,22.0,1.0,15.0,260.0,19.0,25.0,56.0,53.0,1138.0,3.0,,,43.0,542.0,11.0,,0.6893,3.0,89.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73426,Andre Gray,Forward,Watford,57,Jamaica,2018-19,103.0,2.0,1.1665,0.0,10.0,17.0,4.5027,3.0,25.0,,76.0,29.0,2.0,11.0,13.0,81.0,6.0,236.0,7.0,15.0,2.0,16.0,,71.0,,,2.0,10.0,1360.0,10.0,2.0,54.0,37.0,2.0,17.0,20.0,151.0,87.0,,2.0,25.2219,,12.0,1.0,4.0,23.0,8.0,49.0,48.0,9.0,140.0,2.0,45.0,22.0,29.0,,5.0,2.0,2.0,15.0,128.0,21.0,,6.0,8.0,69.0,17.0,0.0,232.0,8.0,9.0,182.0,1.0,8.0,1.0,89.0,12.0,2.0,4.0,54.0,432.0,3.0,8.0,2.0,,29.0,4.0,1.0,5.1478,2.0,5.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9089,Ben Foster,Goalkeeper,Watford,57,England,2018-19,6.0,,0.1393,0.0,,,,2.0,1.0,,2.0,38.0,,,38.0,636.0,,1151.0,,,,,,19.0,7.0,,,,3420.0,,,,24.0,5.0,4.0,5.0,151.0,,,4.0,57.9869,,5.0,197.0,44.0,59.0,,6.0,43.0,9.0,30.0,,1054.0,372.0,38.0,,,,,,297.0,54.0,,1.0,,11.0,19.0,0.0,566.0,1.0,1.0,657.0,2.0,,,54.0,2.0,2.0,364.0,,1500.0,,,,379.0,218.0,2.0,,0.0151,1.0,634.0,64.0,,,,1.0,25.0,41.0,8.0,5.0,2.0,1.0,10.0,127.0,5.0,7.0,2.0,216.0,190.0,38.0,83.0,1.0,,,,,,,,
241289,Ben Wilmot,Defender,Watford,57,England,2018-19,1.0,,0.0065,0.0,,,,,,,1.0,2.0,,,,3.0,,9.0,,,,2.0,,,,,,,26.0,,,,,,1.0,,3.0,,,,0.5067,,,2.0,1.0,2.0,,1.0,2.0,,1.0,1.0,7.0,3.0,2.0,,,,,,4.0,2.0,,,,1.0,,0.0,9.0,,,3.0,,,1.0,,,,3.0,,13.0,,,,2.0,2.0,,,,0.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85624,Christian Kabasele,Defender,Watford,57,Belgium,2018-19,78.0,,0.0528,1.0,4.0,2.0,0.4837,25.0,4.0,,73.0,21.0,,,19.0,143.0,1.0,550.0,,,1.0,2.0,,106.0,3.0,,,2.0,1587.0,2.0,1.0,46.0,99.0,3.0,9.0,39.0,362.0,18.0,,,27.5171,,2.0,10.0,106.0,26.0,3.0,32.0,141.0,14.0,177.0,5.0,245.0,60.0,21.0,,,11.0,,1.0,104.0,23.0,,1.0,3.0,71.0,60.0,0.0,542.0,2.0,3.0,156.0,14.0,,16.0,124.0,22.0,38.0,45.0,40.0,808.0,,2.0,1.0,36.0,303.0,8.0,1.0,1.4899,2.0,70.0,49.0,,,,,,,,,2.0,,,,,,,,,,,,1.0,1.0,,,,,,
41338,Craig Cathcart,Defender,Watford,57,Northern Ireland,2018-19,117.0,,0.4018,0.0,4.0,5.0,2.0665,50.0,9.0,,109.0,36.0,,,35.0,237.0,3.0,1280.0,3.0,,1.0,1.0,,166.0,5.0,,,2.0,3098.0,2.0,,80.0,146.0,4.0,20.0,60.0,945.0,21.0,,4.0,52.0972,2.0,1.0,22.0,179.0,54.0,3.0,37.0,385.0,8.0,263.0,12.0,520.0,161.0,36.0,,,19.0,,1.0,303.0,50.0,3.0,3.0,3.0,97.0,86.0,0.0,1260.0,4.0,7.0,256.0,31.0,2.0,30.0,273.0,16.0,38.0,98.0,102.0,1676.0,3.0,4.0,1.0,61.0,740.0,11.0,,1.5302,2.0,128.0,80.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
52940,Daryl Janmaat,Defender,Watford,57,Netherlands,2018-19,56.0,14.0,2.122,0.0,5.0,1.0,0.0836,36.0,6.0,1.0,90.0,18.0,2.0,2.0,17.0,145.0,46.0,599.0,,1.0,3.0,1.0,,33.0,3.0,,14.0,1.0,1522.0,1.0,,13.0,71.0,2.0,21.0,51.0,408.0,22.0,30.0,,21.7165,,11.0,12.0,61.0,22.0,2.0,43.0,32.0,1.0,127.0,10.0,252.0,103.0,18.0,,,12.0,,7.0,231.0,20.0,,47.0,2.0,94.0,20.0,0.0,589.0,5.0,6.0,257.0,24.0,14.0,6.0,225.0,16.0,32.0,46.0,90.0,1032.0,92.0,2.0,3.0,23.0,237.0,11.0,,0.4748,3.0,55.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
