playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,penaltiesSaved,expectedAssists,totalRedCards,catches,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,duelsWon,goalsConcededOutsideBox,penaltiesConceded,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,savesFromPenalty,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,ownGoalScored,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,cornersWon,totalLossesOfPossession,successfulDribbles,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,touches,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,substituteOn,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,goalAssists,successfulLayoffs,unsuccessfulCrossesOpenPlay,goals,offsides,awayGoals,oboxBlocked,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,aerialDuelsLost,totalTouchesInOppositionBox,throwInsToOppositionPlayer,shotsBlockedInBox,putthroughBlockedDistributionWon,homeGoals,oboxTarget,rightFootGoals,tacklesLost,leftFootGoals,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,shotsOffTargetIncWoodwork,tacklesWon,blocks,backwardPasses,throwInsToOwnPlayer,hitWoodwork,shotsBlockedOutsideBox,handballsConceded,expectedGoals,redCards2ndYellow,headedGoals,expectedGoalsFreekick,freekickTotal,attemptsFromSetPieces,foulWonPenalty,clearancesOffTheLine,cornersTakenInclShortCorners,successfulCornersIntoBox,unsuccessfulCornersIntoBox,unsuccessfulLayoffs,secondGoalAssists,penaltiesTaken,penaltyGoals
18656,Heurelho Gomes,Goalkeeper,Watford,57,Brazil,2016-17,2.0,1.0,0.1022,0.0,49.0,45.0,2.0,38.0,38.0,529.0,1034.0,310.0,10.0,13.0,6.0,4.0,3339.0,17.0,8.0,1.0,1.0,4.0,199.0,1.0,34.0,3.0,52.8726,1.0,1.0,144.0,58.0,64.0,2.0,90.0,115.0,3.0,0.0,19.0,17.0,847.0,388.0,38.0,2.0,1.0,242.0,56.0,6.0,13.0,0.0,277.0,511.0,1.0,573.0,1.0,202.0,40.0,97.0,1.0,2.0,306.0,1460.0,2.0,306.0,263.0,1.0,68.0,1.0,527.0,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26719,Rene Gilmartin,Goalkeeper,Bristol City,113,Ireland,2016-17,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56827,Costel Pantilimon,Goalkeeper,Nottingham Forest,17,Romania,2016-17,,,0.0017,0.0,1.0,2.0,1.0,2.0,,18.0,33.0,10.0,1.0,,,,81.0,,,,,,5.0,,,,3.7419,,,6.0,,4.0,,1.0,6.0,,0.0,,1.0,30.0,7.0,2.0,,,8.0,4.0,,,0.0,9.0,17.0,,18.0,,3.0,2.0,2.0,,,10.0,43.0,,12.0,7.0,,4.0,0.0,17.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57187,Giedrius Arlauskis,Goalkeeper,CFR Cluj,2628,Lithuania,2016-17,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52940,Daryl Janmaat,Defender,Watford,57,Netherlands,2016-17,89.0,,1.5552,0.0,,,114.0,27.0,18.0,158.0,604.0,,,42.0,1.0,,1615.0,85.0,5.0,,29.0,64.0,403.0,,,1.0,24.1205,,12.0,9.0,35.0,33.0,68.0,82.0,,3.0,0.0,174.0,,264.0,102.0,27.0,,,217.0,28.0,132.0,21.0,0.0,,593.0,9.0,295.0,16.0,,,155.0,17.0,20.0,43.0,1035.0,6.0,27.0,242.0,10.0,,2.0,44.0,48.0,9.0,13.0,7.0,8.0,2.0383,45.0,19.0,1.0,1.0,2.0,39.0,2.0,5.0,2.0,4.0,5.0,13.0,1.0,1.0,21.0,31.0,24.0,3.0,14.0,0.0,5.0,1.0,14.0,1.0,17.0,39.0,33.0,3.0,11.0,31.0,3.0,103.0,89.0,1.0,4.0,1.0,1.6624,,,,,,,,,,,,,,
52153,Miguel Britos,Defender,Watford,57,Uruguay,2016-17,106.0,,1.143,2.0,,,150.0,27.0,27.0,321.0,1025.0,,,131.0,4.0,,2283.0,143.0,2.0,1.0,32.0,57.0,610.0,,,1.0,33.5763,,5.0,38.0,144.0,36.0,61.0,256.0,,24.0,1.0,249.0,,551.0,140.0,27.0,,,265.0,34.0,118.0,86.0,0.0,,980.0,8.0,364.0,4.0,,,133.0,36.0,49.0,94.0,1416.0,3.0,115.0,441.0,17.0,,6.0,171.0,88.0,,2.0,5.0,5.0,1.1736,34.0,13.0,1.0,2.0,,10.0,1.0,2.0,0.0,1.0,,2.0,4.0,4.0,45.0,33.0,20.0,4.0,8.0,1.0,,,3.0,,3.0,10.0,8.0,4.0,8.0,31.0,18.0,85.0,15.0,,1.0,,1.6191,2.0,1.0,,,,,,,,,,,,
37742,Younes Kaboul,Defender,Watford,57,France,2016-17,86.0,,0.3659,0.0,,,97.0,23.0,23.0,223.0,701.0,,,100.0,3.0,,1915.0,118.0,2.0,,29.0,53.0,398.0,,,4.0,32.3093,,2.0,26.0,136.0,36.0,51.0,82.0,,6.0,0.0,204.0,,390.0,138.0,23.0,,,179.0,34.0,104.0,65.0,0.0,,684.0,4.0,273.0,11.0,,,171.0,19.0,47.0,80.0,1080.0,5.0,86.0,299.0,8.0,,2.0,126.0,52.0,,,3.0,4.0,1.8649,37.0,9.0,,,,13.0,2.0,,1.0,1.0,,,2.0,2.0,35.0,28.0,11.0,2.0,17.0,1.0,,2.0,17.0,,3.0,13.0,13.0,2.0,5.0,20.0,15.0,58.0,21.0,1.0,1.0,,1.4253,,,0.064,1.0,1.0,,,,,,,,,
41945,Sebastian Prödl,Defender,Watford,57,Austria,2016-17,90.0,,0.4101,1.0,,,116.0,33.0,32.0,253.0,1070.0,,,98.0,4.0,,2771.0,121.0,5.0,1.0,15.0,59.0,706.0,,,3.0,41.6606,,9.0,48.0,183.0,49.0,54.0,246.0,,24.0,0.0,211.0,,472.0,115.0,33.0,,,242.0,44.0,113.0,62.0,0.0,,1015.0,4.0,271.0,2.0,,,290.0,44.0,52.0,111.0,1475.0,4.0,88.0,575.0,21.0,,10.0,137.0,70.0,1.0,,4.0,7.0,0.8507,36.0,18.0,,1.0,,3.0,1.0,,0.0,2.0,1.0,,5.0,5.0,36.0,34.0,,2.0,10.0,1.0,1.0,,9.0,,1.0,3.0,2.0,2.0,11.0,27.0,32.0,62.0,2.0,1.0,2.0,2.0,1.9447,1.0,1.0,,,,1.0,,,,,,,,
20145,Adrian Mariappa,Defender,Wealdstone,3096,Jamaica,2016-17,25.0,,0.1001,0.0,,,31.0,7.0,6.0,44.0,244.0,,,38.0,1.0,,561.0,45.0,3.0,,8.0,21.0,183.0,,,,8.0646,,1.0,4.0,52.0,13.0,11.0,47.0,,3.0,0.0,70.0,,113.0,30.0,7.0,,,53.0,10.0,32.0,24.0,0.0,,241.0,1.0,55.0,1.0,,,63.0,4.0,15.0,17.0,365.0,,10.0,147.0,3.0,,0.0,13.0,20.0,1.0,,,,,17.0,2.0,,,,1.0,,2.0,,,,,,,14.0,5.0,6.0,,5.0,,,,2.0,,1.0,1.0,2.0,,2.0,15.0,6.0,21.0,5.0,,,,0.1575,,,,,,,,,,,,,,
41338,Craig Cathcart,Defender,Watford,57,Northern Ireland,2016-17,38.0,,0.9127,0.0,,,46.0,15.0,13.0,89.0,364.0,,,38.0,2.0,,1161.0,49.0,2.0,,21.0,26.0,240.0,,,1.0,19.5799,,3.0,10.0,52.0,21.0,23.0,30.0,,2.0,0.0,87.0,,145.0,48.0,15.0,,,97.0,19.0,49.0,23.0,0.0,,358.0,1.0,113.0,1.0,,,156.0,13.0,18.0,35.0,566.0,2.0,27.0,180.0,12.0,,3.0,43.0,30.0,2.0,2.0,,1.0,0.3129,23.0,3.0,,1.0,,2.0,,,,,,2.0,1.0,1.0,15.0,9.0,14.0,,11.0,,,,8.0,,3.0,2.0,3.0,,2.0,15.0,14.0,33.0,38.0,,,,0.1544,,,,,,,1.0,,,,,,,
42738,Juan Zuñiga,Defender,Watford,57,Colombia,2016-17,34.0,,0.4916,0.0,,,47.0,21.0,6.0,68.0,358.0,,,17.0,,,813.0,54.0,3.0,,14.0,44.0,271.0,,,1.0,11.6371,,5.0,5.0,22.0,15.0,27.0,69.0,,22.0,1.0,88.0,,129.0,44.0,21.0,,,163.0,12.0,71.0,10.0,0.0,,344.0,4.0,118.0,3.0,,,106.0,5.0,18.0,19.0,571.0,5.0,16.0,128.0,4.0,,1.0,21.0,26.0,15.0,1.0,3.0,1.0,0.857,19.0,3.0,2.0,,3.0,10.0,1.0,,0.0,1.0,,1.0,,,7.0,10.0,16.0,2.0,8.0,1.0,,1.0,3.0,,4.0,10.0,13.0,2.0,2.0,16.0,,54.0,47.0,,1.0,,0.5095,,,,,,1.0,,,,,,,,
40868,José Holebas,Defender,Olympiakos,202,Greece,2016-17,162.0,,3.3198,0.0,,,196.0,33.0,33.0,291.0,1158.0,,,75.0,6.0,,2909.0,176.0,8.0,,58.0,129.0,821.0,,,2.0,52.273,,32.0,18.0,114.0,61.0,134.0,321.0,,24.0,1.0,338.0,,571.0,225.0,33.0,,,484.0,53.0,263.0,47.0,0.0,,1098.0,23.0,688.0,43.0,,,71.0,43.0,55.0,46.0,2198.0,5.0,56.0,417.0,24.0,,14.0,95.0,89.0,,17.0,11.0,7.0,2.5032,62.0,17.0,,4.0,9.0,73.0,2.0,1.0,2.0,10.0,4.0,34.0,1.0,1.0,28.0,21.0,141.0,1.0,14.0,0.0,4.0,,20.0,2.0,30.0,130.0,70.0,1.0,10.0,42.0,10.0,195.0,195.0,,10.0,1.0,1.1065,,,0.3967,5.0,5.0,,1.0,56.0,8.0,36.0,,,,
