playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,fiftyFifty,totalRedCards,blockedShots,totalTackles,totalShots,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulFiftyFifty,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,awayGoals,oboxBlocked,substituteOn,cornersTakenInclShortCorners,aerialDuels,cleanSheets,successfulCrossesAndCorners,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,penaltiesConceded,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,hitWoodwork,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,shotsOnTargetIncGoals,expectedGoalsOnTarget,iboxTarget,shotsOnTargetInBox,cornersWon,penaltiesSaved,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,savesFromPenalty,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,overruns,shotsBlockedInBox,iboxBlocked,clearancesOffTheLine,throughBalls,goals,offsides,successfulCornersIntoBox,ownGoalScored,rightFootGoals,leftFootGoals,freekickTotal,attemptsFromSetPieces,expectedGoalsFreekick,successfulLayoffs,shotsOnTargetOutsideBox,unsuccessfulLayoffs,oboxTarget,headedGoals,lastPlayerTackle,secondGoalAssists,redCards2ndYellow,foulWonPenalty,penaltiesTaken,penaltyGoals
155651,Adam Masina,Defender,Watford,57,Morocco,2021-22,50.0,7.0,0.6861,21.0,0.0,1.0,24.0,4.0,67.0,15.0,1.0,11.0,13.0,128.0,15.0,422.0,0.0,1.0,2.0,4.0,46.0,1.0,8.0,1076.0,17.0,66.0,3.0,1.0,19.0,37.0,263.0,5.0,23.0,2.0,23.0389,6.0,7.0,40.0,26.0,33.0,121.0,4.0,0.0,116.0,12.0,0.0,212.0,70.0,15.0,11.0,2.0,138.0,23.0,22.0,3.0,70.0,29.0,0.0,415.0,4.0,187.0,13.0,9.0,6.0,19.0,14.0,18.0,4.0,31.0,70.0,700.0,73.0,2.0,1.0,1.0,27.0,164.0,8.0,1.0,0.3177,0.0,61.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533719,Adrian Blake,Forward,Watford,57,England,2021-22,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176296,Ashley Fletcher,Forward,Watford,57,England,2021-22,8.0,,0.0062,1.0,0.0,,2.0,2.0,3.0,3.0,,,,3.0,1.0,6.0,0.0,,3.0,,8.0,,,28.0,7.0,3.0,,,1.0,2.0,3.0,2.0,,,0.1971,,,,,1.0,3.0,,0.0,11.0,,0.0,3.0,2.0,3.0,1.0,,3.0,,1.0,1.0,3.0,1.0,0.0,6.0,1.0,6.0,1.0,,1.0,,1.0,,,,,14.0,,,,,,,,1.0,0.5993,0.0,,,1.0,0.6527,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9089,Ben Foster,Goalkeeper,Watford,57,England,2021-22,7.0,,0.068,,0.0,,,,5.0,26.0,1.0,,26.0,451.0,,805.0,0.0,,,,9.0,4.0,,2340.0,3.0,11.0,8.0,1.0,1.0,5.0,141.0,,,3.0,37.1126,,69.0,15.0,49.0,4.0,50.0,4.0,0.0,18.0,,0.0,695.0,236.0,26.0,,,168.0,41.0,,,9.0,6.0,0.0,445.0,,459.0,,1.0,,60.0,1.0,,,213.0,,1004.0,,,,,213.0,186.0,1.0,,,0.0,446.0,54.0,,,,,,1.0,17.0,20.0,224.0,3.0,4.0,1.0,6.0,70.0,3.0,3.0,1.0,166.0,134.0,20.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,
85624,Christian Kabasele,Defender,Watford,57,Belgium,2021-22,23.0,1.0,0.0837,27.0,0.0,,11.0,7.0,57.0,16.0,,18.0,12.0,101.0,,469.0,0.0,,4.0,,59.0,1.0,1.0,1190.0,12.0,62.0,3.0,,5.0,15.0,338.0,11.0,,3.0,23.785,2.0,9.0,65.0,30.0,11.0,114.0,3.0,0.0,85.0,4.0,0.0,179.0,58.0,16.0,6.0,2.0,79.0,27.0,,3.0,26.0,47.0,0.0,464.0,7.0,112.0,5.0,1.0,16.0,148.0,5.0,14.0,,30.0,28.0,624.0,4.0,,,,18.0,290.0,,,0.8771,0.0,44.0,39.0,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
41338,Craig Cathcart,Defender,Watford,57,Northern Ireland,2021-22,64.0,1.0,0.4357,38.0,0.0,1.0,32.0,2.0,83.0,31.0,1.0,22.0,27.0,169.0,3.0,903.0,0.0,,4.0,,82.0,3.0,1.0,2395.0,34.0,84.0,8.0,,15.0,36.0,649.0,11.0,12.0,4.0,42.3095,2.0,10.0,129.0,55.0,30.0,215.0,4.0,0.0,148.0,10.0,0.0,334.0,127.0,31.0,17.0,1.0,189.0,47.0,3.0,3.0,66.0,48.0,0.0,892.0,2.0,195.0,15.0,,29.0,269.0,13.0,28.0,,85.0,85.0,1226.0,32.0,3.0,,,45.0,546.0,8.0,,0.2179,3.0,86.0,64.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
244716,Cucho Hernández,Forward,Watford,57,Colombia,2021-22,120.0,8.0,1.1163,28.0,0.0,10.0,13.0,24.0,96.0,25.0,2.0,15.0,11.0,116.0,24.0,337.0,2.0,5.0,14.0,16.0,84.0,,13.0,1140.0,51.0,74.0,5.0,,30.0,41.0,203.0,44.0,,1.0,23.5881,18.0,2.0,9.0,34.0,69.0,84.0,12.0,2.0,194.0,12.0,3.0,117.0,65.0,25.0,8.0,21.0,170.0,29.0,39.0,35.0,110.0,33.0,0.0,327.0,13.0,214.0,5.0,18.0,1.0,63.0,13.0,5.0,9.0,18.0,73.0,589.0,5.0,6.0,3.0,5.0,15.0,64.0,7.0,1.0,2.4742,3.0,20.0,28.0,11.0,2.7346,3.0,3.0,12.0,,,,,,,,,,,,,,,,,1.0,5.0,5.0,,1.0,5.0,1.0,5.0,1.0,4.0,1.0,5.0,5.0,0.2414,5.0,3.0,1.0,3.0,,,,,,,
40387,Dan Gosling,Midfielder,Watford,57,England,2021-22,11.0,1.0,0.0165,10.0,0.0,,2.0,2.0,6.0,4.0,,3.0,2.0,9.0,,63.0,1.0,,2.0,,9.0,1.0,1.0,164.0,4.0,14.0,1.0,,4.0,9.0,52.0,4.0,,1.0,4.36,1.0,,3.0,5.0,7.0,19.0,5.0,0.0,25.0,2.0,0.0,17.0,14.0,4.0,1.0,,23.0,4.0,,1.0,16.0,5.0,0.0,63.0,1.0,14.0,1.0,2.0,,16.0,2.0,,,2.0,11.0,91.0,,1.0,,,3.0,32.0,1.0,,0.2175,0.0,3.0,4.0,1.0,0.8392,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,
154506,Daniel Bachmann,Goalkeeper,Watford,57,Austria,2021-22,1.0,,0.0238,,0.0,,,,3.0,12.0,,,12.0,144.0,,315.0,0.0,,,,2.0,,,1080.0,,4.0,2.0,1.0,,2.0,92.0,,,3.0,24.2162,,31.0,8.0,28.0,1.0,54.0,1.0,0.0,5.0,,0.0,223.0,105.0,12.0,,,60.0,26.0,,,3.0,2.0,0.0,153.0,,148.0,,1.0,,38.0,1.0,1.0,,79.0,,430.0,,,,,49.0,111.0,1.0,,,0.0,141.0,16.0,,,,,,,7.0,17.0,87.0,2.0,3.0,,3.0,47.0,,,,93.0,41.0,13.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,
38290,Danny Rose,Defender,Watford,57,England,2021-22,38.0,1.0,0.4663,20.0,0.0,1.0,16.0,3.0,43.0,8.0,,15.0,7.0,72.0,11.0,227.0,0.0,,1.0,8.0,12.0,,2.0,689.0,8.0,43.0,3.0,1.0,14.0,39.0,133.0,3.0,17.0,,12.9871,5.0,2.0,9.0,16.0,30.0,63.0,14.0,0.0,81.0,3.0,0.0,129.0,41.0,8.0,6.0,6.0,90.0,13.0,22.0,7.0,69.0,4.0,0.0,213.0,2.0,130.0,10.0,9.0,5.0,11.0,10.0,14.0,7.0,22.0,24.0,443.0,70.0,1.0,,,15.0,67.0,7.0,,0.2256,4.0,29.0,30.0,1.0,0.0403,1.0,1.0,4.0,,,,,,,,,,,,,,,,,,1.0,1.0,,4.0,,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,,
