playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,offsides,oboxBlocked,substituteOn,aerialDuels,cleanSheets,successfulCrossesAndCorners,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,penaltiesConceded,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,clearancesOffTheLine,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,expectedGoalsFreekick,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,successfulLayoffs,goals,awayGoals,cornersTakenInclShortCorners,shotsOnTargetOutsideBox,successfulCornersIntoBox,shotsBlockedInBox,homeGoals,oboxTarget,leftFootGoals,freekickTotal,iboxBlocked,attemptsFromSetPieces,unsuccessfulCornersIntoBox,foulWonPenalty,iboxTarget,shotsOnTargetInBox,unsuccessfulLayoffs,rightFootGoals,hitWoodwork,headedGoals,penaltiesTaken,penaltyGoals,goalKicks,lastPlayerTackle,gkSuccessfulDistribution,punches,catches,savesMade,savesMadeFromOutsideBox,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,secondGoalAssists,penaltiesFaced,ownGoalScored,penaltiesSaved,savesMadeCaught,savesFromPenalty,goalkeeperSmother,drops,crossesNotClaimed,otherGoals
54469,Adam Smith,Defender,Bournemouth,91,England,2023-24,85.0,18.0,1.7224,0.0,1.0,37.0,1.0,3.0,77.0,28.0,2.0,25.0,176.0,21.0,768.0,1.0,1.0,3.0,42.0,6.0,18.0,2156.0,23.0,81.0,3.0,2.0,43.0,62.0,569.0,12.0,43.0,4.0,36.2745,15.0,5.0,49.0,33.0,62.0,46.0,22.0,0.0,166.0,17.0,375.0,92.0,28.0,14.0,8.0,311.0,30.0,21.0,15.0,124.0,19.0,0.0,754.0,1.0,7.0,272.0,23.0,4.0,11.0,212.0,30.0,21.0,1.0,23.0,135.0,1268.0,172.0,10.0,1.0,63.0,299.0,21.0,2.0,0.0528,6.0,99.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474772,Ben Greenwood,Defender,Bournemouth,91,Ireland,2023-24,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223911,Chris Mepham,Defender,Bournemouth,91,Wales,2023-24,42.0,,0.4771,0.0,,12.0,1.0,,41.0,10.0,1.0,6.0,61.0,1.0,354.0,,,4.0,50.0,,,613.0,20.0,43.0,1.0,,8.0,13.0,268.0,6.0,,,12.576,2.0,5.0,29.0,16.0,22.0,86.0,2.0,0.0,85.0,7.0,128.0,31.0,10.0,1.0,,126.0,15.0,1.0,2.0,35.0,30.0,0.0,349.0,,1.0,67.0,11.0,,6.0,117.0,15.0,7.0,,25.0,23.0,441.0,3.0,1.0,,14.0,167.0,11.0,,0.0888,2.0,20.0,32.0,,1.0,,0.2265,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
477580,Illia Zabarnyi,Defender,Bournemouth,91,Ukraine,2023-24,115.0,,0.5865,0.0,2.0,59.0,6.0,2.0,129.0,37.0,,37.0,332.0,1.0,1802.0,,,,138.0,8.0,,3330.0,61.0,167.0,7.0,,30.0,90.0,1339.0,17.0,,6.0,65.4252,7.0,22.0,138.0,67.0,54.0,383.0,24.0,0.0,282.0,19.0,655.0,153.0,37.0,27.0,2.0,465.0,60.0,1.0,4.0,144.0,77.0,0.0,1754.0,3.0,3.0,353.0,32.0,9.0,34.0,646.0,24.0,33.0,,131.0,118.0,2218.0,1.0,,,102.0,1005.0,16.0,,1.0858,5.0,203.0,116.0,,3.0,,1.0421,,1.0,0.0,,,,2.0,1.0,,,,2.0,,,,2.0,2.0,1.0,,,1.0,,,6.0,1.0,6.0,,,,,,,,,,,,,,,,,
463981,James Hill,Defender,Bournemouth,91,England,2023-24,4.0,,0.0113,0.0,,3.0,,,4.0,5.0,,1.0,10.0,,34.0,,,4.0,5.0,,,75.0,1.0,7.0,,,3.0,3.0,21.0,,4.0,,1.3442,,,8.0,1.0,3.0,10.0,,0.0,11.0,1.0,16.0,7.0,5.0,1.0,1.0,14.0,1.0,,2.0,6.0,4.0,0.0,34.0,,,17.0,2.0,,2.0,4.0,1.0,3.0,,3.0,4.0,63.0,4.0,1.0,,5.0,10.0,,,,0.0,6.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235530,Lloyd Kelly,Defender,Bournemouth,91,England,2023-24,52.0,5.0,0.8401,0.0,,24.0,4.0,1.0,76.0,23.0,1.0,17.0,173.0,16.0,772.0,,,6.0,46.0,4.0,5.0,1556.0,18.0,67.0,2.0,1.0,29.0,39.0,544.0,12.0,38.0,3.0,30.5501,8.0,3.0,59.0,32.0,34.0,237.0,13.0,0.0,119.0,10.0,323.0,121.0,23.0,5.0,,235.0,30.0,16.0,6.0,73.0,28.0,0.0,750.0,3.0,6.0,259.0,19.0,2.0,12.0,93.0,17.0,13.0,,55.0,119.0,1091.0,69.0,5.0,,38.0,369.0,12.0,,0.3317,2.0,97.0,53.0,,1.0,,0.1187,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
221466,Marcos Senesi,Defender,Bournemouth,91,Argentina,2023-24,131.0,11.0,2.5047,0.0,,55.0,13.0,4.0,113.0,31.0,5.0,26.0,271.0,14.0,1259.0,,,5.0,82.0,4.0,11.0,2247.0,41.0,114.0,6.0,,44.0,73.0,863.0,20.0,1.0,6.0,44.9458,17.0,20.0,105.0,44.0,90.0,407.0,11.0,2.0,245.0,27.0,609.0,164.0,31.0,23.0,8.0,436.0,38.0,14.0,19.0,163.0,41.0,0.0,1219.0,9.0,4.0,330.0,32.0,11.0,23.0,158.0,41.0,35.0,,125.0,85.0,1668.0,6.0,9.0,,56.0,563.0,35.0,1.0,2.0228,13.0,158.0,71.0,,4.0,,2.249,,4.0,3.0,,,,,1.0,,,,,,,,,,,1.0,1.0,3.0,,,,2.0,,,,,,,,,,,,,,,,,,
232980,Max Aarons,Defender,Bournemouth,91,England,2023-24,57.0,3.0,0.9079,0.0,1.0,29.0,1.0,2.0,74.0,20.0,1.0,13.0,105.0,10.0,451.0,2.0,1.0,7.0,16.0,1.0,3.0,1233.0,11.0,74.0,4.0,1.0,27.0,69.0,326.0,12.0,15.0,2.0,29.5857,6.0,3.0,21.0,34.0,46.0,42.0,26.0,0.0,131.0,4.0,178.0,75.0,20.0,10.0,12.0,164.0,30.0,10.0,20.0,115.0,5.0,0.0,440.0,1.0,2.0,168.0,19.0,14.0,5.0,128.0,12.0,8.0,,20.0,103.0,751.0,101.0,4.0,1.0,15.0,185.0,8.0,,0.0452,1.0,31.0,46.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496683,Max Kinsey,Defender,Bournemouth,91,England,2023-24,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
544877,Milos Kerkez,Defender,Bournemouth,91,Hungary,2023-24,88.0,11.0,1.0275,1.0,5.0,47.0,11.0,1.0,97.0,28.0,1.0,22.0,143.0,44.0,627.0,1.0,3.0,6.0,50.0,2.0,11.0,1975.0,32.0,98.0,5.0,,40.0,80.0,462.0,32.0,42.0,3.0,37.8641,11.0,7.0,56.0,37.0,56.0,189.0,21.0,0.0,186.0,20.0,241.0,93.0,28.0,21.0,12.0,282.0,32.0,44.0,22.0,136.0,18.0,1.0,622.0,6.0,14.0,283.0,26.0,12.0,11.0,56.0,25.0,20.0,,22.0,141.0,1144.0,118.0,10.0,3.0,26.0,213.0,16.0,1.0,1.206,4.0,46.0,52.0,,5.0,1.0,0.5388,1.0,,,,2.0,,2.0,,2.0,,,2.0,,,1.0,3.0,3.0,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,
