season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2017-18,7437077,1,3,Arsenal,Home,33902,50175,Danny Welbeck,danny-welbeck,F,False,,,,12.0,4.0,16.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,,4.0,7.0,5.0,,,1.0,,1.0,,,1.0,2.0,,75.0,1.0,,,,,,,10.0,,7.4,,,,,1.0,2.0,,,,1.0,16.0,5.0,21.0,3,1.0,37.0,1.0,1.0,2.0,1.0
2017-18,7437077,1,3,Arsenal,Home,39070,44346,Olivier Giroud,olivier-giroud,F,True,,,,4.0,3.0,7.0,1.0,3.0,,,,,,,,,1.0,4.0,,,,,1.0,,,,1.0,,23.0,1.0,,,,,,,1.0,,7.4,,,,,,,,,,,5.0,3.0,8.0,1,,10.0,,1.0,,
2017-18,7437077,1,3,Arsenal,Home,50070,59966,Alexandre Lacazette,alexandre-lacazette,F,False,1.0,,,14.0,6.0,19.0,3.0,1.0,2.0,1.0,,1.0,2.0,,,2.0,8.0,6.0,,,2.0,,1.0,,,,3.0,,90.0,2.0,,,,,,,8.0,,8.0,,,,,1.0,1.0,2.0,,,2.0,16.0,7.0,21.0,3,2.0,39.0,2.0,2.0,1.0,1.0
2017-18,7437725,2,3,Arsenal,Away,33902,50175,Danny Welbeck,danny-welbeck,F,False,,,,19.0,,19.0,,,,,1.0,,,,,2.0,3.0,2.0,,,,,,,,,,,90.0,2.0,,,,,,,9.0,,6.6,,,1.0,,2.0,1.0,,,,,24.0,,24.0,3,1.0,35.0,1.0,1.0,,1.0
2017-18,7437725,2,3,Arsenal,Away,39070,44346,Olivier Giroud,olivier-giroud,F,True,1.0,,,3.0,,2.0,2.0,2.0,,,,,,,,1.0,4.0,2.0,,,2.0,,,,,,1.0,,24.0,,,,,,,,5.0,,6.9,,,1.0,,,,1.0,,,,6.0,,5.0,1,,9.0,,,,
2017-18,7437725,2,3,Arsenal,Away,50070,59966,Alexandre Lacazette,alexandre-lacazette,F,False,,,1.0,22.0,7.0,29.0,2.0,,4.0,,,,1.0,,,,3.0,,,,,,,,,,1.0,,78.0,,,,,,,,14.0,,6.6,,,,,,,1.0,,1.0,1.0,32.0,7.0,38.0,0,,48.0,4.0,,,
2017-18,7437766,3,3,Arsenal,Away,33902,50175,Danny Welbeck,danny-welbeck,F,False,,,,12.0,7.0,19.0,1.0,1.0,1.0,,,,1.0,,,,4.0,4.0,,,3.0,,,,,,1.0,,90.0,,1.0,,,,,,7.0,,6.6,,,1.0,,,,,,1.0,,17.0,7.0,24.0,1,2.0,32.0,1.0,1.0,,
2017-18,7437766,3,3,Arsenal,Away,34120,37265,Alexis Sánchez,alexis-sanchez,F,False,,,,13.0,8.0,21.0,1.0,,2.0,,,1.0,,,,,2.0,6.0,,,1.0,,,,,,1.0,,62.0,,,,,,,,14.0,,7.1,,,,,,3.0,1.0,,2.0,2.0,24.0,9.0,32.0,1,2.0,45.0,2.0,1.0,3.0,
2017-18,7437766,3,3,Arsenal,Away,39070,44346,Olivier Giroud,olivier-giroud,F,True,,,,5.0,3.0,8.0,,1.0,,,,,,,,,,2.0,,,,,,,,,1.0,,28.0,,,,,,,,2.0,,6.8,,,1.0,,,,,,,,6.0,3.0,9.0,1,1.0,12.0,1.0,,,
2017-18,7437766,3,3,Arsenal,Away,50070,59966,Alexandre Lacazette,alexandre-lacazette,F,True,,,,7.0,3.0,10.0,2.0,,1.0,,,,1.0,,,1.0,4.0,3.0,,,,,,,,,,,28.0,,,,,,,,7.0,,6.7,,,1.0,,,2.0,,,1.0,1.0,11.0,4.0,15.0,1,,21.0,1.0,1.0,2.0,
2017-18,7437773,4,3,Arsenal,Home,33902,50175,Danny Welbeck,danny-welbeck,F,False,,,,11.0,5.0,16.0,3.0,2.0,3.0,1.0,,,1.0,,,,6.0,4.0,,,3.0,1.0,2.0,,,1.0,2.0,,75.0,2.0,,,,,,,10.0,,9.2,,,1.0,,,1.0,,,,,17.0,5.0,22.0,3,,35.0,4.0,1.0,1.0,
2017-18,7437773,4,3,Arsenal,Home,34120,37265,Alexis Sánchez,alexis-sanchez,F,True,,,2.0,6.0,,6.0,,,,1.0,,1.0,1.0,,,1.0,2.0,1.0,,,,,,,,,1.0,,15.0,1.0,,,,,,,4.0,,7.1,,,,,,,1.0,,3.0,,9.0,,8.0,2,,14.0,,1.0,,
2017-18,7437773,4,3,Arsenal,Home,39070,44346,Olivier Giroud,olivier-giroud,F,True,,,,3.0,5.0,8.0,,,1.0,,1.0,,,,,1.0,2.0,,,,1.0,,,,,1.0,,,15.0,1.0,,,,,,,5.0,,6.2,,,,,,,,,,,6.0,5.0,11.0,1,,15.0,1.0,,,
2017-18,7437773,4,3,Arsenal,Home,50070,59966,Alexandre Lacazette,alexandre-lacazette,F,False,,,,11.0,5.0,16.0,3.0,2.0,3.0,,1.0,,1.0,,,2.0,6.0,4.0,,,,,1.0,,,1.0,1.0,,75.0,2.0,,,,,,,5.0,,7.2,,,,,1.0,1.0,,,,1.0,11.0,6.0,17.0,2,1.0,28.0,1.0,,1.0,
2017-18,7437763,5,3,Arsenal,Away,33902,50175,Danny Welbeck,danny-welbeck,F,False,,,,12.0,5.0,17.0,7.0,3.0,2.0,,1.0,2.0,,,,1.0,9.0,5.0,,,1.0,,,,,2.0,,,73.0,,,,,,,,6.0,,6.6,,,1.0,,1.0,1.0,,,,1.0,16.0,6.0,22.0,3,,35.0,,1.0,1.0,
2017-18,7437763,5,3,Arsenal,Away,34120,37265,Alexis Sánchez,alexis-sanchez,F,True,,,2.0,7.0,3.0,10.0,1.0,,,,,,1.0,,,,3.0,1.0,,,,,,,,,1.0,,24.0,,,,,,,,7.0,,6.6,,,,,,1.0,1.0,,2.0,,12.0,3.0,14.0,0,,21.0,1.0,1.0,,
2017-18,7437763,5,3,Arsenal,Away,39070,44346,Olivier Giroud,olivier-giroud,F,True,,,,2.0,2.0,4.0,2.0,1.0,,,,,2.0,,,,4.0,1.0,,,,,,,,,,,17.0,,,,,,,,2.0,,6.4,,,,,2.0,,,,,,3.0,3.0,6.0,0,,8.0,,,,
