season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballCarriesCount,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltyWon,possessionLostCtrl,progressiveBallCarriesCount,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalBallCarriesDistance,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalProgression,totalProgressiveBallCarriesDistance,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2024-25,12436872,1,3,Arsenal,Home,135666,116216,Leandro Trossard,leandro-trossard,F,True,,,,1.0,1.0,2.0,,1.0,,,,,,,,,1.0,3.0,,,0.00139602,,,,0.0,,,,,,,,10.0,,,,,,2.0,,,6.6,,,,,,,1.0,1.0,,,,2.0,1.0,2.0,,,0,2.0,7.0,,,,1.0
2024-25,12436872,1,3,Arsenal,Home,794839,205651,Gabriel Jesus,gabriel-jesus,F,True,,,,3.0,1.0,4.0,1.0,,,2.0,,,,1.0,,,3.0,1.0,,,0.00355075,,,1.0,0.0,,,,,,,,11.0,,,,,,2.0,,,6.5,,,,,,,,,,,,3.0,1.0,4.0,,,0,1.0,7.0,2.0,,,1.0
2024-25,12436872,1,3,Arsenal,Home,836705,219847,Kai Havertz,kai-havertz,F,False,,,1.0,10.0,4.0,14.0,5.0,3.0,,1.0,,,3.0,2.0,,,11.0,8.0,,,0.0396395,0.4474,0.7316,2.0,1.0,1.0,,,,1.0,2.0,,90.0,1.0,,,,,10.0,,,8.3,,,1.0,,,2.0,3.0,,,1.0,,13.0,5.0,18.0,,,5,1.0,44.0,2.0,3.0,1.0,1.0
2024-25,12436872,1,3,Arsenal,Home,858194,205533,Eddie Nketiah,eddie-nketiah,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436872,1,3,Arsenal,Home,922573,444145,Gabriel Martinelli,gabriel-martinelli,F,False,1.0,,,15.0,3.0,17.0,1.0,2.0,,3.0,1.0,,1.0,2.0,,,6.0,9.0,,,0.18646,0.0768,,1.0,0.0,,,,,,3.0,,90.0,,,,,,9.0,,,7.5,,,,,,,4.0,2.0,,,,19.0,4.0,21.0,,,1,2.0,36.0,2.0,3.0,2.0,1.0
2024-25,12436872,1,3,Arsenal,Home,934235,223340,Bukayo Saka,bukayo-saka,F,False,2.0,,,17.0,3.0,18.0,,,,4.0,1.0,1.0,,,,2.0,5.0,4.0,,,0.370741,0.3522,0.5044,2.0,1.0,1.0,,,,,5.0,,80.0,3.0,,,,,11.0,,,8.9,,,2.0,,,1.0,1.0,5.0,,,,22.0,3.0,20.0,,,5,2.0,44.0,3.0,2.0,,2.0
2024-25,12436886,2,3,Arsenal,Away,135666,116216,Leandro Trossard,leandro-trossard,F,True,,,,3.0,1.0,4.0,,,,2.0,,,1.0,1.0,,1.0,3.0,1.0,,,0.017798,0.1833,0.3841,,0.0,1.0,,,,,,,25.0,1.0,,,,,4.0,,,7.2,,,1.0,,,,1.0,1.0,,,,5.0,1.0,5.0,,,3,1.0,13.0,,,,1.0
2024-25,12436886,2,3,Arsenal,Away,836705,219847,Kai Havertz,kai-havertz,F,False,,,,12.0,8.0,20.0,4.0,,,3.0,,1.0,,2.0,,2.0,14.0,2.0,,,0.0308674,0.21,,4.0,0.0,,,,,1.0,,,90.0,,,,,,9.0,,,6.1,,,1.0,,,,2.0,,,,,15.0,8.0,23.0,,,1,1.0,35.0,2.0,1.0,,1.0
2024-25,12436886,2,3,Arsenal,Away,858194,205533,Eddie Nketiah,eddie-nketiah,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436886,2,3,Arsenal,Away,922573,444145,Gabriel Martinelli,gabriel-martinelli,F,False,1.0,,1.0,9.0,5.0,13.0,,1.0,,2.0,1.0,,,,,3.0,4.0,2.0,,,0.405401,,,,0.0,,,,,,2.0,,65.0,,,,,,11.0,,,6.9,,,,,,,2.0,2.0,,1.0,,13.0,6.0,17.0,,,0,,27.0,1.0,,1.0,
