season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballCarriesCount,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,metersCoveredHighSpeedRunningKm,metersCoveredJoggingKm,metersCoveredRunningKm,metersCoveredSprintingKm,metersCoveredWalkingKm,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltySave,possessionLostCtrl,progressiveBallCarriesCount,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalBallCarriesDistance,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalProgression,totalProgressiveBallCarriesDistance,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2025-26,14025016,1,7,Aston_Villa,Home,555386,178301,Ollie Watkins,ollie-watkins,F,False,,,1.0,6.0,3.0,9.0,6.0,1.0,,3.0,,,,,,,1.0,7.0,6.0,,,0.013313,0.1207,0.0973,1.0,0.0,,,,,1.0,1.0,,0.54,4.92,1.49,0.29,3.17,90.0,1.0,,,,,,10.0,,,6.7,,,,,,1.0,3.0,1.0,,1.0,2.0,11.0,4.0,15.0,,,1,,30.0,2.0,2.0,3.0,
2025-26,14025016,1,7,Aston_Villa,Home,803039,204646,Donyell Malen,donyell-malen,F,True,,,,,,,,,,,,,,,,,,1.0,,,,,0.0302,0.0762,,0.0,,,,,,,,0.12,0.73,0.35,0.05,0.39,13.0,1.0,,,,,,1.0,,,6.6,,,,,,,1.0,,,,,,,,,,1,,2.0,,,,
2025-26,14025016,1,7,Aston_Villa,Home,930245,485337,Evann Guessand,evann-guessand,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025016,1,7,Aston_Villa,Home,996919,,Samuel Iling Junior,samuel-iling-junior,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025068,2,7,Aston_Villa,Away,555386,178301,Ollie Watkins,ollie-watkins,F,False,,,,14.0,2.0,16.0,2.0,1.0,10.0,3.0,,1.0,2.0,,,,,3.0,4.0,,,0.0822365,0.3733,,,0.0,,,,,,1.0,,,,,,,90.0,,,,,,,4.0,3.0,,6.5,,,2.0,,111.41371575829,,2.0,,,,,16.0,2.0,18.0,17.062348498414,58.141864671486,4,1.0,28.0,1.0,1.0,1.0,1.0
2025-26,14025068,2,7,Aston_Villa,Away,803039,204646,Donyell Malen,donyell-malen,F,True,,,1.0,8.0,3.0,11.0,,,6.0,1.0,,,,,,,,,,,,0.0151037,,,,0.0,,,,,,,,,,,,,26.0,,,,,,,1.0,2.0,,6.5,,,,,86.569115553428,,,,,1.0,,9.0,3.0,12.0,38.113457964147,43.141608960965,0,,12.0,,,,
2025-26,14025068,2,7,Aston_Villa,Away,930245,485337,Evann Guessand,evann-guessand,F,True,,,,4.0,2.0,6.0,1.0,,8.0,1.0,,,,,,,1.0,6.0,2.0,,,0.0073316,,,1.0,0.0,,,,,,,,,,,,,15.0,,,,,,,8.0,2.0,,6.4,,,,,104.64024769141,,4.0,2.0,,,,4.0,2.0,6.0,65.227927774249,51.007243266633,0,1.0,18.0,2.0,,1.0,1.0
2025-26,14025091,3,7,Aston_Villa,Home,555386,178301,Ollie Watkins,ollie-watkins,F,False,,,,8.0,2.0,10.0,1.0,,,,,1.0,,,,,3.0,4.0,3.0,,,0.0422089,0.6056,0.2362,,0.0,,,,,,1.0,,,,,,,90.0,1.0,,,,,,5.0,,,6.7,,,2.0,,,,,,,,,9.0,2.0,11.0,,,3,1.0,24.0,1.0,2.0,,
2025-26,14025091,3,7,Aston_Villa,Home,803039,204646,Donyell Malen,donyell-malen,F,False,1.0,,,10.0,,10.0,,,,3.0,,1.0,,,,,2.0,4.0,2.0,,,0.0161864,0.1814,,,0.0,,,,,,,,,,,,,83.0,,,,,,,10.0,,,6.0,,,2.0,,,,3.0,2.0,,1.0,,13.0,2.0,15.0,,,2,,25.0,,1.0,1.0,
2025-26,14025091,3,7,Aston_Villa,Home,930245,485337,Evann Guessand,evann-guessand,F,False,,,,8.0,2.0,10.0,,,,3.0,,,,,,,4.0,6.0,2.0,,,0.00479759,0.0685,0.0561,,0.0,,,,,,,,,,,,,45.0,1.0,,,,,,8.0,,,6.2,,,,,,,2.0,1.0,,,,8.0,2.0,10.0,,,1,1.0,23.0,1.0,1.0,,1.0
