season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2024-25,12436875,1,91,Bournemouth,Away,836070,224995,Luis Sinisterra,luis-sinisterra,F,False,,,,8.0,4.0,12.0,3.0,,7.0,,1.0,1.0,2.0,,1.0,7.0,3.0,,,0.0170189,0.1521,0.1882,,0.0,,,,,,,,64.0,1.0,,,,,,7.0,,6.2,,,,,1.0,2.0,,,,,11.0,4.0,15.0,2,1.0,29.0,2.0,1.0,1.0,
2024-25,12436875,1,91,Bournemouth,Away,1096136,523700,Daniel Jebbison,daniel-jebbison,F,True,,,,3.0,,3.0,1.0,,,,,,,,1.0,2.0,1.0,,,0.00151589,,,,0.0,,,,,,1.0,,21.0,,,,,,,4.0,,6.6,,,,,1.0,,1.0,,,,4.0,1.0,4.0,0,,9.0,1.0,1.0,,
2024-25,12436884,2,91,Bournemouth,Home,836070,224995,Luis Sinisterra,luis-sinisterra,F,True,,,,3.0,,3.0,1.0,1.0,2.0,,,,1.0,,,2.0,1.0,,,0.0594372,0.0475,0.0273,,0.0,,,,,,1.0,,18.0,1.0,,,,,,4.0,,7.0,,,,,3.0,,,,,,5.0,1.0,6.0,1,,15.0,1.0,,,
2024-25,12436884,2,91,Bournemouth,Home,998490,444102,Evanilson,evanilson,F,False,,,1.0,6.0,,6.0,2.0,1.0,1.0,,1.0,,,,2.0,7.0,5.0,,,0.00310648,0.8107,0.0975,2.0,0.0,,,,,,,,72.0,2.0,1.0,,,,,8.0,,6.9,,,1.0,,1.0,2.0,,,1.0,,10.0,1.0,11.0,3,1.0,28.0,,2.0,1.0,1.0
2024-25,12436884,2,91,Bournemouth,Home,1096136,523700,Daniel Jebbison,daniel-jebbison,F,True,,,,,,,1.0,,,,,,1.0,,,2.0,,,,,,,,0.0,,,,,,,,13.0,,,,,,,,,6.2,,,,,,,,,,,,,,0,,,,,,
2024-25,12436912,3,91,Bournemouth,Away,836070,224995,Luis Sinisterra,luis-sinisterra,F,True,1.0,,,10.0,1.0,10.0,,,1.0,1.0,,,,,,2.0,1.0,,,0.240612,0.3672,0.2054,1.0,1.0,1.0,,,,,1.0,,25.0,1.0,,,,,,3.0,,8.3,,,1.0,,,2.0,2.0,,,,11.0,1.0,10.0,2,,17.0,,,1.0,
2024-25,12436912,3,91,Bournemouth,Away,998490,444102,Evanilson,evanilson,F,False,,,,5.0,2.0,7.0,,,1.0,,,1.0,,,2.0,3.0,1.0,,,0.0680216,0.2018,,1.0,0.0,,,,,,,,65.0,,,,,,,7.0,,6.3,,,,,,,,,,1.0,7.0,2.0,9.0,1,,16.0,2.0,1.0,,
2024-25,12436931,4,91,Bournemouth,Home,336655,168636,Enes Ünal,enes-unal,F,True,,,,1.0,,1.0,,1.0,,,,,,,,1.0,1.0,,,0.0393647,0.0842,0.102,1.0,0.0,,,,,,1.0,,14.0,2.0,,,,,,,,7.0,,,,,,,,,,,1.0,,1.0,2,,4.0,,,,
2024-25,12436931,4,91,Bournemouth,Home,836070,224995,Luis Sinisterra,luis-sinisterra,F,True,,,,2.0,3.0,5.0,,,1.0,,,1.0,,,,2.0,,,,0.00265278,0.0916,,,0.0,,,,,,1.0,,22.0,,,,,,,4.0,,6.4,,,,,,2.0,,,,,2.0,4.0,6.0,1,,11.0,1.0,,,
2024-25,12436931,4,91,Bournemouth,Home,998490,444102,Evanilson,evanilson,F,False,,,,4.0,,4.0,2.0,2.0,2.0,,1.0,,1.0,,,4.0,5.0,,,0.0796437,0.9068,0.898,1.0,0.0,,,,,,1.0,,68.0,1.0,,,,1.0,1.0,3.0,,7.0,,,2.0,,2.0,,,,,1.0,5.0,2.0,7.0,3,,18.0,,3.0,,
2024-25,12436969,5,91,Bournemouth,Away,336655,168636,Enes Ünal,enes-unal,F,True,,,,1.0,2.0,3.0,,,,,,1.0,,,,,,,,0.00417413,0.0393,,,0.0,,,,,,,,14.0,,,,,,,,,6.5,,,,,,,,,,,1.0,2.0,3.0,1,,4.0,,,,
