season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyMiss,penaltySave,penaltyWon,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest
2015-16,6767928,1,91,Bournemouth,Home,51348,,Yann Kermorgant,yann-kermorgant,F,True,,,,11.0,1.0,12.0,2.0,2.0,2.0,,,,,,,3.0,5.0,3.0,,,,,,,,1.0,,37.0,,,,,,,,6.5,,,,,,,1.0,,1.0,,16.0,1.0,16.0,0,,23.0,,1.0,
2015-16,6767928,1,91,Bournemouth,Home,100621,78007,Joshua King,joshua-king,F,False,,,,9.0,2.0,11.0,,1.0,2.0,,,1.0,1.0,,,1.0,8.0,4.0,,,4.0,,,,,,1.0,53.0,,,,,,,,6.5,,,1.0,,,2.0,,,,,12.0,2.0,14.0,2,1.0,26.0,3.0,2.0,
2015-16,6767928,1,91,Bournemouth,Home,113956,75115,Callum Wilson,callum-wilson,F,False,,,,11.0,2.0,13.0,4.0,1.0,1.0,,,1.0,1.0,,,6.0,14.0,3.0,,,2.0,,,,,,,90.0,1.0,1.0,,,,,,6.2,,,,,,1.0,3.0,,,,16.0,2.0,15.0,2,,38.0,3.0,2.0,
2015-16,6767946,2,91,Bournemouth,Away,100621,78007,Joshua King,joshua-king,F,False,,,,9.0,5.0,14.0,3.0,3.0,2.0,,,,,,,2.0,7.0,5.0,,,1.0,,,,,,1.0,61.0,,,,,,,,6.6,,,1.0,,1.0,3.0,1.0,,,,14.0,5.0,18.0,1,1.0,31.0,1.0,,1.0
2015-16,6767946,2,91,Bournemouth,Away,113956,75115,Callum Wilson,callum-wilson,F,False,,,,6.0,1.0,7.0,1.0,,3.0,,,1.0,,,,1.0,8.0,3.0,,,3.0,,,,,,2.0,90.0,,,,,,,,6.5,,,,,,4.0,,,,,12.0,1.0,13.0,1,1.0,30.0,5.0,1.0,1.0
2015-16,6767957,3,91,Bournemouth,Away,51348,,Yann Kermorgant,yann-kermorgant,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2015-16,6767957,3,91,Bournemouth,Away,100621,78007,Joshua King,joshua-king,F,False,,,,11.0,5.0,16.0,2.0,1.0,2.0,,1.0,,,,,,7.0,3.0,,,2.0,,,,,,2.0,51.0,,,1.0,,,,,6.1,,,1.0,,1.0,5.0,2.0,,,,16.0,6.0,20.0,1,,32.0,1.0,,2.0
2015-16,6767957,3,91,Bournemouth,Away,113956,75115,Callum Wilson,callum-wilson,F,False,,,,9.0,3.0,12.0,3.0,2.0,3.0,1.0,,,,,,2.0,11.0,7.0,,,2.0,,3.0,,,1.0,1.0,90.0,3.0,,,,,,,8.7,,,1.0,,,6.0,,,,,14.0,3.0,17.0,4,2.0,36.0,3.0,1.0,2.0
2015-16,6768031,4,91,Bournemouth,Home,51348,,Yann Kermorgant,yann-kermorgant,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2015-16,6768031,4,91,Bournemouth,Home,113956,75115,Callum Wilson,callum-wilson,F,False,,,,2.0,3.0,5.0,2.0,,5.0,,,,,,,4.0,12.0,2.0,,,3.0,,1.0,,,,,90.0,1.0,,,,,,,6.5,,,,,,3.0,,,,1.0,5.0,5.0,10.0,1,,28.0,4.0,2.0,
2015-16,6768046,5,91,Bournemouth,Away,20097,20529,Glenn Murray,glenn-murray,F,True,,,1.0,4.0,2.0,6.0,1.0,,,,,,,,,1.0,3.0,3.0,,,1.0,,,,,,,33.0,,,,,,,,6.7,,,1.0,,,1.0,,,1.0,,9.0,3.0,12.0,1,1.0,18.0,,1.0,1.0
2015-16,6768046,5,91,Bournemouth,Away,51348,,Yann Kermorgant,yann-kermorgant,F,True,,,2.0,9.0,4.0,13.0,,1.0,2.0,,,,,,,1.0,1.0,1.0,,,,,,,,,1.0,33.0,,,,,,,,6.6,,,,,1.0,,,,2.0,,16.0,4.0,20.0,0,,22.0,,,
2015-16,6768046,5,91,Bournemouth,Away,100621,78007,Joshua King,joshua-king,F,False,,,,6.0,5.0,11.0,4.0,2.0,3.0,,,,,,,1.0,6.0,6.0,,,1.0,,,,,1.0,,57.0,,,,,,,,6.6,,,,,1.0,1.0,,,,1.0,7.0,9.0,16.0,0,2.0,30.0,5.0,2.0,
2015-16,6768046,5,91,Bournemouth,Away,113956,75115,Callum Wilson,callum-wilson,F,False,,,1.0,12.0,3.0,15.0,1.0,,,,,1.0,,,,1.0,2.0,2.0,,,,,,,,,,90.0,1.0,,,,,,,6.7,,,,,,1.0,,,1.0,1.0,16.0,3.0,19.0,2,,32.0,5.0,1.0,1.0
2015-16,6768067,6,91,Bournemouth,Home,20097,20529,Glenn Murray,glenn-murray,F,True,,,,3.0,1.0,4.0,,,1.0,,,,1.0,,,,2.0,2.0,,,1.0,,,,,,,14.0,1.0,,,,,,,6.8,,,,,,1.0,,,,1.0,3.0,1.0,4.0,1,1.0,9.0,,,1.0
2015-16,6768067,6,91,Bournemouth,Home,51348,,Yann Kermorgant,yann-kermorgant,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2015-16,6768067,6,91,Bournemouth,Home,113956,75115,Callum Wilson,callum-wilson,F,False,,,,10.0,3.0,13.0,2.0,,1.0,,,1.0,,,,2.0,8.0,8.0,,,1.0,,1.0,,,,,76.0,1.0,1.0,,,,,,7.2,,,,,,6.0,,,,,13.0,3.0,16.0,2,,37.0,2.0,6.0,2.0
2015-16,6768072,7,91,Bournemouth,Away,20097,20529,Glenn Murray,glenn-murray,F,True,,,1.0,7.0,5.0,12.0,4.0,2.0,1.0,,,,,,,1.0,7.0,6.0,,,3.0,,,,,,,73.0,3.0,,,,,,,7.1,,,,,,1.0,1.0,,1.0,3.0,13.0,7.0,19.0,3,1.0,32.0,3.0,2.0,1.0
2015-16,6768072,7,91,Bournemouth,Away,100621,78007,Joshua King,joshua-king,F,True,,,,6.0,,6.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,19.0,,,,,,,,6.5,,,,,,,,,,,6.0,1.0,7.0,0,,8.0,1.0,,
2015-16,6768072,7,91,Bournemouth,Away,113956,75115,Callum Wilson,callum-wilson,F,False,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,17.0,,,,,,,,6.7,,,,,,,,,,,1.0,,1.0,0,1.0,3.0,,1.0,
2015-16,6768075,8,91,Bournemouth,Home,20097,20529,Glenn Murray,glenn-murray,F,False,,,,11.0,2.0,13.0,1.0,2.0,2.0,,1.0,,1.0,,,2.0,7.0,8.0,,,2.0,,1.0,,,1.0,,90.0,4.0,,,1.0,,,,7.4,,,2.0,,1.0,3.0,,,,2.0,20.0,2.0,22.0,6,,41.0,1.0,4.0,2.0
2015-16,6768075,8,91,Bournemouth,Home,51348,,Yann Kermorgant,yann-kermorgant,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2015-16,6768075,8,91,Bournemouth,Home,100621,78007,Joshua King,joshua-king,F,False,,,,10.0,3.0,13.0,3.0,1.0,2.0,,,1.0,,,,,5.0,5.0,,,1.0,,,,,,,70.0,,,,,,,,6.8,,,,,,4.0,2.0,,,1.0,16.0,3.0,17.0,1,1.0,27.0,1.0,,3.0
2015-16,6768088,9,91,Bournemouth,Away,20097,20529,Glenn Murray,glenn-murray,F,False,,,,10.0,5.0,15.0,2.0,4.0,,,,,1.0,,,2.0,8.0,5.0,,,1.0,,1.0,,,1.0,,74.0,1.0,,,,,,,6.8,,,1.0,,,2.0,,,,1.0,15.0,5.0,20.0,2,,31.0,2.0,1.0,
2015-16,6768088,9,91,Bournemouth,Away,51348,,Yann Kermorgant,yann-kermorgant,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2015-16,6768088,9,91,Bournemouth,Away,100621,78007,Joshua King,joshua-king,F,True,,,,1.0,,1.0,1.0,,,,,,,,,1.0,2.0,,,,,,,,,,,16.0,,,,,,,,6.4,,,,,,,,,,,1.0,,1.0,0,,2.0,,,
2015-16,6768087,10,91,Bournemouth,Home,20097,20529,Glenn Murray,glenn-murray,F,False,,,,9.0,2.0,11.0,2.0,2.0,3.0,,,,1.0,,,3.0,7.0,5.0,,,1.0,,,,,1.0,,68.0,,1.0,,,,,,6.4,,,,,,,,,,,14.0,3.0,17.0,0,2.0,28.0,2.0,1.0,
2015-16,6768087,10,91,Bournemouth,Home,51348,,Yann Kermorgant,yann-kermorgant,F,True,,,1.0,5.0,,5.0,1.0,2.0,,,,,,,,,1.0,3.0,,,,,,,,,,22.0,,,,,,,,6.7,,,1.0,,,,,,1.0,1.0,7.0,1.0,8.0,1,,12.0,,1.0,
2015-16,6768087,10,91,Bournemouth,Home,100621,78007,Joshua King,joshua-king,F,False,,,,6.0,2.0,8.0,1.0,,4.0,,,,,,,4.0,5.0,2.0,,,,,,,1.0,,,61.0,,,,,,,,6.6,,,2.0,,,,,,,1.0,8.0,2.0,10.0,2,2.0,19.0,,,
2015-16,6768087,10,91,Bournemouth,Home,238138,126468,Tokelo Rantie,tokelo-rantie,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2015-16,6768115,11,91,Bournemouth,Away,20097,20529,Glenn Murray,glenn-murray,F,False,,,,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,2.0,4.0,2.0,,,,,,,,,,45.0,,,,,,,,6.4,,,,,1.0,,,,,,,3.0,3.0,1,,10.0,2.0,1.0,
2015-16,6768115,11,91,Bournemouth,Away,51348,,Yann Kermorgant,yann-kermorgant,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2015-16,6768115,11,91,Bournemouth,Away,100621,78007,Joshua King,joshua-king,F,True,,,,3.0,2.0,5.0,1.0,,2.0,,,,,,,2.0,5.0,,,,,,,,,2.0,,45.0,1.0,,,,,,,6.4,,,,,,2.0,1.0,,,,5.0,2.0,6.0,1,,14.0,,,
2015-16,6768129,12,91,Bournemouth,Home,51348,,Yann Kermorgant,yann-kermorgant,F,True,,,,3.0,,3.0,2.0,1.0,,,,,,,,,2.0,2.0,,,,,,,,,,17.0,,,,,,,,6.6,,,,,,,,,,,4.0,,4.0,0,,6.0,,1.0,
2015-16,6768129,12,91,Bournemouth,Home,100621,78007,Joshua King,joshua-king,F,False,,,1.0,8.0,3.0,11.0,2.0,,2.0,,,,,,,2.0,6.0,2.0,,,1.0,,,,,,1.0,73.0,3.0,,,,,,,7.0,,,1.0,,,2.0,,,1.0,2.0,12.0,3.0,15.0,4,1.0,28.0,2.0,,1.0
2015-16,6768129,12,91,Bournemouth,Home,238138,126468,Tokelo Rantie,tokelo-rantie,F,True,,,,2.0,,2.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,1.0,11.0,,,,,,,,6.6,,,,,,,,,,,3.0,,3.0,0,1.0,5.0,,,
2015-16,6768131,13,91,Bournemouth,Away,20097,20529,Glenn Murray,glenn-murray,F,True,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,4.0,,,,,,,,,,,,,,1.0,1.0,,,,2.0,1.0,2.0,0,,5.0,,,1.0
2015-16,6768131,13,91,Bournemouth,Away,51348,,Yann Kermorgant,yann-kermorgant,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2015-16,6768131,13,91,Bournemouth,Away,100621,78007,Joshua King,joshua-king,F,False,,,,16.0,3.0,19.0,,1.0,2.0,,,1.0,,,,2.0,5.0,6.0,,,1.0,,1.0,,,,2.0,86.0,2.0,,,,,,,7.7,,,,,2.0,6.0,,,,2.0,17.0,3.0,20.0,3,,42.0,4.0,1.0,4.0
