season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2022-23,10385483,1,91,Bournemouth,Home,298366,128340,Kieffer Moore,kieffer-moore,F,False,1.0,,1.0,11.0,5.0,15.0,5.0,2.0,2.0,,,,3.0,,2.0,14.0,7.0,,,0.0206094,0.0489,0.3347,3.0,,1.0,,,,,,,90.0,1.0,,,,,14.0,,7.0,,,,,,1.0,1.0,,2.0,,18.0,6.0,23.0,1,1.0,38.0,2.0,4.0,,1.0
2022-23,10385483,1,91,Bournemouth,Home,361420,154566,Dominic Solanke,dominic-solanke,F,False,,,1.0,4.0,1.0,5.0,1.0,1.0,3.0,,,2.0,1.0,,2.0,10.0,5.0,,,0.00108797,0.2138,0.0635,4.0,,,,,,,,,89.0,1.0,,,,,10.0,,6.5,,,,,1.0,3.0,,,1.0,,5.0,3.0,8.0,3,1.0,26.0,3.0,2.0,1.0,1.0
2022-23,10385530,2,91,Bournemouth,Away,257433,128309,Jamal Lowe,jamal-lowe,F,True,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385530,2,91,Bournemouth,Away,298366,128340,Kieffer Moore,kieffer-moore,F,False,,,1.0,5.0,10.0,15.0,2.0,3.0,,,,,,,1.0,4.0,5.0,,,0.0170249,0.0,0.0,1.0,,,,,,,1.0,,89.0,,1.0,,,,13.0,,6.7,,,,,,,,,1.0,,10.0,15.0,25.0,0,,33.0,2.0,2.0,,
2022-23,10385519,3,91,Bournemouth,Home,257433,128309,Jamal Lowe,jamal-lowe,F,True,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385519,3,91,Bournemouth,Home,298366,128340,Kieffer Moore,kieffer-moore,F,False,,,,7.0,7.0,14.0,2.0,3.0,4.0,,,,1.0,,3.0,9.0,7.0,,,0.0314076,0.0418,0.0,2.0,,,,,,,1.0,,90.0,,,,,,19.0,,6.6,,,2.0,,1.0,1.0,1.0,,1.0,,16.0,10.0,25.0,2,1.0,42.0,3.0,3.0,,
2022-23,10385547,4,91,Bournemouth,Away,298366,128340,Kieffer Moore,kieffer-moore,F,False,,,,6.0,12.0,18.0,9.0,8.0,3.0,,,1.0,2.0,,2.0,13.0,12.0,,,0.00132197,0.1926,0.5335,,,,,,,,,,90.0,1.0,1.0,,,,17.0,,6.4,,,,,,1.0,,,1.0,,18.0,13.0,31.0,2,1.0,45.0,2.0,2.0,1.0,1.0
2022-23,10385547,4,91,Bournemouth,Away,361420,154566,Dominic Solanke,dominic-solanke,F,True,,,,3.0,2.0,5.0,1.0,1.0,,,,,2.0,,,5.0,3.0,,,0.00113877,0.0,0.0,2.0,,,,,,,,,45.0,,,,,,7.0,,6.4,,,,,,1.0,,,,,5.0,4.0,9.0,0,,16.0,3.0,1.0,1.0,
2022-23,10385547,4,91,Bournemouth,Away,1008656,461017,Christian Saydee,christian-saydee,F,True,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385759,5,91,Bournemouth,Home,257433,128309,Jamal Lowe,jamal-lowe,F,True,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
