matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attLgLeft,attOboxOwnGoal,attObxdLeft,attOpenplay,attPenGoal,attPenPost,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
360571,11.0,2011-11-05 15:00:00,5,Blackburn,Home,117.0,9.0,1.0,2.0,1.0,2.0,,121.0,2.0,1.0,6.0,7.0,10.0,28.0,236.0,,,12.0,14.0,5.0,5.0,,1.0,,,,1.0,2.0,,1.0,,,,8.0,,,,,,,2.0,5.0,7.0,,53.0,47.0,1.0,3.0,,4.0,2.0,6.0,,5.0,6.0,4.0,,13.0,1.0,50.0,32.0,4.0,10.0,6.0,,,79.0,14.0,10.0,,,4.0,2.0,2.0,139.0,,,,,,,11.0,,,,2.0,,,,2.0,10.0,,19.0,14.0,1.0,7.0,67.0,89.0,39.0,8.0,,4.0,1.0,5.0,,,3.0,,,50.0,27.0,22.0,,,,,,152.0,143.0,1.0,22.0,6.0,37.7,,,0.0,,,,64.0,1.0,3.0,,,1.0,5.0,,2.0,59.0,5.0,134.0,25.0,19.0,7.0,5.0,17.0,12.0,1.0,116.0,5.0,206.0,2.0,1.0,39.0,11.0,70.0,3.0,323.0,1.0,0.0,12.0,15.0,,15.0,4.0,498.0,7.0,2.0,5.0,13.0,0.0
360588,12.0,2011-11-19 15:00:00,5,Blackburn,Away,102.0,9.0,,,,5.0,,117.0,8.0,1.0,2.0,4.0,20.0,17.0,219.0,,1.0,14.0,5.0,2.0,3.0,,,,,1.0,,1.0,,,,,,3.0,1.0,,,,,1.0,2.0,12.0,14.0,,40.0,39.0,1.0,1.0,3.0,4.0,1.0,6.0,,3.0,1.0,2.0,,14.0,3.0,47.0,38.0,4.0,15.0,4.0,1.0,,70.0,15.0,14.0,2.0,,3.0,1.0,1.0,120.0,1.0,,1.0,1.0,,,20.0,,,1.0,,,,,1.0,12.0,1.0,5.0,2.0,2.0,2.0,71.0,81.0,37.0,7.0,1.0,3.0,1.0,3.0,,,7.0,,,33.0,16.0,16.0,,,,,1.0,145.0,126.0,,24.0,7.0,41.5,1.0,,0.0,,,,58.0,1.0,2.0,1.0,,,5.0,,3.0,57.0,4.0,113.0,20.0,34.0,12.0,2.0,6.0,4.0,,102.0,6.0,182.0,,1.0,28.0,21.0,46.0,,289.0,,1.0,9.0,18.0,1.0,21.0,2.0,463.0,9.0,4.0,3.0,11.0,0.0
360595,13.0,2011-11-26 12:45:00,5,Blackburn,Away,132.0,16.0,2.0,5.0,3.0,1.0,1.0,160.0,1.0,3.0,1.0,13.0,10.0,30.0,287.0,,,19.0,9.0,8.0,5.0,2.0,,,,,,1.0,,1.0,,,,10.0,,,,,,,2.0,8.0,1.0,,53.0,45.0,1.0,1.0,,2.0,6.0,2.0,,6.0,4.0,3.0,,9.0,,35.0,57.0,2.0,21.0,12.0,,,80.0,6.0,10.0,1.0,,2.0,1.0,1.0,175.0,1.0,,,1.0,,,7.0,,,1.0,1.0,,,,,17.0,,7.0,7.0,1.0,1.0,90.0,98.0,44.0,2.0,,2.0,6.0,6.0,,,2.0,2.0,,73.0,29.0,23.0,,,,,,189.0,178.0,2.0,20.0,17.0,57.8,,,0.0,,,,89.0,,,,,,4.0,,1.0,69.0,8.0,155.0,34.0,32.0,19.0,5.0,13.0,8.0,,136.0,7.0,265.0,1.0,3.0,44.0,11.0,70.0,3.0,407.0,,0.0,16.0,29.0,2.0,28.0,0.0,613.0,12.0,10.0,6.0,22.0,0.0
360600,14.0,2011-12-03 15:00:00,5,Blackburn,Home,123.0,7.0,1.0,4.0,3.0,,1.0,119.0,4.0,,,9.0,16.0,17.0,238.0,1.0,,14.0,3.0,8.0,4.0,,,,,,,1.0,,,,,,6.0,1.0,,,,,,2.0,7.0,3.0,,78.0,42.0,3.0,,4.0,4.0,4.0,14.0,1.0,3.0,3.0,2.0,,12.0,1.0,51.0,56.0,4.0,13.0,6.0,1.0,,70.0,12.0,13.0,4.0,,3.0,1.0,1.0,127.0,3.0,,2.0,1.0,2.0,,7.0,,,1.0,1.0,,,,,9.0,,28.0,20.0,3.0,,58.0,80.0,33.0,4.0,,3.0,4.0,5.0,,,2.0,1.0,,38.0,25.0,20.0,,,,,1.0,136.0,127.0,3.0,28.0,9.0,31.6,,,0.0,,,,60.0,1.0,1.0,,,,6.0,,3.0,52.0,7.0,139.0,20.0,22.0,18.0,2.0,8.0,6.0,,103.0,2.0,192.0,1.0,,44.0,16.0,51.0,1.0,323.0,1.0,0.0,15.0,27.0,,17.0,1.0,505.0,8.0,8.0,3.0,24.0,0.0
360616,15.0,2011-12-11 13:30:00,5,Blackburn,Away,107.0,6.0,,,,1.0,,62.0,3.0,,1.0,6.0,6.0,14.0,169.0,,,10.0,6.0,10.0,,1.0,,,,,,,,,,,,1.0,,,,,,,2.0,6.0,17.0,,45.0,56.0,,,1.0,5.0,,10.0,,,2.0,3.0,,14.0,2.0,41.0,46.0,5.0,28.0,16.0,,1.0,80.0,11.0,11.0,,,1.0,,,136.0,,,,,,,17.0,,,,2.0,,,,4.0,44.0,,26.0,18.0,4.0,1.0,44.0,100.0,28.0,9.0,1.0,,1.0,2.0,,,8.0,,,25.0,21.0,14.0,,,,,,197.0,154.0,2.0,21.0,20.0,32.4,,,0.0,,,,46.0,2.0,1.0,,2.0,,1.0,,3.0,15.0,1.0,126.0,23.0,71.0,10.0,,5.0,5.0,,73.0,4.0,150.0,3.0,,34.0,12.0,59.0,1.0,271.0,,0.0,3.0,19.0,,13.0,2.0,504.0,11.0,6.0,,16.0,0.0
360620,16.0,2011-12-17 15:00:00,5,Blackburn,Home,126.0,10.0,1.0,2.0,1.0,4.0,,140.0,3.0,,4.0,17.0,9.0,31.0,264.0,,1.0,20.0,10.0,14.0,11.0,1.0,,,,,1.0,1.0,,,,,,12.0,,,,,,,,8.0,6.0,,57.0,53.0,1.0,,1.0,1.0,6.0,6.0,,3.0,2.0,11.0,1.0,3.0,,35.0,43.0,1.0,23.0,7.0,,,86.0,7.0,10.0,,,1.0,,1.0,141.0,1.0,,1.0,1.0,,,10.0,,,1.0,1.0,,,,,14.0,,11.0,9.0,1.0,4.0,84.0,86.0,37.0,7.0,,2.0,11.0,6.0,,,4.0,,,35.0,43.0,24.0,,,,,,168.0,154.0,2.0,22.0,19.0,44.3,,,0.0,,,,73.0,,2.0,,1.0,,4.0,1.0,3.0,75.0,13.0,145.0,24.0,37.0,15.0,3.0,16.0,13.0,,135.0,10.0,226.0,1.0,,39.0,10.0,63.0,6.0,355.0,,0.0,16.0,13.0,4.0,32.0,1.0,551.0,12.0,6.0,3.0,8.0,0.0
360634,17.0,2011-12-20 20:00:00,5,Blackburn,Home,117.0,3.0,,5.0,5.0,2.0,,115.0,4.0,,2.0,14.0,10.0,27.0,227.0,,1.0,25.0,16.0,19.0,8.0,,,,,,1.0,1.0,,,,,,14.0,,,,,,,,6.0,2.0,,49.0,45.0,2.0,1.0,1.0,4.0,6.0,6.0,,5.0,12.0,8.0,,17.0,,54.0,51.0,4.0,20.0,7.0,,,90.0,10.0,9.0,1.0,,1.0,,1.0,172.0,1.0,,1.0,1.0,,,8.0,,,1.0,,,,,,21.0,,15.0,10.0,,3.0,55.0,99.0,38.0,9.0,,6.0,3.0,2.0,,,4.0,1.0,,39.0,28.0,32.0,,,,,,217.0,195.0,2.0,21.0,10.0,47.4,,,0.0,,,,68.0,,,,,,10.0,,2.0,67.0,9.0,132.0,16.0,42.0,10.0,5.0,25.0,20.0,,145.0,10.0,237.0,1.0,,45.0,14.0,63.0,2.0,344.0,,0.0,18.0,18.0,4.0,34.0,3.0,582.0,19.0,5.0,5.0,11.0,0.0
360642,18.0,2011-12-26 15:00:00,5,Blackburn,Away,122.0,5.0,,,,2.0,,106.0,9.0,,,6.0,8.0,17.0,228.0,,1.0,16.0,15.0,15.0,4.0,1.0,,,,,,,,,,,,5.0,,,,,,,1.0,17.0,10.0,,43.0,49.0,,,,5.0,1.0,8.0,1.0,2.0,2.0,3.0,,10.0,5.0,55.0,43.0,5.0,29.0,8.0,,1.0,83.0,16.0,5.0,,,,1.0,,130.0,,,,,,,22.0,,,,4.0,,,,1.0,18.0,,20.0,16.0,3.0,,65.0,94.0,40.0,9.0,,3.0,2.0,1.0,,,6.0,,,49.0,34.0,17.0,,,,,,172.0,147.0,1.0,25.0,11.0,35.4,,2.0,0.0,,,,71.0,5.0,1.0,,,,4.0,,3.0,49.0,5.0,131.0,13.0,54.0,14.0,1.0,7.0,6.0,,100.0,15.0,185.0,4.0,,21.0,10.0,51.0,,309.0,,0.0,6.0,16.0,2.0,28.0,0.0,536.0,17.0,7.0,2.0,13.0,0.0
360653,19.0,2011-12-31 12:45:00,5,Blackburn,Away,151.0,12.0,3.0,3.0,,2.0,,101.0,6.0,1.0,,3.0,11.0,20.0,249.0,,,11.0,8.0,4.0,5.0,1.0,,,,,,,,,1.0,,,8.0,1.0,,,,,,,15.0,12.0,,58.0,49.0,,,2.0,7.0,3.0,15.0,,3.0,2.0,1.0,1.0,22.0,3.0,66.0,55.0,7.0,34.0,9.0,1.0,1.0,47.0,10.0,7.0,2.0,1.0,1.0,,,108.0,1.0,1.0,1.0,,1.0,,21.0,,,1.0,2.0,,,,,22.0,,20.0,18.0,1.0,,75.0,77.0,38.0,17.0,,3.0,4.0,3.0,,,8.0,,,50.0,19.0,6.0,,,,,1.0,164.0,124.0,,28.0,14.0,37.1,,,0.0,,,,69.0,3.0,,,2.0,,5.0,,3.0,32.0,7.0,167.0,15.0,74.0,21.0,3.0,6.0,3.0,,57.0,5.0,149.0,2.0,1.0,19.0,14.0,41.0,,310.0,,0.0,11.0,34.0,2.0,16.0,2.0,579.0,6.0,10.0,3.0,22.0,0.0
360660,20.0,2012-01-02 15:00:00,5,Blackburn,Home,131.0,7.0,4.0,7.0,3.0,1.0,,174.0,5.0,,,8.0,20.0,35.0,298.0,,,27.0,13.0,8.0,10.0,2.0,,,1.0,,,1.0,,1.0,,,,6.0,,,,1.0,,,,5.0,4.0,,64.0,52.0,4.0,3.0,1.0,2.0,4.0,4.0,,8.0,6.0,14.0,,11.0,1.0,44.0,33.0,2.0,14.0,6.0,,,63.0,9.0,7.0,1.0,,2.0,1.0,1.0,162.0,1.0,,,,1.0,,9.0,,,,2.0,,,,,17.0,1.0,14.0,13.0,,,89.0,99.0,38.0,3.0,,5.0,8.0,6.0,,,1.0,,,71.0,46.0,27.0,,,,,,200.0,185.0,1.0,29.0,14.0,56.4,1.0,,0.0,,,,106.0,,1.0,,1.0,,7.0,3.0,3.0,80.0,13.0,154.0,30.0,29.0,8.0,8.0,29.0,21.0,,145.0,3.0,296.0,4.0,,41.0,24.0,79.0,1.0,421.0,,0.0,17.0,17.0,,36.0,2.0,632.0,8.0,1.0,8.0,14.0,0.0
