matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attObxdRight,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attSetpiece,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,ballRecovery,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperGoals,keeperThrows,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,redCard,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,winningGoal,wonContest,wonCorners,wonTackle,yellowCard
284101,11,2009-11-01 16:00:00,41,Birmingham,Home,93.0,13.0,,3.0,3.0,5.0,,99.0,5.0,,4.0,11.0,19.0,26.0,189.0,,,26.0,13.0,16.0,6.0,,,,,,,,,,,,,,1.0,,,,8.0,6.0,,,61.0,7.0,1.0,10.0,,4.0,5.0,6.0,,11.0,1.0,50.0,56.0,7.0,20.0,11.0,,,,,,,86.0,10.0,8.0,,,,,,,,,,,,12.0,,3.0,1.0,20.0,1.0,34.0,34.0,3.0,,4.0,97.0,43.0,8.0,,2.0,4.0,5.0,,3.0,,44.0,42.0,29.0,,,,1.0,195.0,179.0,3.0,24.0,24.0,42.9,,1.0,0.0,3.0,1.0,,1.0,1.0,,4.0,,,2.0,45.0,,6.0,125.0,39.0,36.0,12.0,3.0,16.0,13.0,124.0,21.0,209.0,4.0,,34.0,24.0,68.0,5.0,318.0,,1.0,10.0,27.0,6.0,33.0,2.0,615.0,,,5.0,4.0,19.0,0.0
284114,12,2009-11-09 20:00:00,41,Birmingham,Away,48.0,10.0,,1.0,1.0,3.0,,57.0,9.0,,,3.0,2.0,15.0,104.0,,1.0,13.0,15.0,16.0,2.0,,,,,1.0,,1.0,,,,,,,,,,1.0,18.0,17.0,,,55.0,4.0,,21.0,,1.0,4.0,,,16.0,3.0,80.0,58.0,4.0,29.0,13.0,,,,,,,64.0,9.0,8.0,2.0,,,,1.0,2.0,,1.0,2.0,,,20.0,,2.0,,38.0,,27.0,27.0,2.0,,1.0,76.0,32.0,11.0,,2.0,2.0,2.0,,10.0,,18.0,34.0,10.0,1.0,1.0,1.0,,179.0,144.0,2.0,32.0,11.0,23.0,,1.0,0.0,3.0,2.0,,,1.0,,3.0,,,3.0,33.0,,4.0,73.0,16.0,64.0,26.0,1.0,5.0,4.0,80.0,16.0,119.0,2.0,,30.0,4.0,43.0,3.0,187.0,,0.0,5.0,27.0,1.0,20.0,2.0,495.0,,,7.0,1.0,17.0,0.0
284120,13,2009-11-21 15:00:00,41,Birmingham,Home,72.0,9.0,,1.0,1.0,6.0,,76.0,5.0,1.0,1.0,12.0,5.0,26.0,147.0,,3.0,13.0,25.0,14.0,1.0,,,,,,,,,,,,,,,,,,9.0,5.0,,,66.0,4.0,,4.0,,,4.0,2.0,,11.0,2.0,52.0,46.0,4.0,20.0,5.0,,,,,,,99.0,7.0,9.0,,,,,,1.0,,1.0,1.0,,,16.0,,4.0,,16.0,,27.0,25.0,1.0,,1.0,98.0,33.0,7.0,1.0,1.0,1.0,2.0,,5.0,,70.0,20.0,14.0,,,,,199.0,180.0,3.0,28.0,16.0,34.0,,2.0,0.0,1.0,1.0,,,,,1.0,,,1.0,44.0,,2.0,102.0,28.0,39.0,12.0,,8.0,8.0,118.0,21.0,182.0,4.0,1.0,38.0,7.0,71.0,4.0,276.0,,0.0,3.0,16.0,3.0,26.0,1.0,539.0,,,7.0,,11.0,0.0
284139,14,2009-11-29 12:00:00,41,Birmingham,Away,63.0,8.0,1.0,4.0,3.0,10.0,,109.0,5.0,,,10.0,13.0,17.0,168.0,,2.0,22.0,15.0,22.0,5.0,1.0,,2.0,,,,,,,,,,,,,,1.0,6.0,5.0,,,59.0,4.0,2.0,3.0,,5.0,9.0,8.0,,10.0,1.0,47.0,55.0,4.0,46.0,27.0,,,,,,,78.0,10.0,14.0,,,,,,1.0,,1.0,1.0,,,13.0,,1.0,,41.0,,15.0,15.0,,,,93.0,31.0,6.0,1.0,3.0,4.0,5.0,,3.0,,60.0,50.0,26.0,,,,,202.0,168.0,,25.0,24.0,43.8,,1.0,0.0,1.0,,,,1.0,2.0,6.0,,,1.0,72.0,,7.0,80.0,20.0,80.0,11.0,5.0,24.0,19.0,123.0,20.0,212.0,1.0,,34.0,14.0,56.0,8.0,268.0,,0.0,13.0,17.0,6.0,35.0,1.0,582.0,,,2.0,5.0,15.0,0.0
284148,15,2009-12-05 15:00:00,41,Birmingham,Away,67.0,10.0,,3.0,3.0,5.0,,110.0,6.0,1.0,2.0,7.0,8.0,21.0,174.0,,2.0,22.0,18.0,14.0,3.0,3.0,,1.0,2.0,,,2.0,,,,,,,,,,3.0,12.0,6.0,,,57.0,,5.0,9.0,,2.0,1.0,7.0,,15.0,3.0,59.0,64.0,,12.0,5.0,,,,,,,102.0,11.0,14.0,1.0,,,,2.0,1.0,,1.0,1.0,,1.0,12.0,,,3.0,15.0,,21.0,21.0,2.0,,2.0,97.0,36.0,2.0,2.0,1.0,6.0,6.0,,2.0,,51.0,35.0,23.0,,,,,172.0,152.0,2.0,17.0,24.0,42.3,,1.0,0.0,2.0,2.0,,,,1.0,1.0,1.0,,1.0,59.0,,7.0,85.0,25.0,32.0,17.0,1.0,11.0,10.0,126.0,11.0,205.0,,1.0,36.0,8.0,67.0,4.0,279.0,,0.0,12.0,28.0,5.0,27.0,0.0,544.0,,,8.0,2.0,20.0,0.0
284150,16,2009-12-12 15:00:00,41,Birmingham,Home,88.0,13.0,2.0,8.0,6.0,7.0,,141.0,6.0,,2.0,8.0,10.0,27.0,221.0,,,22.0,18.0,23.0,7.0,2.0,,1.0,,,,1.0,,,,,,,,,,2.0,4.0,11.0,,,53.0,2.0,3.0,5.0,,11.0,7.0,6.0,,2.0,3.0,44.0,65.0,2.0,15.0,9.0,,,,,,,92.0,12.0,14.0,,,,,1.0,1.0,,1.0,1.0,,1.0,8.0,,1.0,,13.0,,21.0,21.0,2.0,,2.0,84.0,40.0,7.0,1.0,2.0,8.0,9.0,,4.0,,47.0,60.0,27.0,,,,,155.0,143.0,5.0,15.0,24.0,47.3,,1.0,0.0,1.0,2.0,,,2.0,1.0,4.0,1.0,,2.0,81.0,,10.0,107.0,26.0,27.0,15.0,9.0,28.0,19.0,139.0,16.0,240.0,1.0,,35.0,13.0,60.0,3.0,319.0,,0.0,16.0,20.0,1.0,33.0,3.0,577.0,,,8.0,11.0,17.0,0.0
284160,17,2009-12-15 20:00:00,41,Birmingham,Home,79.0,7.0,,2.0,2.0,9.0,,149.0,4.0,,2.0,12.0,15.0,20.0,226.0,2.0,1.0,16.0,26.0,27.0,10.0,,,5.0,,,,,,,,,,,,1.0,,1.0,7.0,4.0,,,43.0,1.0,6.0,2.0,1.0,6.0,4.0,7.0,,11.0,1.0,56.0,67.0,1.0,25.0,14.0,,,,,,,112.0,10.0,17.0,2.0,,,,,2.0,,1.0,2.0,,,7.0,,2.0,2.0,24.0,1.0,21.0,21.0,1.0,,2.0,105.0,30.0,7.0,,3.0,9.0,5.0,,6.0,,63.0,61.0,21.0,,,,,217.0,193.0,1.0,18.0,15.0,50.8,1.0,4.0,0.0,2.0,,,,,5.0,6.0,1.0,,1.0,85.0,,12.0,109.0,24.0,49.0,16.0,3.0,15.0,12.0,163.0,18.0,274.0,2.0,,55.0,15.0,80.0,4.0,368.0,2.0,0.0,17.0,16.0,1.0,27.0,2.0,637.0,,,7.0,6.0,15.0,0.0
284173,18,2009-12-20 15:00:00,41,Birmingham,Away,102.0,7.0,,,,5.0,,123.0,4.0,5.0,1.0,6.0,21.0,19.0,225.0,,1.0,11.0,27.0,18.0,2.0,,,,,,,,,,,,,,,,,,19.0,5.0,,,61.0,3.0,4.0,5.0,,4.0,7.0,2.0,,3.0,,55.0,56.0,2.0,22.0,14.0,,,,,,,108.0,10.0,8.0,,,,,,1.0,,1.0,1.0,,,18.0,,3.0,1.0,30.0,,23.0,22.0,2.0,,1.0,120.0,42.0,6.0,1.0,,3.0,1.0,,7.0,,67.0,34.0,11.0,,,,,203.0,180.0,3.0,20.0,26.0,42.0,,,0.0,1.0,1.0,,,,,1.0,,,2.0,48.0,,3.0,123.0,25.0,44.0,21.0,3.0,14.0,11.0,130.0,13.0,252.0,3.0,5.0,46.0,23.0,70.0,,361.0,,0.0,6.0,19.0,1.0,13.0,3.0,615.0,,,10.0,4.0,11.0,0.0
284181,19,2009-12-26 12:45:00,41,Birmingham,Home,60.0,12.0,,2.0,2.0,4.0,,94.0,4.0,1.0,1.0,8.0,5.0,23.0,152.0,,1.0,14.0,22.0,13.0,8.0,,,1.0,,,1.0,3.0,,,,,,,,,,,23.0,7.0,,,62.0,4.0,6.0,7.0,,7.0,7.0,3.0,,10.0,3.0,47.0,62.0,4.0,25.0,10.0,,,,,,,92.0,6.0,17.0,,,,,3.0,,,,,,,14.0,,2.0,,17.0,,19.0,19.0,3.0,,1.0,91.0,32.0,11.0,,3.0,5.0,2.0,,7.0,,36.0,54.0,22.0,,,,,161.0,151.0,1.0,22.0,23.0,37.0,,1.0,0.0,6.0,1.0,,,1.0,1.0,6.0,,,2.0,48.0,,8.0,77.0,29.0,35.0,9.0,6.0,17.0,11.0,122.0,14.0,199.0,2.0,1.0,34.0,7.0,70.0,4.0,259.0,,0.0,14.0,25.0,5.0,17.0,1.0,534.0,,,7.0,7.0,15.0,0.0
284197,20,2009-12-28 15:00:00,41,Birmingham,Away,70.0,11.0,3.0,5.0,2.0,3.0,,117.0,5.0,1.0,1.0,7.0,5.0,19.0,182.0,,1.0,11.0,24.0,25.0,6.0,2.0,,,,,1.0,2.0,,,,,,,,,,,10.0,4.0,,,53.0,9.0,5.0,3.0,,7.0,5.0,6.0,,10.0,1.0,56.0,64.0,9.0,26.0,16.0,,,,,,,75.0,15.0,16.0,1.0,,,,2.0,,,,,,,11.0,,1.0,1.0,40.0,,13.0,13.0,1.0,,1.0,86.0,30.0,10.0,,5.0,3.0,4.0,,5.0,,35.0,48.0,21.0,,,,,191.0,153.0,2.0,25.0,19.0,49.8,,2.0,0.0,2.0,,,,1.0,,5.0,,,1.0,51.0,,8.0,97.0,26.0,64.0,9.0,6.0,17.0,11.0,112.0,14.0,215.0,1.0,1.0,37.0,7.0,60.0,1.0,295.0,1.0,0.0,14.0,19.0,5.0,17.0,3.0,557.0,,,4.0,7.0,14.0,0.0
