season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2018-19,7827949,6,36,Brighton_and_Hove_Albion,Home,20097,20529,Glenn Murray,glenn-murray,F,False,,,1.0,7.0,4.0,11.0,4.0,4.0,1.0,,,,,,,3.0,8.0,7.0,,,4.0,,,,,,,,90.0,,,1.0,,,,18.0,,5.9,,,,,,1.0,,,1.0,,18.0,5.0,23.0,0,,33.0,3.0,2.0,1.0,
2018-19,7827949,6,36,Brighton_and_Hove_Albion,Home,97409,106757,Jürgen Locadia,jurgen-locadia,F,True,,,,2.0,1.0,3.0,2.0,,,,,,,,,,2.0,,,,,,,,,,,,11.0,,,,,,,3.0,,6.4,,,,,,,,,,1.0,3.0,1.0,4.0,0,,6.0,2.0,,,
2018-19,7827949,6,36,Brighton_and_Hove_Albion,Home,235444,93284,Florin Andone,florin-andone,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2018-19,7827949,6,36,Brighton_and_Hove_Albion,Home,331837,165210,Alireza Jahanbakhsh,alireza-jahanbakhsh,F,True,,,,4.0,1.0,5.0,1.0,,3.0,,,,1.0,,,,3.0,2.0,,,,,,,,1.0,1.0,,17.0,,,,,,,6.0,,6.6,,,1.0,,,2.0,,,1.0,,7.0,1.0,8.0,1,,15.0,1.0,1.0,1.0,
2018-19,7827977,7,36,Brighton_and_Hove_Albion,Away,20097,20529,Glenn Murray,glenn-murray,F,True,,,,1.0,1.0,2.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,,17.0,,,,,,,2.0,,6.5,,,,,,,,,,,3.0,1.0,4.0,0,,4.0,,,,
2018-19,7827977,7,36,Brighton_and_Hove_Albion,Away,97409,106757,Jürgen Locadia,jurgen-locadia,F,False,,,,3.0,7.0,10.0,4.0,3.0,4.0,,,,,,,1.0,7.0,3.0,,,2.0,,,,,,,,73.0,,,,,,,8.0,,6.4,,,1.0,,,,,,,2.0,7.0,7.0,14.0,1,,20.0,3.0,,,
2018-19,7827977,7,36,Brighton_and_Hove_Albion,Away,331837,165210,Alireza Jahanbakhsh,alireza-jahanbakhsh,F,True,,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,3.0,,,,1.0,,,,,,,,12.0,,,,,,,2.0,,6.3,,,,,,1.0,,,1.0,,1.0,,1.0,0,,4.0,,,,
2018-19,7827977,7,36,Brighton_and_Hove_Albion,Away,358162,167473,José Izquierdo,jose-izquierdo,F,True,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,1.0,,6.5,,,,,,,,,,,1.0,1.0,2.0,0,,2.0,,,,
2018-19,7827987,8,36,Brighton_and_Hove_Albion,Home,20097,20529,Glenn Murray,glenn-murray,F,False,,,,11.0,2.0,13.0,7.0,11.0,3.0,,,1.0,2.0,,,,11.0,13.0,,,1.0,,1.0,,,1.0,2.0,,90.0,1.0,1.0,,,,,23.0,,7.7,,,2.0,,,1.0,1.0,,1.0,1.0,28.0,3.0,30.0,4,1.0,46.0,4.0,2.0,,1.0
2018-19,7827987,8,36,Brighton_and_Hove_Albion,Home,97409,106757,Jürgen Locadia,jurgen-locadia,F,True,,,,,1.0,1.0,3.0,,,,,,,,,,3.0,,,,,,,,,,,,4.0,,,,,,,,,6.4,,,,,,,,,,1.0,,1.0,1.0,0,,1.0,,,,
2018-19,7827987,8,36,Brighton_and_Hove_Albion,Home,235444,93284,Florin Andone,florin-andone,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2018-19,7827987,8,36,Brighton_and_Hove_Albion,Home,331837,165210,Alireza Jahanbakhsh,alireza-jahanbakhsh,F,False,,,,8.0,6.0,14.0,,,3.0,,,,,,,1.0,3.0,1.0,,,2.0,,,,,,,,71.0,1.0,,,,,,9.0,,6.7,,,1.0,,,,1.0,,1.0,1.0,14.0,6.0,19.0,2,1.0,30.0,1.0,,,1.0
2018-19,7827987,8,36,Brighton_and_Hove_Albion,Home,358162,167473,José Izquierdo,jose-izquierdo,F,True,,,,1.0,3.0,4.0,,1.0,2.0,,,,,,,,,3.0,,,,,,,,,,,19.0,1.0,,,,,,4.0,,6.9,,,,,,1.0,,,1.0,,3.0,4.0,7.0,1,1.0,11.0,,,1.0,1.0
2018-19,7828014,9,36,Brighton_and_Hove_Albion,Away,20097,20529,Glenn Murray,glenn-murray,F,False,,,,1.0,,1.0,,1.0,,,,,,,,1.0,2.0,1.0,,,1.0,,,,,,,,16.0,,,,,,,1.0,,6.5,,,,,,,,,,,1.0,,1.0,0,,3.0,,1.0,,
