playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,totalRedCards,blockedShots,shotsOnTargetIncGoals,overruns,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,substituteOn,cornersTakenInclShortCorners,aerialDuels,successfulCrossesAndCorners,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,successfulCornersIntoBox,totalTouchesInOppositionBox,keyPassesAttemptAssists,goalsConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,forwardPasses,recoveries,appearances,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,attemptsFromSetPieces,leftsidePasses,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,offsides,throwInsToOppositionPlayer,totalClearances,successfulLaunches,catches,savesMade,savesMadeFromOutsideBox,goalKicks,gkSuccessfulDistribution,savesMadeCaught,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,cleanSheets,penaltiesConceded,penaltyGoalsConceded,lastPlayerTackle,blocks,handballsConceded,foulWonPenalty,goals,awayGoals,unsuccessfulLayoffs,homeGoals,rightFootGoals,headedGoals,punches,drops,leftFootGoals,hitWoodwork,ownGoalScored,penaltiesTaken,clearancesOffTheLine,secondGoalAssists,redCards2ndYellow,penaltyGoals,penaltiesSaved,penaltiesFaced,savesFromPenalty,crossesNotClaimed
40660,Adam Hammill,Midfielder,Wolves,39,England,2011-12,24.0,5.0,0.0,2.0,5.0,2.0,10.0,8.0,1.0,20.0,9.0,1.0,3.0,3.0,27.0,22.0,108.0,6.0,6.0,2.0,7.0,345.0,1.0,22.0,1.0,21.0,76.0,1.0,20.0,8.0,8.0,23.0,18.0,6.0,0.0,46.0,30.0,11.0,9.0,1.0,11.0,62.0,7.0,31.0,16.0,44.0,1.0,0.0,107.0,3.0,7.0,81.0,9.0,5.0,1.0,34.0,5.0,2.0,5.0,5.0,26.0,213.0,4.0,2.0,6.0,26.0,2.0,7.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44302,Adlène Guédioura,Midfielder,Wolves,39,Algeria,2011-12,37.0,2.0,0.0,7.0,2.0,,11.0,8.0,1.0,31.0,10.0,,2.0,2.0,33.0,4.0,127.0,8.0,,3.0,2.0,292.0,1.0,20.0,1.0,18.0,86.0,,8.0,1.0,5.0,36.0,26.0,3.0,0.0,57.0,46.0,10.0,10.0,4.0,7.0,59.0,4.0,4.0,23.0,54.0,2.0,0.0,125.0,6.0,1.0,70.0,7.0,4.0,,37.0,8.0,8.0,,8.0,18.0,217.0,1.0,2.0,1.0,37.0,2.0,2.0,8.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105190,Anthony Forde,Midfielder,Wolves,39,Ireland,2011-12,17.0,,0.0,1.0,2.0,1.0,4.0,2.0,1.0,9.0,6.0,,5.0,3.0,11.0,9.0,66.0,3.0,2.0,3.0,,242.0,2.0,6.0,,5.0,54.0,,1.0,1.0,2.0,15.0,9.0,,0.0,23.0,14.0,13.0,6.0,,5.0,27.0,2.0,10.0,14.0,20.0,1.0,0.0,65.0,,,42.0,4.0,1.0,,22.0,,8.0,1.0,1.0,21.0,123.0,4.0,3.0,2.0,28.0,0.0,2.0,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78774,David Davis,Midfielder,Wolves,39,England,2011-12,19.0,3.0,0.0,,2.0,,16.0,3.0,,31.0,7.0,,6.0,6.0,34.0,3.0,189.0,1.0,,3.0,3.0,399.0,1.0,25.0,1.0,23.0,138.0,,2.0,4.0,9.0,18.0,46.0,6.0,0.0,44.0,52.0,27.0,7.0,4.0,2.0,76.0,8.0,3.0,9.0,41.0,2.0,0.0,186.0,1.0,1.0,52.0,12.0,1.0,,65.0,5.0,7.0,,17.0,26.0,255.0,,4.0,3.0,82.0,0.0,3.0,6.0,1.0,,8.0,1.0,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
16236,David Edwards,Midfielder,Wolves,39,Wales,2011-12,92.0,4.0,0.0,4.0,8.0,,49.0,17.0,,158.0,26.0,1.0,73.0,24.0,187.0,12.0,899.0,2.0,,45.0,4.0,1936.0,28.0,89.0,10.0,72.0,669.0,,26.0,11.0,48.0,64.0,206.0,19.0,2.0,181.0,285.0,101.0,26.0,9.0,7.0,354.0,38.0,12.0,28.0,136.0,17.0,0.0,892.0,9.0,3.0,259.0,40.0,4.0,,246.0,23.0,41.0,,43.0,162.0,1174.0,7.0,12.0,27.0,362.0,2.0,29.0,35.0,3.0,,31.0,5.0,,,,,,,,,,1.0,,5.0,,7.0,4.0,1.0,3.0,1.0,3.0,2.0,2.0,1.0,,,,,,,,,,,,,,
40231,Eggert Jónsson,Midfielder,Wolves,39,Iceland,2011-12,8.0,,0.0,,,,7.0,,,10.0,3.0,,3.0,2.0,10.0,2.0,86.0,1.0,,1.0,,173.0,,9.0,1.0,8.0,71.0,,,2.0,8.0,8.0,28.0,1.0,0.0,17.0,21.0,13.0,3.0,3.0,,37.0,7.0,2.0,5.0,16.0,1.0,0.0,85.0,,,21.0,4.0,,,21.0,4.0,6.0,,5.0,16.0,113.0,,2.0,1.0,39.0,1.0,,2.0,,1.0,2.0,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
114041,Jack Price,Midfielder,Wolves,39,England,2011-12,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28568,Jamie O'Hara,Midfielder,Wolves,39,England,2011-12,78.0,14.0,0.0,17.0,20.0,3.0,23.0,41.0,7.0,141.0,19.0,1.0,80.0,19.0,207.0,40.0,1207.0,,40.0,29.0,32.0,1662.0,16.0,65.0,9.0,52.0,869.0,9.0,30.0,28.0,40.0,62.0,241.0,21.0,0.0,143.0,388.0,81.0,19.0,2.0,12.0,630.0,31.0,86.0,37.0,114.0,13.0,0.0,1161.0,21.0,13.0,360.0,21.0,8.0,7.0,383.0,14.0,27.0,26.0,131.0,195.0,1567.0,12.0,4.0,23.0,402.0,6.0,66.0,25.0,,,8.0,11.0,,,,,,,,,,2.0,,1.0,,3.0,1.0,,2.0,0.0,3.0,2.0,1.0,,,,1.0,1.0,,,,,,,,,,
83701,Johnny Gorman,Midfielder,Wolves,39,Northern Ireland,2011-12,,,0.0,,,,,,,,1.0,,,,,1.0,1.0,1.0,,,,1.0,,,,,1.0,,,,,,,,0.0,,,1.0,1.0,,,1.0,,1.0,,,,0.0,1.0,,,1.0,,,,1.0,,1.0,,,,3.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10561,Karl Henry,Midfielder,Wolves,39,England,2011-12,81.0,2.0,1.0,6.0,3.0,1.0,51.0,8.0,1.0,149.0,31.0,,64.0,30.0,197.0,10.0,1432.0,1.0,1.0,22.0,2.0,2580.0,13.0,105.0,13.0,96.0,1120.0,,7.0,15.0,54.0,68.0,377.0,36.0,0.0,186.0,449.0,148.0,31.0,11.0,1.0,591.0,41.0,10.0,24.0,164.0,9.0,1.0,1409.0,5.0,5.0,255.0,40.0,9.0,2.0,390.0,32.0,60.0,,115.0,216.0,1740.0,7.0,3.0,31.0,646.0,7.0,48.0,39.0,,,36.0,12.0,,,,,,,,,,4.0,,3.0,,5.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,
