playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,totalRedCards,blockedShots,shotsOnTargetIncGoals,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,awayGoals,substituteOn,aerialDuels,successfulCrossesAndCorners,timePlayed,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,totalFoulsWon,winningGoal,duels,homeGoals,recoveries,appearances,tacklesLost,leftFootGoals,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,attemptsFromSetPieces,totalFoulsConceded,interceptions,successfulLongPasses,touches,throwInsToOwnPlayer,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,handballsConceded,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,cornersTakenInclShortCorners,goalsConcededOutsideBox,successfulCornersIntoBox,throwInsToOppositionPlayer,penaltyGoalsConceded,unsuccessfulCornersIntoBox,goalAssists,offsides,headedGoals,blocks,hitWoodwork,forwardPasses,cleanSheets,penaltiesConceded,lastPlayerTackle,gkSuccessfulDistribution,rightFootGoals,ownGoalScored,clearancesOffTheLine,penaltiesTaken,penaltyGoals,penaltiesSaved,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,savesFromPenalty,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,foulWonPenalty,redCards2ndYellow
44302,Adlène Guédioura,Midfielder,Wolves,39,Algeria,2009-10,63.0,4.0,0.0,8.0,3.0,25.0,12.0,2.0,51.0,14.0,7.0,7.0,65.0,8.0,215.0,1.0,0.0,7.0,21.0,4.0,590.0,1.0,10.0,61.0,50.0,143.0,12.0,2.0,1.0,14.0,9.0,53.0,19.0,2.0,124.0,1.0,54.0,14.0,4.0,1.0,14.0,95.0,9.0,8.0,35.0,103.0,11.0,0.0,214.0,9.0,3.0,113.0,21.0,6.0,1.0,15.0,8.0,7.0,382.0,1.0,5.0,3.0,59.0,1.0,2.0,14.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15237,Andrew Surman,Midfielder,Wolves,39,England,2009-10,20.0,,0.0,3.0,,8.0,1.0,2.0,19.0,7.0,18.0,3.0,26.0,5.0,143.0,,,4.0,1.0,4.0,315.0,,1.0,11.0,11.0,116.0,10.0,6.0,,2.0,10.0,19.0,2.0,0.0,31.0,,19.0,7.0,2.0,,3.0,70.0,6.0,12.0,9.0,30.0,,0.0,141.0,1.0,2.0,51.0,6.0,1.0,,5.0,2.0,1.0,213.0,4.0,,1.0,51.0,,0.0,7.0,4.0,9.0,4.0,3.0,2.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16236,David Edwards,Midfielder,Wolves,39,Wales,2009-10,89.0,4.0,0.0,3.0,4.0,28.0,12.0,4.0,98.0,20.0,26.0,16.0,114.0,23.0,444.0,1.0,0.0,4.0,52.0,4.0,1359.0,1.0,34.0,67.0,49.0,317.0,28.0,9.0,5.0,19.0,25.0,55.0,16.0,2.0,156.0,1.0,66.0,20.0,6.0,,15.0,220.0,20.0,23.0,33.0,104.0,18.0,0.0,441.0,8.0,15.0,182.0,22.0,5.0,,19.0,17.0,13.0,666.0,7.0,8.0,11.0,114.0,4.0,3.0,16.0,16.0,1.0,5.0,,,3.0,,,2.0,,7.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
19556,David Jones,Midfielder,Wolves,39,England,2009-10,71.0,3.0,0.0,8.0,8.0,20.0,17.0,7.0,126.0,20.0,45.0,16.0,136.0,13.0,661.0,1.0,0.0,4.0,18.0,11.0,1421.0,1.0,12.0,39.0,33.0,501.0,27.0,20.0,5.0,23.0,16.0,59.0,11.0,2.0,110.0,1.0,87.0,20.0,4.0,1.0,4.0,373.0,14.0,60.0,29.0,92.0,6.0,0.0,644.0,9.0,10.0,241.0,16.0,2.0,6.0,26.0,14.0,24.0,922.0,9.0,7.0,10.0,163.0,,3.0,10.0,24.0,44.0,2.0,8.0,1.0,1.0,34.0,2.0,1.0,,2.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
54662,Geoffrey Mujangi Bia,Midfielder,Wolves,39,Belgium,2009-10,5.0,,0.0,1.0,3.0,2.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,9.0,,,2.0,1.0,,59.0,,1.0,6.0,6.0,6.0,2.0,1.0,,,2.0,4.0,4.0,0.0,11.0,,1.0,3.0,,,1.0,3.0,1.0,3.0,3.0,10.0,,0.0,9.0,,,10.0,2.0,,,1.0,1.0,,32.0,,1.0,,3.0,,0.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10561,Karl Henry,Midfielder,Wolves,39,England,2009-10,143.0,8.0,1.0,8.0,2.0,59.0,12.0,1.0,206.0,34.0,52.0,34.0,272.0,13.0,1373.0,,,,56.0,8.0,3036.0,3.0,34.0,130.0,108.0,978.0,14.0,25.0,20.0,51.0,51.0,109.0,43.0,0.0,273.0,,194.0,34.0,12.0,,5.0,640.0,41.0,13.0,39.0,217.0,22.0,1.0,1349.0,10.0,4.0,355.0,47.0,6.0,1.0,57.0,56.0,123.0,1752.0,4.0,,39.0,469.0,,6.0,66.0,43.0,,10.0,,,4.0,,,,,12.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
18818,Matthew Jarvis,Midfielder,Wolves,39,England,2009-10,117.0,32.0,0.0,14.0,14.0,29.0,27.0,3.0,138.0,34.0,68.0,30.0,149.0,127.0,760.0,3.0,3.0,4.0,34.0,68.0,2655.0,2.0,28.0,83.0,77.0,601.0,106.0,56.0,4.0,36.0,37.0,89.0,32.0,0.0,200.0,0.0,133.0,34.0,5.0,,40.0,479.0,30.0,179.0,66.0,166.0,6.0,0.0,745.0,13.0,46.0,413.0,24.0,16.0,,14.0,41.0,10.0,1439.0,54.0,16.0,14.0,200.0,1.0,3.0,11.0,38.0,82.0,7.0,31.0,3.0,4.0,42.0,3.0,8.0,,,1.0,,3.0,,,,3.0,,,,,,,,,,,,,,,,,,,,1.0,
15944,Michael Kightly,Midfielder,Wolves,39,England,2009-10,45.0,1.0,0.0,1.0,1.0,10.0,2.0,2.0,36.0,9.0,6.0,3.0,42.0,12.0,124.0,,,6.0,5.0,6.0,424.0,2.0,4.0,20.0,19.0,76.0,7.0,6.0,4.0,4.0,9.0,41.0,6.0,0.0,65.0,,23.0,9.0,,,11.0,67.0,7.0,24.0,22.0,60.0,1.0,0.0,121.0,1.0,7.0,93.0,10.0,3.0,,8.0,2.0,6.0,227.0,2.0,3.0,5.0,21.0,1.0,3.0,6.0,6.0,14.0,2.0,4.0,1.0,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
41208,Nenad Milijas,Midfielder,Wolves,39,Serbia,2009-10,56.0,7.0,0.0,10.0,7.0,19.0,20.0,7.0,78.0,19.0,19.0,12.0,113.0,26.0,373.0,2.0,0.0,7.0,19.0,29.0,977.0,,13.0,37.0,31.0,235.0,17.0,19.0,9.0,11.0,14.0,43.0,9.0,4.0,93.0,2.0,58.0,19.0,8.0,2.0,3.0,206.0,12.0,71.0,15.0,74.0,6.0,0.0,365.0,13.0,11.0,204.0,11.0,3.0,6.0,20.0,17.0,25.0,617.0,5.0,10.0,14.0,83.0,,1.0,35.0,16.0,40.0,2.0,13.0,,,26.0,3.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33008,Segundo Castillo,Midfielder,Wolves,39,Ecuador,2009-10,21.0,1.0,0.0,1.0,1.0,10.0,4.0,,49.0,8.0,4.0,7.0,59.0,1.0,226.0,,,1.0,10.0,1.0,502.0,,8.0,18.0,16.0,148.0,2.0,2.0,1.0,10.0,15.0,13.0,5.0,0.0,39.0,,33.0,8.0,1.0,,,109.0,13.0,1.0,6.0,29.0,2.0,0.0,223.0,3.0,,66.0,9.0,1.0,,7.0,16.0,19.0,293.0,,4.0,3.0,58.0,1.0,1.0,10.0,12.0,,2.0,,,3.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
