season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyWon,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest
2015-16,6767932,1,56,Sunderland,Away,763,3736,John O'Shea,john-oshea,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2015-16,6767932,1,56,Sunderland,Away,1018,37742,Younès Kaboul,younes-kaboul,D,False,,,8.0,7.0,44.0,51.0,3.0,7.0,9.0,,,,,,,1.0,5.0,11.0,1.0,,1.0,,,,,1.0,,,90.0,1.0,2.0,,,,,,6.1,,,,,4.0,,1.0,,14.0,,18.0,52.0,69.0,1,3.0,89.0,3.0,1.0,
2015-16,6767932,1,56,Sunderland,Away,27338,11467,Billy Jones,billy-jones,D,False,,,1.0,8.0,10.0,18.0,1.0,2.0,4.0,,,,,,,,5.0,3.0,,,4.0,,,,,2.0,,,54.0,,,,,,,,6.1,,,,,1.0,,,,3.0,,13.0,14.0,27.0,0,1.0,39.0,1.0,,
2015-16,6767932,1,56,Sunderland,Away,32002,49384,Jack Rodwell,jack-rodwell,D,False,,,2.0,24.0,23.0,47.0,,1.0,7.0,,,,2.0,,,1.0,5.0,4.0,,,2.0,,,,,,1.0,,90.0,1.0,,,,,,,6.4,,,,,1.0,,1.0,,4.0,,30.0,28.0,57.0,1,3.0,65.0,,,
2015-16,6767932,1,56,Sunderland,Away,47443,78108,Sebastián Coates,sebastian-coates,D,False,,,2.0,13.0,33.0,46.0,4.0,3.0,6.0,,,,2.0,,,,10.0,6.0,,2.0,5.0,,,,,3.0,,,90.0,,1.0,,,,,,5.5,,,,,2.0,,,,9.0,,19.0,35.0,54.0,0,2.0,67.0,1.0,1.0,
2015-16,6767932,1,56,Sunderland,Away,50826,60794,Adam Matthews,adam-matthews,D,True,1.0,,,6.0,6.0,11.0,,,1.0,,,,,,,1.0,1.0,3.0,,,,,,,,,1.0,,36.0,,,,,,,,6.9,,,,,1.0,1.0,2.0,,,,7.0,8.0,13.0,0,2.0,25.0,1.0,,1.0
2015-16,6767932,1,56,Sunderland,Away,74577,74230,Patrick van Aanholt,patrick-van-aanholt,D,False,,,1.0,17.0,16.0,33.0,,,7.0,,,,2.0,,,2.0,7.0,4.0,,,2.0,,,,,3.0,,,90.0,,1.0,,,,,,5.9,,,,,2.0,1.0,,,2.0,,18.0,19.0,37.0,0,4.0,63.0,1.0,,
2015-16,6767952,2,56,Sunderland,Home,763,3736,John O'Shea,john-oshea,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2015-16,6767952,2,56,Sunderland,Home,1018,37742,Younès Kaboul,younes-kaboul,D,False,,,1.0,4.0,22.0,26.0,1.0,1.0,7.0,,,,1.0,,,1.0,4.0,6.0,,,1.0,,,,,4.0,,,90.0,,,,,,,,6.8,,,1.0,,7.0,,,,11.0,,14.0,29.0,43.0,1,5.0,64.0,,,
2015-16,6767952,2,56,Sunderland,Home,27338,11467,Billy Jones,billy-jones,D,False,,,,13.0,14.0,27.0,2.0,2.0,1.0,,,,,,,,2.0,3.0,,,,,,,,,,,90.0,,4.0,,,,,,6.2,,,,,1.0,1.0,1.0,,4.0,,20.0,19.0,38.0,0,,63.0,2.0,,1.0
