season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2022-23,10385509,1,11,Everton,Home,13918,40349,Asmir Begović,asmir-begovic,G,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385509,1,11,Everton,Home,138530,111234,Jordan Pickford,jordan-pickford,G,False,,1.0,9.0,8.0,8.0,16.0,,,12.0,,,,,,,1.0,1.0,,,,0.00373837,0.0,0.0,,,,0.9145,2.0,,,,,90.0,,,,1.0,,,18.0,1.0,7.2,3.0,5.0,,,1.0,,,1.0,26.0,,24.0,9.0,33.0,0,,48.0,,,,
2022-23,10385503,2,11,Everton,Away,13918,40349,Asmir Begović,asmir-begovic,G,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385503,2,11,Everton,Away,138530,111234,Jordan Pickford,jordan-pickford,G,False,,1.0,4.0,3.0,14.0,17.0,,,8.0,,,,,,,,,,,,0.00618546,0.0,0.0,,,,-0.2525,,,1.0,,,90.0,,,,,,,11.0,,6.4,1.0,1.0,,,1.0,,,1.0,15.0,,12.0,16.0,28.0,0,,35.0,,,,
2022-23,10385537,3,11,Everton,Home,13918,40349,Asmir Begović,asmir-begovic,G,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385537,3,11,Everton,Home,138530,111234,Jordan Pickford,jordan-pickford,G,False,,,6.0,4.0,14.0,18.0,,,10.0,1.0,,,,,,,,,,,0.220731,0.0,0.0,,1.0,,0.2486,,,,1.0,,90.0,,,,,,,10.0,1.0,7.6,2.0,4.0,,,1.0,,,,16.0,,14.0,14.0,28.0,0,,40.0,,,,
2022-23,10385556,4,11,Everton,Away,13918,40349,Asmir Begović,asmir-begovic,G,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385556,4,11,Everton,Away,138530,111234,Jordan Pickford,jordan-pickford,G,False,,2.0,11.0,10.0,3.0,13.0,,1.0,8.0,,,,,,,,,1.0,,,0.00342642,0.0,0.0,,,,0.3875,1.0,,1.0,,,90.0,,,,,,,22.0,2.0,7.2,4.0,4.0,,,4.0,,,2.0,31.0,,27.0,6.0,33.0,0,,49.0,1.0,,,
2022-23,10385758,5,11,Everton,Away,13918,40349,Asmir Begović,asmir-begovic,G,True,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385758,5,11,Everton,Away,138530,111234,Jordan Pickford,jordan-pickford,G,False,,,6.0,6.0,5.0,11.0,,,10.0,,,,,,,,,,,,0.00062291,0.0,0.0,,,,-0.185,,,,,,90.0,,,,,,,18.0,1.0,7.2,4.0,4.0,,,1.0,,,1.0,24.0,,24.0,5.0,29.0,0,,41.0,,,,
