season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballCarriesCount,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possessionLostCtrl,progressiveBallCarriesCount,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalBallCarriesDistance,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalProgression,totalProgressiveBallCarriesDistance,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2024-25,12436873,1,11,Everton,Home,138530,111234,Jordan Pickford,jordan-pickford,G,False,,2.0,18.0,16.0,13.0,29.0,,1.0,23.0,10.0,,,,,,,,,1.0,,,0.0151059,,,,0.0,,-0.6252,1.0,,,,,90.0,,,,,,,14.0,0.0,,7.0,2.0,2.0,,,179.51249964857,2.0,,,2.0,32.0,,30.0,13.0,43.0,113.33250678943,,0,,52.0,,,,
2024-25,12436873,1,11,Everton,Home,930666,222627,João Virgínia,joao-virginia,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436902,2,11,Everton,Away,138530,111234,Jordan Pickford,jordan-pickford,G,False,,1.0,12.0,9.0,12.0,21.0,,,,5.0,,,,,,,,,,1.0,,0.00476217,,,,0.0,,-1.4373,,,,,,90.0,,,,,,,12.0,,1.0,6.1,2.0,3.0,,,,3.0,,,1.0,22.0,,19.0,12.0,31.0,,,0,,41.0,1.0,,,
2024-25,12436902,2,11,Everton,Away,930666,222627,João Virgínia,joao-virginia,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436912,3,11,Everton,Home,138530,111234,Jordan Pickford,jordan-pickford,G,False,,2.0,14.0,11.0,4.0,15.0,,1.0,,7.0,,,,,,,,,1.0,,,0.00219807,,,,0.0,,-0.4458,,,,,,90.0,,,,,,,22.0,,1.0,7.0,2.0,4.0,,,,2.0,,,2.0,35.0,,31.0,5.0,36.0,,,0,,44.0,,,,
2024-25,12436912,3,11,Everton,Home,930666,222627,João Virgínia,joao-virginia,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436933,4,11,Everton,Away,138530,111234,Jordan Pickford,jordan-pickford,G,False,,2.0,12.0,11.0,11.0,22.0,,,,10.0,,,,,,,,,,,,0.0108588,,,,0.0,,-0.6418,,,,,,90.0,,,,,,,10.0,,1.0,6.9,3.0,4.0,,,,1.0,,,2.0,21.0,,18.0,13.0,31.0,,,0,,42.0,,,,
2024-25,12436933,4,11,Everton,Away,930666,222627,João Virgínia,joao-virginia,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436967,5,11,Everton,Away,13918,40349,Asmir Begović,asmir-begovic,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436967,5,11,Everton,Away,138530,111234,Jordan Pickford,jordan-pickford,G,False,,1.0,12.0,10.0,11.0,21.0,,,,6.0,,,,,,,,,,,,0.0112058,,,,0.0,,-0.0311,2.0,1.0,,,,90.0,,,,,,,11.0,,1.0,7.1,1.0,1.0,,,,2.0,,,1.0,22.0,,20.0,12.0,32.0,,,0,,39.0,,,,
