season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2016-17,7389498,28,57,Watford,Away,16701,38439,Étienne Capoue,etienne-capoue,M,False,,,2.0,22.0,25.0,47.0,1.0,1.0,3.0,,,,1.0,,,1.0,3.0,1.0,,1.0,,,1.0,,,2.0,,89.0,1.0,,,,,,,11.0,,6.9,,,1.0,,,,1.0,,3.0,,29.0,26.0,54.0,2,,63.0,2.0,,,
2016-17,7389498,28,57,Watford,Away,26136,,Camilo Zúñiga,camilo-zuniga,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7389498,28,57,Watford,Away,27714,44604,Nordin Amrabat,nordin-amrabat,M,False,,,2.0,14.0,32.0,46.0,,,11.0,,,,3.0,,,6.0,12.0,5.0,,,2.0,,,,,,2.0,90.0,,,,,,,,17.0,,6.2,,,2.0,,,5.0,,,3.0,1.0,19.0,36.0,55.0,2,,82.0,1.0,1.0,4.0,
2016-17,7389498,28,57,Watford,Away,46432,43250,Tom Cleverley,tom-cleverley,M,False,1.0,,1.0,19.0,24.0,42.0,,,10.0,,,,,,,3.0,4.0,1.0,,,1.0,,,,,1.0,,90.0,,,,,,,,12.0,,6.1,,,,,,,3.0,,2.0,,23.0,26.0,46.0,0,1.0,60.0,2.0,,,
2016-17,7389498,28,57,Watford,Away,96535,121599,Abdoulaye Doucouré,abdoulaye-doucoure,M,False,,,4.0,32.0,47.0,79.0,,,8.0,,,,3.0,,,3.0,8.0,4.0,,,2.0,,,,,3.0,,90.0,,2.0,,,,,,11.0,,6.6,,,,,,,,,7.0,,35.0,50.0,85.0,0,4.0,101.0,2.0,,,2.0
2016-17,7389498,28,57,Watford,Away,877542,243532,Dion Pereira,dion-pereira,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7090262,29,57,Watford,Away,11654,21123,Valon Behrami,valon-behrami,M,False,,,,13.0,3.0,16.0,,1.0,1.0,,,,1.0,,,,2.0,5.0,,,,,,,,,1.0,45.0,,1.0,,,,,,6.0,,6.6,,,1.0,,1.0,2.0,,,,,18.0,3.0,21.0,1,2.0,29.0,,1.0,1.0,1.0
2016-17,7090262,29,57,Watford,Away,16701,38439,Étienne Capoue,etienne-capoue,M,False,,,1.0,20.0,14.0,34.0,3.0,,5.0,,,,2.0,,,1.0,7.0,2.0,,,,,,,,1.0,,90.0,,,,,,,,10.0,,6.4,,,1.0,,1.0,2.0,1.0,,2.0,,23.0,16.0,38.0,1,1.0,50.0,3.0,,1.0,
2016-17,7090262,29,57,Watford,Away,26136,,Camilo Zúñiga,camilo-zuniga,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7090262,29,57,Watford,Away,27714,44604,Nordin Amrabat,nordin-amrabat,M,True,,,1.0,4.0,3.0,7.0,1.0,,2.0,,,,3.0,,,2.0,7.0,2.0,,,1.0,,,,,,,27.0,,,,,,,,5.0,,5.9,,,,,,1.0,,,1.0,,6.0,4.0,10.0,0,,15.0,,1.0,1.0,
2016-17,7090262,29,57,Watford,Away,46432,43250,Tom Cleverley,tom-cleverley,M,False,,,2.0,13.0,7.0,20.0,,,2.0,,,,,,,,1.0,4.0,,,2.0,,,,,,,79.0,,,,,,,,12.0,,6.7,,,,,2.0,1.0,3.0,,6.0,,24.0,7.0,28.0,0,2.0,42.0,1.0,1.0,1.0,2.0
2016-17,7090262,29,57,Watford,Away,96535,121599,Abdoulaye Doucouré,abdoulaye-doucoure,M,True,,,,14.0,20.0,34.0,,,1.0,,,,1.0,,,,2.0,2.0,,,1.0,,,,,,1.0,45.0,1.0,,,,,,,6.0,,6.9,,,,,,1.0,,,1.0,,17.0,23.0,40.0,1,1.0,43.0,,,1.0,1.0
2016-17,7090276,30,57,Watford,Home,16701,38439,Étienne Capoue,etienne-capoue,M,False,2.0,,,29.0,13.0,40.0,,2.0,7.0,,,,,,,,6.0,4.0,,,2.0,,,,,3.0,2.0,90.0,,,,,,,,13.0,,6.9,,,1.0,,3.0,5.0,5.0,,1.0,,36.0,13.0,44.0,1,1.0,66.0,1.0,,1.0,
2016-17,7090276,30,57,Watford,Home,26136,,Camilo Zúñiga,camilo-zuniga,M,True,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,6.6,,,,,1.0,,,,,,3.0,,3.0,0,,4.0,,,,
2016-17,7090276,30,57,Watford,Home,27714,44604,Nordin Amrabat,nordin-amrabat,M,False,,,1.0,10.0,7.0,17.0,,,3.0,,,1.0,,,,,2.0,2.0,,,2.0,,,,,1.0,2.0,53.0,,,,,,,,6.0,,6.9,,,,,,2.0,4.0,,1.0,,16.0,7.0,19.0,1,,30.0,,,2.0,
2016-17,7090276,30,57,Watford,Home,46432,43250,Tom Cleverley,tom-cleverley,M,False,3.0,,1.0,23.0,12.0,32.0,,,4.0,,,,,,,,4.0,3.0,,,3.0,,,,,,2.0,90.0,,,,,,,,12.0,,6.9,,,,,1.0,1.0,8.0,,5.0,,33.0,13.0,38.0,0,2.0,53.0,,1.0,,
2016-17,7090276,30,57,Watford,Home,96535,121599,Abdoulaye Doucouré,abdoulaye-doucoure,M,False,,,4.0,27.0,34.0,61.0,,1.0,13.0,,,1.0,1.0,,,,2.0,1.0,,,1.0,,,,,2.0,1.0,90.0,1.0,,,,,,,11.0,,7.3,,,2.0,,2.0,,1.0,,7.0,,34.0,37.0,70.0,4,,81.0,1.0,,,
2016-17,7090268,31,57,Watford,Home,16701,38439,Étienne Capoue,etienne-capoue,M,False,,,5.0,19.0,22.0,41.0,1.0,1.0,4.0,,,,1.0,,,,6.0,10.0,,,2.0,,,,,,,90.0,,,,,,,,6.0,,7.1,,,,,1.0,3.0,,,5.0,,21.0,23.0,44.0,0,5.0,59.0,1.0,3.0,1.0,4.0
2016-17,7090268,31,57,Watford,Home,26136,,Camilo Zúñiga,camilo-zuniga,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7090268,31,57,Watford,Home,27714,44604,Nordin Amrabat,nordin-amrabat,M,False,1.0,,2.0,14.0,8.0,21.0,,,3.0,,,,1.0,,,1.0,4.0,5.0,,,1.0,,,,,,,69.0,,,,,,,,8.0,,6.9,,,1.0,,,2.0,1.0,,4.0,,19.0,8.0,26.0,1,3.0,38.0,1.0,1.0,1.0,2.0
2016-17,7090268,31,57,Watford,Home,46432,43250,Tom Cleverley,tom-cleverley,M,False,1.0,,4.0,25.0,20.0,44.0,1.0,,4.0,,,1.0,2.0,,,1.0,4.0,4.0,,,,,,,,,1.0,90.0,,1.0,,,,,,7.0,,7.0,,,,,4.0,1.0,4.0,,4.0,,29.0,22.0,47.0,1,1.0,62.0,,2.0,1.0,1.0
2016-17,7090268,31,57,Watford,Home,96535,121599,Abdoulaye Doucouré,abdoulaye-doucoure,M,False,,,2.0,18.0,29.0,47.0,1.0,1.0,7.0,,,,1.0,,,,2.0,3.0,,,,,,,,2.0,1.0,90.0,,1.0,,,,,,5.0,,7.0,,,,,,1.0,,,3.0,,22.0,29.0,51.0,0,1.0,58.0,1.0,,1.0,
2016-17,7090268,31,57,Watford,Home,877542,243532,Dion Pereira,dion-pereira,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7090302,32,57,Watford,Away,16701,38439,Étienne Capoue,etienne-capoue,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7090302,32,57,Watford,Away,26136,,Camilo Zúñiga,camilo-zuniga,M,True,,,1.0,5.0,10.0,15.0,,,2.0,,,,1.0,,,1.0,3.0,,,,1.0,,,,,,,31.0,,,,,,,,2.0,,6.3,,,,,,,,,1.0,,6.0,10.0,16.0,0,,17.0,,,,
2016-17,7090302,32,57,Watford,Away,27714,44604,Nordin Amrabat,nordin-amrabat,M,False,,,1.0,5.0,15.0,20.0,,,3.0,,,1.0,1.0,,,2.0,4.0,1.0,,,1.0,,,,,1.0,,70.0,,,,,,,,7.0,,6.0,,,,,,1.0,1.0,,2.0,,7.0,17.0,23.0,1,,30.0,1.0,,1.0,
2016-17,7090302,32,57,Watford,Away,46432,43250,Tom Cleverley,tom-cleverley,M,False,1.0,,2.0,13.0,23.0,35.0,,,5.0,,,,1.0,,,,2.0,1.0,,,1.0,,,,,1.0,,90.0,,1.0,,,,,,8.0,,6.5,,,,,1.0,,4.0,,4.0,,20.0,23.0,39.0,0,1.0,50.0,,,,1.0
2016-17,7090302,32,57,Watford,Away,96535,121599,Abdoulaye Doucouré,abdoulaye-doucoure,M,False,,,1.0,11.0,12.0,23.0,,,6.0,,,1.0,3.0,,,1.0,4.0,,,,,,,,,2.0,1.0,59.0,,,,,,,,3.0,,5.9,,,,,,,,,1.0,,12.0,13.0,25.0,1,,30.0,,,,
2016-17,7090338,33,57,Watford,Home,11654,21123,Valon Behrami,valon-behrami,M,True,,,,1.0,,1.0,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,2.0,0,,3.0,,,,
2016-17,7090338,33,57,Watford,Home,16701,38439,Étienne Capoue,etienne-capoue,M,False,,,2.0,13.0,13.0,26.0,3.0,2.0,2.0,,1.0,,1.0,,,2.0,6.0,4.0,,,,,1.0,,,,1.0,90.0,2.0,,,,,,,11.0,,7.2,,,2.0,,,1.0,,,2.0,,20.0,14.0,34.0,4,,45.0,1.0,1.0,1.0,
2016-17,7090338,33,57,Watford,Home,27714,44604,Nordin Amrabat,nordin-amrabat,M,False,,,,5.0,11.0,16.0,,,4.0,,,,,,,1.0,3.0,1.0,,,1.0,,,,,,,64.0,,,,,,,,8.0,,6.5,,,1.0,,,1.0,1.0,,1.0,,7.0,12.0,18.0,1,1.0,27.0,3.0,,,1.0
2016-17,7090338,33,57,Watford,Home,46432,43250,Tom Cleverley,tom-cleverley,M,False,,,1.0,16.0,16.0,32.0,2.0,,6.0,,,,2.0,,,2.0,6.0,3.0,,,,,,,,,2.0,89.0,,,,,,,,16.0,,6.4,,,,,1.0,,4.0,,5.0,,26.0,18.0,40.0,0,2.0,54.0,1.0,1.0,,1.0
2016-17,7090338,33,57,Watford,Home,96535,121599,Abdoulaye Doucouré,abdoulaye-doucoure,M,False,,,1.0,19.0,45.0,64.0,1.0,1.0,7.0,,,,,,,,2.0,5.0,,,,,,,,,1.0,90.0,1.0,1.0,,,,,,12.0,,7.6,,,2.0,,1.0,2.0,,,5.0,,24.0,49.0,73.0,3,2.0,87.0,,1.0,1.0,2.0
2016-17,7090338,33,57,Watford,Home,877542,243532,Dion Pereira,dion-pereira,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7090313,34,57,Watford,Away,11654,21123,Valon Behrami,valon-behrami,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7090313,34,57,Watford,Away,16701,38439,Étienne Capoue,etienne-capoue,M,False,,,4.0,29.0,35.0,64.0,,1.0,4.0,,1.0,,,,,,3.0,3.0,,,2.0,,,,,1.0,,90.0,1.0,,,,,,,11.0,,6.8,,,1.0,,,1.0,,,8.0,,39.0,35.0,74.0,2,1.0,82.0,,1.0,,1.0
2016-17,7090313,34,57,Watford,Away,26136,,Camilo Zúñiga,camilo-zuniga,M,True,,,,6.0,2.0,8.0,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,,,,,,1.0,,6.6,,,,,,,1.0,,,,7.0,2.0,8.0,0,,10.0,,,,
2016-17,7090313,34,57,Watford,Away,27714,44604,Nordin Amrabat,nordin-amrabat,M,False,1.0,,1.0,13.0,4.0,16.0,,,3.0,,,1.0,,,,2.0,2.0,5.0,,,2.0,,,,,,1.0,67.0,,,,,,,,11.0,,6.7,,,,,,3.0,5.0,,1.0,,20.0,4.0,19.0,1,1.0,35.0,2.0,1.0,3.0,
2016-17,7090313,34,57,Watford,Away,46432,43250,Tom Cleverley,tom-cleverley,M,False,1.0,,2.0,30.0,24.0,53.0,1.0,,6.0,1.0,,,3.0,,,1.0,5.0,5.0,,,,,,,,1.0,2.0,90.0,,,,,,,,11.0,,6.7,,,,,,,5.0,,5.0,,39.0,25.0,59.0,0,5.0,75.0,,,,1.0
