playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,totalRedCards,totalTackles,totalShots,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,aerialDuels,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,expectedGoalsOnTargetConceded,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,winningGoal,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,lastPlayerTackle,successfulPassesOppositionHalf,goalsConcededInsideBox,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,blockedShots,unsuccessfulCrossesOpenPlay,offsides,goalKicks,oboxBlocked,keyPassesAttemptAssists,shotsBlockedInBox,totalFoulsWon,unsuccessfulCrossesAndCorners,iboxBlocked,gkSuccessfulDistribution,cornersWon,clearancesOffTheLine,substituteOff,shotsBlockedOutsideBox,overruns,successfulLayoffs,substituteOn,unsuccessfulDribbles,throwInsToOwnPlayer,successfulCrossesOpenPlay,successfulCrossesAndCorners,catches,savesMadeFromOutsideBox,punches,savesMade,goalkeeperSmother,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,shotsOnTargetIncGoals,expectedGoalsOnTarget,iboxTarget,shotsOnTargetInBox,unsuccessfulLayoffs,tacklesLost,cornersTakenInclShortCorners,unsuccessfulCornersIntoBox,throughBalls,successfulCornersIntoBox,throwInsToOppositionPlayer
539142,Aurèle Amenda,Defender,Coventry,9,Switzerland,2026-27,11.0,0.386,0.0,1.0,1.0,9.0,3.0,3.0,16.0,135.0,12.0,270.0,4.0,10.0,1.0,2.0,2.0,108.0,4.0,4.3522,1.0,11.0,5.0,7.0,35.0,0.0,21.0,1.0,56.0,11.0,3.0,1.0,51.0,4.0,2.0,9.0,8.0,0.0,130.0,1.0,20.0,1.0,1.0,3.0,32.0,5.0,1.0,11.0,12.0,162.0,5.0,68.0,2.0,0.0154,1.0,7.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110690,Ben Wilson,Goalkeeper,Coventry,9,England,2026-27,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461102,Bobby Thomas,Defender,Coventry,9,England,2026-27,9.0,0.1863,0.0,2.0,4.0,11.0,3.0,3.0,27.0,122.0,14.0,258.0,6.0,16.0,,3.0,8.0,93.0,5.0,4.0169,,22.0,4.0,3.0,15.0,0.0,25.0,1.0,49.0,11.0,3.0,1.0,29.0,4.0,,11.0,8.0,0.0,120.0,4.0,28.0,2.0,1.0,3.0,49.0,3.0,4.0,2.0,9.0,170.0,10.0,66.0,,0.2387,0.0,16.0,4.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,5.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
230730,Brandon Thomas-Asante,Forward,Coventry,9,Ghana,2026-27,11.0,0.0218,0.0,,,9.0,3.0,1.0,10.0,24.0,10.0,121.0,7.0,10.0,1.0,5.0,7.0,14.0,2.0,2.39,,1.0,4.0,4.0,7.0,0.0,21.0,,8.0,5.0,3.0,,11.0,3.0,1.0,11.0,3.0,0.0,24.0,,17.0,,2.0,,2.0,,5.0,,7.0,48.0,,3.0,,,0.0,1.0,2.0,,2.0,,,,,,5.0,2.0,,,1.0,,1.0,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
661888,Caleb Yirenkyi,Midfielder,Coventry,9,Ghana,2026-27,11.0,0.1342,0.0,,,8.0,3.0,2.0,11.0,63.0,8.0,160.0,3.0,8.0,,2.0,3.0,51.0,2.0,2.1831,,3.0,3.0,8.0,12.0,0.0,19.0,2.0,17.0,11.0,3.0,,24.0,3.0,3.0,11.0,5.0,0.0,63.0,,19.0,,,,13.0,4.0,2.0,1.0,21.0,86.0,,29.0,1.0,0.0344,1.0,3.0,4.0,1.0,1.0,,,,1.0,1.0,3.0,1.0,1.0,,,,2.0,,,1.0,1.0,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,
472739,Carl Rushworth,Goalkeeper,Coventry,9,England,2026-27,,0.0106,0.0,,,1.0,3.0,3.0,46.0,115.0,1.0,270.0,,2.0,1.0,,1.0,38.0,,4.3522,15.0,3.0,5.0,,10.0,0.0,2.0,,89.0,29.0,3.0,,26.0,4.0,,1.0,1.0,0.0,76.0,,47.0,,1.0,,16.0,,,31.0,,152.0,23.0,43.0,,,0.0,45.0,7.0,,,,22.0,,,,,,,24.0,,,,,,,,,,,,8.0,3.0,1.0,5.0,2.0,15.0,1.0,2.0,,,,,,,,,,,
79602,Dan Bentley,Goalkeeper,Coventry,9,England,2026-27,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218997,Ellis Simms,Forward,Coventry,9,England,2026-27,7.0,0.0068,0.0,,1.0,4.0,2.0,1.0,5.0,14.0,7.0,89.0,3.0,6.0,,,2.0,9.0,3.0,2.0547,,1.0,3.0,4.0,6.0,0.0,13.0,,,2.0,2.0,,6.0,3.0,1.0,6.0,4.0,0.0,14.0,,11.0,,1.0,,5.0,2.0,,,3.0,26.0,1.0,3.0,1.0,0.2959,0.0,1.0,1.0,,,,,,2.0,,1.0,,,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,0.6721,1.0,1.0,1.0,,,,,,
241293,Ephron Mason-Clark,Midfielder,Coventry,9,Jamaica,2026-27,13.0,0.0576,0.0,,,4.0,2.0,2.0,5.0,19.0,5.0,129.0,4.0,4.0,,1.0,3.0,14.0,1.0,1.58,1.0,4.0,1.0,9.0,7.0,0.0,17.0,,5.0,5.0,2.0,,10.0,1.0,5.0,12.0,1.0,0.0,19.0,,19.0,,,,,5.0,,1.0,7.0,46.0,,5.0,,,0.0,1.0,1.0,,6.0,2.0,,,1.0,,3.0,6.0,,,,,2.0,,,1.0,,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
231065,Ethan Pinnock,Defender,Coventry,9,Jamaica,2026-27,5.0,,0.0,1.0,1.0,1.0,2.0,1.0,4.0,24.0,5.0,102.0,3.0,3.0,1.0,,1.0,20.0,2.0,,,11.0,2.0,2.0,6.0,0.0,8.0,,10.0,2.0,2.0,,3.0,1.0,1.0,3.0,2.0,0.0,24.0,1.0,7.0,1.0,,1.0,5.0,1.0,2.0,,3.0,44.0,2.0,17.0,,,1.0,3.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
