playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,offsides,substituteOn,aerialDuels,shotsOnTargetOutsideBox,iboxTarget,timePlayed,shotsOnTargetInBox,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,penaltiesConceded,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,oboxTarget,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,goals,awayGoals,oboxBlocked,successfulCrossesAndCorners,throwInsToOppositionPlayer,ownGoalScored,homeGoals,leftFootGoals,shotsBlockedOutsideBox,cornersTakenInclShortCorners,successfulCornersIntoBox,unsuccessfulCornersIntoBox,penaltiesSaved,catches,savesMadeFromOutsideBox,goalKicks,penaltiesFaced,savesFromPenalty,punches,savesMade,drops,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,goalAssists,cleanSheets,handballsConceded,redCards2ndYellow,clearancesOffTheLine,lastPlayerTackle,headedGoals,unsuccessfulLayoffs,rightFootGoals,freekickTotal,attemptsFromSetPieces,expectedGoalsFreekick,penaltiesTaken,penaltyGoals,savesMadeCaught,goalkeeperSmother,crossesNotClaimed,hitWoodwork,secondGoalAssists,foulWonPenalty
511783,Anass Zaroury,Forward,Burnley,90,Morocco,2023-24,14.0,0.1009,1.0,1.0,1.0,,0.0346,1.0,2.0,,15.0,6.0,,1.0,19.0,6.0,59.0,,5.0,1.0,1.0,,148.0,,1.0,6.0,,,6.0,6.0,38.0,4.0,,3.0815,2.0,,1.0,4.0,,13.0,21.0,3.0,0.0,20.0,2.0,12.0,8.0,6.0,1.0,1.0,3.0,26.0,4.0,8.0,5.0,,19.0,,1.0,58.0,1.0,2.0,35.0,,2.0,,6.0,4.0,,2.0,20.0,92.0,,1.0,2.0,17.0,3.0,0.1655,0.0,4.0,10.0,1.0,,,1.0,3.0,,,,,1.0,4.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520295,David Datro Fofana,Forward,Burnley,90,Cote d’Ivoire,2023-24,94.0,0.2856,0.0,2.0,10.0,7.0,1.852,10.0,17.0,1.0,51.0,15.0,10.0,10.0,52.0,2.0,168.0,9.0,5.0,48.0,1.0,5.0,879.0,5.0,35.0,48.0,2.0,,14.0,35.0,112.0,49.0,2.0,13.6287,7.0,,2.0,18.0,2.0,59.0,58.0,10.0,1.0,142.0,6.0,34.0,22.0,15.0,1.0,5.0,22.0,70.0,16.0,2.0,42.0,2.0,94.0,13.0,0.0,164.0,7.0,6.0,142.0,5.0,15.0,3.0,26.0,17.0,1.0,4.0,50.0,350.0,,5.0,1.0,47.0,14.0,4.523,1.0,1.0,10.0,1.0,4.0,1.0,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,3.0,3.0,,,,,,,,,,,
179458,Jacob Bruun Larsen,Forward,Burnley,90,Denmark,2023-24,96.0,1.786,0.0,15.0,16.0,4.0,3.1303,9.0,29.0,1.0,99.0,32.0,14.0,16.0,106.0,14.0,457.0,11.0,16.0,41.0,5.0,5.0,1248.0,5.0,29.0,48.0,2.0,,32.0,36.0,337.0,94.0,2.0,26.0037,25.0,2.0,21.0,23.0,8.0,67.0,121.0,7.0,1.0,144.0,14.0,109.0,64.0,32.0,5.0,5.0,31.0,276.0,21.0,39.0,41.0,8.0,103.0,12.0,0.0,437.0,13.0,20.0,221.0,4.0,20.0,2.0,63.0,13.0,7.0,14.0,164.0,755.0,4.0,17.0,5.0,98.0,9.0,5.0029,1.0,7.0,37.0,4.0,6.0,3.0,7.0,23.0,1.0,,3.0,2.0,7.0,46.0,17.0,17.0,,,,,,,,,,,,,,,,,,,,,,4.0,11.0,11.0,0.5169,1.0,1.0,,,,,,
44683,Jay Rodriguez,Forward,Burnley,90,England,2023-24,69.0,0.1047,0.0,6.0,8.0,,1.6276,14.0,16.0,1.0,54.0,21.0,9.0,7.0,73.0,1.0,215.0,7.0,14.0,62.0,2.0,4.0,813.0,4.0,40.0,47.0,1.0,,14.0,25.0,136.0,28.0,1.0,15.0841,3.0,,7.0,18.0,6.0,29.0,62.0,6.0,1.0,116.0,10.0,61.0,25.0,21.0,2.0,5.0,3.0,85.0,17.0,1.0,8.0,6.0,54.0,22.0,0.0,215.0,8.0,2.0,102.0,9.0,6.0,1.0,50.0,18.0,1.0,6.0,42.0,332.0,,3.0,11.0,57.0,14.0,3.4929,0.0,19.0,19.0,,2.0,0.0,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,1.0,,,,1.0,1.0,,,,1.0,,
60586,Jóhann Gudmundsson,Forward,Burnley,90,Iceland,2023-24,61.0,2.5016,0.0,3.0,6.0,,1.4123,13.0,12.0,4.0,68.0,26.0,8.0,12.0,101.0,17.0,465.0,2.0,14.0,36.0,1.0,4.0,1191.0,4.0,22.0,52.0,5.0,,28.0,38.0,335.0,26.0,1.0,24.0248,32.0,2.0,16.0,25.0,2.0,39.0,31.0,20.0,0.0,113.0,14.0,138.0,56.0,26.0,1.0,9.0,7.0,238.0,20.0,44.0,22.0,2.0,77.0,14.0,0.0,442.0,6.0,2.0,190.0,4.0,5.0,,167.0,9.0,16.0,29.0,129.0,701.0,6.0,11.0,13.0,152.0,4.0,1.8516,2.0,33.0,23.0,6.0,1.0,1.0,1.0,26.0,1.0,,0.0,1.0,1.0,39.0,16.0,20.0,,,,,,,,,,,,,,3.0,,,,,,,2.0,,1.0,1.0,0.0432,,,,,,1.0,1.0,
487702,Luca Koleosho,Forward,Burnley,90,Italy,2023-24,106.0,1.0704,0.0,6.0,5.0,7.0,0.3729,7.0,17.0,,54.0,15.0,1.0,13.0,59.0,21.0,246.0,8.0,2.0,29.0,2.0,2.0,984.0,2.0,27.0,55.0,8.0,,29.0,53.0,186.0,57.0,,21.7728,10.0,,,23.0,2.0,79.0,68.0,13.0,0.0,161.0,13.0,54.0,46.0,15.0,2.0,3.0,39.0,138.0,15.0,21.0,53.0,2.0,132.0,2.0,0.0,244.0,12.0,11.0,164.0,4.0,33.0,,43.0,18.0,2.0,1.0,81.0,471.0,3.0,13.0,3.0,51.0,4.0,1.9734,0.0,5.0,10.0,2.0,1.0,0.0,4.0,2.0,1.0,,1.0,,4.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,1.0,,1.0
435973,Lyle Foster,Forward,Burnley,90,South Africa,2023-24,191.0,1.2749,1.0,4.0,17.0,4.0,4.7847,19.0,30.0,3.0,141.0,24.0,21.0,22.0,144.0,3.0,452.0,14.0,2.0,157.0,2.0,10.0,1906.0,10.0,107.0,99.0,10.0,,26.0,49.0,298.0,98.0,3.0,47.1639,16.0,1.0,33.0,43.0,4.0,84.0,105.0,11.0,0.0,290.0,10.0,91.0,51.0,24.0,2.0,9.0,18.0,210.0,33.0,3.0,51.0,4.0,133.0,50.0,1.0,427.0,13.0,13.0,273.0,10.0,19.0,3.0,123.0,24.0,3.0,10.0,133.0,757.0,4.0,11.0,3.0,98.0,14.0,4.4661,0.0,3.0,40.0,,5.0,3.0,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,3.0,,1.0,,,,,6.0,3.0,,,,,,,,,,,
183751,Manuel Benson,Forward,Burnley,90,Angola,2023-24,15.0,0.199,0.0,,2.0,1.0,0.3108,3.0,4.0,,3.0,8.0,1.0,1.0,3.0,6.0,47.0,,7.0,4.0,1.0,1.0,110.0,1.0,4.0,11.0,,,4.0,11.0,44.0,3.0,,5.0927,1.0,,,5.0,,11.0,2.0,4.0,0.0,26.0,1.0,6.0,6.0,8.0,1.0,1.0,6.0,34.0,5.0,7.0,10.0,,22.0,,0.0,44.0,2.0,4.0,27.0,2.0,4.0,,13.0,1.0,,,26.0,92.0,2.0,1.0,,12.0,1.0,0.0615,0.0,,,2.0,,,,2.0,,,,,,4.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220598,Michael Obafemi,Forward,Burnley,90,Ireland,2023-24,2.0,0.0125,0.0,,,,,,2.0,,1.0,2.0,,,1.0,,5.0,,2.0,1.0,,,19.0,,1.0,3.0,,,1.0,3.0,4.0,7.0,,0.0527,,,,,,1.0,1.0,,0.0,5.0,1.0,,1.0,2.0,,,,2.0,,,1.0,,4.0,,0.0,5.0,2.0,,2.0,,3.0,,1.0,,,,3.0,13.0,,,,2.0,,0.0942,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437748,Mike Trésor,Forward,Burnley,90,Belgium,2023-24,36.0,0.5448,0.0,1.0,,1.0,,10.0,4.0,,31.0,16.0,5.0,3.0,33.0,13.0,146.0,2.0,13.0,10.0,,,413.0,,9.0,25.0,2.0,,14.0,24.0,113.0,6.0,2.0,11.6538,7.0,,1.0,10.0,,27.0,44.0,3.0,0.0,61.0,5.0,27.0,28.0,16.0,,4.0,11.0,76.0,8.0,27.0,17.0,,51.0,1.0,0.0,142.0,4.0,4.0,87.0,6.0,11.0,,35.0,,1.0,,40.0,258.0,2.0,4.0,1.0,42.0,,0.464,0.0,2.0,12.0,1.0,,,1.0,5.0,,,,,1.0,19.0,4.0,12.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,0.0619,,,,,,,,
