season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,goalAssist,goals,minutesPlayed,ownGoals,substitute.1,totalShots,accurateCross,accurateKeeperSweeper,accurateLongBalls,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,hitWoodwork,interceptionWon,keyPass,onTargetScoringAttempt,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalPass,totalTackle,unsuccessfulTouch,wasFouled,wonContest,goodHighClaim
2012-13,2753860,1,52,Queens_Park_Rangers,Home,51122,10589,Brian Murphy,brian-murphy,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-13,2753862,1,110,Stoke_City,Away,540,1945,Thomas Sorensen,thomas-sorensen,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-13,2753862,1,108,Reading,Home,13159,15885,Adam Federici,adam-federici,G,False,0.0,0.0,90.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-13,2753862,1,110,Stoke_City,Away,13918,40349,Asmir Begović,asmir-begovic,G,False,0.0,0.0,90.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-13,2753862,1,108,Reading,Home,45502,58376,Alex McCarthy,alex-mccarthy,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-13,2753864,1,14,Liverpool,Away,819,9631,Brad Jones,brad-jones,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-13,2753864,1,35,West_Bromwich_Albion,Home,10024,12086,Boaz Myhill,boaz-myhill,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-13,2753864,1,35,West_Bromwich_Albion,Home,10599,9089,Ben Foster,ben-foster,G,False,0.0,0.0,90.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-13,2753864,1,14,Liverpool,Away,26937,8432,Pepe Reina,pepe-reina,G,False,0.0,0.0,90.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-13,2753866,1,7,Aston_Villa,Away,766,1822,Shay Given,shay-given,G,False,0.0,0.0,90.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-13,2753866,1,21,West_Ham_United,Home,1253,1344,Jussi Jääskeläinen,jussi-jaaskelainen,G,False,0.0,0.0,90.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-13,2753866,1,7,Aston_Villa,Away,14889,41705,Brad Guzan,brad-guzan,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-13,2753866,1,21,West_Ham_United,Home,26986,42525,Stephen Henderson,stephen-henderson,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-13,2753868,1,8,Chelsea,Away,824,17694,Ross Turnbull,ross-turnbull,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-13,2753868,1,8,Chelsea,Away,1185,11334,Petr Čech,petr-cech,G,False,0.0,0.0,90.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-13,2753868,1,111,Wigan_Athletic,Home,9772,2521,Michael Pollitt,michael-pollitt,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-13,2753868,1,111,Wigan_Athletic,Home,761412,28491,Ali Al-Habsi,ali-al-habsi,G,False,0.0,0.0,90.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-13,2754558,2,11,Everton,Away,744,15337,Tim Howard,tim-howard,G,False,0.0,0.0,90.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-13,2754558,2,7,Aston_Villa,Home,766,1822,Shay Given,shay-given,G,False,0.0,0.0,90.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-13,2754558,2,11,Everton,Away,11970,41080,Ján Mucha,jan-mucha,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-13,2754558,2,7,Aston_Villa,Home,14889,41705,Brad Guzan,brad-guzan,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-13,2754560,2,4,Newcastle_United,Away,788,1881,Steve Harper,steve-harper,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
