playerId,playerName,position,team_name,team_id,nationality,season,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,successfulLaunches,expectedAssists,totalClearances,goalsConceded,totalRedCards,catches,rightsidePasses,savesMade,winningGoal,forwardPasses,recoveries,appearances,gamesPlayed,successfulPassesOppositionHalf,starts,goalsConcededInsideBox,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,gkUnsuccessfulDistribution,cleanSheets,penaltiesFaced,savesMadeParried,leftsidePasses,successfulLongPasses,timePlayed,touches,substituteOff,goalsConcededOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,successfulShortPasses,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,substituteOn,duelsLost,penaltiesSaved,totalTackles,savesMadeFromOutsideBox,unsuccessfulShortPasses,savesMadeCaught,aerialDuels,aerialDuelsLost,duelsWon,groundDuelsWon,savesFromPenalty,keyPassesAttemptAssists,groundDuelsLost,totalFoulsWon,duels,goalkeeperSmother,drops,groundDuels,aerialDuelsWon,tacklesWon,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,goals,offsides,awayGoals,oboxBlocked,iboxTarget,shotsOnTargetInBox,successfulCornersIntoBox,shotsBlockedInBox,rightFootGoals,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,freekickTotal,shotsOffTargetIncWoodwork,attemptsFromSetPieces,totalFoulsConceded,unsuccessfulCornersIntoBox,backwardPasses,throwInsToOwnPlayer,handballsConceded,secondGoalAssists,successfulCrossesOpenPlay,expectedGoalsFreekick,totalShots,goalAssists,successfulLayoffs,unsuccessfulCrossesOpenPlay,cornersTakenInclShortCorners,shotsOnTargetOutsideBox,successfulCrossesAndCorners,penaltiesConceded,putthroughBlockedDistribution,totalTouchesInOppositionBox,throwInsToOppositionPlayer,putthroughBlockedDistributionWon,homeGoals,oboxTarget,tacklesLost,lastPlayerTackle,iboxBlocked,cornersWon,successfulDribbles,blocks,interceptions,shotsBlockedOutsideBox,foulAttemptedTackle,expectedGoals,throughBalls,headedGoals,clearancesOffTheLine,ownGoalScored,leftFootGoals,unsuccessfulLayoffs,overruns,hitWoodwork,penaltiesTaken,penaltyGoals,setPiecesGoals,foulWonPenalty
687076,Lamin Sillah,Forward,Nottingham Forest U21,19584,Gambia,2025-26,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209046,Callum Hudson-Odoi,Forward,Nottingham Forest,17,England,2025-26,,5.0,25.6528,,2.9843,14.0,26.0,0.0,,246.0,,1.0,109.0,68.0,30.0,30.0,484.0,21.0,21.0,71.0,657.0,,0.0,,650.0,248.0,,1.0,,,72.0,24.0,1844.0,1005.0,17.0,5.0,5.0,115.0,562.0,,0.0,13.0,15.0,9.0,78.0,,14.0,,58.0,,12.0,9.0,59.0,56.0,,40.0,69.0,12.0,137.0,,,125.0,3.0,7.0,10.0,10.0,2.6981,3.0,3.0,1.0,3.0,6.0,6.0,1.0,7.0,3.0,28.0,78.0,50.0,1.0,10.0,1.0,12.0,3.0,230.0,8.0,2.0,,12.0,0.0305,20.0,4.0,17.0,75.0,7.0,1.0,13.0,,27.0,66.0,1.0,8.0,2.0,1.0,7.0,,7.0,21.0,30.0,2.0,8.0,3.0,4.0,2.803,1.0,,,,,1.0,8.0,1.0,,,,
210156,Taiwo Awoniyi,Forward,Nottingham Forest,17,Nigeria,2025-26,,,6.3468,,0.7695,4.0,4.0,0.0,,21.0,,0.0,17.0,18.0,17.0,17.0,36.0,3.0,3.0,15.0,75.0,,0.0,,74.0,54.0,,,,,13.0,,481.0,161.0,2.0,1.0,,24.0,60.0,,2.0,,1.0,14.0,62.0,,2.0,,15.0,,50.0,41.0,20.0,11.0,,5.0,21.0,7.0,82.0,,,32.0,9.0,1.0,1.0,8.0,3.5817,4.0,6.0,4.0,,4.0,4.0,,1.0,2.0,2.0,1.0,7.0,,6.0,,10.0,,24.0,,,,,,14.0,1.0,8.0,1.0,,,,,5.0,25.0,,2.0,0.0,,1.0,,1.0,4.0,2.0,1.0,1.0,,2.0,3.578,1.0,1.0,,,1.0,1.0,2.0,,,,,1.0
60689,Chris Wood,Forward,Nottingham Forest U21,19584,New Zealand,2025-26,,1.0,13.9114,,0.3206,9.0,14.0,0.0,,40.0,,0.0,39.0,14.0,15.0,15.0,66.0,11.0,12.0,49.0,160.0,,0.0,,158.0,75.0,,,,,35.0,2.0,906.0,241.0,11.0,2.0,,45.0,109.0,,0.0,1.0,11.0,4.0,53.0,,1.0,,48.0,,65.0,39.0,34.0,8.0,,5.0,14.0,6.0,87.0,,,22.0,26.0,1.0,,9.0,2.5952,3.0,4.0,1.0,,5.0,5.0,,,1.0,1.0,1.0,3.0,,14.0,,6.0,,46.0,,,,,,23.0,,22.0,1.0,,1.0,,,6.0,37.0,,,2.0,1.0,,,,3.0,1.0,4.0,1.0,,2.0,4.2481,1.0,,,,2.0,4.0,,2.0,,,,
456512,Dan Ndoye,Forward,Nottingham Forest,17,Switzerland,2025-26,,1.0,15.4967,,1.5374,12.0,17.0,0.0,,75.0,,1.0,60.0,50.0,24.0,24.0,169.0,14.0,12.0,61.0,282.0,,0.0,,280.0,179.0,,,,,46.0,7.0,1176.0,555.0,11.0,5.0,1.0,61.0,214.0,,1.0,6.0,19.0,10.0,80.0,,23.0,,55.0,,25.0,14.0,69.0,58.0,,13.0,66.0,22.0,149.0,,,124.0,11.0,13.0,4.0,4.0,0.9376,1.0,9.0,0.0,,2.0,2.0,1.0,4.0,,20.0,33.0,39.0,,7.0,,16.0,3.0,101.0,4.0,1.0,,8.0,,11.0,1.0,6.0,30.0,5.0,1.0,9.0,,29.0,52.0,1.0,14.0,1.0,1.0,10.0,,4.0,13.0,13.0,2.0,10.0,,3.0,1.0617,1.0,1.0,,,,3.0,4.0,,,,,
569014,Eric da Silva Moreira,Forward,Nottingham Forest U21,19584,Germany,2025-26,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482973,Igor Jesus,Forward,Nottingham Forest,17,Brazil,2025-26,,4.0,34.6029,2.0,1.268,30.0,37.0,0.0,,117.0,,4.0,114.0,61.0,37.0,37.0,232.0,28.0,31.0,125.0,458.0,,0.0,,455.0,298.0,,1.0,,,87.0,13.0,2314.0,883.0,23.0,6.0,1.0,104.0,320.0,,2.0,3.0,19.0,9.0,241.0,,24.0,,122.0,,207.0,127.0,154.0,74.0,,11.0,114.0,40.0,395.0,,,188.0,80.0,16.0,31.0,21.0,4.9858,6.0,11.0,5.0,8.0,15.0,15.0,,23.0,4.0,28.0,7.0,71.0,,18.0,,42.0,,140.0,1.0,6.0,,3.0,,39.0,4.0,35.0,7.0,,,3.0,,30.0,124.0,,7.0,1.0,,8.0,,23.0,21.0,11.0,5.0,3.0,8.0,16.0,6.6441,1.0,2.0,,,,7.0,5.0,2.0,1.0,1.0,,
469130,Lorenzo Lucca,Forward,Nottingham Forest,17,Italy,2025-26,,,1.593,,0.013,3.0,1.0,0.0,,1.0,,0.0,3.0,3.0,4.0,4.0,6.0,1.0,1.0,7.0,16.0,,0.0,,15.0,15.0,,,,,8.0,,127.0,37.0,1.0,,,3.0,9.0,,0.0,,1.0,3.0,9.0,,,,7.0,,9.0,4.0,7.0,2.0,,1.0,5.0,2.0,16.0,,,7.0,5.0,,,1.0,0.2377,1.0,2.0,1.0,,,,,,,1.0,,4.0,,3.0,,1.0,,4.0,,,,,,4.0,,2.0,,,,,,1.0,9.0,,,0.0,,,,,,,,1.0,,,0.7872,,1.0,,,,,,,,,,
503301,Omari Hutchinson,Forward,Nottingham Forest,17,England,2025-26,,2.0,19.915,1.0,3.9107,8.0,24.0,0.0,,40.0,,0.0,107.0,87.0,31.0,31.0,333.0,17.0,22.0,91.0,538.0,,0.0,,524.0,316.0,,3.0,,,189.0,12.0,1684.0,1008.0,9.0,2.0,6.0,142.0,435.0,,1.0,15.0,23.0,14.0,132.0,,22.0,,76.0,,29.0,24.0,91.0,86.0,,28.0,108.0,24.0,223.0,,,194.0,5.0,12.0,8.0,11.0,2.1913,1.0,8.0,0.0,4.0,9.0,9.0,6.0,4.0,,38.0,107.0,67.0,,6.0,,23.0,31.0,202.0,14.0,1.0,,22.0,,17.0,5.0,10.0,72.0,45.0,1.0,28.0,,47.0,84.0,,25.0,1.0,1.0,10.0,,4.0,17.0,41.0,,12.0,4.0,10.0,1.9378,3.0,,,,1.0,,8.0,,,,,1.0
476887,Dilane Bakwa,Forward,Nottingham Forest U21,19584,France,2025-26,,1.0,11.2332,,1.0138,2.0,10.0,0.0,,15.0,,0.0,48.0,28.0,14.0,14.0,111.0,6.0,9.0,41.0,196.0,,0.0,,190.0,107.0,,,,,68.0,2.0,552.0,333.0,7.0,1.0,3.0,52.0,153.0,,1.0,6.0,11.0,8.0,37.0,,4.0,,35.0,,5.0,4.0,27.0,26.0,,9.0,33.0,14.0,64.0,,,59.0,1.0,3.0,2.0,3.0,0.1808,,,,1.0,2.0,2.0,2.0,1.0,,13.0,30.0,18.0,,4.0,,9.0,7.0,65.0,5.0,,,6.0,,7.0,2.0,9.0,22.0,12.0,1.0,8.0,,10.0,22.0,2.0,1.0,,1.0,1.0,,1.0,6.0,8.0,1.0,,1.0,4.0,0.5493,2.0,,,,,3.0,1.0,,,,,
