playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,totalClearances,totalRedCards,groundDuelsLost,winningGoal,duels,recoveries,appearances,unsuccessfulShortPasses,gamesPlayed,successfulLayoffs,successfulPassesOppositionHalf,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,totalLossesOfPossession,blocks,aerialDuels,interceptions,timePlayed,touches,duelsWon,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,successfulShortPasses,totalTouchesInOppositionBox,yellowCards,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,totalTackles,totalShots,throughBalls,goalAssists,unsuccessfulCrossesOpenPlay,offsides,substituteOn,cornersTakenInclShortCorners,cleanSheets,successfulCrossesAndCorners,unsuccessfulLayoffs,aerialDuelsLost,goalsConcededOutsideBox,groundDuelsWon,successfulCornersIntoBox,penaltyGoalsConceded,keyPassesAttemptAssists,goalsConceded,totalFoulsWon,tacklesLost,unsuccessfulDribbles,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,shotsOffTargetIncWoodwork,cornersWon,tacklesWon,successfulDribbles,attemptsFromSetPieces,totalFoulsConceded,unsuccessfulCornersIntoBox,successfulLongPasses,throwInsToOwnPlayer,handballsConceded,unsuccessfulLongPasses,goals,awayGoals,successfulLaunches,homeGoals,rightFootGoals,lastPlayerTackle,redCards2ndYellow,headedGoals,clearancesOffTheLine,hitWoodwork,penaltiesTaken,leftFootGoals,penaltyGoals,throwInsToOppositionPlayer,ownGoalScored,punches,catches,savesMade,drops,savesMadeFromOutsideBox,crossesNotClaimed,goalKicks,gkSuccessfulDistribution,savesMadeCaught,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,otherGoals,foulWonPenalty,penaltiesFaced,goalkeeperSmother,penaltiesConceded
56996,Amine Linganzi,Midfielder,Blackburn,5,Congo,2009-10,2.0,3.0,0.0,2.0,0.0,4.0,2.0,1.0,6.0,1.0,1.0,5.0,1.0,6.0,16.0,2.0,2.0,2.0,0.0,16.0,10.0,1.0,2.0,3.0,45.0,27.0,2.0,1.0,1.0,5.0,10.0,1.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4740,Brett Emerton,Midfielder,Blackburn,5,Australia,2009-10,88.0,9.0,0.0,61.0,0.0,144.0,78.0,24.0,106.0,24.0,45.0,269.0,17.0,123.0,545.0,42.0,102.0,15.0,0.0,540.0,216.0,2.0,42.0,25.0,1419.0,783.0,56.0,7.0,6.0,163.0,395.0,26.0,2.0,22.0,7.0,3.0,7.0,21.0,15.0,4.0,1.0,36.0,4.0,7.0,3.0,4.0,10.0,5.0,27.0,5.0,41.0,1.0,1.0,9.0,24.0,9.0,7.0,16.0,19.0,41.0,8.0,9.0,14.0,11.0,1.0,19.0,1.0,27.0,12.0,4.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20359,Christopher Samba,Defender,Blackburn,5,Congo,2009-10,117.0,346.0,1.0,71.0,4.0,342.0,107.0,30.0,172.0,30.0,3.0,140.0,30.0,254.0,687.0,13.0,166.0,130.0,0.0,686.0,422.0,25.0,176.0,51.0,2597.0,1317.0,225.0,3.0,103.0,294.0,387.0,117.0,4.0,46.0,1.0,8.0,19.0,60.0,39.0,,,5.0,3.0,,,10.0,1.0,4.0,46.0,6.0,95.0,,,15.0,35.0,19.0,20.0,3.0,29.0,5.0,20.0,13.0,40.0,16.0,,45.0,,46.0,3.0,,82.0,4.0,1.0,30.0,3.0,2.0,3.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,
1274,David Dunn,Midfielder,Blackburn,5,England,2009-10,149.0,4.0,0.0,134.0,8.0,249.0,91.0,23.0,161.0,23.0,29.0,347.0,20.0,210.0,649.0,84.0,225.0,9.0,0.0,638.0,355.0,3.0,24.0,29.0,1720.0,1055.0,100.0,9.0,14.0,123.0,398.0,54.0,7.0,26.0,9.0,10.0,17.0,24.0,29.0,14.0,2.0,23.0,12.0,3.0,37.0,3.0,31.0,2.0,15.0,6.0,91.0,14.0,1.0,35.0,29.0,39.0,11.0,41.0,23.0,48.0,12.0,14.0,13.0,28.0,3.0,33.0,21.0,41.0,3.0,3.0,49.0,9.0,3.0,8.0,6.0,7.0,,,1.0,,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
6557,El Hadji Diouf,Midfielder,Blackburn,5,Senegal,2009-10,157.0,17.0,0.0,122.0,0.0,267.0,129.0,26.0,167.0,26.0,36.0,322.0,24.0,194.0,684.0,80.0,205.0,27.0,0.0,676.0,386.0,1.0,62.0,36.0,1945.0,1108.0,110.0,13.0,21.0,191.0,470.0,45.0,3.0,34.0,16.0,5.0,8.0,31.0,15.0,8.0,2.0,73.0,9.0,2.0,31.0,3.0,23.0,2.0,35.0,7.0,83.0,6.0,1.0,21.0,33.0,39.0,8.0,31.0,26.0,97.0,7.0,19.0,23.0,13.0,1.0,29.0,22.0,20.0,14.0,2.0,27.0,3.0,0.0,2.0,3.0,1.0,,,2.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,
49724,Franco Di Santo,Forward,Blackburn,5,Argentina,2009-10,143.0,,0.0,90.0,0.0,224.0,21.0,22.0,89.0,22.0,54.0,128.0,15.0,92.0,266.0,50.0,134.0,37.0,0.0,266.0,150.0,1.0,90.0,12.0,1159.0,465.0,81.0,12.0,1.0,48.0,170.0,67.0,3.0,14.0,2.0,4.0,10.0,20.0,18.0,3.0,1.0,5.0,19.0,7.0,,1.0,2.0,15.0,53.0,5.0,44.0,,,11.0,19.0,18.0,6.0,23.0,14.0,5.0,8.0,5.0,14.0,6.0,,35.0,,4.0,4.0,,3.0,1.0,0.0,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,
8371,Gaël Givet,Defender,Blackburn,5,France,2009-10,65.0,249.0,0.0,33.0,0.0,205.0,62.0,34.0,223.0,34.0,,220.0,33.0,287.0,745.0,4.0,113.0,60.0,0.0,742.0,482.0,20.0,92.0,90.0,2799.0,1398.0,140.0,5.0,90.0,242.0,440.0,11.0,3.0,71.0,4.0,1.0,4.0,55.0,8.0,,2.0,14.0,,1.0,,10.0,4.0,1.0,32.0,8.0,80.0,,2.0,4.0,45.0,24.0,15.0,1.0,37.0,14.0,4.0,2.0,40.0,1.0,,19.0,,18.0,91.0,1.0,64.0,2.0,1.0,23.0,1.0,,4.0,,1.0,2.0,1.0,,1.0,,50.0,1.0,,,,,,,,,,,,,,,,,
83428,Grant Hanley,Defender,Blackburn,5,Scotland,2009-10,4.0,7.0,0.0,2.0,0.0,11.0,3.0,1.0,5.0,1.0,,2.0,1.0,9.0,15.0,,5.0,4.0,0.0,15.0,10.0,,6.0,4.0,90.0,31.0,7.0,,4.0,4.0,5.0,2.0,0.0,3.0,,,,1.0,1.0,,,,,,,1.0,,,2.0,,3.0,,,,,2.0,,,,,1.0,,1.0,,,2.0,,1.0,,,4.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8893,Jason Brown,Goalkeeper,Blackburn,5,Wales,2009-10,1.0,1.0,0.0,1.0,0.0,1.0,46.0,4.0,,4.0,,42.0,3.0,60.0,110.0,1.0,1.0,,0.0,30.0,61.0,,,,334.0,136.0,,,22.0,8.0,2.0,,0.0,1.0,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,5.0,,,,4.0,,,,,,,,,48.0,,,60.0,,,17.0,,,,,,,,,,,,,1.0,7.0,7.0,1.0,4.0,1.0,38.0,29.0,1.0,17.0,4.0,2.0,,,,,
3118,Jason Roberts,Forward,Blackburn,5,Grenada,2009-10,124.0,3.0,0.0,109.0,2.0,202.0,35.0,29.0,79.0,29.0,35.0,163.0,15.0,81.0,280.0,74.0,185.0,2.0,0.0,280.0,173.0,,17.0,4.0,1548.0,547.0,78.0,9.0,,38.0,196.0,108.0,1.0,5.0,2.0,8.0,13.0,17.0,23.0,3.0,3.0,12.0,19.0,14.0,,2.0,2.0,7.0,15.0,3.0,76.0,,,13.0,22.0,51.0,4.0,31.0,19.0,12.0,10.0,14.0,13.0,8.0,,32.0,,3.0,,,2.0,5.0,0.0,,5.0,4.0,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,
