playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,totalRedCards,blockedShots,totalTackles,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,substituteOn,aerialDuels,timePlayed,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,forwardPasses,recoveries,appearances,tacklesLost,lastPlayerTackle,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,clearancesOffTheLine,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,shotsOnTargetIncGoals,totalShots,throughBalls,successfulLayoffs,foulWonPenalty,offsides,keyPassesAttemptAssists,shotsOffTargetIncWoodwork,successfulCrossesOpenPlay,goalAssists,cleanSheets,successfulCrossesAndCorners,penaltyGoalsConceded,overruns,goals,awayGoals,cornersTakenInclShortCorners,successfulCornersIntoBox,homeGoals,penaltiesTaken,rightFootGoals,redCards2ndYellow,headedGoals,attemptsFromSetPieces,unsuccessfulCornersIntoBox,hitWoodwork,handballsConceded,leftFootGoals,otherGoals,gkUnsuccessfulDistribution,catches,savesMade,goalkeeperSmother,savesMadeFromOutsideBox,goalKicks,gkSuccessfulDistribution,savesMadeCaught,savesMadeParried,punches,drops,savesMadeFromInsideBox,ownGoalScored,setPiecesGoals,penaltiesConceded,penaltiesSaved,penaltiesFaced,savesFromPenalty,crossesNotClaimed,secondGoalAssists,penaltyGoals
103903,Adam Henley,Defender,Blackburn,5,Wales,2011-12,18.0,0.0,1.0,23.0,24.0,7.0,4.0,31.0,2.0,123.0,3.0,5.0,471.0,1.0,4.0,29.0,4.0,28.0,85.0,2.0,14.0,1.0,34.0,12.0,14.0,44.0,2.0,0.0,47.0,46.0,13.0,7.0,7.0,1.0,3.0,41.0,8.0,2.0,7.0,42.0,1.0,0.0,123.0,1.0,58.0,16.0,3.0,2.0,18.0,5.0,12.0,1.0,7.0,15.0,274.0,33.0,1.0,7.0,51.0,0.0,7.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35865,Anthony Modeste,Forward,Blackburn,5,France,2011-12,39.0,1.0,2.0,7.0,32.0,9.0,3.0,33.0,2.0,86.0,6.0,25.0,383.0,2.0,19.0,28.0,3.0,22.0,53.0,18.0,,,1.0,15.0,20.0,13.0,14.0,0.0,67.0,35.0,7.0,9.0,2.0,,8.0,41.0,12.0,2.0,12.0,42.0,6.0,1.0,86.0,5.0,62.0,5.0,1.0,,18.0,7.0,3.0,,,20.0,156.0,,,,12.0,1.0,1.0,5.0,4.0,11.0,1.0,9.0,1.0,4.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12443,Bradley Orr,Defender,Blackburn,5,England,2011-12,30.0,0.0,1.0,21.0,80.0,18.0,12.0,118.0,18.0,399.0,6.0,16.0,1284.0,1.0,4.0,40.0,4.0,28.0,264.0,9.0,28.0,8.0,69.0,35.0,26.0,28.0,5.0,0.0,70.0,177.0,51.0,18.0,1.0,,2.0,159.0,31.0,18.0,7.0,54.0,12.0,0.0,397.0,7.0,176.0,20.0,2.0,8.0,124.0,10.0,21.0,1.0,17.0,70.0,685.0,67.0,1.0,35.0,132.0,2.0,38.0,37.0,2.0,4.0,,1.0,,,6.0,2.0,10.0,2.0,2.0,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61023,Bruno Ribeiro,Defender,Blackburn,5,Brazil,2011-12,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1274,David Dunn,Midfielder,Blackburn,5,England,2011-12,108.0,1.0,10.0,38.0,153.0,26.0,21.0,182.0,16.0,776.0,5.0,20.0,1612.0,3.0,12.0,89.0,8.0,81.0,539.0,38.0,,3.0,13.0,36.0,96.0,175.0,28.0,2.0,197.0,313.0,96.0,26.0,8.0,,20.0,350.0,28.0,25.0,41.0,177.0,8.0,0.0,766.0,10.0,282.0,30.0,15.0,5.0,159.0,44.0,48.0,1.0,55.0,129.0,1088.0,4.0,14.0,13.0,254.0,3.0,29.0,35.0,14.0,28.0,5.0,46.0,,2.0,18.0,14.0,6.0,1.0,,10.0,1.0,4.0,2.0,0.0,9.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
28157,David Goodwillie,Forward,Blackburn,5,Scotland,2011-12,50.0,0.0,9.0,6.0,26.0,20.0,4.0,29.0,9.0,146.0,16.0,14.0,596.0,1.0,14.0,21.0,4.0,21.0,113.0,39.0,,,7.0,15.0,36.0,26.0,9.0,0.0,71.0,34.0,14.0,20.0,,,12.0,81.0,11.0,9.0,26.0,57.0,,0.0,146.0,7.0,78.0,6.0,6.0,2.0,31.0,8.0,7.0,,4.0,55.0,263.0,1.0,2.0,1.0,38.0,0.0,3.0,5.0,3.0,11.0,1.0,16.0,,4.0,10.0,8.0,2.0,,,2.0,2.0,,2.0,1.0,,,1.0,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
8371,Gaël Givet,Defender,Blackburn,5,France,2011-12,45.0,1.0,1.0,25.0,111.0,22.0,21.0,132.0,2.0,480.0,1.0,53.0,1748.0,,25.0,61.0,10.0,33.0,334.0,18.0,20.0,7.0,173.0,38.0,20.0,125.0,7.0,0.0,106.0,249.0,47.0,22.0,3.0,,,109.0,28.0,2.0,4.0,53.0,28.0,1.0,476.0,3.0,162.0,22.0,1.0,6.0,52.0,8.0,56.0,,14.0,54.0,871.0,61.0,3.0,38.0,240.0,2.0,21.0,37.0,3.0,6.0,,5.0,,,2.0,3.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83428,Grant Hanley,Defender,Blackburn,5,Scotland,2011-12,61.0,0.0,3.0,42.0,83.0,23.0,19.0,131.0,1.0,500.0,4.0,58.0,1822.0,1.0,30.0,77.0,9.0,49.0,338.0,31.0,2.0,6.0,160.0,45.0,31.0,116.0,6.0,2.0,138.0,272.0,63.0,23.0,10.0,2.0,1.0,92.0,36.0,1.0,2.0,80.0,28.0,0.0,499.0,3.0,141.0,32.0,1.0,29.0,77.0,27.0,44.0,,31.0,35.0,830.0,1.0,1.0,45.0,277.0,6.0,48.0,41.0,5.0,13.0,,,,,3.0,8.0,,,2.0,,,,1.0,1.0,,,0.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
88658,Jake Kean,Goalkeeper,Blackburn,5,England,2011-12,,0.0,,,1.0,1.0,1.0,15.0,,32.0,,,90.0,,,1.0,1.0,1.0,9.0,,,1.0,2.0,2.0,,4.0,,0.0,1.0,25.0,3.0,1.0,,,,5.0,1.0,,,1.0,,0.0,9.0,,15.0,,,,3.0,,,,8.0,,40.0,,,5.0,12.0,0.0,14.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,1.0,3.0,1.0,2.0,19.0,10.0,1.0,1.0,,,,,,,,,,,,
92488,Jason Lowe,Midfielder,Blackburn,5,England,2011-12,71.0,0.0,2.0,54.0,152.0,32.0,30.0,211.0,24.0,898.0,2.0,22.0,2666.0,6.0,12.0,78.0,13.0,68.0,622.0,3.0,32.0,12.0,90.0,55.0,59.0,116.0,12.0,0.0,149.0,358.0,96.0,32.0,16.0,,7.0,311.0,42.0,26.0,16.0,127.0,10.0,0.0,892.0,2.0,304.0,38.0,2.0,16.0,294.0,29.0,75.0,1.0,65.0,130.0,1442.0,134.0,2.0,53.0,388.0,10.0,59.0,45.0,1.0,3.0,,20.0,,1.0,14.0,2.0,7.0,1.0,3.0,12.0,1.0,2.0,,,7.0,5.0,,,,,,,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,
