season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2015-16,6767934,1,110,Stoke_City,Home,2525,19568,Ibrahim Afellay,ibrahim-afellay,M,False,,,2.0,20.0,17.0,37.0,2.0,,6.0,,,1.0,,,,2.0,6.0,2.0,,,3.0,,,,,,,,78.0,,,,,,,6.2,,,,,1.0,1.0,4.0,,2.0,,26.0,20.0,42.0,1,,56.0,3.0,1.0,1.0,
2015-16,6767934,1,110,Stoke_City,Home,9360,20208,Charlie Adam,charlie-adam,M,False,2.0,,4.0,16.0,14.0,28.0,1.0,1.0,6.0,,,,,,,1.0,4.0,5.0,,,1.0,,,,,,,,78.0,,,,,,,7.0,,,2.0,,1.0,1.0,3.0,,12.0,,31.0,17.0,45.0,2,2.0,60.0,1.0,2.0,,
2015-16,6767934,1,110,Stoke_City,Home,9682,20481,Stephen Ireland,stephen-ireland,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2015-16,6767934,1,110,Stoke_City,Home,10468,11735,Steve Sidwell,steve-sidwell,M,True,,,,2.0,3.0,5.0,,1.0,,,,,1.0,,,1.0,3.0,5.0,,,1.0,,,,,,,,12.0,,,,,,,6.7,,,,,,,,,1.0,,3.0,3.0,6.0,0,4.0,11.0,,,,
2015-16,6767934,1,110,Stoke_City,Home,10535,12150,Glenn Whelan,glenn-whelan,M,False,,,6.0,18.0,32.0,50.0,1.0,,7.0,,,,,,,,1.0,4.0,,,,,,,,1.0,,,90.0,,1.0,,,,,7.2,,,,,2.0,,1.0,,9.0,,26.0,34.0,59.0,0,3.0,71.0,,1.0,,
2015-16,6767954,2,110,Stoke_City,Away,2525,19568,Ibrahim Afellay,ibrahim-afellay,M,False,1.0,,6.0,24.0,22.0,45.0,,,4.0,,,1.0,,,,2.0,5.0,1.0,,,2.0,,,,,1.0,1.0,,90.0,,,,,,,6.6,,,,,1.0,1.0,2.0,,7.0,1.0,28.0,23.0,49.0,1,,63.0,2.0,1.0,,
2015-16,6767954,2,110,Stoke_City,Away,9360,20208,Charlie Adam,charlie-adam,M,True,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,0,1.0,1.0,,,,
2015-16,6767954,2,110,Stoke_City,Away,9682,20481,Stephen Ireland,stephen-ireland,M,True,2.0,,1.0,17.0,5.0,20.0,1.0,1.0,1.0,2.0,1.0,,,,,,1.0,3.0,,,,1.0,,,,,3.0,,31.0,,,,,,,7.6,,,1.0,,,,4.0,,1.0,,19.0,6.0,21.0,1,2.0,30.0,,,,
2015-16,6767954,2,110,Stoke_City,Away,10468,11735,Steve Sidwell,steve-sidwell,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2015-16,6767954,2,110,Stoke_City,Away,10535,12150,Glenn Whelan,glenn-whelan,M,False,,,4.0,20.0,28.0,48.0,1.0,1.0,6.0,,,,3.0,,,1.0,6.0,6.0,,1.0,1.0,,,,,1.0,1.0,,90.0,,,,,,,6.4,,,,,1.0,,,,5.0,,24.0,29.0,53.0,0,4.0,62.0,1.0,1.0,,
