season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2015-16,6767934,1,110,Stoke_City,Home,917,3773,Peter Crouch,peter-crouch,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2015-16,6767934,1,110,Stoke_City,Home,3596,26900,Peter Odemwingie,peter-odemwingie,F,True,1.0,,,1.0,2.0,2.0,,,1.0,,,,,,,,1.0,2.0,,,,,,,,,,,12.0,,,,,,,6.6,,,,,,1.0,2.0,,1.0,,3.0,2.0,3.0,0,1.0,9.0,1.0,1.0,,
2015-16,6767934,1,110,Stoke_City,Home,19524,12813,Jonathan Walters,jonathan-walters,F,False,1.0,,,10.0,2.0,11.0,6.0,6.0,4.0,,,,,,,1.0,8.0,8.0,,,,,,,,,3.0,,90.0,,,,,,,6.6,,,,,,1.0,1.0,,,2.0,19.0,4.0,22.0,0,,29.0,2.0,2.0,,
2015-16,6767934,1,110,Stoke_City,Home,22481,61858,Mame Biram Diouf,mame-biram-diouf,F,False,,,,2.0,,2.0,5.0,,1.0,,,,1.0,,,,10.0,5.0,,,1.0,,,,,,1.0,,90.0,1.0,,,,,,6.4,,,,,,3.0,,,,1.0,6.0,,6.0,1,,18.0,2.0,5.0,,
2015-16,6767934,1,110,Stoke_City,Home,69418,61316,Joselu,joselu,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2015-16,6767934,1,110,Stoke_City,Home,112794,82660,Marco van Ginkel,marco-van-ginkel,F,False,,,2.0,15.0,16.0,31.0,,3.0,2.0,,,1.0,,,,1.0,3.0,4.0,,,,,,,,2.0,,,90.0,,,,,,,6.8,,,1.0,,1.0,2.0,2.0,,3.0,,26.0,18.0,42.0,2,1.0,60.0,2.0,,,
2015-16,6767954,2,110,Stoke_City,Away,917,3773,Peter Crouch,peter-crouch,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2015-16,6767954,2,110,Stoke_City,Away,19524,12813,Jonathan Walters,jonathan-walters,F,False,,,1.0,4.0,1.0,5.0,3.0,,4.0,1.0,,,,,,1.0,4.0,3.0,,,,,,,,1.0,2.0,,59.0,,,,,,,6.8,,,1.0,,,1.0,,,1.0,1.0,5.0,1.0,6.0,1,,17.0,4.0,2.0,1.0,
2015-16,6767954,2,110,Stoke_City,Away,21927,41464,Marko Arnautović,marko-arnautovic,F,False,1.0,,,28.0,8.0,35.0,,,7.0,1.0,,,,,,2.0,4.0,7.0,,,2.0,,1.0,,,,2.0,,89.0,2.0,,,,,,7.7,,,2.0,,,3.0,4.0,,,1.0,37.0,9.0,42.0,4,1.0,65.0,3.0,3.0,3.0,
2015-16,6767954,2,110,Stoke_City,Away,22481,61858,Mame Biram Diouf,mame-biram-diouf,F,False,,,,6.0,2.0,8.0,4.0,2.0,2.0,,2.0,,1.0,,,,6.0,5.0,,,1.0,,1.0,,,1.0,,,90.0,5.0,,,,,,7.2,,,,,1.0,1.0,1.0,,,,17.0,2.0,18.0,5,2.0,32.0,2.0,,1.0,
2015-16,6767954,2,110,Stoke_City,Away,69418,61316,Joselu,joselu,F,True,,,,4.0,3.0,7.0,3.0,2.0,,,,,,,,,4.0,3.0,,,1.0,,,,,,1.0,,31.0,,,,1.0,,,7.0,,,1.0,,,,1.0,,,,9.0,3.0,11.0,1,,16.0,1.0,1.0,,
2015-16,6767954,2,110,Stoke_City,Away,112794,82660,Marco van Ginkel,marco-van-ginkel,F,False,1.0,,,14.0,11.0,24.0,2.0,,1.0,,,1.0,,,,,3.0,3.0,,,1.0,,,,,,,,59.0,,,,,,,6.8,,,1.0,,,,1.0,,,,20.0,11.0,30.0,2,2.0,41.0,1.0,1.0,,
2015-16,6767963,3,110,Stoke_City,Away,917,3773,Peter Crouch,peter-crouch,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2015-16,6767963,3,110,Stoke_City,Away,21927,41464,Marko Arnautović,marko-arnautovic,F,False,,,,9.0,10.0,19.0,,,2.0,,,,,,,2.0,3.0,,,,,,,,,2.0,1.0,,57.0,,,,,,,6.3,,,,,,1.0,,,,1.0,11.0,11.0,22.0,0,,29.0,,,,
2015-16,6767963,3,110,Stoke_City,Away,22481,61858,Mame Biram Diouf,mame-biram-diouf,F,False,,,,12.0,4.0,16.0,4.0,1.0,4.0,,,,,,,,5.0,7.0,,,,,1.0,,,,,,90.0,1.0,,,,,,7.3,,,,,2.0,2.0,,,,1.0,17.0,5.0,22.0,1,,39.0,4.0,5.0,1.0,
2015-16,6767963,3,110,Stoke_City,Away,69418,61316,Joselu,joselu,F,True,,,,4.0,2.0,6.0,1.0,2.0,,,1.0,1.0,,,,,1.0,2.0,,,,,,,,,,,33.0,,,,,,,6.4,,,1.0,,,,,,1.0,,8.0,2.0,10.0,2,,12.0,,,,
2015-16,6767963,3,110,Stoke_City,Away,112794,82660,Marco van Ginkel,marco-van-ginkel,F,False,,,3.0,29.0,16.0,45.0,1.0,,3.0,,,,,,,2.0,3.0,7.0,,,,,,,,2.0,1.0,,79.0,,1.0,,,,,7.4,,,1.0,,1.0,1.0,,,4.0,,32.0,17.0,49.0,1,4.0,67.0,1.0,2.0,1.0,
2015-16,6768033,4,110,Stoke_City,Home,917,3773,Peter Crouch,peter-crouch,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
