season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAShot,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2021-22,9576162,1,36,Brighton_and_Hove_Albion,Away,17054,39155,Adam Lallana,adam-lallana,M,True,,,1.0,12.0,15.0,27.0,,1.0,6.0,,,,2.0,,,1.0,4.0,1.0,,,,,,,,,,,45.0,,,,,,,7.0,,6.2,,,,,,1.0,,,3.0,,15.0,16.0,31.0,0,,36.0,1.0,,,
2021-22,9576162,1,36,Brighton_and_Hove_Albion,Away,31867,49262,Jason Steele,jason-steele,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576162,1,36,Brighton_and_Hove_Albion,Away,48480,60307,Pascal Groß,pascal-gro,M,False,3.0,,1.0,24.0,26.0,47.0,3.0,1.0,5.0,1.0,,,2.0,,,2.0,8.0,1.0,,1.0,1.0,,,,,,2.0,,90.0,1.0,,,,,,18.0,,7.0,,,1.0,,4.0,,9.0,,6.0,,35.0,28.0,54.0,2,,83.0,1.0,,,
2021-22,9576162,1,36,Brighton_and_Hove_Albion,Away,55570,61933,Shane Duffy,shane-duffy,D,False,,,2.0,5.0,40.0,45.0,4.0,9.0,3.0,,,1.0,,,,,4.0,12.0,,,,,,,,2.0,,,90.0,2.0,1.0,,,,,4.0,,8.0,,,1.0,,10.0,,,,4.0,,6.0,43.0,49.0,4,2.0,71.0,,1.0,,2.0
2021-22,9576162,1,36,Brighton_and_Hove_Albion,Away,115365,83299,Lewis Dunk,lewis-dunk,D,False,,,4.0,10.0,60.0,70.0,2.0,1.0,5.0,,,,,,,,2.0,1.0,,,,,,,,2.0,,,90.0,,1.0,,,,,9.0,,6.9,,,,,4.0,,,,10.0,,16.0,62.0,78.0,0,,89.0,1.0,,,
2021-22,9576162,1,36,Brighton_and_Hove_Albion,Away,135666,116216,Leandro Trossard,leandro-trossard,F,False,,,2.0,12.0,5.0,17.0,1.0,1.0,4.0,,,,,,,2.0,6.0,7.0,,1.0,,,,,,,,,76.0,,,,,,,16.0,,6.7,,,1.0,,,5.0,1.0,,2.0,,21.0,5.0,25.0,1,1.0,43.0,2.0,2.0,3.0,
2021-22,9576162,1,36,Brighton_and_Hove_Albion,Away,216308,110735,Adam Webster,adam-webster,D,False,,,4.0,19.0,31.0,50.0,1.0,3.0,7.0,,,,2.0,,,,4.0,6.0,,,,,,,,1.0,,,90.0,,1.0,,,,,24.0,,6.7,,,,,3.0,1.0,,,9.0,,32.0,41.0,73.0,0,3.0,92.0,,,,2.0
2021-22,9576162,1,36,Brighton_and_Hove_Albion,Away,235444,93284,Florin Andone,florin-andone,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576162,1,36,Brighton_and_Hove_Albion,Away,268903,115382,Neal Maupay,neal-maupay,F,False,,,,6.0,8.0,14.0,3.0,,2.0,,,1.0,,,,5.0,9.0,3.0,,1.0,,1.0,,,,,,,90.0,2.0,,,,,,10.0,,7.2,,,1.0,,,,,,,,10.0,8.0,18.0,4,1.0,35.0,1.0,2.0,,
2021-22,9576162,1,36,Brighton_and_Hove_Albion,Away,301288,109345,Solly March,solly-march,M,False,3.0,,2.0,18.0,15.0,30.0,1.0,,2.0,,,,1.0,,,1.0,4.0,5.0,,1.0,,,,,,,3.0,,90.0,1.0,,,,,,6.0,,7.3,,,,,,,3.0,,4.0,,23.0,15.0,35.0,1,3.0,52.0,,2.0,,1.0
