season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2022-23,10385511,1,36,Brighton_and_Hove_Albion,Away,17054,39155,Adam Lallana,adam-lallana,M,False,1.0,,,25.0,8.0,32.0,1.0,1.0,4.0,,,,2.0,,,3.0,5.0,,,0.115579,0.0,0.0,,,,,,,1.0,3.0,,76.0,,,,,,,,5.0,,7.3,,,,1.0,1.0,1.0,,,,30.0,8.0,37.0,0,2.0,47.0,,1.0,1.0,
2022-23,10385511,1,36,Brighton_and_Hove_Albion,Away,31867,49262,Jason Steele,jason-steele,G,True,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385511,1,36,Brighton_and_Hove_Albion,Away,33902,50175,Danny Welbeck,danny-welbeck,F,False,,,,18.0,2.0,20.0,1.0,1.0,3.0,1.0,,2.0,,,1.0,5.0,9.0,,,0.444771,0.361,0.0,1.0,1.0,,,,,1.0,3.0,,89.0,,,,,,,,12.0,,7.8,,,3.0,,6.0,,,,1.0,22.0,2.0,24.0,5,3.0,50.0,5.0,1.0,4.0,2.0
2022-23,10385511,1,36,Brighton_and_Hove_Albion,Away,48480,60307,Pascal Groß,pascal-gro,M,False,1.0,,,15.0,3.0,17.0,1.0,,4.0,,,1.0,,,3.0,4.0,,,,0.0588655,0.902,1.4679,,,2.0,,,,,1.0,,90.0,2.0,,,,,,,20.0,,8.0,,,,1.0,,5.0,,4.0,,28.0,5.0,28.0,3,,46.0,2.0,,,
2022-23,10385511,1,36,Brighton_and_Hove_Albion,Away,115365,83299,Lewis Dunk,lewis-dunk,D,False,,,2.0,2.0,12.0,14.0,,1.0,4.0,,,,,,,,1.0,,,0.00044889,0.0657,0.0,,,,,,,,,,90.0,,1.0,,,,,,12.0,,6.6,,,1.0,5.0,,,,12.0,,13.0,13.0,26.0,1,,34.0,,,,
2022-23,10385511,1,36,Brighton_and_Hove_Albion,Away,135666,116216,Leandro Trossard,leandro-trossard,F,False,3.0,,1.0,11.0,5.0,13.0,1.0,1.0,7.0,,,1.0,,,,3.0,2.0,,,0.22647,0.0854,0.0,,,,,,,1.0,3.0,,75.0,,,,,,,,10.0,,7.3,,,1.0,,2.0,3.0,,1.0,,13.0,9.0,19.0,2,,33.0,2.0,1.0,,
2022-23,10385511,1,36,Brighton_and_Hove_Albion,Away,216308,110735,Adam Webster,adam-webster,D,False,,,1.0,11.0,10.0,21.0,,1.0,4.0,,,,,,,,2.0,,,0.033774,0.0227,0.0708,,,,,,,1.0,,,90.0,1.0,1.0,,,,,,12.0,,6.9,,,,3.0,,,,6.0,,19.0,13.0,32.0,1,1.0,43.0,,,,1.0
2022-23,10385511,1,36,Brighton_and_Hove_Albion,Away,219572,111478,Joël Veltman,joel-veltman,D,False,,,1.0,10.0,8.0,18.0,2.0,1.0,6.0,,,,,,,4.0,3.0,,,0.00823285,0.0,0.0,1.0,,,,,,3.0,,,90.0,,2.0,,,,,,17.0,,7.0,,,,6.0,1.0,1.0,,5.0,,16.0,12.0,27.0,0,2.0,55.0,1.0,,,2.0
2022-23,10385511,1,36,Brighton_and_Hove_Albion,Away,268903,115382,Neal Maupay,neal-maupay,F,True,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385511,1,36,Brighton_and_Hove_Albion,Away,301288,109345,Solly March,solly-march,M,False,,,3.0,17.0,3.0,20.0,2.0,1.0,6.0,,,,1.0,,1.0,7.0,2.0,,,0.0234336,0.03,0.0239,3.0,,,,,,,,,89.0,1.0,1.0,,,,,,13.0,,6.7,,,,3.0,,,,7.0,,23.0,5.0,28.0,1,,45.0,4.0,1.0,,
2022-23,10385511,1,36,Brighton_and_Hove_Albion,Away,794298,450434,Deniz Undav,deniz-undav,F,True,,,,,,,,,,,,,,,,1.0,,,,0.0,0.0,0.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385511,1,36,Brighton_and_Hove_Albion,Away,881132,423649,Enock Mwepu,enock-mwepu,M,True,,,,8.0,,8.0,1.0,,2.0,,,,,,,2.0,1.0,,,0.0167271,0.0,0.0,,,,,,,,1.0,,14.0,,1.0,,,,,,4.0,,6.7,,,,,1.0,,,,,9.0,,9.0,0,1.0,15.0,2.0,,,1.0
2022-23,10385511,1,36,Brighton_and_Hove_Albion,Away,895324,243016,Alexis Mac Allister,alexis-mac-allister,M,False,,,2.0,12.0,13.0,25.0,,,9.0,,,1.0,2.0,,1.0,6.0,1.0,,,0.0141619,0.0397,0.0,3.0,,,,,,2.0,,,90.0,,1.0,1.0,,,,,5.0,,6.5,,,1.0,,,,,2.0,,14.0,14.0,28.0,2,1.0,39.0,1.0,,,1.0
2022-23,10385511,1,36,Brighton_and_Hove_Albion,Away,914691,232792,Tariq Lamptey,tariq-lamptey,D,True,,,,4.0,,4.0,1.0,,,,,,,,,2.0,2.0,,,0.0067335,0.0,0.0,1.0,,,,,,,,,15.0,,,,,,,,3.0,,6.6,,,,,1.0,1.0,,,,6.0,,5.0,0,,13.0,1.0,1.0,1.0,
2022-23,10385511,1,36,Brighton_and_Hove_Albion,Away,920546,215059,Robert Sánchez,robert-sanchez,G,False,,,6.0,6.0,2.0,8.0,,,6.0,,,,,,,,,,,0.00105836,0.0,0.0,,,,-0.1539,,,,,,90.0,,,,,,,,21.0,1.0,7.2,4.0,5.0,,2.0,,,,26.0,,25.0,3.0,28.0,0,,37.0,,,,
2022-23,10385511,1,36,Brighton_and_Hove_Albion,Away,936849,451340,Kaoru Mitoma,kaoru-mitoma,M,True,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385511,1,36,Brighton_and_Hove_Albion,Away,962012,469142,Jan Paul van Hecke,jan-paul-van-hecke,D,True,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2022-23,10385511,1,36,Brighton_and_Hove_Albion,Away,983816,441192,Jeremy Sarmiento,jeremy-sarmiento,M,True,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
