season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2023-24,11352252,1,36,Brighton_and_Hove_Albion,Home,791,15157,James Milner,james-milner,M,False,,,2.0,18.0,13.0,31.0,5.0,1.0,4.0,,,,,,,5.0,4.0,,,0.0167394,0.0,0.0,,,,,,,,,,79.0,,,,,,,,5.0,,7.1,,,,,,2.0,,3.0,,22.0,13.0,33.0,0,2.0,53.0,1.0,1.0,,2.0
2023-24,11352252,1,36,Brighton_and_Hove_Albion,Home,31867,49262,Jason Steele,jason-steele,G,False,,,3.0,1.0,33.0,34.0,,,8.0,,,,,,,,,,,0.00020135,0.0,0.0,,,,0.1127,,,,,,90.0,,,,,1.0,,,,,7.0,2.0,2.0,,,,,,3.0,,1.0,33.0,34.0,0,,41.0,,,,
2023-24,11352252,1,36,Brighton_and_Hove_Albion,Home,33902,50175,Danny Welbeck,danny-welbeck,F,False,,,,10.0,2.0,12.0,3.0,,1.0,,,1.0,,,1.0,4.0,2.0,,,0.13625,0.324,0.1184,,,,,,1.0,,,,78.0,1.0,,,,,,,6.0,,7.1,,,2.0,2.0,1.0,,,,,11.0,3.0,14.0,4,,29.0,3.0,1.0,1.0,
2023-24,11352252,1,36,Brighton_and_Hove_Albion,Home,48480,60307,Pascal Groß,pascal-gro,M,False,1.0,,4.0,35.0,32.0,66.0,,2.0,3.0,1.0,1.0,,,,1.0,1.0,6.0,,,0.456669,0.4963,0.5969,,,,,,1.0,2.0,6.0,,90.0,1.0,1.0,,,,,,14.0,,8.3,,,2.0,1.0,1.0,6.0,,6.0,,46.0,33.0,73.0,3,2.0,97.0,1.0,1.0,1.0,1.0
2023-24,11352252,1,36,Brighton_and_Hove_Albion,Home,115365,83299,Lewis Dunk,lewis-dunk,D,False,,,1.0,44.0,66.0,110.0,1.0,,6.0,,,,1.0,,,2.0,1.0,,,0.586177,0.1182,0.0,1.0,,,,,,,,,90.0,,,,1.0,,,,11.0,,6.6,,,2.0,1.0,,,,6.0,,51.0,67.0,118.0,2,1.0,127.0,2.0,,,1.0
2023-24,11352252,1,36,Brighton_and_Hove_Albion,Home,219572,111478,Joël Veltman,joel-veltman,D,True,,,,1.0,,1.0,1.0,,,,,,,,,2.0,,,,0.00062237,0.0,0.0,1.0,,,,,,,,,11.0,,,,,,,,1.0,,6.2,,,,1.0,,,,,,1.0,,1.0,0,,4.0,1.0,,,
2023-24,11352252,1,36,Brighton_and_Hove_Albion,Home,301288,109345,Solly March,solly-march,M,False,,,1.0,15.0,8.0,23.0,1.0,1.0,4.0,,,1.0,,,4.0,8.0,5.0,,,0.0185244,0.4038,0.8889,1.0,,1.0,,,,,2.0,,74.0,2.0,,,,,,,17.0,,7.5,,,,1.0,4.0,2.0,,2.0,1.0,24.0,9.0,31.0,3,1.0,51.0,1.0,1.0,2.0,1.0
2023-24,11352252,1,36,Brighton_and_Hove_Albion,Home,341589,168090,Mahmoud Dahoud,mahmoud-dahoud,M,False,1.0,,3.0,18.0,23.0,40.0,,,9.0,,,1.0,,,,3.0,2.0,,,0.104498,0.0395,0.0,3.0,,,,,,,2.0,,74.0,,,,,,,,7.0,,7.0,,,1.0,,,1.0,,4.0,,23.0,23.0,45.0,2,2.0,54.0,2.0,,,1.0
2023-24,11352252,1,36,Brighton_and_Hove_Albion,Home,805465,204214,Pervis Estupiñán,pervis-estupinan,M,False,3.0,,,50.0,23.0,70.0,2.0,2.0,6.0,2.0,,1.0,,,,4.0,4.0,,,0.860694,0.1049,0.1571,2.0,1.0,,,,,,6.0,,90.0,2.0,,,,,,,17.0,,8.4,,,,,1.0,7.0,,1.0,,62.0,27.0,82.0,3,1.0,101.0,1.0,,1.0,1.0
2023-24,11352252,1,36,Brighton_and_Hove_Albion,Home,842513,223434,Igor Júlio,igor-julio,D,True,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
