season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballCarriesCount,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyWon,possessionLostCtrl,progressiveBallCarriesCount,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalBallCarriesDistance,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalProgression,totalProgressiveBallCarriesDistance,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2024-25,12436873,1,36,Brighton_and_Hove_Albion,Away,791,15157,James Milner,james-milner,M,False,2.0,,1.0,18.0,12.0,28.0,1.0,,8.0,,,,,,,,,2.0,4.0,,1.0,0.110683,,,1.0,0.0,,,,,,3.0,,82.0,,2.0,,,,,10.0,1.0,,7.1,,,,61.320064783261,,,7.0,,3.0,,26.0,14.0,33.0,42.099703741071,21.879727694832,0,4.0,48.0,,,,2.0
2024-25,12436873,1,36,Brighton_and_Hove_Albion,Away,31867,49262,Jason Steele,jason-steele,G,False,,1.0,2.0,1.0,54.0,55.0,1.0,1.0,21.0,13.0,,,,,,,,1.0,1.0,,,0.00015778,,,,0.0,,0.0498,,,,,,90.0,,,,,,,6.0,0.0,2.0,7.2,1.0,1.0,,132.17218134067,2.0,,,1.0,7.0,,4.0,57.0,61.0,68.508068113608,,0,,65.0,,,,
2024-25,12436873,1,36,Brighton_and_Hove_Albion,Away,33902,50175,Danny Welbeck,danny-welbeck,F,False,,,1.0,12.0,4.0,16.0,2.0,,8.0,1.0,,,,1.0,,,2.0,6.0,3.0,,,0.0394277,0.1952,0.483,1.0,1.0,1.0,,,,1.0,2.0,,90.0,1.0,1.0,,,,,4.0,2.0,,8.2,,,1.0,71.569601296828,,1.0,,,1.0,,13.0,5.0,18.0,46.069912821751,36.463274542916,2,2.0,30.0,,,1.0,1.0
2024-25,12436873,1,36,Brighton_and_Hove_Albion,Away,115365,83299,Lewis Dunk,lewis-dunk,D,False,,,2.0,6.0,54.0,60.0,4.0,4.0,19.0,5.0,,,,,,,,4.0,4.0,,,0.00182964,0.0673,,,0.0,,,,,,,,76.0,,,,,,,10.0,1.0,,6.8,,,1.0,135.71337784178,3.0,,,,7.0,,13.0,57.0,70.0,55.28754898075,22.181275346562,1,,75.0,,,,
2024-25,12436873,1,36,Brighton_and_Hove_Albion,Away,216308,110735,Adam Webster,adam-webster,D,True,,,3.0,14.0,16.0,30.0,1.0,1.0,14.0,1.0,,,,,,,,1.0,1.0,,,0.0155866,,,,0.0,,,,,,,,14.0,,,,,,,3.0,1.0,,6.8,,,,137.04094644124,1.0,,1.0,,3.0,,15.0,18.0,32.0,89.973343384278,13.568233820214,0,,34.0,,,,
2024-25,12436873,1,36,Brighton_and_Hove_Albion,Away,219572,111478,Joël Veltman,joel-veltman,D,False,,,2.0,16.0,25.0,41.0,1.0,1.0,17.0,6.0,,,,,,,,1.0,6.0,,,0.00362042,,,,0.0,,,,,2.0,,,90.0,,1.0,,,,,12.0,0.0,,7.6,,,,135.27406649474,4.0,,1.0,,4.0,,22.0,29.0,50.0,63.727782359075,,0,2.0,66.0,2.0,3.0,,2.0
2024-25,12436873,1,36,Brighton_and_Hove_Albion,Away,907668,243568,Billy Gilmour,billy-gilmour,M,True,,,,3.0,7.0,10.0,,,3.0,,,,,,,,,,1.0,,,0.00429799,,,,0.0,,,,,,,,8.0,,,,,,,2.0,0.0,,6.6,,,,11.810778498948,,,,,1.0,,5.0,7.0,12.0,-5.0793370161479,,0,,13.0,,1.0,,
2024-25,12436873,1,36,Brighton_and_Hove_Albion,Away,936849,451340,Kaoru Mitoma,kaoru-mitoma,M,False,,,,15.0,9.0,24.0,,,15.0,2.0,,1.0,1.0,1.0,,,,9.0,8.0,,,0.0380455,0.9747,1.4173,2.0,0.0,1.0,,,,,,,89.0,3.0,,,,,,14.0,5.0,,7.3,,,,176.67554899596,,10.0,1.0,,2.0,,20.0,9.0,28.0,136.36608627737,106.24369948484,4,3.0,56.0,3.0,1.0,4.0,1.0
2024-25,12436873,1,36,Brighton_and_Hove_Albion,Away,959628,467779,Mats Wieffer,mats-wieffer,D,False,,,2.0,22.0,41.0,63.0,3.0,,28.0,8.0,,,,,,,4.0,11.0,5.0,,,0.0187231,,,2.0,1.0,,,,,,1.0,,90.0,,,,,,,15.0,0.0,,7.1,,,,190.19944787668,2.0,2.0,,,3.0,,29.0,43.0,72.0,42.473374520913,,0,4.0,88.0,,1.0,,3.0
2024-25,12436873,1,36,Brighton_and_Hove_Albion,Away,962012,469142,Jan Paul van Hecke,jan-paul-van-hecke,D,False,,,2.0,19.0,62.0,81.0,3.0,2.0,48.0,4.0,,,,1.0,,,,6.0,4.0,,,0.00427773,,,1.0,0.0,,,,,,,,90.0,,,,,,,7.0,0.0,,6.9,,,,353.330054464,3.0,1.0,,,3.0,,23.0,64.0,87.0,132.13798644911,,0,2.0,94.0,,,,2.0
