season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballCarriesCount,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,metersCoveredHighSpeedRunningKm,metersCoveredJoggingKm,metersCoveredRunningKm,metersCoveredSprintingKm,metersCoveredWalkingKm,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,progressiveBallCarriesCount,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalBallCarriesDistance,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalProgression,totalProgressiveBallCarriesDistance,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2025-26,14025020,1,36,Brighton_and_Hove_Albion,Home,791,15157.0,James Milner,james-milner,M,True,,,,,1.0,1.0,,,,,,,,,,,,,,,8.82e-06,,,,0.0,,,,,,,,0.08,0.65,0.3,0.01,0.3,10.0,,,,,,,,,,,,6.4,,,,,,,,,,,,1.0,1.0,,,0,,1.0,,,,
2025-26,14025020,1,36,Brighton_and_Hove_Albion,Home,31867,49262.0,Jason Steele,jason-steele,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025020,1,36,Brighton_and_Hove_Albion,Home,33902,50175.0,Danny Welbeck,danny-welbeck,F,True,,,,3.0,1.0,4.0,,,,,,,,,,,,1.0,,,0.0025006,,,,0.0,,,,,,,,0.26,1.38,0.52,0.01,1.08,21.0,,,,,,,,,4.0,,,6.6,,,,,,,,,,,6.0,1.0,7.0,,,0,1.0,10.0,1.0,,,
2025-26,14025020,1,36,Brighton_and_Hove_Albion,Home,115365,83299.0,Lewis Dunk,lewis-dunk,D,False,,,4.0,12.0,74.0,86.0,,5.0,,5.0,,,,,,,,9.0,,,0.00244163,0.0934,,,0.0,,,,,,,,0.31,4.86,1.27,0.07,3.01,90.0,,,,,,,,,6.0,,,7.4,,,1.0,,7.0,1.0,,,6.0,,15.0,75.0,90.0,,,1,1.0,104.0,2.0,2.0,1.0,1.0
2025-26,14025020,1,36,Brighton_and_Hove_Albion,Home,219572,111478.0,Joël Veltman,joel-veltman,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025020,1,36,Brighton_and_Hove_Albion,Home,788784,204120.0,Olivier Boscagli,olivier-boscagli,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025020,1,36,Brighton_and_Hove_Albion,Home,825844,231416.0,Ferdi Kadıoğlu,ferdi-kadioglu,D,True,,,,3.0,2.0,5.0,2.0,,,,,,,,,,3.0,1.0,,,0.00071873,,,2.0,0.0,,,,,,,,0.19,1.62,0.65,0.0,0.94,21.0,,,,,,,,,3.0,,,6.1,,,,,1.0,,,,1.0,,4.0,3.0,7.0,,,0,,10.0,,1.0,,
2025-26,14025020,1,36,Brighton_and_Hove_Albion,Home,891829,219249.0,Matt O'Riley,matt-oriley,M,False,3.0,,,7.0,10.0,17.0,,,,,,,,2.0,,,4.0,3.0,,,0.141433,0.7884,0.7521,1.0,0.0,1.0,,,,,3.0,,1.09,5.12,2.14,0.23,2.38,88.0,1.0,,,,,,,,9.0,,,7.3,,,,,,1.0,4.0,,1.0,,10.0,12.0,22.0,,,1,3.0,36.0,2.0,,,1.0
2025-26,14025020,1,36,Brighton_and_Hove_Albion,Home,936849,451340.0,Kaoru Mitoma,kaoru-mitoma,M,False,,,,12.0,5.0,17.0,1.0,,,,,,,,,,6.0,1.0,,,0.0394138,0.0707,,3.0,0.0,,,,,,,,0.67,3.66,1.4,0.23,2.9,83.0,,,,,,,,,7.0,,,6.5,,,1.0,,,3.0,,,,,14.0,5.0,19.0,,,1,,27.0,2.0,,1.0,
2025-26,14025020,1,36,Brighton_and_Hove_Albion,Home,946695,463067.0,Georginio Rutter,georginio-rutter,M,False,,,,1.0,1.0,2.0,1.0,1.0,,1.0,,,1.0,,,2.0,6.0,4.0,,,0.00279076,0.0658,0.1957,2.0,0.0,,,,,,,,0.58,3.34,1.05,0.23,2.1,69.0,1.0,,,,,,,1.0,11.0,,,7.2,,,,,,1.0,,,,1.0,3.0,1.0,4.0,,,2,1.0,22.0,6.0,2.0,,1.0
