playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,totalRedCards,totalTackles,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,substituteOn,aerialDuels,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,winningGoal,duels,forwardPasses,recoveries,appearances,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,totalLossesOfPossession,tacklesWon,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,substituteOff,successfulPassesOwnHalf,yellowCards,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalShots,throughBalls,goalAssists,successfulLayoffs,unsuccessfulCrossesOpenPlay,goals,offsides,awayGoals,oboxBlocked,cornersTakenInclShortCorners,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,unsuccessfulLayoffs,throwInsToOppositionPlayer,penaltyGoalsConceded,successfulLaunches,shotsBlockedInBox,totalFoulsWon,homeGoals,oboxTarget,rightFootGoals,leftFootGoals,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,iboxBlocked,shotsOffTargetIncWoodwork,cornersWon,successfulDribbles,unsuccessfulCornersIntoBox,clearancesOffTheLine,throwInsToOwnPlayer,shotsBlockedOutsideBox,unsuccessfulLaunches,handballsConceded,expectedGoals,unsuccessfulLongPasses,secondGoalAssists,lastPlayerTackle,successfulCornersIntoBox,expectedGoalsFreekick,freekickTotal,attemptsFromSetPieces,hitWoodwork,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,punches,savesMade,goalkeeperSmother,drops,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,setPiecesGoals,ownGoalScored,penaltiesConceded,headedGoals,penaltiesSaved,penaltiesFaced,savesFromPenalty,crossesNotClaimed,redCards2ndYellow
11883,Alan Tate,Defender,Swansea,80,England,2012-13,10.0,0.0586,0.0,4.0,5.0,3.0,2.0,5.0,50.0,1.0,17.0,162.0,6.0,15.0,1.0,4.0,42.0,4.0,5.1749,1.0,24.0,4.0,4.0,9.0,0.0,25.0,23.0,3.0,3.0,2.0,7.0,3.0,1.0,8.0,11.0,0.0,49.0,6.0,2.0,4.0,11.0,2.0,1.0,3.0,7.0,85.0,1.0,38.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42996,Angel Rangel,Defender,Swansea,80,Spain,2012-13,135.0,2.1649,0.0,85.0,244.0,33.0,30.0,299.0,1842.0,3.0,86.0,2750.0,47.0,151.0,4.0,112.0,1448.0,44.0,40.5522,23.0,144.0,39.0,88.0,59.0,4.0,286.0,754.0,160.0,33.0,21.0,822.0,35.0,32.0,200.0,39.0,0.0,1822.0,455.0,64.0,10.0,736.0,33.0,87.0,95.0,293.0,2695.0,,740.0,7.0,80.0,19.0,6.0,16.0,1.0,4.3661,21.0,5.0,1.0,20.0,72.0,3.0,3.0,1.0,3.0,1.0,8.0,5.0,19.0,19.0,19.0,1.0,23.0,2.0,9.0,7.0,14.0,2.0,5.0,2.0,1.0,19.0,73.0,7.0,5.0,29.0,13.0,1.0,1.0,247.0,3.0,25.0,3.0,2.312,55.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
19159,Ashley Williams,Defender,Swansea,80,Wales,2012-13,109.0,0.5425,0.0,43.0,144.0,37.0,37.0,262.0,1916.0,,139.0,3330.0,60.0,137.0,5.0,58.0,1443.0,38.0,49.2629,5.0,381.0,46.0,49.0,612.0,0.0,246.0,725.0,147.0,37.0,12.0,431.0,41.0,2.0,107.0,79.0,0.0,1885.0,279.0,31.0,53.0,479.0,39.0,110.0,211.0,100.0,2604.0,,1223.0,7.0,77.0,,5.0,4.0,,0.5907,19.0,1.0,,2.0,,,3.0,,2.0,,10.0,,,9.0,9.0,,,2.0,17.0,4.0,13.0,,,,,,,4.0,15.0,5.0,2.0,,1.0,3.0,2.0,78.0,,1.9345,118.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
115556,Ben Davies,Defender,Swansea,80,Wales,2012-13,167.0,1.1256,0.0,92.0,200.0,37.0,33.0,258.0,1525.0,4.0,127.0,3049.0,70.0,200.0,5.0,143.0,1194.0,26.0,47.9693,16.0,167.0,48.0,97.0,676.0,0.0,367.0,544.0,109.0,37.0,25.0,604.0,43.0,36.0,240.0,57.0,0.0,1503.0,454.0,67.0,12.0,53.0,29.0,65.0,73.0,252.0,2464.0,3.0,684.0,5.0,83.0,20.0,4.0,2.0,3.0,1.0825,5.0,,2.0,5.0,76.0,1.0,1.0,0.0,3.0,11.0,8.0,,21.0,2.0,2.0,,49.0,4.0,13.0,4.0,32.0,1.0,,,1.0,22.0,86.0,4.0,3.0,16.0,19.0,10.0,1.0,250.0,3.0,39.0,1.0,0.6642,58.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
53138,Chico Flores,Defender,Swansea,80,Spain,2012-13,155.0,0.6065,1.0,85.0,116.0,26.0,26.0,158.0,1478.0,,144.0,2241.0,79.0,186.0,4.0,121.0,1238.0,26.0,31.2314,8.0,226.0,29.0,76.0,213.0,0.0,341.0,613.0,119.0,26.0,16.0,418.0,25.0,16.0,197.0,65.0,1.0,1429.0,188.0,69.0,17.0,564.0,37.0,91.0,82.0,88.0,2018.0,2.0,902.0,6.0,50.0,,11.0,3.0,1.0,0.727,10.0,1.0,,1.0,3.0,,,,12.0,,9.0,,,5.0,5.0,,,2.0,16.0,6.0,29.0,,,,,4.0,3.0,6.0,7.0,3.0,7.0,,1.0,4.0,12.0,31.0,,1.1825,42.0,,,,0.0438,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
60084,David Cornell,Goalkeeper,Swansea,80,Wales,2012-13,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39221,Dwight Tiendalli,Defender,Swansea,80,Netherlands,2012-13,53.0,0.3367,0.0,44.0,72.0,14.0,11.0,84.0,560.0,3.0,25.0,1012.0,16.0,77.0,1.0,68.0,464.0,10.0,17.3123,5.0,34.0,16.0,37.0,25.0,2.0,130.0,188.0,59.0,14.0,12.0,249.0,15.0,14.0,105.0,9.0,0.0,551.0,144.0,32.0,2.0,235.0,16.0,31.0,12.0,112.0,896.0,,234.0,3.0,32.0,7.0,,4.0,1.0,1.8867,6.0,,,2.0,28.0,1.0,3.0,1.0,,,3.0,1.0,7.0,5.0,5.0,,8.0,2.0,1.0,,17.0,0.0,1.0,,1.0,4.0,28.0,,2.0,6.0,7.0,,,104.0,,18.0,,0.9964,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,Garry Monk,Defender,Swansea,80,England,2012-13,40.0,0.1852,0.0,13.0,28.0,11.0,10.0,36.0,400.0,1.0,54.0,923.0,28.0,48.0,,22.0,334.0,12.0,15.7056,1.0,112.0,16.0,12.0,109.0,0.0,88.0,145.0,18.0,11.0,2.0,41.0,16.0,2.0,34.0,26.0,0.0,391.0,40.0,11.0,8.0,108.0,4.0,19.0,30.0,38.0,581.0,,323.0,0.0,14.0,,1.0,1.0,,0.1679,3.0,,,1.0,,,,,,,1.0,,,2.0,2.0,,,2.0,1.0,2.0,7.0,,,,,,,2.0,2.0,,2.0,,,,,13.0,,0.2033,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5288,Gerhard Tremmel,Goalkeeper,Swansea,80,Germany,2012-13,,0.0123,0.0,,3.0,14.0,12.0,158.0,327.0,2.0,7.0,1108.0,,7.0,1.0,,75.0,,15.0509,,15.0,13.0,,23.0,0.0,7.0,272.0,119.0,14.0,,60.0,12.0,,,7.0,0.0,150.0,158.0,,,32.0,,,94.0,,474.0,,109.0,0.0,25.0,,,,,,,,,,,,,,,,3.0,,,,,,,,28.0,,,,,,,,,,,,,,,,,67.0,,,155.0,,,,,,,,17.0,24.0,123.0,9.0,13.0,55.0,1.0,1.0,116.0,63.0,11.0,31.0,,,,,,,,,
74363,Itay Shechter,Forward,Swansea,80,Israel,2012-13,62.0,0.4551,0.0,8.0,24.0,18.0,7.0,24.0,186.0,11.0,25.0,621.0,22.0,29.0,1.0,26.0,161.0,31.0,11.0153,11.0,5.0,12.0,40.0,49.0,0.0,91.0,15.0,14.0,18.0,2.0,125.0,11.0,20.0,66.0,3.0,0.0,186.0,67.0,6.0,,40.0,14.0,6.0,1.0,82.0,285.0,7.0,39.0,3.0,4.0,2.0,6.0,2.0,3.0,0.9688,4.0,,,25.0,3.0,1.0,17.0,1.0,4.0,,,,2.0,2.0,2.0,8.0,,2.0,,8.0,13.0,0.0,,,1.0,9.0,3.0,8.0,2.0,5.0,5.0,,,,4.0,,3.0,0.9451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
