playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,penaltiesSaved,totalRedCards,catches,totalTackles,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,unsuccessfulLayoffs,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,savesFromPenalty,punches,penaltyGoalsConceded,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,tacklesWon,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,overruns,totalShots,throughBalls,goalAssists,successfulLayoffs,unsuccessfulCrossesOpenPlay,offsides,substituteOn,cornersTakenInclShortCorners,successfulCrossesAndCorners,aerialDuelsLost,penaltiesConceded,totalTouchesInOppositionBox,throwInsToOppositionPlayer,ownGoalScored,keyPassesAttemptAssists,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,shotsOffTargetIncWoodwork,cornersWon,successfulDribbles,blocks,unsuccessfulCornersIntoBox,backwardPasses,throwInsToOwnPlayer,substituteOff,lastPlayerTackle,clearancesOffTheLine,hitWoodwork,foulWonPenalty,goals,awayGoals,homeGoals,headedGoals,handballsConceded,successfulCornersIntoBox,secondGoalAssists,penaltiesTaken,rightFootGoals,leftFootGoals,attemptsFromSetPieces,penaltyGoals,redCards2ndYellow,setPiecesGoals
39215,Michel Vorm,Goalkeeper,Tottenham Hotspur,6,Netherlands,2011-12,1.0,2.0,0.0,58.0,3.0,48.0,30.0,37.0,37.0,458.0,1381.0,381.0,25.0,6.0,14.0,3.0,3330.0,1.0,16.0,7.0,10.0,561.0,2.0,20.0,1.0,112.0,35.0,49.0,1.0,186.0,136.0,7.0,0.0,17.0,934.0,343.0,37.0,7.0,1.0,2.0,209.0,42.0,11.0,6.0,0.0,425.0,881.0,468.0,1.0,167.0,39.0,261.0,1.0,1.0,362.0,1855.0,189.0,714.0,88.0,2.0,428.0,122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5288,Gerhard Tremmel,Goalkeeper,Swansea City,80,Germany,2011-12,,,0.0,4.0,,,,1.0,1.0,6.0,27.0,9.0,,,,,90.0,,,,,11.0,,2.0,,5.0,2.0,2.0,,2.0,,,0.0,,18.0,8.0,1.0,,,,5.0,2.0,,,0.0,13.0,16.0,6.0,,1.0,,7.0,,,10.0,38.0,5.0,16.0,,0.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47390,Neil Taylor,Defender,Middlesbrough,25,Wales,2011-12,124.0,,0.0,,89.0,,213.0,36.0,35.0,255.0,1703.0,,,56.0,12.0,,3084.0,,147.0,4.0,128.0,1392.0,,,1.0,12.0,98.0,41.0,87.0,646.0,,21.0,0.0,271.0,616.0,135.0,36.0,,,22.0,668.0,37.0,215.0,19.0,0.0,,1660.0,433.0,67.0,,,106.0,25.0,38.0,56.0,2475.0,48.0,793.0,,4.0,42.0,111.0,13.0,4.0,1.0,8.0,3.0,5.0,1.0,46.0,68.0,3.0,1.0,1.0,13.0,37.0,1.0,13.0,33.0,1.0,22.0,15.0,69.0,38.0,2.0,13.0,18.0,12.0,1.0,335.0,244.0,5.0,,,,,,,,,,,,,,,,,,
68815,Steven Caulker,Defender,Wigan Athletic,111,Sierra Leone,2011-12,58.0,,0.0,,35.0,,172.0,26.0,26.0,204.0,1600.0,,,74.0,10.0,,2339.0,,95.0,6.0,51.0,1311.0,,,,2.0,181.0,32.0,28.0,373.0,,14.0,0.0,153.0,577.0,83.0,26.0,,,11.0,335.0,26.0,79.0,44.0,0.0,,1566.0,233.0,24.0,,,497.0,14.0,31.0,85.0,1969.0,27.0,1061.0,,2.0,32.0,91.0,,7.0,4.0,,10.0,,1.0,14.0,5.0,,,,,30.0,,29.0,3.0,,5.0,1.0,5.0,7.0,6.0,3.0,2.0,27.0,,153.0,6.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,
11883,Alan Tate,Defender,Swansea City,80,England,2011-12,6.0,,0.0,,5.0,,9.0,5.0,1.0,10.0,81.0,,,4.0,,,164.0,1.0,9.0,3.0,8.0,69.0,,,,,12.0,6.0,3.0,31.0,,3.0,0.0,15.0,36.0,8.0,5.0,,,2.0,28.0,3.0,11.0,1.0,0.0,,79.0,12.0,3.0,,,2.0,2.0,2.0,2.0,129.0,2.0,43.0,,0.0,1.0,6.0,,,,,,,,1.0,,,4.0,,,3.0,,,2.0,,2.0,,,,,,,5.0,,12.0,16.0,,,,,,,,,,,,,,,,,,,
19159,Ashley Williams,Defender,Bristol City,113,Wales,2011-12,110.0,,0.0,,57.0,,243.0,37.0,37.0,382.0,2594.0,,,107.0,13.0,,3330.0,1.0,133.0,7.0,79.0,1887.0,,,1.0,23.0,296.0,51.0,57.0,924.0,,13.0,0.0,243.0,998.0,163.0,37.0,,,14.0,660.0,44.0,136.0,54.0,0.0,,2539.0,415.0,43.0,,,518.0,42.0,83.0,325.0,3191.0,89.0,1552.0,,6.0,139.0,144.0,,6.0,2.0,,14.0,5.0,1.0,20.0,1.0,,,,,53.0,1.0,40.0,,,11.0,3.0,1.0,9.0,12.0,2.0,9.0,39.0,,154.0,7.0,,,,,1.0,1.0,1.0,0.0,1.0,2.0,,,,,,,,,
1950,Garry Monk,Defender,Swansea City,80,England,2011-12,41.0,,0.0,,19.0,,76.0,16.0,14.0,91.0,850.0,,,44.0,5.0,,1263.0,,54.0,1.0,28.0,714.0,,,1.0,6.0,94.0,23.0,23.0,195.0,,9.0,0.0,95.0,348.0,31.0,16.0,,,5.0,135.0,22.0,51.0,26.0,0.0,,828.0,96.0,14.0,,,236.0,15.0,12.0,45.0,1006.0,19.0,624.0,,3.0,15.0,45.0,,,,,,,,10.0,,,2.0,,,18.0,,5.0,,,2.0,,,1.0,,1.0,,7.0,,71.0,4.0,,,,,,,,,,,,,,,,,,,
51511,Federico Bessone,Defender,Swansea City,80,Argentina,2011-12,,,0.0,,,,1.0,1.0,,2.0,7.0,,,,,,4.0,,,,,4.0,,,,,,,,2.0,,,0.0,,4.0,,1.0,,,,2.0,,,,0.0,,7.0,2.0,,,,,,,1.0,8.0,1.0,3.0,,0.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
42996,Angel Rangel,Defender,Queens Park Rangers,52,Spain,2011-12,106.0,,0.0,,85.0,,308.0,34.0,32.0,359.0,2273.0,,,34.0,10.0,,2873.0,,130.0,7.0,117.0,1789.0,,,,9.0,111.0,41.0,85.0,68.0,,21.0,0.0,236.0,802.0,170.0,34.0,,,22.0,913.0,34.0,202.0,13.0,0.0,1.0,2228.0,548.0,63.0,,,1016.0,26.0,95.0,125.0,3252.0,51.0,1014.0,,3.0,51.0,109.0,12.0,10.0,1.0,1.0,15.0,10.0,2.0,87.0,65.0,1.0,2.0,1.0,13.0,21.0,,38.0,42.0,,21.0,11.0,65.0,29.0,14.0,32.0,11.0,18.0,,387.0,347.0,3.0,2.0,,,1.0,,,,,2.0,1.0,1.0,,,,,,,
73459,Jazz Richards,Defender,Cardiff City U21,8949,Wales,2011-12,31.0,,0.0,,20.0,,41.0,8.0,6.0,45.0,370.0,,,9.0,2.0,,574.0,,27.0,,25.0,305.0,,,1.0,,16.0,7.0,24.0,36.0,,4.0,0.0,58.0,118.0,38.0,8.0,,,6.0,141.0,7.0,49.0,2.0,0.0,,366.0,74.0,14.0,,,129.0,9.0,11.0,20.0,524.0,2.0,187.0,,4.0,4.0,21.0,3.0,,,1.0,,,,11.0,10.0,,2.0,,3.0,7.0,1.0,1.0,10.0,,2.0,3.0,10.0,8.0,,2.0,1.0,1.0,,87.0,53.0,1.0,,,,,,,,,,,,,,,,,,
