playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,oboxBlocked,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,oboxTarget,rightFootGoals,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,clearancesOffTheLine,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulLayoffs,foulWonPenalty,substituteOn,unsuccessfulLayoffs,throwInsToOppositionPlayer,penaltiesTaken,leftFootGoals,substituteOff,hitWoodwork,handballsConceded,penaltiesConceded,ownGoalScored,headedGoals,expectedGoalsFreekick,freekickTotal,attemptsFromSetPieces,penaltyGoals,cornersTakenInclShortCorners,successfulCornersIntoBox,unsuccessfulCornersIntoBox,secondGoalAssists,penaltiesSaved,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,savesFromPenalty,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,otherGoals
149266,Alfie Mawson,Defender,Swansea,80,England,2017-18,117.0,1.0,0.592,0.0,3.0,6.0,1.189,32.0,17.0,1.0,174.0,38.0,1.0,38.0,329.0,1.0,1744.0,2.0,1.0,1.0,196.0,9.0,2.0,1.0,2.0,3420.0,2.0,74.0,186.0,8.0,19.0,64.0,1225.0,40.0,3.0,60.368,4.0,29.0,222.0,56.0,2.0,43.0,668.0,11.0,303.0,9.0,679.0,220.0,38.0,2.0,2.0,10.0,3.0,364.0,48.0,1.0,2.0,107.0,122.0,0.0,1697.0,11.0,3.0,366.0,22.0,23.0,32.0,272.0,19.0,35.0,1.0,190.0,125.0,2211.0,4.0,1.0,79.0,1052.0,7.0,1.8764,3.0,155.0,106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45124,André Ayew,Forward,Swansea,80,Ghana,2017-18,196.0,2.0,0.8349,0.0,4.0,12.0,1.5794,34.0,22.0,5.0,111.0,30.0,4.0,19.0,124.0,14.0,582.0,3.0,6.0,1.0,145.0,,,2.0,7.0,1843.0,7.0,99.0,136.0,7.0,37.0,90.0,446.0,63.0,3.0,18.0799,12.0,1.0,11.0,41.0,1.0,97.0,115.0,36.0,332.0,17.0,129.0,93.0,30.0,,1.0,10.0,8.0,297.0,34.0,14.0,1.0,187.0,46.0,0.0,565.0,10.0,6.0,225.0,24.0,21.0,1.0,165.0,24.0,9.0,,12.0,173.0,875.0,3.0,1.0,5.0,163.0,18.0,1.8592,5.0,13.0,24.0,52.0,1.0,11.0,4.0,1.0,1.0,2.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13152,Andy King,Midfielder,Swansea,80,Wales,2017-18,40.0,2.0,0.5472,0.0,5.0,5.0,1.061,26.0,9.0,1.0,71.0,22.0,,14.0,101.0,11.0,560.0,3.0,1.0,2.0,29.0,1.0,1.0,2.0,1.0,1253.0,1.0,14.0,54.0,5.0,13.0,39.0,433.0,18.0,,14.6515,6.0,4.0,26.0,26.0,1.0,26.0,162.0,11.0,94.0,9.0,172.0,75.0,22.0,1.0,2.0,10.0,3.0,228.0,21.0,11.0,1.0,65.0,15.0,0.0,547.0,4.0,4.0,131.0,16.0,2.0,2.0,142.0,9.0,11.0,,26.0,84.0,705.0,2.0,2.0,11.0,233.0,4.0,0.9797,2.0,30.0,15.0,9.0,1.0,8.0,,1.0,,1.0,7.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
42996,Angel Rangel,Defender,Swansea,80,Spain,2017-18,10.0,1.0,0.1397,0.0,,,,4.0,,,6.0,4.0,,2.0,12.0,5.0,95.0,,,,6.0,,,1.0,,155.0,,5.0,5.0,,1.0,4.0,81.0,1.0,,2.7688,1.0,1.0,3.0,3.0,,5.0,3.0,,15.0,,32.0,12.0,4.0,,,1.0,1.0,47.0,3.0,5.0,,9.0,1.0,0.0,93.0,,,25.0,3.0,,,46.0,1.0,3.0,,2.0,14.0,137.0,15.0,,3.0,37.0,1.0,,0.0,6.0,2.0,,,2.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192290,Connor Roberts,Midfielder,Swansea,80,Wales,2017-18,6.0,,0.0726,0.0,,,,6.0,,,15.0,4.0,,3.0,27.0,13.0,135.0,,,,9.0,,,,,268.0,,6.0,16.0,1.0,12.0,13.0,103.0,1.0,,4.1269,,2.0,6.0,4.0,,,5.0,7.0,22.0,2.0,43.0,17.0,4.0,,,2.0,,61.0,3.0,13.0,,13.0,3.0,0.0,134.0,,,51.0,4.0,,,47.0,,3.0,,5.0,40.0,208.0,23.0,,9.0,47.0,,,0.0,12.0,8.0,,,1.0,,9.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40346,Erwin Mulder,Goalkeeper,Swansea,80,Netherlands,2017-18,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57145,Federico Fernández,Defender,Swansea,80,Argentina,2017-18,105.0,1.0,0.9629,0.0,2.0,4.0,0.2661,40.0,6.0,,116.0,30.0,1.0,30.0,214.0,3.0,1210.0,1.0,2.0,1.0,135.0,7.0,,1.0,3.0,2677.0,3.0,63.0,134.0,7.0,16.0,62.0,903.0,23.0,3.0,46.2734,5.0,20.0,198.0,44.0,1.0,42.0,280.0,21.0,239.0,8.0,550.0,129.0,30.0,,,11.0,3.0,306.0,37.0,3.0,1.0,104.0,72.0,0.0,1170.0,2.0,4.0,230.0,29.0,1.0,27.0,325.0,29.0,38.0,,93.0,55.0,1599.0,4.0,1.0,68.0,691.0,16.0,0.6775,5.0,98.0,72.0,,,,,,,,1.0,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
80146,Jordan Ayew,Forward,Swansea,80,Ghana,2017-18,375.0,5.0,1.7117,1.0,26.0,21.0,7.4449,82.0,40.0,3.0,130.0,36.0,2.0,33.0,145.0,39.0,835.0,7.0,8.0,9.0,174.0,4.0,7.0,5.0,7.0,2856.0,7.0,122.0,293.0,6.0,67.0,241.0,672.0,111.0,1.0,52.4817,14.0,2.0,17.0,49.0,17.0,253.0,211.0,87.0,668.0,40.0,152.0,141.0,36.0,7.0,4.0,22.0,50.0,467.0,43.0,40.0,17.0,494.0,52.0,1.0,806.0,19.0,35.0,464.0,60.0,74.0,3.0,181.0,63.0,24.0,,18.0,291.0,1616.0,5.0,9.0,6.0,228.0,43.0,7.4566,2.0,15.0,21.0,74.0,,3.0,9.0,,1.0,2.0,10.0,4.0,3.0,,,1.0,0.2871,4.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,
76542,Ki Sung-Yueng,Midfielder,Swansea,80,South Korea,2017-18,57.0,1.0,1.9317,0.0,6.0,6.0,2.1215,25.0,14.0,1.0,79.0,25.0,2.0,21.0,100.0,6.0,836.0,2.0,1.0,4.0,26.0,4.0,4.0,21.0,,1869.0,,21.0,54.0,4.0,26.0,49.0,673.0,16.0,1.0,30.758,17.0,3.0,20.0,29.0,2.0,36.0,266.0,17.0,111.0,15.0,166.0,95.0,25.0,4.0,1.0,7.0,6.0,379.0,25.0,41.0,2.0,85.0,5.0,0.0,793.0,8.0,9.0,172.0,18.0,7.0,1.0,264.0,10.0,32.0,,63.0,140.0,1086.0,1.0,4.0,7.0,378.0,6.0,0.9562,2.0,21.0,26.0,12.0,,4.0,1.0,1.0,,1.0,5.0,,,,,,0.0478,1.0,1.0,,42.0,15.0,25.0,,,,,,,,,,,,,,,,,
61760,Kristoffer Nordfeldt,Goalkeeper,Swansea,80,Sweden,2017-18,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
