playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,awayGoals,aerialDuels,cleanSheets,iboxTarget,timePlayed,shotsOnTargetInBox,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,penaltiesConceded,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,ownGoalScored,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,rightFootGoals,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,headedGoals,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,hitWoodwork,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,successfulLayoffs,offsides,substituteOn,shotsOnTargetOutsideBox,successfulCrossesAndCorners,throwInsToOppositionPlayer,oboxTarget,leftFootGoals,substituteOff,oboxBlocked,unsuccessfulLayoffs,shotsBlockedOutsideBox,goalAssists,otherGoals,setPiecesGoals,successfulCornersIntoBox,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,secondGoalAssists,expectedGoalsFreekick,foulWonPenalty,cornersTakenInclShortCorners,penaltiesTaken,penaltyGoals,clearancesOffTheLine,catches,savesMade,savesMadeFromOutsideBox,crossesNotClaimed,goalKicks,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,penaltiesSaved,savesMadeCaught,penaltiesFaced,savesFromPenalty,punches,goalkeeperSmother,drops
57586,Luciano Narsingh,Forward,Swansea,80,Netherlands,2016-17,44.0,0.4164,0.0,1.0,,,3.0,1.0,,14.0,13.0,3.0,15.0,23.0,123.0,,,17.0,1.0,,410.0,,14.0,27.0,,,12.0,24.0,107.0,17.0,1.0,10.0044,,5.0,,1.0,8.0,1.0,30.0,6.0,9.0,0.0,71.0,9.0,,18.0,17.0,13.0,,3.0,13.0,89.0,8.0,,23.0,21.0,1.0,54.0,3.0,0.0,123.0,1.0,5.0,69.0,,12.0,,50.0,3.0,4.0,1.0,49.0,231.0,,,1.0,23.0,2.0,,0.1563,0.0,1.0,1.0,4.0,5.0,1.0,10.0,,4.0,,,,2.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37096,Lukasz Fabianski,Goalkeeper,Swansea,80,Poland,2016-17,3.0,0.0779,0.0,,,,3.0,,,5.0,37.0,37.0,376.0,,928.0,,,15.0,8.0,,3330.0,,,20.0,5.0,1.0,1.0,5.0,219.0,,6.0,67.0131,,,141.0,20.0,69.0,,3.0,86.0,3.0,0.0,23.0,,,738.0,328.0,37.0,,2.0,,267.0,64.0,,,,,8.0,15.0,0.0,438.0,,,387.0,1.0,,,104.0,1.0,1.0,333.0,,1336.0,1.0,,194.0,285.0,1.0,,,1.0,371.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,117.0,51.0,1.0,309.0,336.0,142.0,27.0,64.0,1.0,11.0,8.0,1.0,15.0,12.0,4.0
28654,Martin Olsson,Defender,Swansea,80,Sweden,2016-17,57.0,0.4856,0.0,2.0,4.0,0.6118,10.0,7.0,,59.0,15.0,14.0,112.0,47.0,496.0,2.0,0.0,42.0,4.0,1.0,1253.0,1.0,21.0,62.0,2.0,,21.0,41.0,350.0,12.0,1.0,19.2418,,7.0,10.0,49.0,18.0,2.0,36.0,157.0,24.0,0.0,119.0,9.0,2.0,217.0,79.0,15.0,,3.0,11.0,220.0,16.0,,47.0,23.0,2.0,77.0,21.0,0.0,489.0,3.0,9.0,230.0,7.0,9.0,4.0,16.0,12.0,10.0,34.0,106.0,879.0,101.0,,33.0,176.0,5.0,2.0,0.5924,2.0,53.0,24.0,12.0,,,1.0,1.0,12.0,35.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97615,Mike van der Hoorn,Defender,Swansea,80,Netherlands,2016-17,34.0,0.0547,0.0,,2.0,0.7865,9.0,4.0,,23.0,8.0,7.0,74.0,,325.0,1.0,0.0,38.0,1.0,1.0,661.0,1.0,14.0,42.0,2.0,1.0,11.0,18.0,210.0,5.0,3.0,15.3525,,,7.0,55.0,20.0,,20.0,50.0,9.0,0.0,76.0,6.0,1.0,156.0,53.0,8.0,,1.0,,64.0,18.0,1.0,,1.0,,38.0,24.0,0.0,312.0,2.0,,77.0,8.0,,7.0,102.0,12.0,18.0,41.0,17.0,439.0,1.0,,37.0,187.0,5.0,,0.8656,1.0,51.0,33.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111787,Modou Barrow,Forward,Swansea,80,Gambia,2016-17,104.0,1.8344,0.0,2.0,3.0,0.4253,23.0,13.0,,67.0,18.0,12.0,74.0,40.0,299.0,,,33.0,1.0,3.0,1149.0,3.0,27.0,87.0,1.0,,20.0,81.0,224.0,56.0,3.0,24.4581,,19.0,,7.0,23.0,1.0,77.0,40.0,36.0,0.0,191.0,12.0,,72.0,45.0,18.0,,5.0,23.0,196.0,22.0,,41.0,50.0,1.0,158.0,6.0,0.0,296.0,10.0,18.0,213.0,18.0,24.0,,108.0,15.0,6.0,1.0,79.0,601.0,1.0,,3.0,47.0,8.0,1.0,1.1446,1.0,7.0,12.0,18.0,16.0,10.0,6.0,,18.0,,,,9.0,1.0,1.0,1.0,2.0,,,,,,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,
21083,Nathan Dyer,Midfielder,Swansea,80,England,2016-17,20.0,0.246,0.0,1.0,1.0,0.0557,3.0,2.0,,11.0,8.0,3.0,13.0,4.0,102.0,,,3.0,,1.0,211.0,1.0,2.0,16.0,1.0,,9.0,15.0,88.0,8.0,,9.2068,,2.0,,1.0,11.0,1.0,18.0,16.0,7.0,0.0,36.0,3.0,,29.0,16.0,8.0,,1.0,3.0,63.0,10.0,,4.0,11.0,1.0,33.0,1.0,0.0,101.0,1.0,,35.0,2.0,5.0,,30.0,4.0,3.0,1.0,27.0,153.0,,,1.0,28.0,3.0,,0.1039,0.0,2.0,7.0,2.0,7.0,,5.0,,2.0,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169432,Oliver McBurnie,Forward,Swansea,80,Scotland,2016-17,14.0,0.082,0.0,,1.0,0.0968,1.0,2.0,,6.0,5.0,,7.0,,33.0,,,13.0,,1.0,77.0,1.0,10.0,4.0,1.0,,1.0,1.0,25.0,4.0,,5.567,,2.0,,,5.0,,4.0,4.0,,0.0,18.0,1.0,,8.0,5.0,5.0,,,,20.0,4.0,,,2.0,,5.0,3.0,0.0,32.0,1.0,,10.0,1.0,,,8.0,1.0,,1.0,13.0,42.0,,,,7.0,,,0.1155,0.0,1.0,1.0,1.0,5.0,,5.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96306,Stephen Kingsley,Defender,Swansea,80,Scotland,2016-17,27.0,0.3206,0.0,,1.0,0.0499,12.0,4.0,,52.0,13.0,12.0,97.0,35.0,434.0,,,19.0,3.0,,1036.0,,12.0,32.0,2.0,,19.0,25.0,318.0,3.0,1.0,21.5303,,4.0,8.0,24.0,20.0,,15.0,158.0,7.0,0.0,59.0,10.0,,203.0,67.0,13.0,,2.0,5.0,194.0,18.0,,37.0,10.0,,40.0,7.0,0.0,425.0,3.0,4.0,167.0,10.0,6.0,4.0,9.0,3.0,8.0,19.0,64.0,692.0,90.0,,31.0,153.0,1.0,,0.1087,0.0,45.0,25.0,10.0,3.0,,1.0,1.0,10.0,12.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93464,Tom Carroll,Midfielder,Swansea,80,England,2016-17,70.0,1.2704,0.0,3.0,2.0,0.5081,30.0,6.0,,110.0,18.0,16.0,149.0,26.0,796.0,1.0,0.0,15.0,5.0,,1389.0,,10.0,56.0,2.0,,36.0,51.0,592.0,14.0,2.0,18.0686,,14.0,1.0,8.0,18.0,2.0,60.0,190.0,9.0,0.0,126.0,12.0,1.0,311.0,81.0,18.0,,7.0,7.0,402.0,16.0,,26.0,29.0,2.0,111.0,5.0,0.0,774.0,4.0,8.0,226.0,23.0,12.0,3.0,165.0,13.0,20.0,55.0,130.0,1009.0,2.0,1.0,9.0,257.0,8.0,,0.2823,1.0,39.0,33.0,12.0,21.0,,2.0,1.0,12.0,,1.0,1.0,4.0,1.0,1.0,1.0,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
11829,Wayne Routledge,Midfielder,Swansea,80,England,2016-17,156.0,2.5418,0.0,3.0,9.0,4.1422,22.0,16.0,,162.0,27.0,24.0,198.0,58.0,560.0,3.0,2.0,56.0,1.0,5.0,1927.0,5.0,44.0,72.0,4.0,,50.0,60.0,340.0,58.0,2.0,36.0295,,24.0,3.0,19.0,42.0,3.0,112.0,114.0,14.0,0.0,228.0,13.0,1.0,183.0,100.0,27.0,2.0,7.0,27.0,266.0,38.0,1.0,59.0,66.0,3.0,172.0,12.0,0.0,557.0,7.0,19.0,390.0,15.0,25.0,,140.0,28.0,14.0,22.0,123.0,946.0,4.0,,17.0,119.0,16.0,2.0,3.7374,1.0,36.0,53.0,22.0,42.0,9.0,3.0,1.0,23.0,2.0,1.0,,17.0,,5.0,,1.0,,,1.0,,,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,
