season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2024-25,12436881,1,6,Tottenham_Hotspur,Away,94758,115556,Ben Davies,ben-davies,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436881,1,6,Tottenham_Hotspur,Away,111505,85971,Son Heung-min,son-heung-min,F,False,1.0,,,35.0,7.0,41.0,,1.0,4.0,1.0,,1.0,3.0,,,1.0,6.0,6.0,,,0.287243,0.0307,,,0.0,,,,,1.0,1.0,,89.0,,,,,,,,13.0,,7.3,,,,1.0,6.0,3.0,,,,44.0,7.0,48.0,1,,65.0,1.0,1.0,4.0,
2024-25,12436881,1,6,Tottenham_Hotspur,Away,232306,165153,Timo Werner,timo-werner,F,True,1.0,,,10.0,2.0,11.0,,,,,,,,,,,1.0,,,,0.0197631,,,,0.0,,,,,,,,12.0,,,,,,,,6.0,,6.5,,,,,1.0,2.0,,,,15.0,2.0,15.0,0,,22.0,,,,
2024-25,12436881,1,6,Tottenham_Hotspur,Away,356398,172780,James Maddison,james-maddison,M,False,3.0,,3.0,48.0,7.0,52.0,,1.0,2.0,,,1.0,1.0,,,1.0,3.0,4.0,,,0.979171,0.0214,,1.0,1.0,,,,,1.0,3.0,,79.0,,,,,,,,19.0,,7.8,,,,2.0,2.0,11.0,,4.0,,63.0,8.0,60.0,1,,82.0,2.0,1.0,2.0,
2024-25,12436881,1,6,Tottenham_Hotspur,Away,361420,154566,Dominic Solanke,dominic-solanke,F,False,,,,11.0,4.0,15.0,1.0,1.0,2.0,,1.0,,,,,1.0,2.0,8.0,,,0.153437,0.3443,0.3378,,0.0,,,,,,1.0,,90.0,3.0,,,,,,,8.0,,7.5,,,,,3.0,,,1.0,1.0,14.0,5.0,19.0,3,2.0,35.0,3.0,2.0,3.0,2.0
2024-25,12436881,1,6,Tottenham_Hotspur,Away,553606,184254,Guglielmo Vicario,guglielmo-vicario,G,False,,2.0,,1.0,36.0,37.0,,,11.0,,,,,,,,,1.0,,,0.00028518,,,,0.0,,0.3218,1.0,,,,,90.0,,,,,,,,3.0,,7.2,2.0,2.0,,1.0,1.0,,2.0,2.0,,2.0,37.0,39.0,0,,50.0,,,1.0,
2024-25,12436881,1,6,Tottenham_Hotspur,Away,791190,202993,Rodrigo Bentancur,rodrigo-bentancur,M,False,,,,25.0,21.0,46.0,2.0,1.0,4.0,,,1.0,,,,2.0,7.0,4.0,,,0.0356292,0.2548,0.5669,2.0,0.0,,,,,2.0,,,78.0,2.0,,,,,,,4.0,,7.0,,,,,1.0,,,,,26.0,21.0,47.0,3,3.0,62.0,,,,3.0
2024-25,12436881,1,6,Tottenham_Hotspur,Away,829932,221632,Cristian Romero,cristian-romero,D,False,,,3.0,48.0,41.0,89.0,2.0,3.0,6.0,,,,,,,,2.0,5.0,,,0.0278489,0.089,,,0.0,,,,,,,,90.0,,,,,,,,8.0,,7.2,,,1.0,3.0,,1.0,,5.0,,54.0,43.0,96.0,1,1.0,104.0,,1.0,,1.0
2024-25,12436881,1,6,Tottenham_Hotspur,Away,840217,212319,Richarlison,richarlison,F,True,,,,,3.0,3.0,,,1.0,,1.0,,,,,,,,,,6.96e-05,0.1925,,,0.0,,,,,,,,8.0,,,,,,,,2.0,,6.1,,,1.0,1.0,,,,,,1.0,4.0,5.0,1,,7.0,,,,
2024-25,12436881,1,6,Tottenham_Hotspur,Away,859896,214572,Brandon Austin,brandon-austin,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436881,1,6,Tottenham_Hotspur,Away,913654,441164,Pedro Porro,pedro-porro,D,False,2.0,,3.0,38.0,6.0,42.0,,,2.0,,,,,,,,3.0,1.0,,,0.336856,0.0937,0.7221,2.0,0.0,1.0,,,,1.0,4.0,,89.0,1.0,,,,,,,9.0,,7.8,,,,2.0,1.0,4.0,,4.0,,44.0,7.0,47.0,1,,65.0,,1.0,,
2024-25,12436881,1,6,Tottenham_Hotspur,Away,928124,445044,Dejan Kulusevski,dejan-kulusevski,M,True,,,,5.0,2.0,7.0,1.0,,3.0,,,,,,,3.0,6.0,2.0,,,0.167048,,,1.0,0.0,,,,,,,,11.0,,,,,,,,6.0,,6.7,,,,1.0,1.0,1.0,,,,7.0,2.0,8.0,0,1.0,21.0,,1.0,,
2024-25,12436881,1,6,Tottenham_Hotspur,Away,945798,232859,Djed Spence,djed-spence,D,True,,,,6.0,3.0,9.0,,,1.0,,,,,,,,1.0,1.0,,,0.00289176,,,,0.0,,,,,,,,8.0,,,,,,,,1.0,,6.5,,,,,2.0,,,,,6.0,3.0,9.0,0,,11.0,,,1.0,
2024-25,12436881,1,6,Tottenham_Hotspur,Away,983572,487053,Destiny Udogie,destiny-udogie,D,False,,,,38.0,17.0,55.0,1.0,,3.0,,,,1.0,,,1.0,9.0,5.0,,,0.0596466,,,4.0,0.0,,,,,,,,90.0,,1.0,,,,,,13.0,,6.8,,,,1.0,2.0,1.0,,,,42.0,22.0,63.0,0,4.0,86.0,,1.0,,2.0
2024-25,12436881,1,6,Tottenham_Hotspur,Away,997103,493125,Radu Drăguşin,radu-dragusin,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436881,1,6,Tottenham_Hotspur,Away,998247,491279,Micky van de Ven,micky-van-de-ven,D,False,,,4.0,43.0,47.0,90.0,,1.0,4.0,,,,,,,,,2.0,,,0.0169464,,,,0.0,,,,,1.0,,,90.0,,,,,,,,7.0,,7.1,,,,3.0,,,,6.0,,47.0,49.0,96.0,0,,104.0,1.0,1.0,,
2024-25,12436881,1,6,Tottenham_Hotspur,Away,1002711,482442,Pape Matar Sarr,pape-matar-sarr,M,False,,,,32.0,9.0,41.0,,,2.0,,,1.0,,,,,,2.0,,,0.0438578,0.0114,,,0.0,,,,,,1.0,,78.0,,,,,,,,8.0,,6.9,,,,,,1.0,,,,38.0,9.0,46.0,1,1.0,57.0,2.0,1.0,,
2024-25,12436881,1,6,Tottenham_Hotspur,Away,1085180,242898,Brennan Johnson,brennan-johnson,F,False,,,,17.0,3.0,20.0,1.0,1.0,3.0,,,,1.0,,,,4.0,8.0,,,0.0786762,0.0819,0.2965,1.0,0.0,,,,,,1.0,,78.0,1.0,,,,,,,13.0,,7.4,,,1.0,,1.0,2.0,,,,24.0,4.0,26.0,2,6.0,44.0,4.0,1.0,,3.0
2024-25,12436881,1,6,Tottenham_Hotspur,Away,1142335,547701,Archie Gray,archie-gray,M,True,,,,12.0,6.0,18.0,,,,,,,,,,1.0,2.0,2.0,,,0.00674415,,,1.0,0.0,,,,,,,,12.0,,,,,,,,4.0,,6.7,,,,1.0,,,,,,15.0,6.0,21.0,0,2.0,25.0,,,,1.0
2024-25,12436881,1,6,Tottenham_Hotspur,Away,1391251,570526,Lucas Bergvall,lucas-bergvall,M,True,1.0,,,19.0,7.0,25.0,,,3.0,1.0,,1.0,1.0,,,1.0,3.0,5.0,,,0.137765,0.0564,,,0.0,,,,,,1.0,,12.0,,,,,,,,5.0,,7.4,,,,,3.0,2.0,,,,21.0,7.0,26.0,1,3.0,39.0,1.0,,2.0,1.0
2024-25,12436902,2,6,Tottenham_Hotspur,Home,19314,40383,Fraser Forster,fraser-forster,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
